white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
114.2,124.5,2.1,2.1,21.78,22.02,Levon Aronian,Bogdan-Daniel Deac,Superbet Rapid & Blitz Poland,"Warsaw, Poland",22.2,2761,2629,0.5,0.5,2025.04.30,63,62,1.8,2.0,0.03,0.03,-2.34,-1.78,3,0,3,1,0,5,0,0,0,0,"[{'turn': 'Black', 'fen': '1k6/pR4p1/1np4p/2N5/2n5/7P/PPBr2P1/1K6 b - - 0 31', 'move_number': 32, 'move': 'b8a8', 'prev_move': 'e7b7', 'time_diff': '0:00:29', 'exp_point_loss': 0.4915}, {'turn': 'White', 'fen': 'k7/6R1/1np4p/p1N5/2n5/7P/PPB2rP1/2K5 w - - 6 36', 'move_number': 36, 'move': 'c2d3', 'prev_move': 'd2f2', 'time_diff': '0:00:37', 'exp_point_loss': 0.4955}, {'turn': 'Black', 'fen': 'k7/8/2R4p/p1Nn4/2n1B3/7P/P4rP1/2K5 b - - 0 39', 'move_number': 40, 'move': 'c4e3', 'prev_move': 'g6c6', 'time_diff': '0:00:31', 'exp_point_loss': 0.506}, {'turn': 'White', 'fen': '1k6/8/R7/p1Nn4/4B3/4n2P/P4rP1/2K5 w - - 3 42', 'move_number': 42, 'move': 'e4d5', 'prev_move': 'a7b8', 'time_diff': '0:00:34', 'exp_point_loss': 0.4645}, {'turn': 'Black', 'fen': '1k6/8/8/R1Nn4/8/7P/P4rP1/2K5 b - - 0 43', 'move_number': 44, 'move': 'd5c3', 'prev_move': 'a6a5', 'time_diff': '0:00:32', 'exp_point_loss': 0.2635}, {'turn': 'Black', 'fen': '1k6/8/8/R1N5/6P1/2n4P/5r2/4K3 b - - 3 46', 'move_number': 47, 'move': 'f2h2', 'prev_move': 'd1e1', 'time_diff': '0:00:28', 'exp_point_loss': 0.266}, {'turn': 'Black', 'fen': '1k6/8/8/R1N3P1/8/2n4r/5K2/8 b - - 1 48', 'move_number': 49, 'move': 'h3h2', 'prev_move': 'e1f2', 'time_diff': '0:00:31', 'exp_point_loss': 0.478}, {'turn': 'White', 'fen': '1k6/8/8/R1N3P1/6K1/2n5/8/7r w - - 6 51', 'move_number': 51, 'move': 'a5a3', 'prev_move': 'h7h1', 'time_diff': '0:00:31', 'exp_point_loss': 0.4945}]",[]
162.9,145.4,0.08,0.57,7.68,26.42,Maxime Vachier-Lagrave,David Gavrilescu,Superbet Rapid & Blitz Poland,"Warsaw, Poland",14.3,2748,2506,1.0,0.0,2025.04.29,34,33,4.8,4.4,0.0,0.02,0.29,-0.65,0,0,0,0,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '2r5/3q1pkp/P3N1p1/4p3/r2pn3/1Q5P/5PP1/2RR2K1 b - - 1 25', 'move_number': 26, 'move': 'f7e6', 'prev_move': 'c7e6', 'time_diff': '0:01:00', 'exp_point_loss': 0.5025}]",[]
165.3,144.0,0.21,0.7,648.57,689.55,Jan-Krzysztof Duda,Chithambaram VR. Aravindh,Superbet Rapid & Blitz Poland,"Warsaw, Poland",22.1,2785,2622,1.0,0.0,2025.04.30,30,29,5.5,5.0,0.01,0.02,0.42,-0.73,0,1,0,1,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'r4rk1/5ppp/2N1pb2/pq6/2R5/P4P2/1PQ3PP/1K1R4 b - - 5 25', 'move_number': 26, 'move': 'f6b2', 'prev_move': 'h1d1', 'time_diff': '0:00:40', 'exp_point_loss': 0.4855}]",[]
125.9,156.8,1.54,1.03,231.76,220.61,Praggnanandhaa R,Levon Aronian,Superbet Rapid & Blitz Poland,"Warsaw, Poland",11.1,2717,2761,0.0,1.0,2025.04.29,46,46,2.7,3.4,0.03,0.02,-1.71,-0.04,2,2,2,1,0,3,0,0,0,0,"[{'turn': 'Black', 'fen': 'rn1qkb1r/ppp1pp2/5n1p/3p1bp1/3P4/1QP1P1B1/PP3PPP/RN2KBNR b KQkq - 4 8', 'move_number': 9, 'move': 'b7b6', 'prev_move': 'd1b3', 'time_diff': '0:00:49', 'exp_point_loss': 0.245}, {'turn': 'Black', 'fen': 'rn1qkb1r/p1p1pp2/1p3n1p/3p1bp1/3P4/1QP1PNB1/PP3PPP/RN2KB1R b KQkq - 1 9', 'move_number': 10, 'move': 'f6e4', 'prev_move': 'g1f3', 'time_diff': '0:01:06', 'exp_point_loss': 0.39949999999999997}, {'turn': 'White', 'fen': 'rn1qkb1r/p4p2/1pp4p/3p1bp1/3P4/1QN1PNP1/PP3PP1/R3KB1R w KQkq - 0 14', 'move_number': 14, 'move': 'f3e5', 'prev_move': 'e6d5', 'time_diff': '0:00:29', 'exp_point_loss': 0.391}, {'turn': 'Black', 'fen': '8/5pk1/1p2r2p/2p3p1/pr6/1P1RPP2/P2R1KP1/8 b - - 2 39', 'move_number': 40, 'move': 'a4b3', 'prev_move': 'g1f2', 'time_diff': '0:00:31', 'exp_point_loss': 0.25650000000000006}, {'turn': 'White', 'fen': '8/5pk1/1p2r2p/2p5/1r4p1/1P1RPP2/3R1KP1/8 w - - 0 41', 'move_number': 41, 'move': 'd2a2', 'prev_move': 'g5g4', 'time_diff': '0:00:30', 'exp_point_loss': 0.4075}]",[]
160.5,162.6,0.0,0.0,0.0,0.0,Bogdan-Daniel Deac,David Gavrilescu,Superbet Rapid & Blitz Poland,"Warsaw, Poland",20.4,2629,2506,0.5,0.5,2025.04.30,24,24,6.7,6.8,0.0,0.0,0.16,0.27,0,0,0,0,0,0,0,0,0,0,[],[]
127.7,86.5,2.11,2.6,26.51,165.53,Chithambaram VR. Aravindh,Bogdan-Daniel Deac,Superbet Rapid & Blitz Poland,"Warsaw, Poland",21.5,2622,2629,1.0,0.0,2025.04.30,73,72,1.7,1.2,0.03,0.04,-1.61,-3.83,2,1,3,4,0,4,0,0,0,0,"[{'turn': 'Black', 'fen': '3r4/p1n3k1/P1P1p1pp/1p3p2/3q3P/5BP1/4QP1K/4R3 b - - 2 47', 'move_number': 48, 'move': 'b5b4', 'prev_move': 'g2f3', 'time_diff': '0:00:29', 'exp_point_loss': 0.5545000000000001}, {'turn': 'White', 'fen': '3r4/p1n3k1/P1P1p1pp/5p2/1p1q3P/5BP1/4QP1K/4R3 w - - 0 48', 'move_number': 48, 'move': 'h2g2', 'prev_move': 'b5b4', 'time_diff': '0:00:31', 'exp_point_loss': 0.547}, {'turn': 'Black', 'fen': '8/p1n3k1/P1P1p1pp/5p2/1p5P/2q2BP1/5PK1/3Q4 b - - 0 50', 'move_number': 51, 'move': 'g7h7', 'prev_move': 'e2d1', 'time_diff': '0:00:32', 'exp_point_loss': 0.482}, {'turn': 'White', 'fen': '8/p5qk/n1P1p1pp/5p2/1Q5P/5BP1/5PK1/8 w - - 0 53', 'move_number': 53, 'move': 'b4a5', 'prev_move': 'c7a6', 'time_diff': '0:00:34', 'exp_point_loss': 0.3315}, {'turn': 'Black', 'fen': '8/2n1q2k/2P1p1pp/5p2/3Q3P/5BP1/5PK1/8 b - - 2 55', 'move_number': 56, 'move': 'h7g8', 'prev_move': 'a7d4', 'time_diff': '0:00:30', 'exp_point_loss': 0.4515}, {'turn': 'White', 'fen': '6k1/2n1q3/2P1p1pp/5p2/3Q3P/5BP1/5PK1/8 w - - 3 56', 'move_number': 56, 'move': 'd4e5', 'prev_move': 'h7g8', 'time_diff': '0:00:30', 'exp_point_loss': 0.4815}, {'turn': 'Black', 'fen': '6k1/2n1q3/2P1p1pp/4Qp2/7P/5BP1/5PK1/8 b - - 4 56', 'move_number': 57, 'move': 'e7g7', 'prev_move': 'd4e5', 'time_diff': '0:00:31', 'exp_point_loss': 0.4825}]",[]
125.4,89.1,2.25,2.74,22.79,35.38,Vladimir Fedoseev,Veselin Topalov,Superbet Rapid & Blitz Poland,"Warsaw, Poland",22.3,2675,2657,1.0,0.0,2025.04.30,33,32,3.8,2.8,0.07,0.09,-1.74,-3.69,4,3,3,1,1,6,0,0,0,0,"[{'turn': 'Black', 'fen': 'r2qkb1r/pbpn1p2/1p1pp1pp/3PP3/5P2/P1N2N2/1PP1Q1PP/R3KB1R b KQkq - 0 11', 'move_number': 12, 'move': 'd8e7', 'prev_move': 'd4d5', 'time_diff': '0:00:41', 'exp_point_loss': 0.333}, {'turn': 'Black', 'fen': 'r1k1qb1r/1bpn4/pp1pN1pp/8/5P2/P1N5/1PP1Q1PP/2KR1B1R b - - 0 18', 'move_number': 19, 'move': 'd7f6', 'prev_move': 'd4e6', 'time_diff': '0:01:06', 'exp_point_loss': 0.4885}, {'turn': 'White', 'fen': 'r1k1qb1r/1bp5/pp1pNnp1/7p/5P1P/P1N5/1PP1Q1P1/2KR1B1R w - - 0 20', 'move_number': 20, 'move': 'e2c4', 'prev_move': 'h6h5', 'time_diff': '0:01:01', 'exp_point_loss': 0.33299999999999996}, {'turn': 'Black', 'fen': 'r1k1qb1r/1bp5/pp1pNnp1/7p/2Q2P1P/P1N5/1PP3P1/2KR1B1R b - - 1 20', 'move_number': 21, 'move': 'c7c5', 'prev_move': 'e2c4', 'time_diff': '0:00:34', 'exp_point_loss': 0.33999999999999997}, {'turn': 'White', 'fen': 'r1k1qb1r/1b6/pp1pNnp1/2p4p/2Q2P1P/P1N5/1PP3P1/2KR1B1R w - - 0 21', 'move_number': 21, 'move': 'd1e1', 'prev_move': 'c7c5', 'time_diff': '0:01:21', 'exp_point_loss': 0.4285}, {'turn': 'White', 'fen': 'r1k1q2r/1b6/pp1bNnp1/2pp3p/5P1P/P1N5/1PP1Q1P1/2K1RB1R w - - 2 23', 'move_number': 23, 'move': 'b2b3', 'prev_move': 'f8d6', 'time_diff': '0:00:43', 'exp_point_loss': 0.47200000000000003}, {'turn': 'Black', 'fen': 'r1k1q2r/1b6/pp1bNnp1/2pp3p/5P1P/PPN5/2P1Q1P1/2K1RB1R b - - 0 23', 'move_number': 24, 'move': 'd5d4', 'prev_move': 'b2b3', 'time_diff': '0:00:30', 'exp_point_loss': 0.4455}, {'turn': 'Black', 'fen': 'r1k4r/1b6/ppqbNnp1/2p4p/N2p1P1P/PP1Q4/2P3P1/2K1RB1R b - - 3 25', 'move_number': 26, 'move': 'f6e4', 'prev_move': 'e2d3', 'time_diff': '0:00:31', 'exp_point_loss': 0.23400000000000004}, {'turn': 'Black', 'fen': 'k6r/8/B2bN1p1/2p4p/3pbP1P/PP6/2P3P1/2K4R b - - 0 30', 'move_number': 31, 'move': 'e4g2', 'prev_move': 'f1a6', 'time_diff': '0:00:30', 'exp_point_loss': 0.46149999999999997}]",[]
167.4,157.6,0.0,0.0,0.0,0.0,Vladimir Fedoseev,Chithambaram VR. Aravindh,Superbet Rapid & Blitz Poland,"Warsaw, Poland",20.3,2675,2622,1.0,0.0,2025.04.30,37,37,4.5,4.3,0.0,0.0,0.53,0.0,0,0,0,0,0,0,0,0,0,0,[],[]
128.3,158.3,1.37,0.87,23.85,12.78,David Gavrilescu,Maxime Vachier-Lagrave,Superbet Rapid & Blitz Poland,"Warsaw, Poland",23.3,2506,2748,0.0,1.0,2025.04.30,55,55,2.3,2.9,0.02,0.02,-1.58,0.04,1,4,1,3,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'r2qk2r/pp1bbppp/2n1p3/3pPn2/3P4/2NB1N2/PP3PPP/R1BQ1RK1 b kq - 6 10', 'move_number': 11, 'move': 'f5h4', 'prev_move': 'b5d3', 'time_diff': '0:00:59', 'exp_point_loss': 0.274}, {'turn': 'White', 'fen': 'r2q2kr/pp1b1pp1/2n1p3/3pP2p/3P3b/2NBBQ2/PP3PPP/R4RK1 w - - 2 15', 'move_number': 15, 'move': 'c3b5', 'prev_move': 'f8g8', 'time_diff': '0:00:57', 'exp_point_loss': 0.337}]",[]
121.9,130.7,1.81,1.8,25.2,24.9,Levon Aronian,Chithambaram VR. Aravindh,Superbet Rapid & Blitz Poland,"Warsaw, Poland",14.5,2761,2622,0.5,0.5,2025.04.29,61,61,2.0,2.1,0.03,0.03,-1.92,-1.45,2,0,3,3,0,3,0,0,0,0,"[{'turn': 'Black', 'fen': 'r4rk1/ppp2ppp/2n2qb1/4p1N1/P1B2nPP/2PP1Q2/2PB1P2/R3K2R b KQ - 2 14', 'move_number': 15, 'move': 'h7h5', 'prev_move': 'd1f3', 'time_diff': '0:02:24', 'exp_point_loss': 0.34550000000000003}, {'turn': 'White', 'fen': 'r4rk1/ppp2pp1/2n2qb1/4p1Np/P1B2nPP/2PP1Q2/2PB1P2/R3K2R w KQ - 0 15', 'move_number': 15, 'move': 'g4h5', 'prev_move': 'h7h5', 'time_diff': '0:00:37', 'exp_point_loss': 0.3395}, {'turn': 'Black', 'fen': '7k/2B3p1/1p3p2/p7/b1P4P/3P4/2P5/4K3 b - - 0 41', 'move_number': 42, 'move': 'b6b5', 'prev_move': 'f4c7', 'time_diff': '0:00:30', 'exp_point_loss': 0.4895}, {'turn': 'White', 'fen': '8/5kp1/b4p2/8/2P4P/3P4/3B4/4K3 w - - 1 46', 'move_number': 46, 'move': 'e1e2', 'prev_move': 'b5a6', 'time_diff': '0:00:29', 'exp_point_loss': 0.433}, {'turn': 'Black', 'fen': '8/5kp1/b4p2/8/2P4P/3P4/3BK3/8 b - - 2 46', 'move_number': 47, 'move': 'f7e6', 'prev_move': 'e1e2', 'time_diff': '0:00:29', 'exp_point_loss': 0.433}, {'turn': 'White', 'fen': '8/8/b7/6p1/2PK2k1/3P4/8/4B3 w - - 0 51', 'move_number': 51, 'move': 'd4c5', 'prev_move': 'f6g5', 'time_diff': '0:00:31', 'exp_point_loss': 0.5}]",[]
