Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Vladimir Fedoseev,154.2,0.91,60.3,19,16.5,160.9,0.77,2675,3028,976,10,9,17.24,19.45,1.01,122.84,-0.18,1.21,0.57,148.9,160.1,9.0,7.5,17.31,378.25,1.02,15089.66
Maxime Vachier-Lagrave,152.4,0.76,64.85,19,12.5,158.3,0.44,2748,2803,1021,9,10,12.78,18.62,0.87,108.28,-0.28,0.78,0.75,154.2,150.8,7.0,5.5,14.51,346.64,0.76,11724.87
Bogdan-Daniel Deac,147.7,0.86,58.01,19,11.0,160.4,0.54,2629,2759,1031,9,10,14.07,25.68,0.94,83.31,-0.53,0.78,0.92,150.8,145.0,6.0,5.0,16.25,659.24,0.88,6940.74
Praggnanandhaa R,144.2,1.05,64.06,19,10.5,140.7,0.83,2717,2727,1042,10,9,16.78,21.71,0.8,101.29,-0.72,1.21,0.87,139.3,149.7,5.0,5.5,19.89,471.22,0.65,10260.08
Jan-Krzysztof Duda,141.8,1.03,117.77,19,9.0,157.6,0.61,2785,2676,958,10,9,28.63,33.59,1.19,191.45,-0.85,1.08,0.98,142.7,140.8,5.5,3.5,19.6,1127.98,1.42,36653.96
Levon Aronian,141.7,1.13,80.25,19,11.0,137.8,1.03,2761,2742,910,9,10,23.23,23.64,0.92,143.48,-0.86,1.14,1.13,141.2,142.1,6.0,5.0,21.56,558.97,0.84,20587.69
Chithambaram VR. Aravindh,135.7,1.25,155.82,19,6.5,138.2,1.11,2622,2580,974,10,9,27.6,20.07,0.89,208.49,-1.18,1.36,1.12,131.1,140.8,3.0,3.5,23.69,402.86,0.78,43466.61
David Gavrilescu,134.5,1.22,65.69,19,4.5,138.2,1.37,2506,2509,904,9,10,26.42,23.71,0.97,99.66,-1.24,0.97,1.44,140.2,129.4,2.0,2.5,23.1,562.38,0.94,9932.81
Alireza Firouzja,134.1,1.32,34.4,19,8.5,139.8,0.78,2857,2647,849,9,10,23.19,29.48,1.19,63.91,-1.27,1.08,1.54,137.4,131.0,3.5,5.0,25.16,868.95,1.42,4084.28
Veselin Topalov,132.3,1.31,34.81,19,5.0,140.1,1.16,2657,2524,923,10,9,25.09,24.95,1.11,45.74,-1.36,0.99,1.67,140.8,123.0,3.0,2.0,24.97,622.71,1.23,2092.26
