white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
163.4,160.3,0.12,0.11,5.53,5.17,Chithambaram VR. Aravindh,Vladimir Fedoseev,Superbet Rapid & Blitz Poland,"Warsaw, Poland",5.3,2550,2739,0.5,0.5,2025.04.27,47,47,3.5,3.4,0.0,0.0,0.32,0.15,0,0,0,0,0,0,0,0,0,0,[],[]
144.9,167.1,0.57,0.07,13.87,3.56,Veselin Topalov,Jan-Krzysztof Duda,Superbet Rapid & Blitz Poland,"Warsaw, Poland",2.1,2632,2731,0.0,1.0,2025.04.26,52,52,2.8,3.2,0.01,0.0,-0.69,0.51,0,0,1,0,0,0,0,0,0,0,"[{'turn': 'White', 'fen': '5k2/n1p3p1/P4p2/4p2p/2N4r/8/5PP1/2R3K1 w - - 1 38', 'move_number': 38, 'move': 'c4b2', 'prev_move': 'c6a7', 'time_diff': '0:03:00', 'exp_point_loss': 0.492}]",[]
164.3,163.9,0.08,0.08,2.12,1.98,Jan-Krzysztof Duda,Alireza Firouzja,Superbet Rapid & Blitz Poland,"Warsaw, Poland",5.5,2731,2754,0.5,0.5,2025.04.27,82,81,2.0,2.0,0.0,0.0,0.36,0.34,0,0,0,0,0,0,0,0,0,0,[],[]
163.0,136.1,0.47,0.97,14.87,32.38,Jan-Krzysztof Duda,Bogdan-Daniel Deac,Superbet Rapid & Blitz Poland,"Warsaw, Poland",8.5,2731,2630,1.0,0.0,2025.04.28,38,37,4.3,3.7,0.01,0.03,0.29,-1.16,3,0,0,1,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': '4rr1k/1ppq1bpp/p1nb1pn1/4p3/1P1PN1P1/P3PNRR/1B2BP1P/1Q4K1 b - - 0 25', 'move_number': 26, 'move': 'd7e7', 'prev_move': 'd3d4', 'time_diff': '0:00:33', 'exp_point_loss': 0.4155}, {'turn': 'Black', 'fen': '4rrk1/1p2qbpp/p1n3n1/4pBP1/1P6/P3PNRR/1B3P1P/1Q4K1 b - - 0 30', 'move_number': 31, 'move': 'f7e6', 'prev_move': 'd3f5', 'time_diff': '0:00:31', 'exp_point_loss': 0.491}]",[]
153.4,129.8,1.14,1.13,21.85,22.0,Praggnanandhaa R,Chithambaram VR. Aravindh,Superbet Rapid & Blitz Poland,"Warsaw, Poland",2.5,2684,2550,1.0,0.0,2025.04.26,59,58,2.6,2.2,0.02,0.02,-0.22,-1.5,3,1,1,1,1,2,0,0,0,0,"[{'turn': 'Black', 'fen': '3rr1k1/pp1nbppp/1qp2n2/3p1B2/3P1B1P/2N1P3/PPQ2PP1/2KR3R b - - 2 15', 'move_number': 16, 'move': 'c6c5', 'prev_move': 'e1c1', 'time_diff': '0:04:37', 'exp_point_loss': 0.2885}, {'turn': 'White', 'fen': '8/7p/4k3/3p3P/1K1P4/5p2/2BB4/5r2 w - - 0 43', 'move_number': 43, 'move': 'b4c3', 'prev_move': 'f4f3', 'time_diff': '0:00:36', 'exp_point_loss': 0.487}, {'turn': 'Black', 'fen': '8/5B1p/7r/3p4/3P4/4Kp2/5Bk1/8 b - - 11 50', 'move_number': 51, 'move': 'h6b6', 'prev_move': 'd3e3', 'time_diff': '0:00:45', 'exp_point_loss': 0.5}]",[]
159.2,159.3,0.4,0.39,6.57,6.42,Levon Aronian,Maxime Vachier-Lagrave,Superbet Rapid & Blitz Poland,"Warsaw, Poland",2.2,2752,2745,0.5,0.5,2025.04.26,68,67,2.3,2.4,0.01,0.01,0.09,0.09,0,1,0,2,0,0,0,0,0,0,[],[]
114.9,152.5,1.74,1.23,26.58,10.56,Maxime Vachier-Lagrave,Praggnanandhaa R,Superbet Rapid & Blitz Poland,"Warsaw, Poland",1.4,2745,2684,0.0,1.0,2025.04.26,45,45,2.6,3.4,0.04,0.03,-2.3,-0.27,1,1,3,2,1,2,0,0,0,0,"[{'turn': 'Black', 'fen': '6k1/1p1r2rp/p1n1b1p1/2BpP1q1/5p2/1P3B1P/P4PP1/2RQR1K1 b - - 6 27', 'move_number': 28, 'move': 'd5d4', 'prev_move': 'b6c5', 'time_diff': '0:01:08', 'exp_point_loss': 0.326}, {'turn': 'White', 'fen': '6k1/1p1r2rp/p1nB2p1/4P1q1/3p1p2/1P3B1b/P4PP1/2RQR1K1 w - - 0 29', 'move_number': 29, 'move': 'c1c6', 'prev_move': 'e6h3', 'time_diff': '0:01:18', 'exp_point_loss': 0.481}, {'turn': 'White', 'fen': '3r2k1/6r1/Q1BBb1p1/4P1qp/3p1p2/1P6/P4PP1/4R1K1 w - - 0 33', 'move_number': 33, 'move': 'a6d3', 'prev_move': 'h7h5', 'time_diff': '0:01:12', 'exp_point_loss': 0.49350000000000005}, {'turn': 'Black', 'fen': '3r2k1/6r1/2BBb1p1/4P1qp/3p1p2/1P1Q4/P4PP1/4R1K1 b - - 1 33', 'move_number': 34, 'move': 'd8c8', 'prev_move': 'a6d3', 'time_diff': '0:00:27', 'exp_point_loss': 0.44599999999999995}, {'turn': 'White', 'fen': '2r3k1/6r1/2BBb1p1/4P1qp/3p1p2/1P1Q4/P4PP1/4R1K1 w - - 2 34', 'move_number': 34, 'move': 'd3e4', 'prev_move': 'd8c8', 'time_diff': '0:01:45', 'exp_point_loss': 0.44999999999999996}]",[]
143.8,105.7,1.62,2.11,13.59,23.48,Praggnanandhaa R,Jan-Krzysztof Duda,Superbet Rapid & Blitz Poland,"Warsaw, Poland",9.1,2684,2731,1.0,0.0,2025.04.28,66,65,2.2,1.6,0.02,0.03,-0.74,-2.8,2,0,3,2,0,5,0,0,0,0,"[{'turn': 'Black', 'fen': 'rnbqkb1r/pp1p1ppp/4pn2/2p5/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 0 4', 'move_number': 5, 'move': 'b7b6', 'prev_move': 'e2e3', 'time_diff': '0:00:24', 'exp_point_loss': 0.251}, {'turn': 'Black', 'fen': '7R/3pn2p/pr1knp2/1p1Bp3/4P2P/P3N3/5PP1/3K4 b - - 2 36', 'move_number': 37, 'move': 'h7h5', 'prev_move': 'a8h8', 'time_diff': '0:00:29', 'exp_point_loss': 0.41600000000000004}, {'turn': 'White', 'fen': '7R/3pn3/pr1knp2/1p1Bp2p/4P2P/P3N3/5PP1/3K4 w - - 0 37', 'move_number': 37, 'move': 'g2g3', 'prev_move': 'h7h5', 'time_diff': '0:00:31', 'exp_point_loss': 0.4525}, {'turn': 'Black', 'fen': '7R/3p4/3knN2/p3p3/1r2P2P/6P1/5P2/3K4 b - - 1 42', 'move_number': 43, 'move': 'b4b1', 'prev_move': 'h5h8', 'time_diff': '0:00:40', 'exp_point_loss': 0.3145}, {'turn': 'White', 'fen': '7R/3p4/3knN2/p3p3/4P2P/6P1/5P2/1r1K4 w - - 2 43', 'move_number': 43, 'move': 'd1e2', 'prev_move': 'b4b1', 'time_diff': '0:00:34', 'exp_point_loss': 0.3185}, {'turn': 'Black', 'fen': '7R/3p4/3knN2/p3p3/4P2P/6P1/4KP2/1r6 b - - 3 43', 'move_number': 44, 'move': 'a5a4', 'prev_move': 'd1e2', 'time_diff': '0:00:30', 'exp_point_loss': 0.4905}, {'turn': 'White', 'fen': '7R/3p4/3knN2/4p3/p3P2P/6P1/4KP2/1r6 w - - 0 44', 'move_number': 44, 'move': 'h8a8', 'prev_move': 'a5a4', 'time_diff': '0:00:24', 'exp_point_loss': 0.488}, {'turn': 'Black', 'fen': 'R7/3p4/3knN2/4p3/p3P2P/6P1/4KP2/1r6 b - - 1 44', 'move_number': 45, 'move': 'b1a1', 'prev_move': 'h8a8', 'time_diff': '0:00:31', 'exp_point_loss': 0.4975}]",[]
163.6,124.0,0.63,1.12,11.79,25.75,Chithambaram VR. Aravindh,Levon Aronian,Superbet Rapid & Blitz Poland,"Warsaw, Poland",3.1,2550,2752,1.0,0.0,2025.04.26,56,55,2.9,2.3,0.01,0.02,0.32,-1.81,0,0,1,1,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': '4r1k1/2q2p1p/1p2pnp1/2P5/rP6/4QPP1/5P2/2R1RBK1 b - - 0 26', 'move_number': 27, 'move': 'a4b4', 'prev_move': 'c4c5', 'time_diff': '0:00:22', 'exp_point_loss': 0.4465}, {'turn': 'White', 'fen': '1r4k1/1P3p1p/2qn2p1/4p3/1Q6/3B1PP1/5P2/1R4K1 w - - 5 36', 'move_number': 36, 'move': 'd3e4', 'prev_move': 'e8d6', 'time_diff': '0:00:23', 'exp_point_loss': 0.487}, {'turn': 'Black', 'fen': '1r4k1/1P3p1p/2qn2p1/4p3/1Q2B3/5PP1/5P2/1R4K1 b - - 6 36', 'move_number': 37, 'move': 'c6c7', 'prev_move': 'd3e4', 'time_diff': '0:00:21', 'exp_point_loss': 0.487}]",[]
131.5,105.7,1.97,2.46,19.65,227.9,Levon Aronian,Bogdan-Daniel Deac,Superbet Rapid & Blitz Poland,"Warsaw, Poland",4.3,2752,2630,1.0,0.0,2025.04.27,49,48,2.7,2.2,0.04,0.05,-1.4,-2.8,4,5,1,3,0,6,0,0,1,0,"[{'turn': 'Black', 'fen': '1rb2rk1/1p3ppp/pbp1R3/1n1n4/8/3Q1B2/PBPP1PPP/1R4K1 b - - 0 20', 'move_number': 21, 'move': 'c8e6', 'prev_move': 'e1e6', 'time_diff': '0:00:22', 'exp_point_loss': 0.428}, {'turn': 'Black', 'fen': '1r3rk1/1p3pBp/pb1nb3/3p4/P7/3Q4/2PP1PPP/1R4K1 b - - 0 23', 'move_number': 24, 'move': 'g8g7', 'prev_move': 'b2g7', 'time_diff': '0:00:23', 'exp_point_loss': 0.433}, {'turn': 'White', 'fen': '1r3rk1/1p5p/p3bp2/3p4/P1nQ4/1R6/2PP1PPP/6K1 w - - 0 27', 'move_number': 27, 'move': 'b3g3', 'prev_move': 'f7f6', 'time_diff': '0:00:23', 'exp_point_loss': 0.3555}, {'turn': 'Black', 'fen': '4r2k/1p3r1p/pQn1bp2/3p4/P7/2PP2RP/5PPK/8 b - - 0 32', 'move_number': 33, 'move': 'e6f5', 'prev_move': 'c2c3', 'time_diff': '0:00:32', 'exp_point_loss': 0.28200000000000003}, {'turn': 'Black', 'fen': '4r2k/1p1r3p/p1n2p2/3p1b2/P4P2/2PP1QRP/6PK/8 b - - 6 38', 'move_number': 39, 'move': 'e8g8', 'prev_move': 'f2f3', 'time_diff': '0:00:34', 'exp_point_loss': 0.28300000000000003}, {'turn': 'Black', 'fen': '6k1/1p1r1b1p/p1n2p2/5P2/P1Pp1QP1/3P3P/7K/8 b - - 0 43', 'move_number': 44, 'move': 'g8g7', 'prev_move': 'c3c4', 'time_diff': '0:00:31', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '3r4/1p3bkp/p1n2p2/5PP1/P1Pp1Q1P/3P4/7K/8 b - - 0 45', 'move_number': 46, 'move': 'd8g8', 'prev_move': 'h3h4', 'time_diff': '0:00:31', 'exp_point_loss': 0.4955}]","[{'turn': 'White', 'fen': 'r1b1kb1r/1pp1qppp/p1np1n2/8/1P6/2N1N3/P1PPQPPP/R1B1KB1R w KQkq - 0 9', 'move_number': 9, 'move': 'a1b1', 'prev_move': 'a7a6', 'time_diff': '0:16:57', 'exp_point_loss': 0.018500000000000016}]"
