Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Levon Aronian,153.2,0.56,10.38,9,5.0,159.2,0.4,2752,2702,468,4,5,6.57,15.12,0.64,7.51,-0.24,0.63,0.51,154.5,152.1,3.0,2.0,5.08,228.59,0.41,56.45
Chithambaram VR. Aravindh,152.5,0.77,-0.06,9,5.5,158.1,0.84,2550,2764,467,5,4,11.12,11.7,0.34,39.23,-0.27,0.76,0.79,156.8,147.0,4.0,1.5,6.95,136.84,0.11,1539.05
Vladimir Fedoseev,152.2,0.65,8.25,9,5.5,161.2,0.12,2739,2743,468,5,4,5.17,18.06,0.9,7.83,-0.29,0.51,0.83,154.7,149.0,3.0,2.5,5.87,326.33,0.81,61.31
Maxime Vachier-Lagrave,150.9,0.58,10.19,9,4.5,161.9,0.27,2745,2664,428,5,4,6.42,19.63,0.62,8.7,-0.36,0.76,0.35,144.6,158.8,2.5,2.0,5.21,385.42,0.38,75.64
David Gavrilescu,148.8,0.72,42.8,9,3.5,158.2,0.47,2506,2612,423,5,4,15.17,21.47,1.04,82.16,-0.48,1.01,0.34,144.8,153.7,2.5,1.0,6.44,460.86,1.08,6751.07
Jan-Krzysztof Duda,145.4,0.76,11.23,9,4.0,160.2,0.46,2731,2627,506,5,4,6.66,26.26,0.84,9.9,-0.66,0.59,0.96,153.4,135.4,2.5,1.5,6.83,689.45,0.71,98.08
Praggnanandhaa R,144.5,0.96,15.05,9,5.0,152.5,1.14,2684,2710,434,4,5,13.59,25.08,0.88,9.29,-0.7,0.74,1.15,156.3,135.0,3.0,2.0,8.68,629.14,0.78,86.35
Alireza Firouzja,139.1,1.16,10.33,9,5.5,152.0,0.76,2754,2742,550,4,5,7.25,33.09,1.17,8.16,-0.99,0.89,1.37,152.9,128.2,3.5,2.0,10.44,1095.25,1.37,66.64
Veselin Topalov,135.9,1.05,59.9,9,2.5,144.1,0.89,2632,2511,453,4,5,22.89,24.0,0.75,88.72,-1.17,0.94,1.13,140.1,132.5,1.5,1.0,9.45,576.0,0.56,7871.84
Bogdan-Daniel Deac,135.7,1.35,39.14,9,4.0,136.1,1.02,2630,2638,461,4,5,16.0,20.76,0.96,71.8,-1.18,1.28,1.41,142.1,130.6,3.0,1.0,12.14,430.8,0.92,5155.81
