white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
146.5,118.8,1.6,2.09,21.4,30.72,Levon Aronian,Sam Shankland,Saint Louis Rapid and Blitz,"Saint Louis, United States",18.2,2732,2621,1.0,0.0,????.??.??,47,46,3.1,2.6,0.03,0.05,-0.6,-2.09,2,4,2,7,1,4,0,0,0,0,"[{'turn': 'Black', 'fen': 'r2qr1k1/2pb1pb1/p2p1nnp/1p2p1p1/P3P3/2PPNNBP/1PB2PP1/R2QR1K1 b - - 4 17', 'move_number': 18, 'move': 'g8h7', 'prev_move': 'f1e3', 'time_diff': '0:01:28', 'exp_point_loss': 0.30600000000000005}, {'turn': 'Black', 'fen': 'r2qr3/2pb1pbk/p2p1nnp/1p2p1p1/P2PP3/2P1NNBP/1PB2PP1/R2QR1K1 b - - 0 18', 'move_number': 19, 'move': 'g6f4', 'prev_move': 'd3d4', 'time_diff': '0:00:44', 'exp_point_loss': 0.4325}, {'turn': 'White', 'fen': '4r1k1/2pb1p2/3p4/1p2P3/5bq1/2P2NB1/1P2RPP1/3Q2K1 w - - 1 28', 'move_number': 28, 'move': 'e5d6', 'prev_move': 'h6f4', 'time_diff': '0:01:31', 'exp_point_loss': 0.353}, {'turn': 'Black', 'fen': '6k1/3b1p2/3p4/1p6/6q1/2P2NP1/1P2QKP1/8 b - - 1 31', 'move_number': 32, 'move': 'g8f8', 'prev_move': 'g1f2', 'time_diff': '0:00:35', 'exp_point_loss': 0.273}, {'turn': 'White', 'fen': '5k2/3b1p2/3p4/1p2q3/3N3Q/2P3P1/1P3KP1/8 w - - 14 38', 'move_number': 38, 'move': 'h4h6', 'prev_move': 'e8d7', 'time_diff': '0:00:29', 'exp_point_loss': 0.4115}, {'turn': 'Black', 'fen': '8/4kp2/3pb3/1p3qQ1/1P6/2P2NP1/5KP1/8 b - - 4 44', 'move_number': 45, 'move': 'f5g5', 'prev_move': 'e3g5', 'time_diff': '0:00:30', 'exp_point_loss': 0.282}]",[]
136.3,164.2,1.15,0.64,22.53,9.03,Fabiano Caruana,Nodirbek Abdusattorov,Saint Louis Rapid and Blitz,"Saint Louis, United States",17.3,2750,2721,0.0,1.0,????.??.??,75,75,1.8,2.2,0.02,0.01,-1.15,0.36,1,0,2,1,0,1,0,0,0,0,"[{'turn': 'White', 'fen': '3r1rk1/2pn1ppp/1p1b4/p3p3/P1b1P3/2PNBP2/1P4PP/R2RN1K1 w - - 1 22', 'move_number': 22, 'move': 'd1d2', 'prev_move': 'a8d8', 'time_diff': '0:00:33', 'exp_point_loss': 0.394}, {'turn': 'Black', 'fen': '3r2k1/2p1bppp/1p6/p1n1p3/PPb1P3/2P1BP2/6PP/R1N1N1K1 b - - 2 26', 'move_number': 27, 'move': 'c5b3', 'prev_move': 'd2e3', 'time_diff': '0:00:40', 'exp_point_loss': 0.487}, {'turn': 'White', 'fen': '8/2p3R1/5p1p/5P1P/4k1P1/2r2p2/5K2/8 w - - 1 71', 'move_number': 71, 'move': 'g4g5', 'prev_move': 'd5e4', 'time_diff': '0:00:30', 'exp_point_loss': 0.5}]",[]
162.3,134.5,0.75,1.24,23.47,39.38,Quang Liem Le,Sam Shankland,Saint Louis Rapid and Blitz,"Saint Louis, United States",12.3,2655,2621,1.0,0.0,????.??.??,30,29,5.4,4.6,0.02,0.04,0.25,-1.24,1,0,1,1,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': 'r3k2r/pp1npp1p/2p3pB/2q5/P1b5/6P1/P3PPBP/R1Q2RK1 b kq - 0 16', 'move_number': 17, 'move': 'c4e2', 'prev_move': 'b3a4', 'time_diff': '0:01:05', 'exp_point_loss': 0.5045}, {'turn': 'White', 'fen': '1r2k2r/Q2npp1p/2p3pB/4q3/P7/6P1/P4PBP/R4bK1 w k - 0 20', 'move_number': 20, 'move': 'a1f1', 'prev_move': 'e2f1', 'time_diff': '0:00:33', 'exp_point_loss': 0.4805}, {'turn': 'Black', 'fen': '1r2k2r/Q2npp1p/2p3pB/4q3/P7/6P1/P4PBP/5RK1 b k - 0 20', 'move_number': 21, 'move': 'e5c5', 'prev_move': 'a1f1', 'time_diff': '0:00:45', 'exp_point_loss': 0.481}]",[]
140.5,168.4,0.92,0.41,23.71,13.96,Levon Aronian,Nodirbek Abdusattorov,Saint Louis Rapid and Blitz,"Saint Louis, United States",12.1,2732,2721,0.0,1.0,????.??.??,70,70,2.0,2.4,0.01,0.01,-0.92,0.59,1,3,0,2,0,0,0,0,0,0,[],[]
140.0,167.9,0.95,0.44,38.96,18.79,Sam Shankland,Wesley So,Saint Louis Rapid and Blitz,"Saint Louis, United States",13.5,2621,2704,0.0,1.0,????.??.??,28,28,5.0,6.0,0.03,0.02,-0.95,0.56,3,0,1,2,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'r4k1r/ppq1bp1p/2p2np1/R4p2/Q5P1/2N1R2P/1P1P1PB1/6K1 b - - 0 19', 'move_number': 20, 'move': 'b7b5', 'prev_move': 'g3g4', 'time_diff': '0:00:54', 'exp_point_loss': 0.45699999999999996}, {'turn': 'White', 'fen': 'r4k1r/p1q1bp1p/2p2np1/Rp3p2/Q5P1/2N1R2P/1P1P1PB1/6K1 w - - 0 20', 'move_number': 20, 'move': 'c3b5', 'prev_move': 'b7b5', 'time_diff': '0:01:07', 'exp_point_loss': 0.45699999999999996}]",[]
155.2,127.4,1.13,1.62,4.52,21.17,Wesley So,Nodirbek Abdusattorov,Saint Louis Rapid and Blitz,"Saint Louis, United States",14.3,2704,2721,1.0,0.0,????.??.??,60,59,2.6,2.2,0.02,0.03,-0.13,-1.62,0,0,2,0,0,3,0,0,0,0,"[{'turn': 'Black', 'fen': '3rqr1k/1pp2ppp/p3b1n1/7Q/4P3/2b2NBP/P1B2PP1/1RR3K1 b - - 3 21', 'move_number': 22, 'move': 'c3d2', 'prev_move': 'e1c1', 'time_diff': '0:00:57', 'exp_point_loss': 0.49499999999999994}, {'turn': 'White', 'fen': '4qr1k/1pp2ppp/p3b1n1/7Q/4P3/6BP/P1Br1PP1/1RR3K1 w - - 0 23', 'move_number': 23, 'move': 'h5c5', 'prev_move': 'd8d2', 'time_diff': '0:00:55', 'exp_point_loss': 0.494}, {'turn': 'Black', 'fen': '8/8/5PR1/4p3/6P1/4k3/r7/3K4 b - - 4 44', 'move_number': 45, 'move': 'e5e4', 'prev_move': 'e1d1', 'time_diff': '0:00:29', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '8/8/5PR1/8/4p1P1/4k3/r7/3K4 w - - 0 45', 'move_number': 45, 'move': 'g4g5', 'prev_move': 'e5e4', 'time_diff': '0:00:35', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '8/8/5PR1/6P1/4p3/3k4/r7/2K5 b - - 2 46', 'move_number': 47, 'move': 'e4e3', 'prev_move': 'd1c1', 'time_diff': '0:00:31', 'exp_point_loss': 0.5}]",[]
82.0,82.1,4.58,4.57,84.94,84.67,Sam Shankland,Fabiano Caruana,Saint Louis Rapid and Blitz,"Saint Louis, United States",19.5,2621,2750,0.5,0.5,????.??.??,64,64,1.3,1.3,0.07,0.07,-4.08,-4.07,2,0,6,1,0,6,0,0,0,0,"[{'turn': 'White', 'fen': '6k1/5p1p/pp4p1/2rp1q2/2nQ4/4PN2/PP3PPP/K1R5 w - - 0 29', 'move_number': 29, 'move': 'b2b4', 'prev_move': 'b7b6', 'time_diff': '0:00:49', 'exp_point_loss': 0.373}, {'turn': 'Black', 'fen': '2r3k1/5p1p/pp4p1/3p1q2/1PnQ4/4P3/P2N1PPP/K1R5 b - - 2 30', 'move_number': 31, 'move': 'f5f4', 'prev_move': 'f3d2', 'time_diff': '0:00:34', 'exp_point_loss': 1.0}, {'turn': 'White', 'fen': '2r3k1/5p1p/pp4p1/3p4/1PnQ1q2/4P3/P2N1PPP/K1R5 w - - 3 31', 'move_number': 31, 'move': 'f2f3', 'prev_move': 'f5f4', 'time_diff': '0:00:31', 'exp_point_loss': 0.9275}, {'turn': 'Black', 'fen': '2r3k1/5p1p/pp4p1/3p4/1PnQ1q2/4PP2/P2N2PP/K1R5 b - - 0 31', 'move_number': 32, 'move': 'f4f3', 'prev_move': 'f2f3', 'time_diff': '0:00:28', 'exp_point_loss': 0.9275}, {'turn': 'White', 'fen': '2r3k1/5p1p/pp4p1/3p4/1PnQ4/4Pq2/P2N2PP/K1R5 w - - 0 32', 'move_number': 32, 'move': 'd4d5', 'prev_move': 'f4f3', 'time_diff': '0:00:35', 'exp_point_loss': 1.0}, {'turn': 'Black', 'fen': '2r3k1/5p1p/pp4p1/3Q4/1Pn5/4Pq2/P2N2PP/K1R5 b - - 0 32', 'move_number': 33, 'move': 'f3f2', 'prev_move': 'd4d5', 'time_diff': '0:00:29', 'exp_point_loss': 1.0}, {'turn': 'White', 'fen': '2r3k1/5p1p/pp4p1/3Q4/1Pn5/4P3/P2N1qPP/K1R5 w - - 1 33', 'move_number': 33, 'move': 'd2c4', 'prev_move': 'f3f2', 'time_diff': '0:00:41', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '2r3k1/3Q1p1p/p5p1/1p6/1PN5/4P3/P4qPP/K1R5 b - - 1 34', 'move_number': 35, 'move': 'b5c4', 'prev_move': 'd5d7', 'time_diff': '0:00:35', 'exp_point_loss': 0.501}, {'turn': 'White', 'fen': '2r3k1/3Q1p1p/p5p1/8/1Pp5/4P3/P4qPP/K1R5 w - - 0 35', 'move_number': 35, 'move': 'd7d6', 'prev_move': 'b5c4', 'time_diff': '0:00:30', 'exp_point_loss': 1.0}, {'turn': 'Black', 'fen': '2r3k1/5p1p/p2Q2p1/8/1Pp5/4P3/P4qPP/K1R5 b - - 1 35', 'move_number': 36, 'move': 'c8e8', 'prev_move': 'd7d6', 'time_diff': '0:00:30', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '4r1k1/5p1p/6p1/8/1PQ5/4P3/P6q/K1R5 w - - 0 38', 'move_number': 38, 'move': 'b4b5', 'prev_move': 'g2h2', 'time_diff': '0:00:29', 'exp_point_loss': 0.4045000000000001}, {'turn': 'Black', 'fen': '4r1k1/5p1p/6p1/1P6/2Q5/4P3/P6q/K1R5 b - - 0 38', 'move_number': 39, 'move': 'e8e3', 'prev_move': 'b4b5', 'time_diff': '0:00:31', 'exp_point_loss': 0.4045000000000001}]",[]
148.2,120.5,1.5,2.0,18.4,26.57,Wesley So,Leinier Dominguez Perez,Saint Louis Rapid and Blitz,"Saint Louis, United States",24.1,2704,2705,1.0,0.0,????.??.??,58,58,2.6,2.1,0.03,0.03,-0.5,-2.0,3,4,0,5,0,3,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1q2rk1/p3p1b1/1p2Pnp1/2np1pNp/5B1Q/2N4P/PPP2PP1/R3R1K1 b - - 1 21', 'move_number': 22, 'move': 'c8c6', 'prev_move': 'c1f4', 'time_diff': '0:00:50', 'exp_point_loss': 0.23249999999999998}, {'turn': 'Black', 'fen': '3r1r2/p3p1bk/1pq1Pnp1/3pBp1p/5Q2/2N2P1P/PPP3P1/3RR1K1 b - - 0 26', 'move_number': 27, 'move': 'g7h6', 'prev_move': 'f2f3', 'time_diff': '0:00:56', 'exp_point_loss': 0.439}, {'turn': 'Black', 'fen': '4r3/4p1k1/1pq1Pnp1/pNrP1p1p/P2R3P/1P2QP2/3R2PK/8 b - - 0 55', 'move_number': 56, 'move': 'c5d5', 'prev_move': 'c4d5', 'time_diff': '0:00:29', 'exp_point_loss': 0.4945}]",[]
130.8,103.1,2.44,2.94,31.19,41.27,Levon Aronian,Fabiano Caruana,Saint Louis Rapid and Blitz,"Saint Louis, United States",14.1,2732,2750,1.0,0.0,????.??.??,101,100,1.3,1.0,0.02,0.03,-1.44,-2.94,0,0,5,2,0,5,0,0,0,0,"[{'turn': 'White', 'fen': '8/5p2/2p2k1P/1P2n3/8/4KP2/2B5/8 w - - 0 58', 'move_number': 58, 'move': 'b5c6', 'prev_move': 'c7c6', 'time_diff': '0:00:34', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '8/5p2/5k1P/5P2/3nB1K1/8/8/8 b - - 0 66', 'move_number': 67, 'move': 'd4b5', 'prev_move': 'f4f5', 'time_diff': '0:00:37', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '8/5p2/5k1P/1n3P2/4B1K1/8/8/8 w - - 1 67', 'move_number': 67, 'move': 'g4h5', 'prev_move': 'd4b5', 'time_diff': '0:00:27', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '8/5p2/3n1k1P/5P1K/8/3B4/8/8 b - - 4 68', 'move_number': 69, 'move': 'd6e8', 'prev_move': 'e4d3', 'time_diff': '0:00:32', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '4n3/5p2/5k1P/5P1K/8/3B4/8/8 w - - 5 69', 'move_number': 69, 'move': 'd3c4', 'prev_move': 'd6e8', 'time_diff': '0:00:31', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '8/5p2/3n1k1P/5P1K/8/3B4/8/8 b - - 8 70', 'move_number': 71, 'move': 'd6e8', 'prev_move': 'c4d3', 'time_diff': '0:00:28', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '4n3/5p2/5k1P/5P1K/8/3B4/8/8 w - - 9 71', 'move_number': 71, 'move': 'd3c2', 'prev_move': 'd6e8', 'time_diff': '0:00:30', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '8/5p2/3n1k1P/5P2/6K1/8/2B5/8 b - - 12 72', 'move_number': 73, 'move': 'd6e8', 'prev_move': 'h5g4', 'time_diff': '0:00:30', 'exp_point_loss': 0.499}, {'turn': 'White', 'fen': '8/1n3p2/5k1P/5P2/5K2/3B4/8/8 w - - 17 75', 'move_number': 75, 'move': 'h6h7', 'prev_move': 'd6b7', 'time_diff': '0:00:30', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '5n1k/4KP2/8/5B2/8/8/8/8 b - - 26 100', 'move_number': 101, 'move': 'f8g6', 'prev_move': 'e8e7', 'time_diff': '0:00:29', 'exp_point_loss': 0.5}]",[]
170.6,142.9,0.3,0.79,6.45,22.84,Leinier Dominguez Perez,Sam Shankland,Saint Louis Rapid and Blitz,"Saint Louis, United States",26.4,2705,2621,1.0,0.0,????.??.??,33,32,5.2,4.5,0.01,0.02,0.7,-0.79,0,0,1,2,0,1,0,0,0,0,"[{'turn': 'White', 'fen': 'r2q1rk1/5ppp/p2b1n2/3Pp3/Pp4P1/1N1Q4/1PP1B2P/2KR3R w - - 1 18', 'move_number': 18, 'move': 'g4g5', 'prev_move': 'e8g8', 'time_diff': '0:00:29', 'exp_point_loss': 0.396}, {'turn': 'Black', 'fen': 'r2q1rk1/5ppp/p2b1n2/3Pp1P1/Pp6/1N1Q4/1PP1B2P/2KR3R b - - 0 18', 'move_number': 19, 'move': 'f6d7', 'prev_move': 'g4g5', 'time_diff': '0:00:41', 'exp_point_loss': 0.4845}]",[]
