Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Quang Liem Le,150.3,1.0,11.62,18,11.0,154.6,0.72,2655,2776,959,9,9,8.1,15.63,0.81,18.93,-0.39,0.88,1.12,152.5,148.1,5.5,5.5,18.04,244.35,0.65,358.31
Wesley So,149.8,0.97,17.72,18,10.0,152.4,1.04,2704,2731,767,9,9,18.48,13.36,0.63,13.63,-0.42,1.13,0.81,146.9,152.8,5.0,5.0,17.5,178.57,0.4,185.71
Levon Aronian,149.0,1.1,15.84,18,11.5,153.2,0.92,2732,2788,838,9,9,13.49,18.68,1.07,10.86,-0.46,1.31,0.9,143.6,154.3,5.0,6.5,19.84,349.05,1.15,117.88
Maxime Vachier-Lagrave,148.1,1.07,14.22,18,10.0,152.0,0.8,2725,2729,852,9,9,11.8,20.46,1.03,40.41,-0.51,0.82,1.31,151.6,144.5,4.5,5.5,19.22,418.74,1.05,1632.69
Nodirbek Abdusattorov,144.8,1.33,23.74,18,11.5,142.2,1.4,2721,2789,1026,9,9,18.81,16.76,0.81,23.72,-0.69,1.36,1.29,144.7,145.0,6.0,5.5,23.86,280.88,0.66,562.63
Grigoriy Oparin,141.1,1.44,29.71,18,10.0,145.8,1.4,2634,2739,956,9,9,17.3,21.49,0.83,64.08,-0.89,1.46,1.43,139.8,142.4,4.5,5.5,25.99,461.89,0.69,4106.38
Leinier Dominguez Perez,139.6,1.33,15.78,18,6.5,138.6,1.14,2705,2593,885,9,9,23.71,21.31,0.94,27.7,-0.97,1.31,1.35,144.6,134.6,5.5,1.0,23.94,454.05,0.89,767.41
Gukesh D,138.9,1.45,34.79,18,8.0,138.5,1.5,2687,2655,1046,9,9,22.88,19.69,0.82,59.34,-1.0,1.36,1.54,141.7,136.2,4.5,3.5,26.09,387.52,0.68,3521.21
Sam Shankland,136.8,1.34,27.85,18,4.0,138.6,1.1,2621,2484,828,9,9,28.48,18.95,0.96,18.96,-1.12,1.63,1.05,131.4,142.2,2.0,2.0,24.11,358.96,0.91,359.56
Fabiano Caruana,131.0,1.85,20.85,18,7.5,131.3,1.66,2750,2629,1174,9,9,21.1,24.36,1.14,33.72,-1.43,1.6,2.11,134.2,127.8,3.0,4.5,33.31,593.47,1.31,1136.8
