,Mean,Median,Std Dev,Min,Max
Total Moves,9331.0,9331.0,0.0,9331.0,9331.0
Total Games,90.0,90.0,0.0,90.0,90.0
avg_gi,142.94,142.95,6.49,131.0,150.3
avg_missed_points,1.29,1.33,0.27,0.97,1.85
avg_missed_points_white,1.29,1.34,0.27,0.82,1.63
avg_missed_points_black,1.29,1.3,0.37,0.81,2.11
avg_gi_white,143.1,144.1,6.74,131.4,152.5
avg_gi_black,142.79,143.45,8.19,127.8,154.3
avg_acpl,21.21,19.28,7.59,11.62,34.79
Elo,2693.4,2704.5,43.44,2621.0,2750.0
TPR,2691.3,2730.0,99.54,2484.0,2789.0
gi_median,144.72,144.0,8.05,131.3,154.6
missed_points_median,1.17,1.12,0.31,0.72,1.66
