white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
155.7,174.4,0.1,0.09,5.76,5.44,Grigoriy Oparin,Maxime Vachier-Lagrave,Saint Louis Rapid and Blitz,"Saint Louis, United States",3.1,2634,2725,0.0,1.0,????.??.??,46,45,3.4,3.9,0.0,0.0,-0.1,0.91,0,0,0,0,0,0,0,1,0,0,[],"[{'turn': 'Black', 'fen': '2k4r/p1p1n3/1P6/3nR3/2NP2p1/P5P1/1B6/6K1 b - - 0 31', 'move_number': 32, 'move': 'a7b6', 'prev_move': 'c5b6', 'time_diff': '0:39:50', 'exp_point_loss': 0}]"
175.7,148.0,0.02,0.52,12.17,32.54,Fabiano Caruana,Sam Shankland,Saint Louis Rapid and Blitz,"Saint Louis, United States",5.2,2750,2621,1.0,0.0,????.??.??,36,35,4.9,4.2,0.0,0.01,0.98,-0.52,0,0,0,0,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '2r2rk1/1pq1bppp/p2p4/3Bn3/P2NPBb1/8/2P3PP/1R2QR1K b - - 0 19', 'move_number': 20, 'move': 'e5c6', 'prev_move': 'b3d5', 'time_diff': '0:00:58', 'exp_point_loss': 0.492}]",[]
145.2,173.2,0.66,0.16,19.12,11.15,Grigoriy Oparin,Fabiano Caruana,Saint Louis Rapid and Blitz,"Saint Louis, United States",7.3,2634,2750,0.0,1.0,????.??.??,67,67,2.2,2.6,0.01,0.0,-0.66,0.84,1,0,1,0,0,0,0,0,0,0,"[{'turn': 'White', 'fen': '2rr2k1/p2qb1pp/2n1pp2/3n4/P1Q1NB2/5NP1/4PPKP/RR6 w - - 4 21', 'move_number': 21, 'move': 'c4b3', 'prev_move': 'a8c8', 'time_diff': '0:00:47', 'exp_point_loss': 0.47450000000000003}]",[]
138.0,138.1,1.56,1.55,10.63,10.27,Leinier Dominguez Perez,Levon Aronian,Saint Louis Rapid and Blitz,"Saint Louis, United States",4.2,2705,2732,0.5,0.5,????.??.??,51,51,2.7,2.7,0.03,0.03,-1.06,-1.05,2,3,2,1,0,3,0,0,0,0,"[{'turn': 'Black', 'fen': 'r2qk2r/2Rb1ppp/pB2p3/3pPP2/3Q4/b1N5/P1P3PP/4K2R b Kkq - 0 20', 'move_number': 21, 'move': 'e8g8', 'prev_move': 'f4f5', 'time_diff': '0:02:54', 'exp_point_loss': 0.4895}, {'turn': 'White', 'fen': 'r2q1rk1/2Rb1p1p/pB2pp2/3pP3/3Q4/b1N5/P1P3PP/4K2R w K - 0 22', 'move_number': 22, 'move': 'e5f6', 'prev_move': 'g7f6', 'time_diff': '0:11:04', 'exp_point_loss': 0.4925}, {'turn': 'White', 'fen': '5qrk/2Bb1p1p/p3pP2/3p4/5Q2/b1N5/P1P3PP/5R1K w - - 1 27', 'move_number': 27, 'move': 'f1b1', 'prev_move': 'd8f8', 'time_diff': '0:01:06', 'exp_point_loss': 0.36450000000000005}, {'turn': 'Black', 'fen': '5qrk/2Bb1p1p/p3pP2/3p4/5Q2/b1N5/P1P3PP/1R5K b - - 2 27', 'move_number': 28, 'move': 'f8a8', 'prev_move': 'f1b1', 'time_diff': '0:02:07', 'exp_point_loss': 0.7040000000000001}, {'turn': 'Black', 'fen': 'q6k/3b1p1p/p2QpP2/3p4/8/2N5/P1P3PP/7K b - - 0 31', 'move_number': 32, 'move': 'd7b5', 'prev_move': 'f4d6', 'time_diff': '0:00:24', 'exp_point_loss': 0.388}]",[]
137.8,137.9,1.56,1.56,11.05,10.75,Maxime Vachier-Lagrave,Quang Liem Le,Saint Louis Rapid and Blitz,"Saint Louis, United States",4.4,2725,2655,0.5,0.5,????.??.??,61,61,2.3,2.3,0.03,0.03,-1.06,-1.06,1,1,2,5,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1b2rk1/pp3ppp/1qp5/3pP3/3Pn3/8/PP2BPPP/R1BQ1RK1 b - - 2 15', 'move_number': 16, 'move': 'h7h6', 'prev_move': 'f3e2', 'time_diff': '0:01:52', 'exp_point_loss': 0.2475}, {'turn': 'White', 'fen': 'r1b2rk1/pp3pp1/1qp4p/3pP1n1/3P4/5P2/PP2B1PP/R1BQ1RK1 w - - 1 17', 'move_number': 17, 'move': 'b2b3', 'prev_move': 'e4g5', 'time_diff': '0:00:21', 'exp_point_loss': 0.4035}, {'turn': 'Black', 'fen': '5nk1/pp1b2p1/1qp2r1p/3p4/3P4/1P3P2/P2Q1BPP/3BR1K1 b - - 0 24', 'move_number': 25, 'move': 'd7f5', 'prev_move': 'f1e1', 'time_diff': '0:00:21', 'exp_point_loss': 0.35050000000000003}, {'turn': 'White', 'fen': '4b1k1/1q4p1/2p1n2p/3pB3/BP1P3P/2Q2PP1/7K/8 w - - 1 41', 'move_number': 41, 'move': 'f3f4', 'prev_move': 'e7b7', 'time_diff': '0:01:16', 'exp_point_loss': 0.4295}]",[]
165.4,165.5,0.08,0.07,4.67,4.53,Quang Liem Le,Levon Aronian,Saint Louis Rapid and Blitz,"Saint Louis, United States",9.3,2655,2732,0.5,0.5,????.??.??,91,90,1.8,1.8,0.0,0.0,0.42,0.43,0,0,0,0,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '3r4/5pk1/6p1/2R3P1/6P1/2p1P3/2r2PK1/5R2 b - - 0 42', 'move_number': 43, 'move': 'd8d2', 'prev_move': 'g3g4', 'time_diff': '0:00:43', 'exp_point_loss': 0.497}]",[]
165.6,165.7,0.07,0.06,3.1,2.65,Wesley So,Fabiano Caruana,Saint Louis Rapid and Blitz,"Saint Louis, United States",4.1,2704,2750,0.5,0.5,????.??.??,40,40,4.1,4.1,0.0,0.0,0.43,0.44,0,0,0,0,0,0,0,0,0,0,[],[]
165.9,138.2,0.55,1.04,8.24,23.05,Levon Aronian,Gukesh D,Saint Louis Rapid and Blitz,"Saint Louis, United States",1.3,2732,2687,1.0,0.0,????.??.??,45,44,3.7,3.1,0.01,0.02,0.45,-1.04,2,0,1,2,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': '2kr1b1r/1pqn1p2/p3b3/3pP1pp/3N4/1QPB1N1P/PP3PP1/R3R1K1 b - - 1 16', 'move_number': 17, 'move': 'g5g4', 'prev_move': 'd2f3', 'time_diff': '0:01:12', 'exp_point_loss': 0.3075}, {'turn': 'White', 'fen': '8/k7/p3N3/3nP1Np/1b3P2/2r5/P3R1K1/8 w - - 1 35', 'move_number': 35, 'move': 'g2h2', 'prev_move': 'c8c3', 'time_diff': '0:03:26', 'exp_point_loss': 0.3305}, {'turn': 'Black', 'fen': '8/k7/p3NN2/3nP3/1b3P1p/5r2/P3R2K/8 b - - 3 37', 'move_number': 38, 'move': 'd5e3', 'prev_move': 'e4f6', 'time_diff': '0:00:57', 'exp_point_loss': 0.364}]",[]
165.2,165.3,0.09,0.08,3.65,3.36,Leinier Dominguez Perez,Quang Liem Le,Saint Louis Rapid and Blitz,"Saint Louis, United States",6.3,2705,2655,0.5,0.5,????.??.??,51,50,3.2,3.3,0.0,0.0,0.41,0.42,0,0,0,0,0,0,0,0,0,0,[],[]
164.8,164.9,0.11,0.1,1.53,1.35,Wesley So,Nodirbek Abdusattorov,Saint Louis Rapid and Blitz,"Saint Louis, United States",1.2,2704,2721,0.5,0.5,????.??.??,100,100,1.6,1.6,0.0,0.0,0.39,0.4,1,0,0,0,0,0,0,0,0,0,[],[]
