Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Fabiano Caruana,164.5,0.41,13.15,9,7.0,173.2,0.12,2750,2905,446,5,4,12.17,17.32,0.62,8.83,0.37,0.17,0.7,171.1,156.1,4.5,2.5,3.65,299.89,0.38,77.91
Levon Aronian,158.9,0.65,11.48,9,6.5,164.5,0.55,2732,2855,437,5,4,8.26,12.27,0.61,9.49,0.07,0.54,0.79,164.3,152.2,4.5,2.0,5.83,150.55,0.37,90.12
Gukesh D,156.9,0.59,-9.28,9,5.0,161.5,0.45,2687,2733,458,4,5,8.16,11.63,0.44,70.87,-0.04,0.65,0.55,157.2,156.7,2.5,2.5,5.32,135.19,0.19,5022.71
Wesley So,156.4,0.56,32.23,9,4.5,161.7,0.78,2704,2692,418,5,4,6.93,10.85,0.47,74.67,-0.06,0.58,0.55,158.1,154.4,3.0,1.5,5.07,117.72,0.22,5575.75
Nodirbek Abdusattorov,154.7,0.65,39.89,9,4.5,163.4,0.45,2721,2690,472,4,5,10.9,16.74,0.63,84.61,-0.15,0.56,0.72,158.7,151.6,2.5,2.0,5.86,280.37,0.4,7159.59
Leinier Dominguez Perez,154.5,0.66,71.74,9,4.5,155.3,0.57,2705,2692,369,5,4,10.63,12.1,0.57,181.83,-0.16,0.8,0.5,153.9,155.3,3.0,1.5,5.97,146.31,0.33,33062.71
Quang Liem Le,151.8,0.7,14.36,9,3.5,150.4,0.61,2655,2619,489,4,5,7.33,16.48,0.65,13.68,-0.31,0.59,0.78,153.5,150.5,1.5,2.0,6.27,271.58,0.43,187.01
Maxime Vachier-Lagrave,151.1,0.96,13.1,9,5.5,155.4,0.63,2725,2768,406,4,5,11.6,16.75,0.84,7.16,-0.35,1.12,0.83,146.0,155.2,2.0,3.5,8.62,280.61,0.71,51.2
Grigoriy Oparin,145.1,0.84,53.51,9,1.5,142.0,0.87,2634,2420,407,5,4,21.82,10.77,0.46,102.56,-0.67,0.6,1.14,152.0,136.4,1.5,0.0,7.56,116.0,0.21,10518.96
Sam Shankland,144.5,0.98,47.71,9,2.5,148.0,0.52,2621,2535,449,4,5,20.83,24.68,1.04,125.74,-0.7,1.06,0.92,144.9,144.2,1.5,1.0,8.83,608.96,1.09,15811.71
