white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
128.2,133.3,1.32,1.32,12.88,12.8,Paulius Pultinevicius,Bennet Biastoch,"Round 2: Pultinevicius, Paulius - Biastoch, Bennet",https://lichess.org/study/axoMMe2e/WEVj0MEd,2.10,2558,2234,0.5,0.5,2025.04.18,57,56,2.2,2.4,0.02,0.02,-1.59,-1.31,2,1,2,3,0,2,0,0,1,1,"[{'turn': 'Black', 'fen': '4k3/3n1p1p/1n3Br1/1p1p4/q7/1N4P1/5PBP/1Q3RK1 b - - 0 24', 'move_number': 25, 'move': 'd7f6', 'prev_move': 'a1f6', 'time_diff': '0:03:59', 'exp_point_loss': 0.2965}, {'turn': 'White', 'fen': '6k1/1N3p1p/qn3nr1/1p1p4/1Q6/6P1/5PBP/4R1K1 w - - 8 29', 'move_number': 29, 'move': 'b4e7', 'prev_move': 'f8g8', 'time_diff': '0:00:15', 'exp_point_loss': 0.4855}, {'turn': 'Black', 'fen': '3Q4/4Np1k/q2n2rp/1p6/4p3/6P1/5P1P/2R3K1 b - - 3 35', 'move_number': 36, 'move': 'g6g5', 'prev_move': 'c6e7', 'time_diff': '0:00:50', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '3Q4/4Np1k/q2n3p/1p4r1/4p3/6P1/5P1P/2R3K1 w - - 4 36', 'move_number': 36, 'move': 'c1c6', 'prev_move': 'g6g5', 'time_diff': '0:00:13', 'exp_point_loss': 0.5}]","[{'turn': 'Black', 'fen': '4k1r1/3nbp1p/1np5/1p1p4/q3P3/1N4P1/5PBP/B2Q1RK1 b - - 0 21', 'move_number': 22, 'move': 'g8g6', 'prev_move': 'e2e4', 'time_diff': '0:15:59', 'exp_point_loss': 0.13199999999999995}, {'turn': 'White', 'fen': '3N2k1/4Qp1p/q2n2r1/1p1p4/4n3/6P1/5PBP/2R3K1 w - - 14 32', 'move_number': 32, 'move': 'g2e4', 'prev_move': 'f6e4', 'time_diff': '0:20:39', 'exp_point_loss': 0}]"
159.0,158.3,0.09,0.09,9.64,9.54,Moritz Gentemann,Agoston Juhasz,"Round 6: Gentemann, Moritz - Juhasz, Agoston",https://lichess.org/study/CfUBGF4w/jU27bLez,6.38,2269,2402,0.5,0.5,2025.04.20,28,28,5.7,5.7,0.0,0.0,0.07,0.04,0,0,0,0,0,0,0,0,0,0,[],[]
161.5,157.6,0.0,0.0,0.0,0.0,Sven Charmeteau,Bennet Hagner,"Round 9: Charmeteau, Sven - Hagner, Bennet",https://lichess.org/study/bNkK3dP5/PyhYMpu8,9.6,2298,2430,1.0,0.0,2025.04.21,50,49,3.2,3.2,0.0,0.0,0.21,0.0,0,0,0,0,0,0,0,1,0,1,[],"[{'turn': 'Black', 'fen': 'r2qr1k1/1ppb1ppp/pbnp1n2/3Pp3/B3P3/2P1BN1P/PP3PP1/RN1QR1K1 b - - 0 11', 'move_number': 12, 'move': 'c6e7', 'prev_move': 'd4d5', 'time_diff': '0:39:14', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': 'r3r1k1/1p1qnpp1/p2p1n1p/1p1Pp3/P1P1P3/5N1P/1P1N1PP1/R2QR1K1 b - - 0 16', 'move_number': 17, 'move': 'e7g6', 'prev_move': 'c3c4', 'time_diff': '0:15:11', 'exp_point_loss': 0}]"
157.6,158.2,0.0,0.0,0.0,0.0,Michelle Trunz,Leonardo Costa,"Round 1: Trunz, Michelle - Costa, Leonardo",https://lichess.org/study/rvsXNHWt/M8bIJG81,1.18,2105,2510,0.0,1.0,2025.04.17,41,41,3.8,3.9,0.0,0.0,0.0,0.04,0,0,0,0,0,0,0,0,1,0,[],"[{'turn': 'White', 'fen': 'rnb2rk1/ppb2ppp/2p2q2/4p3/2N5/2P3P1/PBQ1PPBP/R4RK1 w - - 0 15', 'move_number': 15, 'move': 'b2a3', 'prev_move': 'e6e5', 'time_diff': '0:17:25', 'exp_point_loss': 0}]"
147.0,147.9,0.8,0.79,16.68,16.19,Milos Stankovic,Rob Schoorl,"Round 4: Stankovic, Milos - Schoorl, Rob",https://lichess.org/study/cB20PnrH/k2qZV13R,4.26,2439,2285,0.5,0.5,2025.04.19,37,37,4.0,4.0,0.02,0.02,-0.57,-0.52,2,0,1,2,0,1,0,0,0,0,"[{'turn': 'White', 'fen': '1kbr3r/2p1q1pp/1pp1n3/p3R3/P5Q1/2NP4/1PPN1RPP/6K1 w - - 1 19', 'move_number': 19, 'move': 'f2e2', 'prev_move': 'b7c8', 'time_diff': '0:02:18', 'exp_point_loss': 0.48450000000000004}, {'turn': 'Black', 'fen': '8/1kp3pp/1p6/2prNb2/P2n4/1P1PR2P/6P1/2N3K1 b - - 12 37', 'move_number': 38, 'move': 'd4c2', 'prev_move': 'e2e3', 'time_diff': '0:00:48', 'exp_point_loss': 0.5}]",[]
160.4,158.7,0.06,0.07,7.6,8.47,Francesco Bettalli,Jan Subelj,"Round 9: Bettalli, Francesco - Subelj, Jan",https://lichess.org/study/bNkK3dP5/99wL4XyF,9.6,2355,2528,0.5,0.5,2025.04.21,15,15,10.7,10.6,0.0,0.0,0.15,0.06,0,0,0,0,0,0,0,0,0,0,[],[]
159.4,158.6,0.13,0.12,5.78,5.37,Mohamed_Anees M,Floryan Eugene,"Round 4: Mohamed Anees M - Eugene, Floryan",https://lichess.org/study/cB20PnrH/WQl4Tgaz,4.2,2359,2476,0.5,0.5,2025.04.19,41,41,3.9,3.9,0.0,0.0,0.1,0.06,0,0,0,0,0,0,0,0,1,0,[],"[{'turn': 'White', 'fen': 'r2q1r2/1b3pkp/p2pp1p1/p5n1/1n1P4/4NN1P/1PP1BPP1/R2Q1RK1 w - - 6 19', 'move_number': 19, 'move': 'f3g5', 'prev_move': 'e4g5', 'time_diff': '0:15:47', 'exp_point_loss': 0}]"
158.2,157.6,0.0,0.0,0.0,0.0,Quentin Loiseau,Marcel Schroer,"Round 1: Loiseau, Quentin - Schroer, Marcel",https://lichess.org/study/rvsXNHWt/sa8BXK7I,1.18,2414,2086,1.0,0.0,2025.04.17,42,41,3.8,3.8,0.0,0.0,0.03,0.0,0,0,0,0,0,0,0,1,1,0,[],"[{'turn': 'Black', 'fen': 'rn1qk2r/pb2bppp/2p1pn2/1p6/2pPP3/1PN2N2/P3BPPP/1RBQ1RK1 b kq - 0 9', 'move_number': 10, 'move': 'c4b3', 'prev_move': 'b2b3', 'time_diff': '0:35:17', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '1r1q1rk1/1b2bpp1/p6p/1pPpP3/n4B1P/1Q1B1N2/5PP1/1R1R2K1 w - - 0 20', 'move_number': 20, 'move': 'h4h5', 'prev_move': 'b6a4', 'time_diff': '0:23:14', 'exp_point_loss': 0}]"
158.0,119.7,0.64,1.14,9.43,40.37,Collin Colbow,Nazar Sokhor,"Round 2: Colbow, Collin - Sokhor, Nazar",https://lichess.org/study/axoMMe2e/4iaOR8rz,2.15,2422,2196,1.0,0.0,2025.04.18,28,27,5.6,4.4,0.02,0.04,0.02,-2.04,1,1,1,2,0,2,0,0,1,0,"[{'turn': 'Black', 'fen': 'r3kbnr/p2q1ppp/np2p3/2ppP2P/3P4/2P2N2/PP3PP1/RNBQK2R b KQkq - 1 8', 'move_number': 9, 'move': 'c5d4', 'prev_move': 'g1f3', 'time_diff': '0:05:29', 'exp_point_loss': 0.266}, {'turn': 'White', 'fen': '3r1b1r/pk1q2pp/1pn1p2n/3pP2P/1P6/P4N1R/3BQPP1/RN3K2 w - - 1 18', 'move_number': 18, 'move': 'b4b5', 'prev_move': 'g8h6', 'time_diff': '0:00:49', 'exp_point_loss': 0.385}, {'turn': 'Black', 'fen': '3r1b1r/pk1q2pp/1pn1p2n/1P1pP2P/8/P4N1R/3BQPP1/RN3K2 b - - 0 18', 'move_number': 19, 'move': 'c6e7', 'prev_move': 'b4b5', 'time_diff': '0:01:10', 'exp_point_loss': 0.4235}]","[{'turn': 'White', 'fen': '3r1bnr/pk1q1ppp/1pn1p3/3pP2P/1P1P1B2/P4N1R/5PP1/RN1Q1K2 w - - 1 15', 'move_number': 15, 'move': 'f4d2', 'prev_move': 'c8b7', 'time_diff': '0:15:54', 'exp_point_loss': 0.009000000000000001}]"
120.3,158.4,1.26,0.76,20.23,8.15,Michael Fedorovsky,Valery Kazakouski,"Round 4: Fedorovsky, Michael - Kazakouski, Valery",https://lichess.org/study/cB20PnrH/nUEowPUF,4.7,2397,2563,0.0,1.0,2025.04.19,47,47,2.6,3.4,0.03,0.02,-2.01,0.04,3,0,2,1,1,1,0,0,1,0,"[{'turn': 'White', 'fen': 'r2r2k1/1pn1qppb/4p2p/2bnP3/p6N/P2P2PP/1BN1QPB1/2R2RK1 w - - 0 26', 'move_number': 26, 'move': 'g2e4', 'prev_move': 'b6d5', 'time_diff': '0:02:58', 'exp_point_loss': 0.34950000000000003}, {'turn': 'Black', 'fen': 'r2r2k1/1pn1qppb/4p2p/2bnP3/p3B2N/P2P2PP/1BN1QP2/2R2RK1 b - - 1 26', 'move_number': 27, 'move': 'h7e4', 'prev_move': 'g2e4', 'time_diff': '0:03:37', 'exp_point_loss': 0.32900000000000007}, {'turn': 'White', 'fen': 'r2r2k1/1pn2pp1/4p2p/2b1P3/p3PP1q/P6P/1BN1QP2/2R2RK1 w - - 0 29', 'move_number': 29, 'move': 'e2g4', 'prev_move': 'e7h4', 'time_diff': '0:00:34', 'exp_point_loss': 0.4525}]","[{'turn': 'White', 'fen': 'r3nrk1/1pqnbpp1/2p1p1bp/p2pP3/1P6/P2P1NPP/1BPNQPB1/R4RK1 w - - 1 16', 'move_number': 16, 'move': 'b2c3', 'prev_move': 'f6e8', 'time_diff': '0:15:41', 'exp_point_loss': 0}]"
