Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Jakub Kwiatkowski,163.5,0.0,0.0,1.0,1.0,163.5,0.0,2106,2703,52,0,1,0.0,0.0,0.0,0.0,0.32,,0.0,,163.5,0.0,1.0,0.0,0.0,0.0,0.0
Kai-Christian Bruns,162.9,0.0,0.0,1.0,0.5,162.9,0.0,2113,2644,25,0,1,0.0,0.0,0.0,0.0,0.29,,0.0,,162.9,0.0,0.5,0.0,0.0,0.0,0.0
Ivan Kochiev,161.3,0.0,0.0,1.0,1.0,161.3,0.0,2087,2609,65,1,0,0.0,0.0,0.0,0.0,0.2,0.0,,161.3,,1.0,0.0,0.0,0.0,0.0,0.0
Joachim Sieglen,160.5,0.0,0.0,1.0,0.5,160.5,0.0,2104,2508,36,0,1,0.0,0.0,0.0,0.0,0.16,,0.0,,160.5,0.0,0.5,0.0,0.0,0.0,0.0
Lukas Stoettner,160.2,0.06,5.12,1.0,0.5,160.2,0.06,2219,2508,26,0,1,5.12,0.0,0.0,0.0,0.14,,0.06,,160.2,0.0,0.5,0.06,0.0,0.0,0.0
Ravi_Krishna G,159.8,0.0,0.0,1.0,0.5,159.8,0.0,2100,2458,70,1,0,0.0,0.0,0.0,0.0,0.12,0.0,,159.8,,0.5,0.0,0.0,0.0,0.0,0.0
Aron Csontos,159.7,0.34,7.51,3.0,3.0,159.9,0.25,2262,2797,93,2,1,7.82,1.26,0.39,7.36,0.12,0.12,0.77,160.4,158.4,2.0,1.0,1.02,1.58,0.15,54.17
Juergen Laengl,159.6,0.0,0.0,1.0,0.5,159.6,0.0,2094,2434,47,1,0,0.0,0.0,0.0,0.0,0.11,0.0,,159.6,,0.5,0.0,0.0,0.0,0.0,0.0
Lorenz Beyer,159.6,0.0,0.0,1.0,0.5,159.6,0.0,2094,2435,36,0,1,0.0,0.0,0.0,0.0,0.11,,0.0,,159.6,0.0,0.5,0.0,0.0,0.0,0.0
Mateusz Bartel,159.5,0.15,6.58,9.0,7.5,159.1,0.12,2595,2647,317,5,4,6.93,1.37,0.28,3.69,0.11,0.17,0.12,159.9,159.0,5.0,2.5,1.34,1.89,0.08,13.61
Jan Helmer,159.3,0.05,3.44,1.0,0.5,159.3,0.05,2208,2419,48,1,0,3.44,0.0,0.0,0.0,0.09,0.05,,159.3,,0.5,0.0,0.05,0.0,0.0,0.0
Harshavardhan_G B,158.9,0.19,15.25,9.0,7.0,158.2,0.12,2431,2509,424,5,4,3.75,1.21,0.24,32.69,0.07,0.27,0.08,158.9,158.8,4.0,3.0,1.67,1.47,0.06,1068.86
Maria Malicka,158.8,0.04,4.36,1.0,0.5,158.8,0.04,2206,2354,22,0,1,4.36,0.0,0.0,0.0,0.07,,0.04,,158.8,0.0,0.5,0.04,0.0,0.0,0.0
Jan Murawski,158.6,0.1,12.25,1.0,0.5,158.6,0.1,2123,2354,12,1,0,12.25,0.0,0.0,0.0,0.06,0.1,,158.6,,0.5,0.0,0.1,0.0,0.0,0.0
Richard Bethke,158.4,0.24,-26.68,2.0,1.5,158.4,0.24,2396,2462,75,0,2,-26.68,0.35,0.2,47.03,0.04,,0.24,,158.4,0.0,1.5,0.48,0.12,0.04,2211.79
Eltaj Safarli,158.4,0.38,4.13,4.0,3.5,158.4,0.29,2617,2606,188,2,2,2.4,0.67,0.45,8.7,0.05,0.5,0.26,158.4,158.4,1.5,2.0,1.53,0.44,0.21,75.68
Christopher Noe,158.1,0.17,5.89,8.0,6.0,158.8,0.09,2508,2528,264,4,4,5.4,2.37,0.22,3.67,0.03,0.15,0.2,159.2,157.1,3.5,2.5,1.39,5.64,0.05,13.46
Aljoscha Feuerstack,157.9,0.0,0.0,1.0,0.5,157.9,0.0,2458,2100,69,0,1,0.0,0.0,0.0,0.0,0.02,,0.0,,157.9,0.0,0.5,0.0,0.0,0.0,0.0
Pier Luigi Basso,157.9,0.0,0.0,1.0,0.5,157.9,0.0,2508,2104,37,1,0,0.0,0.0,0.0,0.0,0.02,0.0,,157.9,,0.5,0.0,0.0,0.0,0.0,0.0
Jan Haugner,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2088,2231,32,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,157.6,,0.0,0.0,0.0,0.0,0.0,0.0
Mikk Kaarel Oim,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2110,2372,42,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,,157.6,0.0,0.0,0.0,0.0,0.0,0.0
Leonhard Knoblauch,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2110,2379,48,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,157.6,,0.0,0.0,0.0,0.0,0.0,0.0
Gundula Heinatz,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2098,2252,47,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,157.6,,0.0,0.0,0.0,0.0,0.0,0.0
Colin Federer,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2103,2309,42,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,,157.6,0.0,0.0,0.0,0.0,0.0,0.0
Gergely Mann,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2111,2397,29,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,,157.6,0.0,0.0,0.0,0.0,0.0,0.0
Max Bouaraba,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2107,2337,45,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,157.6,,0.0,0.0,0.0,0.0,0.0,0.0
Marc Nichols,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2101,2280,27,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,,157.6,0.0,0.0,0.0,0.0,0.0,0.0
Lloyd Shang Burkart,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2111,2404,46,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,157.6,,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Berkes,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2062,2160,73,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,157.6,,0.0,0.0,0.0,0.0,0.0,0.0
Yunqi Li,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2112,2404,27,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,,157.6,0.0,0.0,0.0,0.0,0.0,0.0
Alessandro D`angerio,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2106,2331,50,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,157.6,,0.0,0.0,0.0,0.0,0.0,0.0
Tetyana Kostak,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2089,2237,87,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,,157.6,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Heron,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2100,2275,33,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,,157.6,0.0,0.0,0.0,0.0,0.0,0.0
Sacha Strathmann,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2100,2262,21,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,,157.6,0.0,0.0,0.0,0.0,0.0,0.0
Stephan Feil,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2088,2232,27,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,,157.6,0.0,0.0,0.0,0.0,0.0,0.0
Flavio Rotunno,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2104,2317,36,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,157.6,,0.0,0.0,0.0,0.0,0.0,0.0
Florian Kull,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2115,2459,16,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,,157.6,0.0,0.0,0.0,0.0,0.0,0.0
Erik Eberhart,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2086,2225,51,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,,157.6,0.0,0.0,0.0,0.0,0.0,0.0
Hans Wagner,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2115,2458,40,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,157.6,,0.0,0.0,0.0,0.0,0.0,0.0
