,Mean,Median,Std Dev,Min,Max
Total Moves,51819.0,51819.0,0.0,51819.0,51819.0
Total Games,585.0,585.0,0.0,585.0,585.0
avg_gi,137.47,141.5,19.99,-7.1,163.5
avg_missed_points,0.8,0.77,0.62,0.0,5.43
avg_missed_points_white,0.8,0.68,0.69,0.0,5.43
avg_missed_points_black,0.82,0.77,0.6,-0.08,3.09
avg_gi_white,138.9,144.6,22.62,-7.1,162.8
avg_gi_black,137.85,140.2,19.23,53.7,163.5
avg_acpl,49.81,22.24,79.14,-26.68,555.53
Elo,2275.15,2263.0,142.89,1882.0,2692.0
TPR,2337.54,2326.0,144.52,1804.0,2835.0
gi_median,140.16,145.4,21.27,-7.1,163.5
missed_points_median,0.75,0.69,0.63,0.0,5.43
