white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
124.3,124.4,2.29,2.29,19.8,19.54,Viswanathan Anand,Garry Kasparov,Clutch Chess The Legends,https://lichess.org/broadcast/clutch-chess-the-legends/round-1-rapid/7KITultr/lkSPXLRT,1.1,2743,2812,0.5,0.5,2025.10.07,59,59,2.1,2.1,0.04,0.04,-1.79,-1.79,4,1,3,7,0,4,0,0,0,0,"[{'turn': 'Black', 'fen': '3r1rkb/pp2qp1p/n1bpp1p1/8/3P1PP1/P1NQ2B1/1PP4P/2KR1R1B b - - 0 14', 'move_number': 15, 'move': 'a6c7', 'prev_move': 'f3f4', 'time_diff': '0:03:00', 'exp_point_loss': 0.267}, {'turn': 'White', 'fen': '3r1rkb/ppn1q2p/2bpp1p1/5p2/3P1PPP/P1NQ2B1/1PP5/2KR1R1B w - - 0 16', 'move_number': 16, 'move': 'g4g5', 'prev_move': 'f7f5', 'time_diff': '0:01:16', 'exp_point_loss': 0.4575}, {'turn': 'Black', 'fen': '3r1rkb/ppn1q2p/2b1p3/3p1pPp/3P1P2/P1NQ1BB1/1PP5/2KR1R2 b - - 1 18', 'move_number': 19, 'move': 'c6e8', 'prev_move': 'h1f3', 'time_diff': '0:00:20', 'exp_point_loss': 0.4305}, {'turn': 'Black', 'fen': '4k3/1r5p/4p1b1/p2pPpP1/1p1QnP2/7R/1PP1q3/1K1RB3 b - - 5 41', 'move_number': 42, 'move': 'e2g4', 'prev_move': 'f2e1', 'time_diff': '0:00:53', 'exp_point_loss': 0.4335}, {'turn': 'White', 'fen': '4k3/1r5p/4p3/p3PpP1/1p1pnP1R/4B3/1PP1b3/1KR5 w - - 0 48', 'move_number': 48, 'move': 'c1e1', 'prev_move': 'd5d4', 'time_diff': '0:00:21', 'exp_point_loss': 0.4975}, {'turn': 'Black', 'fen': '4k3/1r5p/4p3/p3PpP1/1p1pnPbR/8/1PP5/1KB1R3 b - - 3 49', 'move_number': 50, 'move': 'e4g3', 'prev_move': 'e3c1', 'time_diff': '0:00:34', 'exp_point_loss': 0.4895}, {'turn': 'White', 'fen': '4k3/1r5p/4p3/p3PpP1/1p1p1P1R/5b2/1PP1n3/1KB4R w - - 8 52', 'move_number': 52, 'move': 'h1h3', 'prev_move': 'g4f3', 'time_diff': '0:00:29', 'exp_point_loss': 0.44}]",[]
149.0,149.1,0.96,0.96,12.62,12.54,Garry Kasparov,Viswanathan Anand,Clutch Chess The Legends,https://lichess.org/broadcast/clutch-chess-the-legends/round-2-rapid/EwYJf7t2/McazQ2BR,2.1,2812,2743,0.5,0.5,2025.10.07,29,28,5.1,5.3,0.03,0.03,-0.46,-0.46,1,1,1,4,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '4q3/ppk3Qp/2np2p1/2pB4/2P3b1/2BP2P1/PKP4P/8 b - - 1 22', 'move_number': 23, 'move': 'e8d7', 'prev_move': 'f6g7', 'time_diff': '0:00:44', 'exp_point_loss': 0.3415}, {'turn': 'White', 'fen': '8/ppkq2Qp/2np2p1/2pB4/2P3b1/2BP2P1/PKP4P/8 w - - 2 23', 'move_number': 23, 'move': 'g7h8', 'prev_move': 'e8d7', 'time_diff': '0:02:20', 'exp_point_loss': 0.35450000000000004}]",[]
125.0,152.9,1.76,1.25,259.96,238.94,Viswanathan Anand,Garry Kasparov,Clutch Chess The Legends,https://lichess.org/broadcast/clutch-chess-the-legends/round-3-blitz/MQ9DWQNd/FmGUtF42,3.1,2743,2812,0.0,1.0,2025.10.07,50,50,2.5,3.1,0.04,0.03,-1.76,-0.25,2,1,3,3,0,2,0,0,0,0,"[{'turn': 'White', 'fen': '3r1rkb/ppp2p1p/1qn1p1p1/4N3/5P2/2N3P1/PPPPQ2P/2KR1R2 w - - 4 14', 'move_number': 14, 'move': 'e2e4', 'prev_move': 'a8d8', 'time_diff': '0:00:31', 'exp_point_loss': 0.396}, {'turn': 'Black', 'fen': '6k1/pp4bp/2p1p1p1/4Pp2/3r4/2NP2P1/PPP4P/2K1R3 b - - 0 22', 'move_number': 23, 'move': 'g6g5', 'prev_move': 'd2d3', 'time_diff': '0:00:54', 'exp_point_loss': 0.38}, {'turn': 'White', 'fen': '6k1/pp4bp/2p1p3/4Ppp1/3r4/2NP2P1/PPP4P/2K1R3 w - - 0 23', 'move_number': 23, 'move': 'a2a3', 'prev_move': 'g6g5', 'time_diff': '0:00:41', 'exp_point_loss': 0.4}, {'turn': 'Black', 'fen': '6k1/pp4bp/2p1p3/4Ppp1/3r4/P1NP2P1/1PP4P/2K1R3 b - - 0 23', 'move_number': 24, 'move': 'g8f7', 'prev_move': 'a2a3', 'time_diff': '0:00:41', 'exp_point_loss': 0.48650000000000004}, {'turn': 'White', 'fen': '8/1p6/pR4r1/P1PpPk2/5P1p/5Kp1/7P/8 w - - 2 45', 'move_number': 45, 'move': 'b6g6', 'prev_move': 'g7g6', 'time_diff': '0:00:40', 'exp_point_loss': 0.5}]",[]
152.8,152.9,0.76,0.75,15.87,15.93,Garry Kasparov,Viswanathan Anand,Clutch Chess The Legends,https://lichess.org/broadcast/clutch-chess-the-legends/round-4-blitz/zOhF6sZi/qJMzzXxk,4.1,2812,2743,0.5,0.5,2025.10.07,45,44,3.4,3.5,0.02,0.02,-0.26,-0.25,1,2,0,1,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': '2kr4/p4p1p/3np1p1/1pp5/5PP1/2P3R1/PP2B2P/2K5 b - - 5 22', 'move_number': 23, 'move': 'f7f5', 'prev_move': 'g1g3', 'time_diff': '0:00:32', 'exp_point_loss': 0.262}, {'turn': 'Black', 'fen': '2kr4/p6p/3np1p1/1pp2p2/5PP1/2P4R/PP2B2P/2K5 b - - 1 23', 'move_number': 24, 'move': 'd8d7', 'prev_move': 'g3h3', 'time_diff': '0:00:31', 'exp_point_loss': 0.2300000000000001}]",[]
163.9,154.9,0.66,0.14,10.75,3.74,Garry Kasparov,Viswanathan Anand,Clutch Chess The Legends,https://lichess.org/broadcast/clutch-chess-the-legends/round-5-rapid/nRXNpN1c/pwiAgYHU,5.1,2812,2743,1.0,0.0,2025.10.07,32,31,5.1,5.0,0.02,0.0,0.34,-0.14,2,0,1,0,0,0,0,0,0,0,"[{'turn': 'White', 'fen': '2k5/p4q1p/1ppn1pb1/2Np2p1/3P1PP1/2P5/PP5P/2KBQ3 w - - 0 29', 'move_number': 29, 'move': 'f4f5', 'prev_move': 'b7b6', 'time_diff': '0:01:09', 'exp_point_loss': 0.3245}]",[]
148.1,148.4,1.01,0.99,12.2,11.38,Viswanathan Anand,Garry Kasparov,Clutch Chess The Legends,https://lichess.org/broadcast/clutch-chess-the-legends/round-6-rapid/JmWORYva/jqTnP63Y,6.1,2743,2812,0.5,0.5,2025.10.07,40,40,3.7,3.7,0.03,0.02,-0.51,-0.49,0,1,2,2,0,2,0,0,0,0,"[{'turn': 'White', 'fen': 'rk1rb1n1/1p1n3p/3b1qp1/p2p1p2/P2Pp1P1/2R1PPB1/1P1N3P/1BKR1N1Q w K - 2 13', 'move_number': 13, 'move': 'h1g2', 'prev_move': 'h8f6', 'time_diff': '0:02:46', 'exp_point_loss': 0.34299999999999997}, {'turn': 'Black', 'fen': 'rk1rb1n1/1p1n3p/3b1qp1/p2p1p2/P2Pp1P1/2R1PPB1/1P1N2QP/1BKR1N2 b K - 3 13', 'move_number': 14, 'move': 'g8e7', 'prev_move': 'h1g2', 'time_diff': '0:02:56', 'exp_point_loss': 0.49250000000000005}, {'turn': 'Black', 'fen': 'rk1r4/1p2n2p/1n1b1qp1/p2p4/b2PP1P1/2R3B1/1PBN2QP/2KR1N2 b K - 0 17', 'move_number': 18, 'move': 'f6e6', 'prev_move': 'e3e4', 'time_diff': '0:00:21', 'exp_point_loss': 0.26649999999999996}, {'turn': 'White', 'fen': 'rk1r4/1p2n2p/1n1bq1p1/p2p4/b2PP1P1/2R3B1/1PBN2QP/2KR1N2 w K - 1 18', 'move_number': 18, 'move': 'd1e1', 'prev_move': 'f6e6', 'time_diff': '0:01:09', 'exp_point_loss': 0.31700000000000006}]",[]
169.4,141.7,0.36,0.86,12.83,41.94,Garry Kasparov,Viswanathan Anand,Clutch Chess The Legends,https://lichess.org/broadcast/clutch-chess-the-legends/round-7-blitz/4wq3ugTI/Gj1s0b2k,7.1,2812,2743,1.0,0.0,2025.10.07,18,17,9.4,8.3,0.02,0.05,0.64,-0.86,1,1,0,1,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1krb2q/ppb2ppp/2n1p1n1/3p4/3P4/B2BPN2/PP1N1PPP/R1KR3Q b KQkq - 4 9', 'move_number': 10, 'move': 'c7d6', 'prev_move': 'b4a3', 'time_diff': '0:00:47', 'exp_point_loss': 0.483}]",[]
143.3,143.6,1.27,1.26,12.18,11.32,Viswanathan Anand,Garry Kasparov,Clutch Chess The Legends,https://lichess.org/broadcast/clutch-chess-the-legends/round-8-blitz/pJlo0nQH/2KJEnRX0,8.1,2743,2812,0.5,0.5,2025.10.07,38,38,3.8,3.8,0.03,0.03,-0.77,-0.76,3,4,0,6,1,2,0,0,0,0,"[{'turn': 'Black', 'fen': 'rbkr2q1/pp1n2pp/2pnp3/3pNp2/PP1P1P2/1RP1P1N1/3B2PP/2KR3Q b Kkq - 0 14', 'move_number': 15, 'move': 'd7e5', 'prev_move': 'b1b3', 'time_diff': '0:00:29', 'exp_point_loss': 0.2965}, {'turn': 'Black', 'fen': '2k3r1/4b2r/p1p1p1q1/Pp1pPpp1/1PnP3p/2PNP3/4QRPP/2B2R1K b - - 3 31', 'move_number': 32, 'move': 'c8d7', 'prev_move': 'f3f2', 'time_diff': '0:00:27', 'exp_point_loss': 0.25950000000000006}]",[]
163.4,163.5,0.18,0.18,5.9,5.68,Viswanathan Anand,Garry Kasparov,Clutch Chess The Legends,https://lichess.org/broadcast/clutch-chess-the-legends/round-9-rapid/5sPlZovR/0seXvssT,9.1,2743,2812,0.5,0.5,2025.10.07,61,60,2.7,2.7,0.0,0.0,0.32,0.32,0,0,0,0,0,0,0,0,0,0,[],[]
173.3,145.6,0.15,0.65,8.4,23.49,Garry Kasparov,Viswanathan Anand,Clutch Chess The Legends,https://lichess.org/broadcast/clutch-chess-the-legends/round-10-rapid/WvmP1G9q/BhxbSbtD,10.1,2812,2743,1.0,0.0,2025.10.07,40,39,4.3,3.7,0.0,0.02,0.85,-0.65,0,0,0,2,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '3r4/Q3Rpkp/2bq2p1/1p6/3p4/PP1B2P1/1KP4P/8 b - - 4 28', 'move_number': 29, 'move': 'd8d7', 'prev_move': 'e4e7', 'time_diff': '0:00:26', 'exp_point_loss': 0.4685}]",[]
