white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
165.9,166.0,0.05,0.04,3.79,3.38,Diego Macias Pino,Ilan Schnaider,"Round 1: Macias Pino, Diego - Schnaider, Ilan",https://lichess.org/broadcast/leyendas--prodigios-2025-legends-and-prodigies/round-1/qOQevFA9/ysafKQH0,1.1,2503,2409,0.5,0.5,2025.09.14,33,32,5.0,5.2,0.0,0.0,0.45,0.46,0,0,0,0,0,0,0,1,0,2,[],"[{'turn': 'Black', 'fen': 'rnbq1rk1/pp2bppp/4p3/2p5/2BPP3/2P2N2/P4PPP/1RBQK2R b K - 5 9', 'move_number': 10, 'move': 'c5d4', 'prev_move': 'f1c4', 'time_diff': '0:18:00', 'exp_point_loss': 0.009000000000000008}, {'turn': 'Black', 'fen': 'rnbq1rk1/4bppp/p3p3/1p6/3PP3/3B1N2/P4PPP/1RBQ1RK1 b - - 1 12', 'move_number': 13, 'move': 'b8c6', 'prev_move': 'c4d3', 'time_diff': '0:15:56', 'exp_point_loss': 0.0015000000000000013}, {'turn': 'Black', 'fen': '2r2bk1/1b4pp/R7/1p1p2B1/1P6/5N2/5PPP/1R4K1 b - - 0 30', 'move_number': 31, 'move': 'b7a6', 'prev_move': 'e6a6', 'time_diff': '0:40:00', 'exp_point_loss': 0}]"
140.2,168.1,0.94,0.43,23.8,10.96,Jose Fernando Cuenca Jimenez,Faustino Oro,"Round 1: Cuenca Jimenez, Jose Fernando - Oro, Faustino",https://lichess.org/broadcast/leyendas--prodigios-2025-legends-and-prodigies/round-1/qOQevFA9/TJWnYDQC,1.2,2475,2464,0.0,1.0,2025.09.17,54,54,2.6,3.1,0.02,0.01,-0.94,0.57,0,4,0,0,1,1,0,0,1,1,"[{'turn': 'Black', 'fen': '3r4/pbn1rk2/2p1pp2/1pP3pp/3PR2P/3N4/PP3PP1/4RBK1 b - - 0 29', 'move_number': 30, 'move': 'f6f5', 'prev_move': 'h2h4', 'time_diff': '0:00:49', 'exp_point_loss': 0.344}]","[{'turn': 'White', 'fen': 'r1br4/pp1nkppp/2p1p3/8/2PP4/5N2/PP2BPPP/R2R2K1 w - - 5 15', 'move_number': 15, 'move': 'a1c1', 'prev_move': 'f6d7', 'time_diff': '0:17:50', 'exp_point_loss': 0.0020000000000000018}, {'turn': 'Black', 'fen': 'r1br4/pp1nkppp/2p1p3/8/2PP4/5N2/PP2BPPP/2RR2K1 b - - 6 15', 'move_number': 16, 'move': 'b7b6', 'prev_move': 'a1c1', 'time_diff': '0:16:24', 'exp_point_loss': 0}]"
146.6,118.9,1.59,2.08,17.54,35.12,David Larino Nieto,Omar Almeida Quintana,"Round 1: Larino Nieto, David - Almeida Quintana, Omar",https://lichess.org/broadcast/leyendas--prodigios-2025-legends-and-prodigies/round-1/qOQevFA9/iJo40rWo,1.3,2451,2494,1.0,0.0,2025.09.17,57,56,2.6,2.1,0.03,0.04,-0.59,-2.08,0,2,3,0,0,5,0,0,1,1,"[{'turn': 'Black', 'fen': 'r2qk2r/1bpnppb1/p2p1np1/1p5p/3PP2P/2N1BP1N/PPP3P1/2KRQB1R b kq - 6 10', 'move_number': 11, 'move': 'e7e5', 'prev_move': 'd2e1', 'time_diff': '0:20:32', 'exp_point_loss': 0.231}, {'turn': 'Black', 'fen': 'r2qk2r/1bpn1pb1/p2p1np1/1p2P2p/4P2P/2N1BP1N/PPP3P1/2KRQB1R b kq - 0 11', 'move_number': 12, 'move': 'd6e5', 'prev_move': 'd4e5', 'time_diff': '0:06:33', 'exp_point_loss': 0.4704999999999999}, {'turn': 'White', 'fen': 'r2qk2r/1bpn1pb1/p4np1/1p2p2p/4P2P/2N1BP1N/PPP3P1/2KRQB1R w kq - 0 12', 'move_number': 12, 'move': 'e3g5', 'prev_move': 'd6e5', 'time_diff': '0:00:50', 'exp_point_loss': 0.403}, {'turn': 'Black', 'fen': 'r3k2r/2pnqpb1/p4np1/1p1Pp1Bp/7P/5P1N/PPP3P1/2KRQB1R b kq - 0 14', 'move_number': 15, 'move': 'g7h6', 'prev_move': 'e4d5', 'time_diff': '0:04:04', 'exp_point_loss': 0.4075}, {'turn': 'White', 'fen': 'r3k2r/2pnqp2/p4npb/1p1Pp1Bp/7P/5P1N/PPP3P1/2KRQB1R w kq - 1 15', 'move_number': 15, 'move': 'e1e3', 'prev_move': 'g7h6', 'time_diff': '0:10:15', 'exp_point_loss': 0.302}, {'turn': 'Black', 'fen': 'r3k2r/2pnqp2/p4npb/1p1Pp1Bp/7P/4QP1N/PPP3P1/2KR1B1R b kq - 2 15', 'move_number': 16, 'move': 'h6g5', 'prev_move': 'e1e3', 'time_diff': '0:00:07', 'exp_point_loss': 0.25}, {'turn': 'White', 'fen': 'r3k2r/2pnqp1n/p5p1/1p1Pp1Pp/8/4QP1N/PPP3P1/2KR1B1R w kq - 1 17', 'move_number': 17, 'move': 'f3f4', 'prev_move': 'f6h7', 'time_diff': '0:00:09', 'exp_point_loss': 0.40499999999999997}, {'turn': 'Black', 'fen': '6k1/1BR2p2/6p1/p3r1n1/1n3NP1/1PP5/1K6/8 b - - 1 37', 'move_number': 38, 'move': 'e5b5', 'prev_move': 'f3b7', 'time_diff': '0:01:10', 'exp_point_loss': 0.486}]","[{'turn': 'White', 'fen': 'r2qk2r/1bpnppb1/p2p1np1/1p5p/3PP2P/2N1BP1N/PPPQ2P1/2KR1B1R w kq - 5 10', 'move_number': 10, 'move': 'd2e1', 'prev_move': 'b8d7', 'time_diff': '0:15:44', 'exp_point_loss': 0.1965}, {'turn': 'Black', 'fen': 'r2qk2r/1bpnppb1/p2p1np1/1p5p/3PP2P/2N1BP1N/PPP3P1/2KRQB1R b kq - 6 10', 'move_number': 11, 'move': 'e7e5', 'prev_move': 'd2e1', 'time_diff': '0:20:32', 'exp_point_loss': 0.231}]"
175.3,147.6,0.04,0.54,3.31,14.94,Julio E Granda Zuniga,Pedro Ramon Martinez Reyes,"Round 1: Granda Zuniga, Julio E - Martinez Reyes, Pedro Ramon",https://lichess.org/broadcast/leyendas--prodigios-2025-legends-and-prodigies/round-1/qOQevFA9/MBmp1GzH,1.4,2628,2376,1.0,0.0,2025.09.17,32,31,5.5,4.8,0.0,0.02,0.96,-0.54,0,0,0,0,0,1,0,0,1,1,"[{'turn': 'Black', 'fen': '4r1k1/4qppb/1p1R3p/p1p1b3/P1N5/4Q1P1/5PBP/1R4K1 b - - 0 28', 'move_number': 29, 'move': 'e5d6', 'prev_move': 'e1b1', 'time_diff': '0:01:51', 'exp_point_loss': 0.5025}]","[{'turn': 'White', 'fen': 'rnbqkb1r/pp2ppp1/2p2n1p/3p4/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq - 0 5', 'move_number': 5, 'move': 'b2b3', 'prev_move': 'h7h6', 'time_diff': '0:21:23', 'exp_point_loss': 0.006000000000000005}, {'turn': 'Black', 'fen': 'r4rk1/1p2bppb/1qn2n1p/p1ppN3/4P3/PPBP2P1/3N1PBP/RQ3RK1 b - - 2 15', 'move_number': 16, 'move': 'c6e5', 'prev_move': 'f3e5', 'time_diff': '0:23:37', 'exp_point_loss': 0}]"
137.6,165.5,1.08,0.57,34.61,18.0,Miaoyi Lu,Alan Pichot,"Round 1: Lu, Miaoyi - Pichot, Alan",https://lichess.org/broadcast/leyendas--prodigios-2025-legends-and-prodigies/round-1/qOQevFA9/AzANaHUM,1.5,2449,2588,0.0,1.0,2025.09.17,33,33,4.2,5.0,0.03,0.02,-1.08,0.43,1,0,2,1,0,1,1,1,0,0,"[{'turn': 'White', 'fen': 'krbb1r2/p7/2p5/n2np3/QP1qN2P/3P4/P1PB1PP1/RN3RK1 w - - 3 22', 'move_number': 22, 'move': 'c2c3', 'prev_move': 'b7a8', 'time_diff': '0:05:51', 'exp_point_loss': 0.498}, {'turn': 'Black', 'fen': 'krbb1r2/p7/2p5/P2np3/Q3N2P/2Pq4/P2B1PP1/RN3RK1 b - - 0 23', 'move_number': 24, 'move': 'd8h4', 'prev_move': 'b4a5', 'time_diff': '0:13:45', 'exp_point_loss': 0.43299999999999994}, {'turn': 'White', 'fen': 'k1b2r2/p7/2p5/PrNnp3/7b/2P5/P2B1PP1/RN3RK1 w - - 0 26', 'move_number': 26, 'move': 'c5b3', 'prev_move': 'b8b5', 'time_diff': '0:14:55', 'exp_point_loss': 0.484}]","[{'turn': 'White', 'fen': '1rbb1r2/pk6/1qp5/n2np1N1/Q6P/3P4/PPPB1PP1/RN3RK1 w - - 9 20', 'move_number': 20, 'move': 'b2b4', 'prev_move': 'e7d8', 'time_diff': '0:37:59', 'exp_point_loss': 0.004500000000000004}, {'turn': 'Black', 'fen': '1rbb1r2/pk6/2p5/n2np3/QP1qN2P/3P4/P1PB1PP1/RN3RK1 b - - 2 21', 'move_number': 22, 'move': 'b7a8', 'prev_move': 'g5e4', 'time_diff': '0:32:13', 'exp_point_loss': 0}]"
174.3,146.6,0.1,0.59,5.96,20.41,Pedro Ramon Martinez Reyes,Ilan Schnaider,"Round 2: Martinez Reyes, Pedro Ramon - Schnaider, Ilan",https://lichess.org/broadcast/leyendas--prodigios-2025-legends-and-prodigies/round-2/RgP8Ohrd/T55RerS3,2.1,2376,2409,1.0,0.0,2025.09.14,47,46,3.7,3.2,0.0,0.01,0.9,-0.59,1,0,0,0,0,1,0,1,0,1,"[{'turn': 'Black', 'fen': '1rr3k1/3n1p2/2pqb1pp/p2p3n/Pp1P4/1P1BPN1P/R3NPP1/2RQ2K1 b - - 3 21', 'move_number': 22, 'move': 'b8b6', 'prev_move': 'a1a2', 'time_diff': '0:01:13', 'exp_point_loss': 0.434}]","[{'turn': 'Black', 'fen': 'r3r1k1/1p1n1pp1/2pqbn1p/p2p4/3P4/P1NBPN1P/1PQ2PP1/RR4K1 b - - 0 15', 'move_number': 16, 'move': 'e8c8', 'prev_move': 'a2a3', 'time_diff': '0:16:10', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '2r3k1/1q1n1p2/1rp1Nn1p/R2p2p1/Pp1P4/1P1BPN1P/5PP1/2RQ2K1 b - - 0 30', 'move_number': 31, 'move': 'f7e6', 'prev_move': 'f4e6', 'time_diff': '0:40:00', 'exp_point_loss': 0}]"
143.1,115.4,1.78,2.27,18.87,37.52,Faustino Oro,David Larino Nieto,"Round 2: Oro, Faustino - Larino Nieto, David",https://lichess.org/broadcast/leyendas--prodigios-2025-legends-and-prodigies/round-2/RgP8Ohrd/yCPWrSsq,2.2,2464,2451,1.0,0.0,2025.09.18,53,52,2.7,2.2,0.03,0.04,-0.78,-2.27,2,3,2,3,0,5,1,0,1,1,"[{'turn': 'Black', 'fen': '2kr1b1r/ppp2p2/2nq1pb1/4p3/3PN2p/1QP1BB2/PP3PPP/R4RK1 b - - 1 14', 'move_number': 15, 'move': 'd6e6', 'prev_move': 'g3e4', 'time_diff': '0:00:29', 'exp_point_loss': 0.231}, {'turn': 'White', 'fen': '2kr3r/ppp2p2/4qpb1/n1bPp3/7p/1QP1BB2/PP3PPP/R4RK1 w - - 1 17', 'move_number': 17, 'move': 'b3a4', 'prev_move': 'c6a5', 'time_diff': '0:01:25', 'exp_point_loss': 0.48649999999999993}, {'turn': 'Black', 'fen': '2kr3r/ppp2p2/4qpb1/n1bPp3/Q6p/2P1BB2/PP3PPP/R4RK1 b - - 2 17', 'move_number': 18, 'move': 'd8d5', 'prev_move': 'b3a4', 'time_diff': '0:05:52', 'exp_point_loss': 0.4019999999999999}, {'turn': 'Black', 'fen': '2k3r1/ppp2p2/8/4pp2/8/2Pb1K2/P4P1P/R2R4 b - - 2 29', 'move_number': 30, 'move': 'e5e4', 'prev_move': 'g2f3', 'time_diff': '0:00:22', 'exp_point_loss': 0.4565}, {'turn': 'White', 'fen': '2k4r/ppp2p2/8/5p2/4p3/2PbK3/P4P1P/R2R4 w - - 2 31', 'move_number': 31, 'move': 'd1h1', 'prev_move': 'g8h8', 'time_diff': '0:01:26', 'exp_point_loss': 0.4414999999999999}, {'turn': 'Black', 'fen': '2k5/ppp2p2/8/4K3/4pp1P/2Pb4/P4r2/3R3R b - - 1 35', 'move_number': 36, 'move': 'f7f6', 'prev_move': 'a1d1', 'time_diff': '0:03:08', 'exp_point_loss': 0.492}, {'turn': 'Black', 'fen': '2k5/ppp5/5K2/8/4pp1P/2Pb4/P4r2/3R3R b - - 0 36', 'move_number': 37, 'move': 'f4f3', 'prev_move': 'e5f6', 'time_diff': '0:02:22', 'exp_point_loss': 0.5095}]","[{'turn': 'Black', 'fen': '2kr1b1r/ppp2p1p/2nq1p2/4pb2/3P4/2P1BB2/PP2NPPP/R2Q1RK1 b - - 0 11', 'move_number': 12, 'move': 'h7h5', 'prev_move': 'c2c3', 'time_diff': '0:17:58', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '2kr1b1r/ppp2p2/2nq1pb1/4p3/3P3p/1QP1BBN1/PP3PPP/R4RK1 w - - 0 14', 'move_number': 14, 'move': 'g3e4', 'prev_move': 'h5h4', 'time_diff': '0:22:59', 'exp_point_loss': 0.019500000000000017}, {'turn': 'White', 'fen': '2k5/ppp5/5K2/7P/8/2P1Rp1R/P7/4qr2 w - - 0 41', 'move_number': 41, 'move': 'e3e1', 'prev_move': 'e2e1q', 'time_diff': '0:40:00', 'exp_point_loss': 0}]"
164.4,164.5,0.13,0.13,5.79,5.3,Julio E Granda Zuniga,Jose Fernando Cuenca Jimenez,"Round 2: Granda Zuniga, Julio E - Cuenca Jimenez, Jose Fernando",https://lichess.org/broadcast/leyendas--prodigios-2025-legends-and-prodigies/round-2/RgP8Ohrd/owKKQM8W,2.3,2628,2475,0.5,0.5,2025.09.18,33,33,5.0,5.0,0.0,0.0,0.37,0.37,0,1,0,1,0,0,0,0,0,1,[],"[{'turn': 'Black', 'fen': 'r1bq1rk1/pp5p/3p2pb/3Pp2n/4N3/5PP1/PP2BB1P/R2Q1RK1 b - - 0 17', 'move_number': 18, 'move': 'h5f6', 'prev_move': 'c3e4', 'time_diff': '0:21:41', 'exp_point_loss': 0}]"
175.8,148.1,0.02,0.51,8.56,20.89,Alan Pichot,Diego Macias Pino,"Round 2: Pichot, Alan - Macias Pino, Diego",https://lichess.org/broadcast/leyendas--prodigios-2025-legends-and-prodigies/round-2/RgP8Ohrd/iqomwabK,2.4,2588,2503,1.0,0.0,2025.09.18,45,44,3.9,3.4,0.0,0.01,0.98,-0.51,0,0,0,1,0,1,0,0,1,0,"[{'turn': 'Black', 'fen': 'r3rbk1/1b3p2/p1n2qp1/1pp1p2p/3NP3/2PP1Q1P/PPB2PPN/R3R1K1 b - - 0 21', 'move_number': 22, 'move': 'c6d4', 'prev_move': 'f5d4', 'time_diff': '0:07:39', 'exp_point_loss': 0.3895}]","[{'turn': 'White', 'fen': 'r2qrbk1/1b3pp1/p1n2n2/1pp1pN1p/3pP2B/2PP3P/PPB2PPN/R2QR1K1 w - - 0 19', 'move_number': 19, 'move': 'd1f3', 'prev_move': 'h6h5', 'time_diff': '0:16:33', 'exp_point_loss': 0}]"
164.8,165.0,0.11,0.1,5.42,4.64,Omar Almeida Quintana,Miaoyi Lu,"Round 2: Almeida Quintana, Omar - Lu, Miaoyi",https://lichess.org/broadcast/leyendas--prodigios-2025-legends-and-prodigies/round-2/RgP8Ohrd/Jw2kT2m5,2.5,2494,2449,0.5,0.5,2025.09.18,45,44,3.7,3.8,0.0,0.0,0.39,0.4,0,0,0,0,0,0,0,0,1,2,[],"[{'turn': 'Black', 'fen': 'r4rk1/pbpnqppp/1p1bpn2/3pN3/2PP4/1P1BP3/PB1N1PPP/R2Q1RK1 b - - 8 10', 'move_number': 11, 'move': 'f8d8', 'prev_move': 'f3e5', 'time_diff': '0:17:35', 'exp_point_loss': 0.007499999999999951}, {'turn': 'White', 'fen': 'r2r2k1/pbpnqppp/1p1bpn2/3pN3/2PP4/1P1BP3/PB1N1PPP/R2Q1RK1 w - - 9 11', 'move_number': 11, 'move': 'd1c2', 'prev_move': 'f8d8', 'time_diff': '0:19:29', 'exp_point_loss': 0.006000000000000005}, {'turn': 'Black', 'fen': 'r2r2k1/pbpnqppp/1p1bpn2/3pN3/2PP4/1P1BP3/PBQN1PPP/R4RK1 b - - 10 11', 'move_number': 12, 'move': 'h7h6', 'prev_move': 'd1c2', 'time_diff': '0:17:35', 'exp_point_loss': 0}]"
