Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Diego Macias Pino,156.4,0.56,40.77,8,4.0,160.6,0.48,2503,2486,357,5,3,15.84,14.96,0.56,66.73,-0.06,0.45,0.75,160.4,149.9,3.0,1.0,4.49,223.66,0.32,4453.54
Julio E Granda Zuniga,155.9,0.76,-1.18,9,6.0,163.2,0.7,2628,2588,372,5,4,8.56,19.92,0.74,49.07,-0.09,0.47,1.11,165.5,143.9,4.5,1.5,6.8,396.95,0.54,2407.59
Jose Fernando Cuenca Jimenez,155.1,0.69,14.95,9,5.0,163.4,0.45,2475,2523,418,5,4,16.31,18.95,1.05,9.14,-0.13,0.51,0.92,157.5,152.1,2.5,2.5,6.21,359.21,1.1,83.62
Alan Pichot,154.7,0.82,20.11,9,6.0,158.6,0.57,2588,2593,321,4,5,17.5,18.82,0.68,12.59,-0.16,0.86,0.79,155.6,154.0,3.0,3.0,7.41,354.03,0.47,158.41
Faustino Oro,153.7,1.04,13.91,9,7.5,154.7,1.15,2464,2765,483,4,5,12.87,11.99,0.61,7.54,-0.21,1.3,0.84,149.6,156.9,3.5,4.0,9.39,143.77,0.37,56.79
Ilan Schnaider,152.9,0.69,-3.1,8,3.5,152.3,0.53,2409,2454,407,3,5,8.98,13.69,0.57,44.11,-0.25,0.99,0.51,148.4,155.6,1.5,2.0,5.51,187.38,0.32,1945.73
Omar Almeida Quintana,147.9,0.8,16.73,9,2.5,157.9,0.48,2494,2317,320,4,5,8.12,20.6,0.86,14.25,-0.52,0.16,1.31,163.9,135.1,2.0,0.5,7.18,424.54,0.75,202.93
Pedro Ramon Martinez Reyes,146.1,0.93,43.06,8,2.5,146.6,0.94,2376,2365,436,4,4,18.08,15.76,0.56,74.53,-0.62,0.97,0.89,148.9,143.4,2.0,0.5,7.44,248.26,0.31,5555.39
David Larino Nieto,143.0,1.29,22.33,9,4.5,146.6,1.32,2451,2487,468,5,4,19.0,13.17,0.6,10.55,-0.79,1.2,1.4,148.3,136.3,3.5,1.0,11.59,173.43,0.35,111.21
Miaoyi Lu,129.9,1.57,32.29,6,0.5,133.3,1.31,2449,2100,280,3,3,31.47,27.48,1.36,18.08,-1.49,2.16,0.99,117.6,142.3,0.0,0.5,9.44,755.41,1.85,326.85
