white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
160.0,131.0,0.87,1.36,11.52,22.85,Erigaisi Arjun,Gukesh D,Norway Chess 2025,"Stavanger, Norway",3.1,2782,2787,1.0,0.0,????.??.??,62,61,2.6,2.1,0.01,0.02,0.13,-1.43,0,0,2,0,0,3,0,0,3,2,"[{'turn': 'Black', 'fen': '1rb5/3n1pkp/2B1pp2/1p6/2p2PP1/2P1q1N1/4P2P/3Q1R1K b - - 2 26', 'move_number': 27, 'move': 'b8b6', 'prev_move': 'g2c6', 'time_diff': '0:03:24', 'exp_point_loss': 0.4925}, {'turn': 'White', 'fen': '5qk1/3Q3p/4p3/1p1b1p1N/5PP1/2P5/7P/6K1 w - - 2 40', 'move_number': 40, 'move': 'g4f5', 'prev_move': 'e4d5', 'time_diff': '0:04:06', 'exp_point_loss': 0.4945}, {'turn': 'Black', 'fen': '8/4k2p/8/5P2/1pbP1P2/6N1/3K3P/8 b - - 5 48', 'move_number': 49, 'move': 'e7d6', 'prev_move': 'e3d2', 'time_diff': '0:00:21', 'exp_point_loss': 0.353}, {'turn': 'White', 'fen': '8/7p/8/3k1P2/2bPNP2/1p2K3/7P/8 w - - 0 51', 'move_number': 51, 'move': 'f5f6', 'prev_move': 'b4b3', 'time_diff': '0:00:55', 'exp_point_loss': 0.4955}, {'turn': 'Black', 'fen': '8/5k1p/5P2/2N2P2/2bP4/8/1K5P/8 b - - 0 56', 'move_number': 57, 'move': 'c4f1', 'prev_move': 'c2b2', 'time_diff': '0:00:29', 'exp_point_loss': 0.486}]","[{'turn': 'Black', 'fen': 'rnbq1rk1/ppp2ppp/4pn2/8/P1pP4/2P3P1/4PPBP/R1BQK1NR b KQ - 0 8', 'move_number': 9, 'move': 'c7c5', 'prev_move': 'a3a4', 'time_diff': '0:18:25', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': 'rnb2rk1/pp3ppp/4pn2/q1p5/P1pP4/B1P3P1/2Q1PPBP/R3K1NR b KQ - 3 10', 'move_number': 11, 'move': 'f8d8', 'prev_move': 'd1c2', 'time_diff': '0:28:50', 'exp_point_loss': 0.0020000000000000018}, {'turn': 'White', 'fen': '1rb3k1/ppqr1p1p/n3pp2/P7/2p5/2P3P1/2QNPPBP/R3K2R w KQ - 1 17', 'move_number': 17, 'move': 'e1g1', 'prev_move': 'a8b8', 'time_diff': '0:15:52', 'exp_point_loss': 0.0005000000000000004}, {'turn': 'White', 'fen': '1rb5/3r1pkp/1p2pp2/2n1q3/2p3P1/2P3N1/2Q1PPBP/R4RK1 w - - 3 22', 'move_number': 22, 'move': 'a1d1', 'prev_move': 'c7e5', 'time_diff': '0:26:42', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '2b5/3n1pkp/1rB1pp2/1p6/2p2PP1/2P1q1N1/4P2P/3Q1R1K w - - 3 27', 'move_number': 27, 'move': 'g3h5', 'prev_move': 'b8b6', 'time_diff': '0:17:03', 'exp_point_loss': 0}]"
160.5,160.9,0.04,0.04,2.86,2.1,Tingjie Lei,Anna Muzychuk,Norway Chess 2025 - Women,"Stavanger, Norway",5.2,2552,2526,0.5,0.5,????.??.??,21,20,7.6,8.0,0.0,0.0,0.16,0.18,0,0,0,0,0,0,0,0,1,0,[],"[{'turn': 'White', 'fen': 'rqr3k1/1p1bbppp/p3pnn1/8/2PQ4/1NN1B2P/PP3PP1/R2R1BK1 w - - 1 17', 'move_number': 17, 'move': 'd4d3', 'prev_move': 'f8c8', 'time_diff': '0:22:45', 'exp_point_loss': 0}]"
149.5,149.2,0.78,0.77,9.92,9.69,Anna Muzychuk,Wenjun Ju,Norway Chess 2025 - Women,"Stavanger, Norway",9.2,2526,2580,0.5,0.5,????.??.??,36,35,4.2,4.3,0.02,0.02,-0.43,-0.45,0,0,2,0,0,2,0,0,1,1,"[{'turn': 'Black', 'fen': '6k1/5pp1/p2p4/3P4/3QP2p/1r3PqP/1P2R1P1/7K b - - 7 33', 'move_number': 34, 'move': 'b3b5', 'prev_move': 'c2e2', 'time_diff': '0:07:48', 'exp_point_loss': 0.2985}, {'turn': 'White', 'fen': '6k1/5pp1/p2p4/1r1P4/3QP2p/5PqP/1P2R1P1/7K w - - 8 34', 'move_number': 34, 'move': 'e2c2', 'prev_move': 'b3b5', 'time_diff': '0:03:26', 'exp_point_loss': 0.3635}, {'turn': 'Black', 'fen': '6k1/5pp1/p2p4/3P4/3QP2p/1r3PqP/1P2R1P1/7K b - - 11 35', 'move_number': 36, 'move': 'b3b5', 'prev_move': 'c2e2', 'time_diff': '0:00:40', 'exp_point_loss': 0.317}, {'turn': 'White', 'fen': '6k1/5pp1/p2p4/1r1P4/3QP2p/5PqP/1P2R1P1/7K w - - 12 36', 'move_number': 36, 'move': 'e2c2', 'prev_move': 'b3b5', 'time_diff': '0:01:57', 'exp_point_loss': 0.437}]","[{'turn': 'Black', 'fen': 'r4qk1/1pp2pp1/p2p1n2/P2P3p/3Q4/2NP3P/1P3PP1/2R3K1 b - - 0 23', 'move_number': 24, 'move': 'f8e8', 'prev_move': 'c2d3', 'time_diff': '0:24:41', 'exp_point_loss': 0}, {'turn': 'White', 'fen': 'r5k1/1pp2pp1/p2p4/Pq1P3p/3QP3/7P/1P3PP1/2R3K1 w - - 1 26', 'move_number': 26, 'move': 'c1c7', 'prev_move': 'e8b5', 'time_diff': '0:26:59', 'exp_point_loss': 0.012500000000000011}]"
149.4,148.9,0.95,0.94,5.61,5.45,Erigaisi Arjun,Hikaru Nakamura,Norway Chess 2025,"Stavanger, Norway",9.1,2782,2804,0.5,0.5,????.??.??,76,75,2.0,2.0,0.01,0.01,-0.44,-0.47,4,0,1,0,0,2,0,0,3,2,"[{'turn': 'Black', 'fen': '5b1r/pp3kpp/2p2p2/2n5/PP1N1B1P/4R1P1/2K1P3/8 b - - 0 27', 'move_number': 28, 'move': 'c5d7', 'prev_move': 'b2b4', 'time_diff': '0:10:23', 'exp_point_loss': 0.48450000000000004}, {'turn': 'White', 'fen': '7r/1p2bk1p/pnp2pp1/5N2/PP2PB1P/1K1R2P1/8/8 w - - 0 32', 'move_number': 32, 'move': 'a4a5', 'prev_move': 'g7g6', 'time_diff': '0:06:09', 'exp_point_loss': 0.45500000000000007}, {'turn': 'Black', 'fen': '7r/1p2bk1p/pPp2p2/5p2/1P2PB1P/1K1R2P1/8/8 b - - 0 33', 'move_number': 34, 'move': 'h8d8', 'prev_move': 'a5b6', 'time_diff': '0:00:38', 'exp_point_loss': 0.4794999999999999}]","[{'turn': 'Black', 'fen': 'r3kb1r/ppqn2pp/2p2p2/4n3/P1N2B1P/2N3PR/1P2PP2/R2QK3 b Qkq - 0 13', 'move_number': 14, 'move': 'a8d8', 'prev_move': 'h1h3', 'time_diff': '0:27:58', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '3rkb1r/ppqn2pp/2p2p2/4n3/P1N2B1P/2N3PR/1P2PP2/R2QK3 w Qk - 1 14', 'move_number': 14, 'move': 'd1c2', 'prev_move': 'a8d8', 'time_diff': '0:27:00', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '3rkb1r/pp4pp/2p1qp2/2n1n3/P4B1P/2N3P1/1PQNPP2/2KR3R b k - 8 17', 'move_number': 18, 'move': 'd8d4', 'prev_move': 'e1c1', 'time_diff': '0:25:33', 'exp_point_loss': 0.02250000000000002}, {'turn': 'White', 'fen': '4kb1r/pp4pp/2p1qp2/2n1n3/P2r1B1P/2N3P1/1PQNPP2/2KR3R w k - 9 18', 'move_number': 18, 'move': 'c1b1', 'prev_move': 'd8d4', 'time_diff': '0:28:35', 'exp_point_loss': 0.012500000000000011}, {'turn': 'White', 'fen': '4kb1r/pp4pp/2p1qp2/2n5/P2r1BnP/2N3P1/1PQNPP2/1K1R3R w k - 11 19', 'move_number': 19, 'move': 'd2f3', 'prev_move': 'e5g4', 'time_diff': '0:15:30', 'exp_point_loss': 0.020500000000000018}]"
145.4,172.1,0.61,0.11,23.96,6.29,Yi Wei,Fabiano Caruana,Norway Chess 2025,"Stavanger, Norway",3.3,2758,2776,0.0,1.0,????.??.??,28,28,5.2,6.1,0.02,0.0,-0.65,0.79,0,0,1,1,0,0,0,0,3,1,"[{'turn': 'White', 'fen': '3rk2r/1p4p1/p4p2/1b3R1p/4P2P/3P2P1/qB2Q3/3R2K1 w k - 0 25', 'move_number': 25, 'move': 'f5h5', 'prev_move': 'e6a2', 'time_diff': '0:08:09', 'exp_point_loss': 0.473}]","[{'turn': 'White', 'fen': 'r2qkb1r/pp1bnpp1/2n1p3/1Bpp3p/4P2P/2PP1N2/PP2QPP1/RNB1K2R w KQkq - 0 8', 'move_number': 8, 'move': 'e1g1', 'prev_move': 'h7h5', 'time_diff': '0:15:06', 'exp_point_loss': 0}, {'turn': 'White', 'fen': 'r2qkb1r/pp1bnpp1/2n1p3/1Bp4p/3pP2P/2PP1N2/PP2QPP1/RNB2RK1 w kq - 0 9', 'move_number': 9, 'move': 'b2b4', 'prev_move': 'd5d4', 'time_diff': '0:18:02', 'exp_point_loss': 0.020999999999999963}, {'turn': 'White', 'fen': '3rk2r/1p2npp1/p1b1q3/4p2p/4P2P/3PN1P1/PB2QP2/R4RK1 w k - 3 20', 'move_number': 20, 'move': 'f2f4', 'prev_move': 'g6e7', 'time_diff': '0:15:34', 'exp_point_loss': 0.020499999999999963}, {'turn': 'Black', 'fen': '3rk2r/1p2npp1/p1b1q3/4p2p/4PP1P/3PN1P1/PB2Q3/R4RK1 b k - 0 20', 'move_number': 21, 'move': 'c6b5', 'prev_move': 'f2f4', 'time_diff': '0:16:10', 'exp_point_loss': 0.009499999999999953}]"
137.5,138.9,1.11,1.11,13.83,13.23,Anna Muzychuk,Sarasadat Khademalsharieh,Norway Chess 2025 - Women,"Stavanger, Norway",1.1,2526,2449,0.5,0.5,????.??.??,30,30,4.6,4.6,0.04,0.04,-1.08,-1.01,1,1,2,0,1,2,1,0,1,2,"[{'turn': 'Black', 'fen': '3rq1k1/1b3ppp/p4b2/2p5/3P2Q1/PBP5/3B1PPP/4R1K1 b - - 1 20', 'move_number': 21, 'move': 'e8f8', 'prev_move': 'a1e1', 'time_diff': '0:14:45', 'exp_point_loss': 0.483}, {'turn': 'White', 'fen': '3r1qk1/1b3ppp/p4b2/2p5/3P2Q1/PBP5/3B1PPP/4R1K1 w - - 2 21', 'move_number': 21, 'move': 'g4g3', 'prev_move': 'e8f8', 'time_diff': '0:07:58', 'exp_point_loss': 0.4415}, {'turn': 'Black', 'fen': '3r1qk1/1b3ppp/p4b2/2p5/3P4/PBP3Q1/3B1PPP/4R1K1 b - - 3 21', 'move_number': 22, 'move': 'd8c8', 'prev_move': 'g4g3', 'time_diff': '0:15:26', 'exp_point_loss': 0.4285}, {'turn': 'White', 'fen': '2rq2k1/1b3ppp/p4b2/8/3P1B2/PB4Q1/5PPP/4R1K1 w - - 1 24', 'move_number': 24, 'move': 'f4d6', 'prev_move': 'f8d8', 'time_diff': '0:03:53', 'exp_point_loss': 0.3455}]","[{'turn': 'White', 'fen': 'r2qr1k1/1bp2ppp/p4b2/3n4/1p1P4/1BP5/PP1B1PPP/RN1QR1K1 w - - 0 15', 'move_number': 15, 'move': 'e1e8', 'prev_move': 'b5b4', 'time_diff': '0:22:06', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '3rq1k1/1bp2ppp/p4b2/3n4/3P4/PBN5/1P1B1PPP/R2Q2K1 w - - 1 18', 'move_number': 18, 'move': 'd1g4', 'prev_move': 'a8d8', 'time_diff': '0:30:13', 'exp_point_loss': 0.09500000000000003}, {'turn': 'Black', 'fen': '3rq1k1/1bp2ppp/p4b2/3n4/3P2Q1/PBN5/1P1B1PPP/R5K1 b - - 2 18', 'move_number': 19, 'move': 'd5c3', 'prev_move': 'd1g4', 'time_diff': '0:21:25', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '3r1qk1/1b3ppp/p4b2/2p5/3P4/PBP3Q1/3B1PPP/4R1K1 b - - 3 21', 'move_number': 22, 'move': 'd8c8', 'prev_move': 'g4g3', 'time_diff': '0:15:26', 'exp_point_loss': 0.4285}]"
142.7,143.2,1.25,1.25,5.21,4.99,Gukesh D,Fabiano Caruana,Norway Chess 2025,"Stavanger, Norway",7.2,2787,2776,0.5,0.5,????.??.??,75,75,1.9,1.9,0.02,0.02,-0.8,-0.77,5,4,0,3,1,3,0,0,1,0,"[{'turn': 'Black', 'fen': 'r1r3k1/5pp1/4q2p/3np3/1p2n3/1Q2BN1P/1P3PP1/2R2RK1 b - - 1 35', 'move_number': 36, 'move': 'e4f6', 'prev_move': 'd2e3', 'time_diff': '0:03:11', 'exp_point_loss': 0.23150000000000004}, {'turn': 'Black', 'fen': '6k1/4npp1/4qn1p/8/3QP3/1p4NP/1Pr3P1/2B2RK1 b - - 2 45', 'move_number': 46, 'move': 'e7c6', 'prev_move': 'e1f1', 'time_diff': '0:01:00', 'exp_point_loss': 0.26049999999999995}, {'turn': 'Black', 'fen': '8/5ppk/2n2n1p/8/4PB2/1p4NP/1Pr2RP1/6K1 b - - 0 49', 'move_number': 50, 'move': 'c6b4', 'prev_move': 'c1f4', 'time_diff': '0:00:21', 'exp_point_loss': 0.475}]","[{'turn': 'White', 'fen': 'r4rk1/pb2qppp/5n2/4p3/1pB1n3/4BN1P/PP3PP1/2RQ1RK1 w - - 4 19', 'move_number': 19, 'move': 'd1b3', 'prev_move': 'c8b7', 'time_diff': '0:17:08', 'exp_point_loss': 0.005499999999999949}]"
169.6,141.1,0.36,0.85,11.62,29.76,Gukesh D,Hikaru Nakamura,Norway Chess 2025,"Stavanger, Norway",5.3,2787,2804,1.0,0.0,????.??.??,42,41,4.0,3.4,0.01,0.02,0.65,-0.89,1,1,0,3,0,1,0,0,1,2,"[{'turn': 'Black', 'fen': '6k1/p2q2p1/2N1p2p/1Pn5/7P/8/4QPP1/6K1 b - - 0 31', 'move_number': 32, 'move': 'd7d6', 'prev_move': 'h2h4', 'time_diff': '0:23:16', 'exp_point_loss': 0.459}]","[{'turn': 'Black', 'fen': 'r2q1rk1/p3b1p1/1pnppn1p/2p1p3/PPN1P3/2PP1N2/3B1PPP/R2QR1K1 b - - 1 14', 'move_number': 15, 'move': 'd8e8', 'prev_move': 'a3c4', 'time_diff': '0:15:41', 'exp_point_loss': 0.1225}, {'turn': 'White', 'fen': 'r2n1rk1/p3q1p1/1p2p2p/1P6/P1pR4/5N2/5PPP/R2Q2K1 w - - 0 22', 'move_number': 22, 'move': 'f3e5', 'prev_move': 'd5c4', 'time_diff': '0:18:22', 'exp_point_loss': 0.018500000000000016}, {'turn': 'Black', 'fen': '6k1/p2q2p1/2N1p2p/1Pn5/7P/8/4QPP1/6K1 b - - 0 31', 'move_number': 32, 'move': 'd7d6', 'prev_move': 'h2h4', 'time_diff': '0:23:16', 'exp_point_loss': 0.459}]"
125.2,96.5,2.64,3.13,51.76,195.03,Erigaisi Arjun,Fabiano Caruana,Norway Chess 2025,"Stavanger, Norway",15.1,2782,2777,1.0,0.0,????.??.??,71,70,1.8,1.4,0.04,0.04,-1.74,-3.29,3,1,5,3,1,6,0,0,2,1,"[{'turn': 'White', 'fen': '8/1Q4pk/p4p1p/2Bp4/1P2r2P/2P2qP1/4bP1K/6R1 w - - 6 38', 'move_number': 38, 'move': 'b7a7', 'prev_move': 'g6h7', 'time_diff': '0:05:05', 'exp_point_loss': 0.4059999999999999}, {'turn': 'Black', 'fen': '8/Q5pk/p4p1p/2Bp4/1P2r2P/2P2qP1/4bP1K/6R1 b - - 7 38', 'move_number': 39, 'move': 'f3f5', 'prev_move': 'b7a7', 'time_diff': '0:01:11', 'exp_point_loss': 0.3264999999999999}, {'turn': 'White', 'fen': '8/Q5pk/p4p1p/2Bp1q2/1P2r2P/2P3P1/4bP1K/6R1 w - - 8 39', 'move_number': 39, 'move': 'c5f8', 'prev_move': 'f3f5', 'time_diff': '0:01:53', 'exp_point_loss': 0.3214999999999999}, {'turn': 'Black', 'fen': '6k1/Q5p1/p4pqp/2Bp4/1P2r2P/2P3P1/4bP1K/4R3 b - - 13 41', 'move_number': 42, 'move': 'g6f5', 'prev_move': 'f8c5', 'time_diff': '0:00:33', 'exp_point_loss': 0.31999999999999995}, {'turn': 'White', 'fen': '6k1/Q5p1/p4p1p/2Bp1q2/1P2r2P/2P3P1/4bP1K/4R3 w - - 14 42', 'move_number': 42, 'move': 'a7c7', 'prev_move': 'g6f5', 'time_diff': '0:01:55', 'exp_point_loss': 0.37649999999999995}, {'turn': 'Black', 'fen': '6k1/2Q3p1/p4p1p/2Bp1q2/1P2r2P/2P3P1/4bP1K/4R3 b - - 15 42', 'move_number': 43, 'move': 'f5f3', 'prev_move': 'a7c7', 'time_diff': '0:01:13', 'exp_point_loss': 0.4525}, {'turn': 'White', 'fen': '6k1/3Q2p1/p4p2/2Bp3p/1Pb1r2P/2P2qP1/5P1K/6R1 w - - 2 45', 'move_number': 45, 'move': 'b4b5', 'prev_move': 'e2c4', 'time_diff': '0:00:36', 'exp_point_loss': 0.496}, {'turn': 'Black', 'fen': '6k1/3Q2p1/p4p2/1PBp3p/2b1r2P/2P2qP1/5P1K/6R1 b - - 0 45', 'move_number': 46, 'move': 'c4b5', 'prev_move': 'b4b5', 'time_diff': '0:00:38', 'exp_point_loss': 0.37450000000000006}, {'turn': 'White', 'fen': '8/6pk/p4p2/1bBQ3p/4r2P/2P2qP1/5P1K/6R1 w - - 1 47', 'move_number': 47, 'move': 'd5d1', 'prev_move': 'g8h7', 'time_diff': '0:00:42', 'exp_point_loss': 0.43900000000000006}, {'turn': 'Black', 'fen': '8/6pk/p4p2/2B4p/7P/2Pb1qP1/4rP1K/2Q3R1 b - - 6 49', 'move_number': 50, 'move': 'd3e4', 'prev_move': 'b1c1', 'time_diff': '0:00:36', 'exp_point_loss': 0.374}, {'turn': 'Black', 'fen': '8/6pk/p4pb1/8/6Q1/2q1B3/4rP1K/6R1 b - - 0 55', 'move_number': 56, 'move': 'c3e5', 'prev_move': 'f5g4', 'time_diff': '0:00:21', 'exp_point_loss': 0.5}]","[{'turn': 'Black', 'fen': 'r1bqr1k1/pp3ppp/2n5/3p4/3Nn3/P1P3P1/2Q1PPBP/R1BR2K1 b - - 2 13', 'move_number': 14, 'move': 'c6a5', 'prev_move': 'f1d1', 'time_diff': '0:22:20', 'exp_point_loss': 0.0010000000000000009}, {'turn': 'White', 'fen': '2r3k1/pp1b1ppp/5q2/3p4/1Pn5/2P1BNP1/2Q1PP1P/3R2K1 w - - 1 20', 'move_number': 20, 'move': 'e3d4', 'prev_move': 'a5c4', 'time_diff': '0:26:47', 'exp_point_loss': 0.04949999999999993}, {'turn': 'White', 'fen': '2r3k1/pp1b1ppp/q7/3p4/1PnB4/2P2NP1/2Q1PP1P/3R2K1 w - - 3 21', 'move_number': 21, 'move': 'f3g5', 'prev_move': 'f6a6', 'time_diff': '0:21:23', 'exp_point_loss': 0.0010000000000000009}]"
160.6,160.8,0.04,0.03,3.65,3.2,Humpy Koneru,Anna Muzychuk,Norway Chess 2025 - Women,"Stavanger, Norway",13.3,2543,2535,0.5,0.5,????.??.??,31,30,5.2,5.4,0.0,0.0,0.17,0.17,0,0,0,0,0,0,0,0,1,1,[],"[{'turn': 'White', 'fen': 'r2q1rk1/pp2ppbp/n1p3p1/3n4/Q2P2b1/5NP1/PP1NPPBP/R1B2RK1 w - - 6 10', 'move_number': 10, 'move': 'h2h3', 'prev_move': 'e8g8', 'time_diff': '0:15:02', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': 'r2q1rk1/pp2ppbp/n1p1b1p1/3n4/3P4/5NPP/PP1NPPB1/R1BQ1RK1 b - - 2 11', 'move_number': 12, 'move': 'd5b6', 'prev_move': 'a4d1', 'time_diff': '0:19:11', 'exp_point_loss': 0.007499999999999951}]"
