Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Hikaru Nakamura,161.1,0.33,6.49,10,5.5,165.1,0.2,2804,2822,447,5,5,3.15,9.94,0.35,8.9,0.19,0.23,0.43,163.9,158.4,3.0,2.5,3.32,98.73,0.12,79.16
Magnus Carlsen,160.4,0.41,22.01,10,6.0,161.8,0.3,2837,2851,472,5,5,5.68,12.74,0.42,53.22,0.15,0.16,0.66,168.8,152.1,4.0,2.0,4.12,162.21,0.17,2832.86
Wenjun Ju,157.0,0.19,6.35,10,5.0,160.2,0.08,2580,2510,453,5,5,4.13,7.81,0.29,6.96,-0.03,0.21,0.18,155.9,158.2,2.5,2.5,1.93,60.98,0.08,48.44
Yi Wei,155.8,0.43,9.6,10,3.5,160.9,0.32,2758,2689,455,5,5,4.24,11.95,0.5,9.24,-0.1,0.47,0.39,156.2,155.4,2.0,1.5,4.3,142.91,0.25,85.32
Anna Muzychuk,155.3,0.42,28.2,10,6.0,160.0,0.13,2530,2591,366,5,5,5.35,9.14,0.54,67.59,-0.12,0.71,0.14,149.8,160.8,3.0,3.0,4.24,83.63,0.29,4568.76
Fabiano Caruana,152.5,0.79,38.77,10,5.5,154.8,0.72,2776,2827,548,5,5,7.37,23.22,0.94,67.51,-0.28,0.55,1.03,159.9,145.0,3.5,2.0,7.91,539.26,0.87,4557.3
Tingjie Lei,150.2,0.52,9.57,10,6.0,160.4,0.13,2552,2587,431,5,5,6.02,22.29,0.82,8.66,-0.4,0.48,0.56,149.9,150.5,3.0,3.0,5.19,496.93,0.67,74.95
Humpy Koneru,145.4,0.69,75.64,10,5.5,159.8,0.43,2543,2553,448,5,5,9.9,25.52,0.79,141.12,-0.66,0.2,1.17,160.6,130.3,3.5,2.0,6.87,651.47,0.63,19914.3
Erigaisi Arjun,145.2,1.07,23.3,10,4.5,151.0,0.67,2782,2757,552,5,5,11.42,25.05,1.21,33.41,-0.66,1.06,1.09,150.5,140.0,3.5,1.0,10.74,627.42,1.46,1116.23
Gukesh D,144.8,1.14,40.49,10,5.0,144.8,0.96,2782,2792,598,5,5,15.28,18.82,0.9,57.69,-0.68,1.18,1.1,151.5,138.1,4.5,0.5,11.42,354.13,0.8,3327.88
Rameshbabu Vaishali,138.4,0.76,71.09,10,4.0,160.7,0.1,2478,2460,388,5,5,5.32,36.53,1.12,139.91,-1.04,1.1,0.41,128.3,148.5,2.0,2.0,7.57,1334.29,1.27,19575.92
Sarasadat Khademalsharieh,131.2,1.18,78.76,10,3.5,137.5,0.94,2449,2429,544,5,5,20.17,27.93,0.94,109.35,-1.43,1.08,1.29,129.1,133.2,1.0,2.5,11.85,780.19,0.88,11957.69
