white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
148.6,105.8,1.26,1.75,10.0,19.45,Marin Bosiocic,Andreas Garberg Tryggestad,Eliteserien 24 25,Oslo,2.12,2562,2322,1.0,0.0,2024-10-26,34,33,4.4,3.2,0.04,0.05,-0.48,-2.79,1,2,2,1,0,4,2,2,0,1,"[{'turn': 'Black', 'fen': 'rn2k2r/pp2ppbp/6p1/q1p5/3PP3/2P1BP2/P2Q1P1P/2R1KB1R b Kkq - 0 11', 'move_number': 12, 'move': 'c5d4', 'prev_move': 'g2f3', 'time_diff': '0:09:17', 'exp_point_loss': 0.48}, {'turn': 'White', 'fen': 'rn1r2k1/pp2ppbp/6p1/3P4/4P3/4BP2/P2K1P1P/2R2B1R w - - 1 15', 'move_number': 15, 'move': 'f1d3', 'prev_move': 'f8d8', 'time_diff': '0:14:43', 'exp_point_loss': 0.314}, {'turn': 'Black', 'fen': 'rn1r2k1/pp2ppbp/6p1/3P4/4P3/3BBP2/P2K1P1P/2R4R b - - 2 15', 'move_number': 16, 'move': 'b8d7', 'prev_move': 'f1d3', 'time_diff': '0:02:19', 'exp_point_loss': 0.3595}, {'turn': 'Black', 'fen': 'r2r2k1/pp2ppbp/6p1/3Pn3/4P3/4BP2/P3KP1P/1BR4R b - - 6 17', 'move_number': 18, 'move': 'e7e6', 'prev_move': 'd3b1', 'time_diff': '0:16:32', 'exp_point_loss': 0.32049999999999995}, {'turn': 'White', 'fen': 'r2r2k1/pp3pbp/4p1p1/3Pn3/4P3/4BP2/P3KP1P/1BR4R w - - 0 18', 'move_number': 18, 'move': 'h1d1', 'prev_move': 'e7e6', 'time_diff': '0:05:32', 'exp_point_loss': 0.3765}, {'turn': 'Black', 'fen': 'r2r2k1/pp2bp1p/2n3p1/3R4/4P3/P3BP2/B3KP1P/3R4 b - - 2 22', 'move_number': 23, 'move': 'd8d5', 'prev_move': 'b1a2', 'time_diff': '0:08:29', 'exp_point_loss': 0.4945}]","[{'turn': 'White', 'fen': 'rnbqkb1r/pppppp1p/5np1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3', 'move_number': 3, 'move': 'b1c3', 'prev_move': 'g7g6', 'time_diff': '0:39:54', 'exp_point_loss': 0.0020000000000000018}, {'turn': 'Black', 'fen': 'rnbqkb1r/pppppp1p/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3', 'move_number': 4, 'move': 'd7d5', 'prev_move': 'b1c3', 'time_diff': '0:39:39', 'exp_point_loss': 0.003500000000000003}, {'turn': 'White', 'fen': 'rnbqk2r/pp2ppbp/6p1/2p5/3PP3/2P1B3/P4PPP/R2QKBNR w KQkq - 0 8', 'move_number': 8, 'move': 'g1f3', 'prev_move': 'c7c5', 'time_diff': '0:39:22', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': 'rnbqk2r/pp2ppbp/6p1/2p5/3PP3/2P1BN2/P4PPP/R2QKB1R b KQkq - 1 8', 'move_number': 9, 'move': 'd8a5', 'prev_move': 'g1f3', 'time_diff': '0:39:14', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': 'r2r2k1/pp2ppbp/6p1/3Pn3/4P3/4BP2/P3KP1P/1BR4R b - - 6 17', 'move_number': 18, 'move': 'e7e6', 'prev_move': 'd3b1', 'time_diff': '0:16:32', 'exp_point_loss': 0.32049999999999995}]"
157.8,111.2,0.85,1.35,5.92,13.32,Ludvig Carlsson,Amadeus Hestvik Evenshaug,Eliteserien 24 25,Oslo,4.35,2351,2252,1.0,0.0,2025-02-07,38,37,4.2,3.0,0.02,0.04,0.01,-2.5,1,1,1,2,0,2,1,0,0,1,"[{'turn': 'Black', 'fen': 'r3r3/pp2q1kp/2pnpp2/2Q3p1/P2P4/3RPBP1/1P3P1P/2R3K1 b - - 0 26', 'move_number': 27, 'move': 'd6c8', 'prev_move': 'g2g3', 'time_diff': '0:00:30', 'exp_point_loss': 0.36950000000000005}, {'turn': 'White', 'fen': 'r1n1r3/pp2q1kp/2p1pp2/2Q3p1/P2P4/3RPBP1/1P3P1P/2R3K1 w - - 1 27', 'move_number': 27, 'move': 'd3b3', 'prev_move': 'd6c8', 'time_diff': '0:00:30', 'exp_point_loss': 0.361}, {'turn': 'Black', 'fen': 'r1n1r3/pp2q1kp/2p1pp2/2Q3p1/P2P4/1R2PBP1/1P3P1P/2R3K1 b - - 2 27', 'move_number': 28, 'move': 'e7c5', 'prev_move': 'd3b3', 'time_diff': '0:00:30', 'exp_point_loss': 0.4525}]","[{'turn': 'White', 'fen': 'rnbqkb1r/pppp1ppp/4pn2/8/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3', 'move_number': 3, 'move': 'd2d4', 'prev_move': 'e7e6', 'time_diff': '0:39:40', 'exp_point_loss': 0.005500000000000005}, {'turn': 'Black', 'fen': 'r1b2rk1/ppq2ppp/2p1pn2/8/1bNP4/2N1P3/PPQ1BPPP/R4RK1 b - - 4 12', 'move_number': 13, 'move': 'b4c3', 'prev_move': 'e1g1', 'time_diff': '0:17:24', 'exp_point_loss': 0.06}]"
158.7,159.9,0.0,0.0,0.0,0.0,Lars Oskar Hauge,Oystein Boyum Fossum,Eliteserien 24 25,Oslo,9.44,2465,2324,,,2025-03-09,45,44,3.5,3.6,0.0,0.0,0.06,0.13,0,0,0,0,0,0,2,0,1,1,[],"[{'turn': 'Black', 'fen': 'r1b1r1k1/ppqn1ppp/2pbp3/8/3PB3/6N1/PPP2PPP/R1BQR1K1 b - - 0 12', 'move_number': 13, 'move': 'd7f8', 'prev_move': 'f3e4', 'time_diff': '0:16:05', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '2br1n1k/pp4qp/2prpbp1/5p2/1PBP1N2/3R1Q2/PBP2PPP/4R1K1 w - - 7 24', 'move_number': 24, 'move': 'e1d1', 'prev_move': 'e8d8', 'time_diff': '0:37:56', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '2br1n1k/p5qp/3rpbp1/2p2p2/2BP4/3R1Q2/PBP1NPPP/3R2K1 w - - 0 27', 'move_number': 27, 'move': 'b2a3', 'prev_move': 'b6c5', 'time_diff': '0:39:57', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '2b2n2/p1r3kp/2N5/1B2pp2/2PR1b2/8/P5PP/3R1K2 w - - 0 41', 'move_number': 41, 'move': 'd4f4', 'prev_move': 'e6e5', 'time_diff': '0:24:15', 'exp_point_loss': 0}]"
157.9,157.7,0.12,0.29,12.38,16.56,Torgeir Kjoita,Edwin David,Eliteserien 24 25,Oslo,2.46,2060,2152,0.5,0.5,2024-12-07,16,16,9.9,9.9,0.01,0.02,0.02,0.01,0,0,0,1,0,0,1,0,1,1,[],"[{'turn': 'White', 'fen': 'r1bq1k1r/pp2bpp1/4p2n/2PpP2p/1n5P/3B2Q1/PPPN1PP1/R1B1K1NR w KQ - 3 10', 'move_number': 10, 'move': 'g1e2', 'prev_move': 'c6b4', 'time_diff': '0:23:41', 'exp_point_loss': 0.02300000000000002}, {'turn': 'Black', 'fen': 'r1bq1k1r/pp2bpp1/4p3/2PpPn1p/7P/1N1Q4/PPP1NPP1/R1B1K2R b KQ - 2 12', 'move_number': 13, 'move': 'f5h4', 'prev_move': 'd2b3', 'time_diff': '0:18:23', 'exp_point_loss': 0.14349999999999996}, {'turn': 'White', 'fen': 'r2q1k1r/pp1bbpp1/4p1n1/2PpP2p/5P2/1N1Q2P1/PPP1N3/R1B1K2R w KQ - 1 15', 'move_number': 15, 'move': 'c1e3', 'prev_move': 'c8d7', 'time_diff': '0:39:28', 'exp_point_loss': 0}]"
150.4,158.8,0.22,0.22,8.17,7.83,Harald B Borchgrevink,Semen Mitusov,Eliteserien 24 25,Oslo,4.32,2258,2469,0.0,1.0,2025-02-07,30,30,5.0,5.3,0.01,0.01,-0.39,0.07,1,0,0,0,0,0,0,0,1,1,[],"[{'turn': 'White', 'fen': 'rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4', 'move_number': 4, 'move': 'b1c3', 'prev_move': 'e7e6', 'time_diff': '0:23:39', 'exp_point_loss': 0.0025000000000000022}, {'turn': 'Black', 'fen': 'r1bqk2r/pp1n1ppp/5n2/2pp2B1/1b1P4/P1N2N2/1P2PPPP/2RQKB1R b Kkq - 0 8', 'move_number': 9, 'move': 'b4c3', 'prev_move': 'a2a3', 'time_diff': '0:17:47', 'exp_point_loss': 0.0010000000000000009}]"
140.0,87.0,1.48,1.98,18.66,251.21,Amadeus Hestvik Evenshaug,Joran Aulin-Jansson,Eliteserien 24 25,Oslo,8.16,2239,2111,1.0,0.0,2025-03-08,44,43,3.2,2.0,0.03,0.05,-0.95,-3.8,1,2,2,3,0,4,1,3,2,1,"[{'turn': 'Black', 'fen': 'r1b1k1nr/ppq3pp/2n1p3/2ppPp2/3P4/P1P3Q1/2P1NPPP/R1B1KB1R b KQkq - 3 9', 'move_number': 10, 'move': 'c5d4', 'prev_move': 'g1e2', 'time_diff': '0:10:13', 'exp_point_loss': 0.23349999999999999}, {'turn': 'White', 'fen': '2r3k1/ppqbnrpp/2n1p3/3pPp2/P2P1N2/B1P3Q1/5PPP/R3KB1R w KQ - 3 15', 'move_number': 15, 'move': 'a3c5', 'prev_move': 'a8c8', 'time_diff': '0:26:42', 'exp_point_loss': 0.492}, {'turn': 'Black', 'fen': '2r3k1/p2b1rpp/1pn1p3/3pPp2/PB1P4/2PN4/3K1PPP/1R5R b - - 2 21', 'move_number': 22, 'move': 'c8e8', 'prev_move': 'e1d2', 'time_diff': '0:14:43', 'exp_point_loss': 0.25}, {'turn': 'Black', 'fen': '4r1k1/p2b1rpp/1pn1p3/3pPp2/PB1P4/2PN4/3K1PPP/R6R b - - 4 22', 'move_number': 23, 'move': 'c6d8', 'prev_move': 'b1a1', 'time_diff': '0:12:09', 'exp_point_loss': 0.371}, {'turn': 'White', 'fen': '2r4k/8/4pN1p/R2pP1P1/2bP2R1/2P5/1r1K3P/8 w - - 1 36', 'move_number': 36, 'move': 'd2c1', 'prev_move': 'b7b2', 'time_diff': '0:00:30', 'exp_point_loss': 0.473}, {'turn': 'Black', 'fen': '7k/8/4pNPp/R2pP3/2bP2R1/2P1K3/1r5P/1r6 b - - 4 39', 'move_number': 40, 'move': 'b2e2', 'prev_move': 'd2e3', 'time_diff': '0:00:27', 'exp_point_loss': 0.5}]","[{'turn': 'Black', 'fen': 'rnbqk1nr/pp3ppp/4p3/2ppP3/1b1P4/P1N5/1PP2PPP/R1BQKBNR b KQkq - 0 5', 'move_number': 6, 'move': 'b4c3', 'prev_move': 'a2a3', 'time_diff': '0:39:37', 'exp_point_loss': 0.018000000000000016}, {'turn': 'White', 'fen': '2r3k1/ppqbnrpp/2n1p3/3pPp2/P2P1N2/B1P3Q1/5PPP/R3KB1R w KQ - 3 15', 'move_number': 15, 'move': 'a3c5', 'prev_move': 'a8c8', 'time_diff': '0:26:42', 'exp_point_loss': 0.492}, {'turn': 'Black', 'fen': '2r3k1/p2bnrpp/1p2p3/3pPp2/PBqP1N2/2PQ4/5PPP/1R2K2R b K - 1 19', 'move_number': 20, 'move': 'c4d3', 'prev_move': 'g3d3', 'time_diff': '0:18:26', 'exp_point_loss': 0.0024999999999999467}, {'turn': 'Black', 'fen': '2r3k1/p2bnrpp/1p2p3/3pPp2/PB1P4/2PN4/5PPP/1R2K2R b K - 0 20', 'move_number': 21, 'move': 'e7c6', 'prev_move': 'f4d3', 'time_diff': '0:30:49', 'exp_point_loss': 0.024500000000000022}, {'turn': 'White', 'fen': '4r1k1/p2b1rpp/1pn1p3/3pPp2/PB1P4/2PN4/3K1PPP/1R5R w - - 3 22', 'move_number': 22, 'move': 'b1a1', 'prev_move': 'c8e8', 'time_diff': '0:16:57', 'exp_point_loss': 0.15200000000000002}, {'turn': 'Black', 'fen': '1r5k/8/4pNPp/R2pP3/2bP2R1/2P5/3K3P/1r6 b - - 2 38', 'move_number': 39, 'move': 'b8b2', 'prev_move': 'c1d2', 'time_diff': '0:39:57', 'exp_point_loss': 0}, {'turn': 'White', 'fen': 'R7/6k1/4pNPp/3pP3/2bP2r1/2P4K/4r2P/8 w - - 2 44', 'move_number': 44, 'move': 'a8g8', 'prev_move': 'h8g7', 'time_diff': '0:40:00', 'exp_point_loss': 0}]"
160.4,159.2,0.0,0.0,0.0,0.0,Mihajlo Stojanovic,Kristian Stuvik Holm,Eliteserien 24 25,Oslo,4.41,2398,2500,0.5,0.5,2025-02-07,10,10,16.0,15.9,0.0,0.0,0.15,0.09,0,0,0,0,0,0,0,0,0,0,[],[]
158.4,138.8,0.05,0.55,7.41,20.08,Sebastian Mihajlov,Kenneth Gvein,Eliteserien 24 25,Oslo,5.15,2361,2152,1.0,0.0,2025-02-08,39,38,4.1,3.7,0.0,0.01,0.04,-1.01,0,0,0,0,0,1,3,1,0,0,"[{'turn': 'Black', 'fen': 'r2q1rk1/5ppp/p1npb3/3Np1b1/P1B1P3/2N5/1P3PPP/R2Q1RK1 b - - 0 16', 'move_number': 17, 'move': 'c6d4', 'prev_move': 'b1c3', 'time_diff': '0:02:16', 'exp_point_loss': 0.485}]","[{'turn': 'White', 'fen': 'r1bqkbnr/pp1ppppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4', 'move_number': 4, 'move': 'f3d4', 'prev_move': 'c5d4', 'time_diff': '0:39:49', 'exp_point_loss': 0.008500000000000008}, {'turn': 'White', 'fen': 'r1bqkb1r/pp1p1ppp/2n2n2/4p3/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6', 'move_number': 6, 'move': 'd4b5', 'prev_move': 'e7e5', 'time_diff': '0:39:35', 'exp_point_loss': 0.0020000000000000018}, {'turn': 'White', 'fen': 'r1bq1rk1/5ppp/p1np1b2/3Np3/Pp2P3/8/1PP2PPP/RN1QKB1R w KQ - 0 13', 'move_number': 13, 'move': 'f1c4', 'prev_move': 'b5b4', 'time_diff': '0:35:20', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '1r1r2k1/1P3ppp/3q4/1B2RP2/P3Q3/6P1/2R2K1P/8 b - - 4 38', 'move_number': 39, 'move': 'g8f8', 'prev_move': 'e1f2', 'time_diff': '0:39:49', 'exp_point_loss': 0}]"
129.8,157.6,0.76,0.62,17.71,15.57,Lauritz Nissen Hellerud,David Mindestrommen Simonsen,Eliteserien 24 25,Oslo,1.46,1762,1940,0.0,1.0,2024-12-06,42,42,3.1,3.8,0.02,0.01,-1.5,0.0,3,1,1,0,0,2,1,1,3,0,"[{'turn': 'Black', 'fen': 'r1bqr1k1/1pp1bppp/1nn5/3N4/p2P4/P1N1P1P1/1P4BP/R1BQ1RK1 b - - 2 13', 'move_number': 14, 'move': 'e7f8', 'prev_move': 'f4d5', 'time_diff': '0:02:30', 'exp_point_loss': 0.4125}, {'turn': 'White', 'fen': 'r1bqrbk1/1p3ppp/1pn5/8/p2P4/P1N1P1P1/1P4BP/R1BQ1RK1 w - - 0 15', 'move_number': 15, 'move': 'd1f3', 'prev_move': 'c7b6', 'time_diff': '0:01:46', 'exp_point_loss': 0.32999999999999996}, {'turn': 'Black', 'fen': '3r1r1k/1p2Q1bp/1q4p1/6B1/p7/P5P1/1P5P/R4R1K b - - 4 27', 'move_number': 28, 'move': 'f8e8', 'prev_move': 'f7e7', 'time_diff': '0:02:17', 'exp_point_loss': 0.28300000000000003}]","[{'turn': 'Black', 'fen': 'rnbqkb1r/ppp1pppp/5n2/3P4/8/2N5/PP1PPPPP/R1BQKBNR b KQkq - 0 3', 'move_number': 4, 'move': 'f6d5', 'prev_move': 'c4d5', 'time_diff': '0:50:36', 'exp_point_loss': 0.0005000000000000004}, {'turn': 'White', 'fen': 'rnbqkb1r/ppp1pppp/8/3n4/8/2N5/PP1PPPPP/R1BQKBNR w KQkq - 0 4', 'move_number': 4, 'move': 'g2g3', 'prev_move': 'f6d5', 'time_diff': '0:39:38', 'exp_point_loss': 0.005500000000000005}, {'turn': 'White', 'fen': 'r1bq1rk1/1pp1bppp/1nn5/p7/5N2/2N1P1P1/PP1P2BP/R1BQ1RK1 w - - 0 11', 'move_number': 11, 'move': 'd2d4', 'prev_move': 'a7a5', 'time_diff': '0:26:01', 'exp_point_loss': 0.0030000000000000027}, {'turn': 'White', 'fen': 'r1bqr1k1/1pp1bppp/1nn5/8/p2P1N2/P1N1P1P1/1P4BP/R1BQ1RK1 w - - 1 13', 'move_number': 13, 'move': 'f4d5', 'prev_move': 'f8e8', 'time_diff': '0:15:32', 'exp_point_loss': 0}, {'turn': 'White', 'fen': 'r2qrbk1/1p3ppp/1pn1b3/8/p2P4/P1N1PQP1/1P4BP/R1B2RK1 w - - 2 16', 'move_number': 16, 'move': 'f3f2', 'prev_move': 'c8e6', 'time_diff': '0:15:22', 'exp_point_loss': 0.02749999999999997}]"
132.5,131.8,1.23,1.23,18.67,18.56,Andre Nielsen,John Paul Wallace,Eliteserien 24 25,Oslo,5.43,2263,2351,0.5,0.5,2025-02-08,64,64,2.1,2.1,0.02,0.02,-1.35,-1.39,1,1,2,0,0,3,1,2,1,0,"[{'turn': 'Black', 'fen': 'rn3rk1/1bq1bppp/pp1ppn2/8/2PNP3/2N1BPQ1/PP2B1PP/R4RK1 b - - 5 13', 'move_number': 14, 'move': 'b8d7', 'prev_move': 'c1e3', 'time_diff': '0:00:42', 'exp_point_loss': 0.4515}, {'turn': 'Black', 'fen': '8/5pkp/p3r3/1p4P1/1P1R3P/b2B1KP1/P7/8 b - - 0 43', 'move_number': 44, 'move': 'e6e7', 'prev_move': 'b3b4', 'time_diff': '0:11:18', 'exp_point_loss': 0.40199999999999997}, {'turn': 'White', 'fen': '8/5p2/7k/1R3B1P/1P6/r3b1P1/6K1/8 w - - 1 54', 'move_number': 54, 'move': 'f5e4', 'prev_move': 'g7h6', 'time_diff': '0:01:25', 'exp_point_loss': 0.3575}, {'turn': 'Black', 'fen': '8/5p2/7k/1R5P/1P2B3/r3b1P1/6K1/8 b - - 2 54', 'move_number': 55, 'move': 'f7f6', 'prev_move': 'f5e4', 'time_diff': '0:01:36', 'exp_point_loss': 0.358}, {'turn': 'White', 'fen': '8/8/5p1k/1R5P/1P2B3/r3b1P1/6K1/8 w - - 0 55', 'move_number': 55, 'move': 'e4f3', 'prev_move': 'f7f6', 'time_diff': '0:01:02', 'exp_point_loss': 0.4965}]","[{'turn': 'White', 'fen': 'rnbqkbnr/pp1p1ppp/4p3/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4', 'move_number': 4, 'move': 'f3d4', 'prev_move': 'c5d4', 'time_diff': '0:39:38', 'exp_point_loss': 0.0025000000000000022}, {'turn': 'Black', 'fen': 'rnbqkbnr/1p1p1ppp/p3p3/8/2PNP3/8/PP3PPP/RNBQKB1R b KQkq - 0 5', 'move_number': 6, 'move': 'g8f6', 'prev_move': 'c2c4', 'time_diff': '0:39:32', 'exp_point_loss': 0.0010000000000000009}, {'turn': 'Black', 'fen': '4R3/2r2pkp/p7/1p2P1P1/n2p3P/1P1B2P1/P7/1Rb2K2 b - - 0 36', 'move_number': 37, 'move': 'a4b2', 'prev_move': 'b2b3', 'time_diff': '0:40:00', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '8/3R1pkp/p7/1pr1P1P1/3p3P/bP1B2P1/P3K3/8 w - - 4 41', 'move_number': 41, 'move': 'd7d4', 'prev_move': 'c3c5', 'time_diff': '0:17:18', 'exp_point_loss': 0.13449999999999995}]"
