Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Magnus Carlsen,162.5,0.2,2.74,3.0,3.0,163.1,0.3,2833,2915,135,2,1,2.81,1.46,0.23,0.42,0.26,0.14,0.3,162.2,163.1,2.0,1.0,0.59,2.12,0.05,0.18
Mustafa Yilmaz,160.8,0.13,3.41,3.0,2.5,160.8,0.07,2576,2741,138,2,1,2.9,1.35,0.16,3.16,0.18,0.2,0.01,160.8,160.8,2.0,0.5,0.4,1.82,0.03,9.99
Kirk Ghazarian,160.1,0.03,5.44,2.0,1.0,160.1,0.03,2493,2396,94,1,1,5.44,1.56,0.04,7.7,0.14,0.0,0.06,159.0,161.2,0.0,1.0,0.06,2.42,0.0,59.3
Mihajlo Stojanovic,159.5,0.22,-1.3,6.0,3.5,159.6,0.12,2402,2520,243,3,3,1.75,1.04,0.26,12.18,0.1,0.19,0.24,160.0,159.0,1.5,2.0,1.3,1.08,0.07,148.3
Carl Fredrik Ekeberg,159.2,0.01,11.69,1.0,1.0,159.2,0.01,2282,2454,29,1,0,11.69,0.0,0.0,0.0,0.09,0.01,,159.2,,1.0,0.0,0.01,0.0,0.0,0.0
Normunds Miezis,159.0,0.38,5.54,3.0,2.0,159.3,0.53,2399,2510,120,1,2,7.56,0.46,0.34,4.85,0.08,0.53,0.31,158.5,159.3,1.0,1.0,1.15,0.21,0.11,23.55
Kristian Stuvik Holm,158.3,0.15,5.26,9.0,4.5,159.2,0.07,2494,2477,265,4,5,5.77,3.05,0.18,2.91,0.04,0.18,0.13,159.2,157.7,2.0,2.5,1.36,9.29,0.03,8.47
Leif Erlend Johannessen,158.2,0.11,5.44,1.0,0.5,158.2,0.11,2408,2277,34,1,0,5.44,0.0,0.0,0.0,0.04,0.11,,158.2,,0.5,0.0,0.11,0.0,0.0,0.0
Anders Hobber,158.2,0.21,3.83,3.0,2.5,158.1,0.03,2343,2461,72,1,2,2.8,0.12,0.32,3.22,0.03,0.03,0.3,158.1,158.2,1.0,1.5,0.63,0.01,0.1,10.34
Lasse Ostebo Lovik,158.0,0.38,5.41,3.0,2.0,158.1,0.5,2366,2287,140,2,1,6.35,0.12,0.33,5.01,0.03,0.25,0.63,158.0,158.1,1.0,1.0,1.13,0.01,0.11,25.07
Alexander Oye-Stromberg,157.2,0.51,10.12,9.0,7.0,158.3,0.62,2314,2608,340,5,4,9.64,4.49,0.36,6.76,-0.02,0.5,0.54,159.0,155.0,4.5,2.5,4.63,20.14,0.13,45.72
Borki Predojevic,157.0,0.38,4.24,3.0,3.0,158.7,0.03,2563,2645,112,2,1,-0.07,3.21,0.64,8.18,-0.03,0.56,0.03,156.2,158.7,2.0,1.0,1.14,10.29,0.41,66.86
Kaido Kulaots,156.7,0.39,6.16,6.0,5.0,159.4,0.22,2514,2625,242,3,3,6.25,5.11,0.47,3.43,-0.05,0.44,0.33,157.7,155.7,3.0,2.0,2.33,26.14,0.22,11.77
Sondre Melaa,156.4,0.52,9.72,6.0,5.5,158.0,0.38,2322,2600,256,4,2,9.0,4.21,0.28,3.51,-0.06,0.48,0.59,158.1,152.9,4.0,1.5,3.12,17.69,0.08,12.33
Aleksander Delchev,155.3,0.22,5.44,6.0,3.0,159.0,0.1,2463,2391,168,4,2,5.07,9.29,0.26,3.29,-0.12,0.32,0.02,153.4,159.1,2.0,1.0,1.29,86.26,0.07,10.83
Joachim Birger Nilsen,154.8,0.28,6.72,3.0,1.0,158.1,0.05,2405,2158,116,2,1,8.18,6.21,0.44,6.12,-0.15,0.42,0.0,153.1,158.1,1.0,0.0,0.84,38.58,0.2,37.43
