,Mean,Median,Std Dev,Min,Max
Total Moves,24484.0,24484.0,0.0,24484.0,24484.0
Total Games,270.0,270.0,0.0,270.0,270.0
avg_gi,137.9,138.7,16.64,49.2,162.5
avg_missed_points,0.86,0.84,0.49,0.01,3.05
avg_missed_points_white,0.81,0.75,0.57,0.0,2.9
avg_missed_points_black,0.88,0.86,0.58,0.0,4.48
avg_gi_white,141.16,144.8,18.08,79.5,162.2
avg_gi_black,135.74,138.1,21.01,-2.6,163.1
avg_acpl,12.9,12.23,7.31,-21.7,39.35
Elo,2290.12,2298.0,173.99,1762.0,2833.0
TPR,2275.99,2286.0,210.61,1749.0,2915.0
gi_median,142.33,145.2,17.83,49.2,163.1
missed_points_median,0.8,0.76,0.53,0.01,3.05
