white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
145.4,146.1,1.03,1.03,7.09,6.89,Quang Liem Le,Vincent Keymer,PICF 2025 - Masters,"Prague, Czech Republic",5.3,2739,2719,0.5,0.5,2025.03.02,54,53,2.7,2.8,0.02,0.02,-0.65,-0.62,4,1,1,1,0,3,0,0,0,1,"[{'turn': 'Black', 'fen': 'r1bqr1k1/2p3p1/3bnp1p/1pp1pN1P/p3P1P1/3P1NR1/PPPBQP2/2K3R1 b - - 1 19', 'move_number': 20, 'move': 'e6g5', 'prev_move': 'd1g1', 'time_diff': '0:00:18', 'exp_point_loss': 0.2400000000000001}, {'turn': 'White', 'fen': 'r1bqr1k1/2p3p1/3b1p1p/1pp1pNnP/p3P1P1/3P1NR1/PPPBQP2/2K3R1 w - - 2 20', 'move_number': 20, 'move': 'f3h4', 'prev_move': 'e6g5', 'time_diff': '0:02:15', 'exp_point_loss': 0.3400000000000001}, {'turn': 'Black', 'fen': '1r2r1k1/2pq2p1/3bbp1p/1pp1pNnP/p1P1P1PN/3P2R1/PP1BQP2/1KR5 b - - 2 23', 'move_number': 24, 'move': 'e6f7', 'prev_move': 'g1c1', 'time_diff': '0:05:51', 'exp_point_loss': 0.23749999999999993}, {'turn': 'Black', 'fen': '6k1/5rp1/2p1b2p/1pp1p1pP/p1P1P1P1/3r1PR1/PPRNK3/8 b - - 1 36', 'move_number': 37, 'move': 'e6c4', 'prev_move': 'd1e2', 'time_diff': '0:02:51', 'exp_point_loss': 0.4714999999999999}]","[{'turn': 'Black', 'fen': '6k1/3r2p1/2p4p/2p1p1pP/2R1P1P1/r4P2/P3KR2/8 b - - 1 41', 'move_number': 42, 'move': 'd7b7', 'prev_move': 'g2f2', 'time_diff': '0:22:53', 'exp_point_loss': 0}]"
147.5,147.5,0.9,0.9,5.62,5.64,Thai Dai Van Nguyen,Sam Shankland,PICF 2025 - Masters,"Prague, Czech Republic",2.1,2668,2670,0.5,0.5,2025.02.27,64,64,2.3,2.3,0.01,0.01,-0.54,-0.55,3,0,1,5,1,0,0,0,2,1,"[{'turn': 'White', 'fen': '1q3r1k/2p2p1p/r2p2p1/pbpPb3/P1P1P2Q/1R6/2B2PPP/5RK1 w - - 0 24', 'move_number': 24, 'move': 'b3b5', 'prev_move': 'd7b5', 'time_diff': '0:03:31', 'exp_point_loss': 0.447}]","[{'turn': 'White', 'fen': 'rnbq1rk1/1pp2pbp/3p1np1/p2Pp3/2P1P3/2N5/PP2BPPP/R1BQNRK1 w - - 2 10', 'move_number': 10, 'move': 'e1d3', 'prev_move': 'g4c8', 'time_diff': '0:18:32', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '8/2p3k1/3pP1p1/2pP3p/P1Pb4/5B2/6Pq/4QK2 w - - 0 41', 'move_number': 41, 'move': 'f1e2', 'prev_move': 'h4h2', 'time_diff': '0:17:37', 'exp_point_loss': 0.0020000000000000018}, {'turn': 'Black', 'fen': '8/2p3k1/3pP1p1/2pP3p/P1Pb4/5B2/4K1Pq/4Q3 b - - 1 41', 'move_number': 42, 'move': 'h2e5', 'prev_move': 'f1e2', 'time_diff': '0:16:42', 'exp_point_loss': 0.03899999999999998}]"
164.6,165.4,0.03,0.02,1.39,1.08,Praggnanandhaa R,Chithambaram VR. Aravindh,PICF 2025 - Masters,"Prague, Czech Republic",5.5,2758,2731,0.5,0.5,2025.03.02,59,59,2.8,2.8,0.0,0.0,0.38,0.42,0,0,0,0,0,0,0,0,2,2,[],"[{'turn': 'White', 'fen': 'r2q2k1/pp3p2/2p1nbp1/3pBb1p/3P4/2P1QN1P/PP3PP1/4RBK1 w - - 4 20', 'move_number': 20, 'move': 'e5f6', 'prev_move': 'g7e6', 'time_diff': '0:18:02', 'exp_point_loss': 0.003500000000000003}, {'turn': 'Black', 'fen': 'r4k2/pp3p2/2p1n1p1/3pR2p/3P1P2/2PN3P/PP4P1/6K1 b - - 2 26', 'move_number': 27, 'move': 'e6g7', 'prev_move': 'e1e5', 'time_diff': '0:23:58', 'exp_point_loss': 0}, {'turn': 'White', 'fen': 'r4k2/pp3p2/2p3p1/2NpRn1p/3P1P2/2P4P/PP4P1/6K1 w - - 5 28', 'move_number': 28, 'move': 'c5b7', 'prev_move': 'g7f5', 'time_diff': '0:16:02', 'exp_point_loss': 0.0044999999999999485}, {'turn': 'Black', 'fen': 'R7/5pk1/8/P7/7K/7P/r7/8 b - - 2 46', 'move_number': 47, 'move': 'g7g6', 'prev_move': 'a6a8', 'time_diff': '0:15:32', 'exp_point_loss': 0}]"
159.0,159.5,0.38,0.37,5.88,5.31,Chithambaram VR. Aravindh,David Navara,PICF 2025 - Masters,"Prague, Czech Republic",8.5,2731,2663,0.5,0.5,2025.03.06,32,32,5.0,5.0,0.01,0.01,0.08,0.1,0,0,1,0,0,1,0,0,0,1,"[{'turn': 'Black', 'fen': 'r1b3k1/pppp1p1p/8/6p1/3PNb2/2P5/PP3PPP/R4BK1 b - - 3 17', 'move_number': 18, 'move': 'g8g7', 'prev_move': 'd2e4', 'time_diff': '0:04:34', 'exp_point_loss': 0.2685}, {'turn': 'White', 'fen': 'r1b5/pppp1pkp/8/6p1/3PNb2/2P5/PP3PPP/R4BK1 w - - 4 18', 'move_number': 18, 'move': 'a1e1', 'prev_move': 'g8g7', 'time_diff': '0:10:13', 'exp_point_loss': 0.36}]","[{'turn': 'Black', 'fen': 'r1b3k1/pppp1p1p/3b4/6p1/3P4/2P5/PP1N1PPP/R4BK1 b - - 1 16', 'move_number': 17, 'move': 'd6f4', 'prev_move': 'b1d2', 'time_diff': '0:16:32', 'exp_point_loss': 0.0695}]"
137.4,166.5,0.91,0.4,19.96,6.91,Vincent Keymer,Chithambaram VR. Aravindh,PICF 2025 - Masters,"Prague, Czech Republic",2.5,2731,2729,0.0,1.0,2025.02.27,46,45,3.0,3.7,0.02,0.01,-1.09,0.48,2,0,2,1,0,1,0,0,3,2,"[{'turn': 'White', 'fen': 'r3kb1r/1bpq1ppp/p1n2n2/2P5/PpBp4/1Q2PN2/1B3PPP/RN2K2R w KQkq - 0 12', 'move_number': 12, 'move': 'b2d4', 'prev_move': 'e5d4', 'time_diff': '0:01:38', 'exp_point_loss': 0.388}, {'turn': 'Black', 'fen': 'r3kb1r/1bp2ppp/p1n5/2P5/Pp1Bn1q1/4PN2/2Q1BPPP/RN2K2R b KQkq - 4 14', 'move_number': 15, 'move': 'c6d4', 'prev_move': 'c4e2', 'time_diff': '0:01:31', 'exp_point_loss': 0.45299999999999996}, {'turn': 'White', 'fen': '4r3/1kp2p1p/p1Rn2p1/8/P2N4/4PP2/3K3P/8 w - - 1 29', 'move_number': 29, 'move': 'c6c5', 'prev_move': 'c8b7', 'time_diff': '0:00:41', 'exp_point_loss': 0.44199999999999995}]","[{'turn': 'White', 'fen': 'r2qkb1r/1bp1pppp/p1n2n2/2P5/Pp1P4/4PN2/5PPP/RNBQKB1R w KQkq - 1 9', 'move_number': 9, 'move': 'd1b3', 'prev_move': 'b8c6', 'time_diff': '0:16:25', 'exp_point_loss': 0}, {'turn': 'White', 'fen': 'r3kb1r/1bpq1ppp/p1n2n2/2P1p3/PpBP4/1Q2PN2/5PPP/RNB1K2R w KQkq - 2 11', 'move_number': 11, 'move': 'c1b2', 'prev_move': 'd8d7', 'time_diff': '0:17:09', 'exp_point_loss': 0.015500000000000014}, {'turn': 'Black', 'fen': 'r3kb1r/1bpq1ppp/p1n5/2P5/PpBBn3/4PN2/2Q2PPP/RN2K2R b KQkq - 2 13', 'move_number': 14, 'move': 'd7g4', 'prev_move': 'b3c2', 'time_diff': '0:20:53', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': 'r3k2r/1np2ppp/p7/8/Pb1N4/4P3/2pNKP1P/R1R5 b kq - 3 21', 'move_number': 22, 'move': 'b4d2', 'prev_move': 'h1c1', 'time_diff': '0:16:34', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '4r3/7p/p5p1/k2K1n2/P3PN2/2p5/1R5P/8 w - - 0 41', 'move_number': 41, 'move': 'b2b1', 'prev_move': 'c4c3', 'time_diff': '0:28:06', 'exp_point_loss': 0}]"
162.7,160.9,0.16,0.16,4.09,3.76,Ediz Gurel,Praggnanandhaa R,PICF 2025 - Masters,"Prague, Czech Republic",2.2,2624,2741,0.5,0.5,2025.02.27,46,45,3.5,3.6,0.0,0.0,0.28,0.18,1,0,0,1,0,0,0,0,0,1,[],"[{'turn': 'Black', 'fen': '2r1k3/5p1p/4p1p1/p1p5/PP2R1P1/2P1R2P/5PK1/3r4 b - - 0 41', 'move_number': 42, 'move': 'd1a1', 'prev_move': 'b3b4', 'time_diff': '0:15:23', 'exp_point_loss': 0}]"
152.9,153.1,0.71,0.7,6.66,6.24,Quang Liem Le,Anish Giri,PICF 2025 - Masters,"Prague, Czech Republic",1.4,2739,2728,0.5,0.5,2025.02.27,41,41,3.7,3.7,0.02,0.02,-0.25,-0.24,2,2,0,3,1,0,0,0,0,2,[],"[{'turn': 'Black', 'fen': 'rnbqk2r/1pp1bppp/p3pn2/8/2BP4/4PN2/PP1N1PPP/R1BQ1RK1 b kq - 3 7', 'move_number': 8, 'move': 'b7b5', 'prev_move': 'b1d2', 'time_diff': '0:15:50', 'exp_point_loss': 0.02300000000000002}, {'turn': 'Black', 'fen': 'r1bq1rk1/3nbppp/p3pn2/2p5/Q2P4/1N2PN2/1P1BBPPP/R4RK1 b - - 1 12', 'move_number': 13, 'move': 'c5d4', 'prev_move': 'c1d2', 'time_diff': '0:16:51', 'exp_point_loss': 0}]"
133.7,131.6,1.55,1.54,10.67,10.53,Thai Dai Van Nguyen,Vincent Keymer,PICF 2025 - Masters,"Prague, Czech Republic",9.1,2677,2719,0.5,0.5,2025.03.07,88,88,1.5,1.5,0.02,0.02,-1.29,-1.4,1,5,1,6,0,1,2,0,1,1,"[{'turn': 'Black', 'fen': '8/2r3p1/p3kp2/N6p/2P2P2/4K1P1/P5bP/6R1 b - - 12 52', 'move_number': 53, 'move': 'g2h3', 'prev_move': 'd1g1', 'time_diff': '0:00:49', 'exp_point_loss': 0.3005}, {'turn': 'White', 'fen': '1k6/5R2/p3Np2/2P2p1p/6b1/6P1/PK5P/7r w - - 16 72', 'move_number': 72, 'move': 'c5c6', 'prev_move': 'c1h1', 'time_diff': '0:00:48', 'exp_point_loss': 0.3795}]","[{'turn': 'Black', 'fen': '5rk1/5ppp/p4r2/1p1p4/6b1/2PQR1Pq/PP3P1P/R4NK1 b - - 11 26', 'move_number': 27, 'move': 'g4f5', 'prev_move': 'e5e3', 'time_diff': '0:15:13', 'exp_point_loss': 0.0020000000000000018}, {'turn': 'White', 'fen': '5rk1/5ppp/p4r2/1p1p1b2/8/2PQR1Pq/PP3P1P/R4NK1 w - - 12 27', 'move_number': 27, 'move': 'd3e2', 'prev_move': 'g4f5', 'time_diff': '0:31:54', 'exp_point_loss': 0.0025000000000000022}, {'turn': 'White', 'fen': '5k2/1b1r2pp/p4p2/2R5/3N1P2/2P1K1P1/P6P/8 w - - 0 43', 'move_number': 43, 'move': 'c5c4', 'prev_move': 'f7f6', 'time_diff': '0:26:00', 'exp_point_loss': 0.001}, {'turn': 'White', 'fen': '2b5/2P2R2/pk3N2/7p/8/2K3P1/r7/8 w - - 1 80', 'move_number': 80, 'move': 'f6d5', 'prev_move': 'g4c8', 'time_diff': '0:39:43', 'exp_point_loss': 0}]"
139.0,142.8,1.18,1.18,15.78,15.22,Quang Liem Le,Ediz Gurel,PICF 2025 - Masters,"Prague, Czech Republic",3.1,2739,2624,0.5,0.5,2025.02.28,37,37,3.8,3.9,0.03,0.03,-1.0,-0.79,0,1,2,1,0,2,0,0,0,0,"[{'turn': 'White', 'fen': 'r1qr1bk1/p4pp1/2n1b2p/3pP3/1pp2BP1/2P1Q2P/PP2BP1N/3R1RK1 w - - 0 18', 'move_number': 18, 'move': 'f4g3', 'prev_move': 'b5b4', 'time_diff': '0:00:19', 'exp_point_loss': 0.44550000000000006}, {'turn': 'Black', 'fen': '1rqr1bk1/p4pp1/2n1b2p/4P3/3P2P1/2pRQ1BP/P3BP1N/5RK1 b - - 1 22', 'move_number': 23, 'move': 'e6c4', 'prev_move': 'd2d3', 'time_diff': '0:11:35', 'exp_point_loss': 0.4464999999999999}, {'turn': 'White', 'fen': '1rqr1bk1/p4pp1/2n4p/4P3/2bP2P1/2pRQ1BP/P3BP1N/5RK1 w - - 2 23', 'move_number': 23, 'move': 'h2f3', 'prev_move': 'e6c4', 'time_diff': '0:14:46', 'exp_point_loss': 0.46199999999999997}, {'turn': 'Black', 'fen': '2qr1bk1/p4pp1/2n4p/4P3/2bP2P1/2pRQNBP/Pr2BP2/2R3K1 b - - 5 24', 'move_number': 25, 'move': 'c8a6', 'prev_move': 'f1c1', 'time_diff': '0:04:38', 'exp_point_loss': 0.49}]",[]
167.4,144.2,0.15,0.65,14.65,347.7,Yi Wei,David Navara,PICF 2025 - Masters,"Prague, Czech Republic",4.3,2760,2663,1.0,0.0,2025.03.01,31,30,5.4,4.8,0.0,0.02,0.53,-0.72,0,1,0,1,1,1,1,0,1,1,"[{'turn': 'Black', 'fen': 'r1b2rk1/bpp1qp2/2np1n2/p3p2p/P1B1P1pP/2PP2B1/1PNN1PP1/R2Q1RK1 b - - 3 14', 'move_number': 15, 'move': 'g8g7', 'prev_move': 'e1c2', 'time_diff': '0:03:57', 'exp_point_loss': 0.2445}]","[{'turn': 'White', 'fen': 'r1b2rn1/bpp1qpk1/2np4/p3p2p/P1B1P1pP/2PP2B1/1PNN1PP1/R2QR1K1 w - - 6 16', 'move_number': 16, 'move': 'd2f1', 'prev_move': 'f6g8', 'time_diff': '0:33:12', 'exp_point_loss': 0.011999999999999955}, {'turn': 'Black', 'fen': 'r4r2/bpp1q1k1/2np4/p3pb1p/P1BP2pP/2P3B1/1PN2PP1/R2QR1K1 b - - 0 20', 'move_number': 21, 'move': 'f5c2', 'prev_move': 'd3d4', 'time_diff': '0:19:43', 'exp_point_loss': 0.0295}, {'turn': 'White', 'fen': 'r4r2/bpp3k1/2np1q2/p3p2p/P1BP2pP/2P3B1/1PQ2PP1/R3R1K1 w - - 1 22', 'move_number': 22, 'move': 'e1e4', 'prev_move': 'e7f6', 'time_diff': '0:15:14', 'exp_point_loss': 0}]"
