white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
166.7,139.0,0.51,1.0,7.04,31.42,Shant Sargsyan,Abdimalik Abdisalimov,"Round 1: Sargsyan, Shant - Abdisalimov, Abdimalik",https://lichess.org/broadcast/iv-president-cup-uzbekistan-2025--masters/round-1/RgYfJTW8/cC4pSkoV,1.1,2665,2561,1.0,0.0,2025.12.04,55,55,3.0,2.5,0.01,0.02,0.49,-1.0,4,1,0,2,0,3,1,0,0,2,"[{'turn': 'Black', 'fen': '2kr3r/1pq1bp2/pn1p1np1/4p2p/8/1N1B1P2/PPPB1QPP/1K1RR3 b - - 9 18', 'move_number': 19, 'move': 'd8d7', 'prev_move': 'g5d2', 'time_diff': '0:22:58', 'exp_point_loss': 0.39049999999999996}, {'turn': 'Black', 'fen': '1k1r4/5p2/Qp1q2p1/3np2p/2r5/1N3P2/PP1R2PP/1K2R3 b - - 0 31', 'move_number': 32, 'move': 'd6c6', 'prev_move': 'a5a6', 'time_diff': '0:03:39', 'exp_point_loss': 0.363}, {'turn': 'Black', 'fen': '1k1r4/8/3r1pp1/1p1n3p/8/PN3P2/1P1R2PP/1K2R3 b - - 1 36', 'move_number': 37, 'move': 'd5f4', 'prev_move': 'e5e1', 'time_diff': '0:01:01', 'exp_point_loss': 0.248}]","[{'turn': 'Black', 'fen': '2kr3r/1pq1bp2/pn1p1np1/4p2p/8/1N1B1P2/PPPB1QPP/1K1RR3 b - - 9 18', 'move_number': 19, 'move': 'd8d7', 'prev_move': 'g5d2', 'time_diff': '0:22:58', 'exp_point_loss': 0.39049999999999996}, {'turn': 'White', 'fen': '2kb3r/1pqr1p2/pn1p1np1/B3p2p/8/1N1B1P2/PPP2QPP/1K1RR3 w - - 12 20', 'move_number': 20, 'move': 'c2c4', 'prev_move': 'e7d8', 'time_diff': '0:49:32', 'exp_point_loss': 0.08399999999999999}, {'turn': 'Black', 'fen': '1k1b3r/1p3p2/pn1q1np1/B3p2p/3rB3/1N3P2/PP3QPP/1KR1R3 b - - 6 25', 'move_number': 26, 'move': 'd4c4', 'prev_move': 'c5b3', 'time_diff': '0:16:55', 'exp_point_loss': 0.0004999999999999449}]"
113.8,86.1,3.36,3.85,20.89,26.7,Mukhiddin Madaminov,Alexander Grischuk,"Round 1: Madaminov, Mukhiddin - Grischuk, Alexander",https://lichess.org/broadcast/iv-president-cup-uzbekistan-2025--masters/round-1/RgYfJTW8/4Gu2HYaH,1.2,2552,2654,1.0,0.0,2025.12.04,106,105,1.1,0.8,0.03,0.04,-2.36,-3.85,3,6,3,4,1,8,0,0,0,1,"[{'turn': 'Black', 'fen': '1qrr2k1/3n1pp1/ppbpp2p/6b1/P1PBP3/1PN2PN1/1R2Q1PP/3R3K b - - 21 33', 'move_number': 34, 'move': 'd7f6', 'prev_move': 'd2b2', 'time_diff': '0:01:05', 'exp_point_loss': 0.40049999999999997}, {'turn': 'White', 'fen': '1qrr2k1/5pp1/ppbppn1p/6b1/P1PBP3/1PN2PN1/1R2Q1PP/3R3K w - - 22 34', 'move_number': 34, 'move': 'b2b1', 'prev_move': 'd7f6', 'time_diff': '0:02:22', 'exp_point_loss': 0.3405}, {'turn': 'Black', 'fen': 'br1rn1k1/1q2bpp1/pp1pp2p/8/P1PBP1N1/1PN2P1Q/3R2PP/3R3K b - - 57 51', 'move_number': 52, 'move': 'e7f8', 'prev_move': 'f2g4', 'time_diff': '0:00:01', 'exp_point_loss': 0.297}, {'turn': 'Black', 'fen': 'b2rn3/4b1pk/ppq1p2p/5p2/P1P2N2/1PN1BP1P/2Q3P1/4R2K b - - 1 64', 'move_number': 65, 'move': 'e7g5', 'prev_move': 'd1e1', 'time_diff': '0:01:05', 'exp_point_loss': 0.3845}, {'turn': 'Black', 'fen': 'b7/2n3pk/ppqrp2p/5p2/P1P4b/1P1N1P1P/N1Q3P1/2BR3K b - - 9 68', 'move_number': 69, 'move': 'h4g3', 'prev_move': 'e1d1', 'time_diff': '0:00:41', 'exp_point_loss': 0.3375}, {'turn': 'White', 'fen': 'b2rn3/6pk/ppq1p2p/5p2/P1P4b/1P1N1P1P/1BQ1N1P1/3R3K w - - 16 72', 'move_number': 72, 'move': 'e2d4', 'prev_move': 'c7e8', 'time_diff': '0:01:16', 'exp_point_loss': 0.39}, {'turn': 'Black', 'fen': 'b2r4/2n3pk/pp1qp2p/5p2/P1P4b/1P1N1P1P/1BN1Q1P1/3R3K b - - 21 74', 'move_number': 75, 'move': 'd6d7', 'prev_move': 'd4c2', 'time_diff': '0:00:42', 'exp_point_loss': 0.23199999999999998}, {'turn': 'White', 'fen': 'b7/4r1pk/pp4qp/4Bp2/P1P1nP2/1P1N1NbP/4Q1P1/3R3K w - - 3 83', 'move_number': 83, 'move': 'h1g1', 'prev_move': 'f6e4', 'time_diff': '0:00:32', 'exp_point_loss': 0.496}, {'turn': 'Black', 'fen': '8/4r1pk/p5qp/2N1Bp2/P1P2P2/5QbP/6P1/6K1 b - - 0 91', 'move_number': 92, 'move': 'a6a5', 'prev_move': 'e3f3', 'time_diff': '0:00:36', 'exp_point_loss': 0.3165}, {'turn': 'Black', 'fen': '8/4r1pk/6qp/p3Bp2/P1P2P2/1N3QbP/6P1/6K1 b - - 1 92', 'move_number': 93, 'move': 'e7d7', 'prev_move': 'c5b3', 'time_diff': '0:00:36', 'exp_point_loss': 0.4789999999999999}, {'turn': 'Black', 'fen': '8/3r2pk/6qp/p3Bp2/P1PN1P2/5QbP/6P1/6K1 b - - 3 93', 'move_number': 94, 'move': 'g3e1', 'prev_move': 'b3d4', 'time_diff': '0:00:21', 'exp_point_loss': 0.498}]","[{'turn': 'Black', 'fen': '1rr3k1/1bqnbppp/pp1pp3/4n3/P2NP3/4BP2/NPP2QPP/R2R1B1K b - - 12 17', 'move_number': 18, 'move': 'e5c4', 'prev_move': 'c3a2', 'time_diff': '0:15:19', 'exp_point_loss': 0.0005000000000000004}]"
151.9,124.2,1.31,1.8,13.85,26.9,Bardiya Daneshvar,Yuriy Kuzubov,"Round 1: Daneshvar, Bardiya - Kuzubov, Yuriy",https://lichess.org/broadcast/iv-president-cup-uzbekistan-2025--masters/round-1/RgYfJTW8/JUOKLWlC,1.3,2600,2610,1.0,0.0,2025.12.04,59,58,2.6,2.1,0.02,0.03,-0.31,-1.8,3,3,1,8,0,3,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1qnr1k1/1ppb1pb1/p2p1npp/P3p3/2B1P2B/2PPNN2/1PQ2PPP/R3R1K1 b - - 3 16', 'move_number': 17, 'move': 'd7c6', 'prev_move': 'd1c2', 'time_diff': '0:05:59', 'exp_point_loss': 0.2435}, {'turn': 'Black', 'fen': '4r3/1p3pkn/p4qp1/P2rN3/3P2pP/3Q2P1/1P3PK1/3R3R b - - 3 38', 'move_number': 39, 'move': 'd5a5', 'prev_move': 'c4e5', 'time_diff': '0:00:32', 'exp_point_loss': 0.4405}, {'turn': 'White', 'fen': '4r3/1p3pk1/p7/r7/3P2pP/6P1/1P3PK1/2R4R w - - 0 44', 'move_number': 44, 'move': 'c1c5', 'prev_move': 'f5g4', 'time_diff': '0:00:23', 'exp_point_loss': 0.489}, {'turn': 'Black', 'fen': '8/1p4k1/p7/2P2p2/1Pr3pP/6P1/4KP2/1R6 b - - 1 49', 'move_number': 50, 'move': 'g7f6', 'prev_move': 'f1e2', 'time_diff': '0:00:33', 'exp_point_loss': 0.492}]",[]
168.0,140.3,0.44,0.93,8.8,34.13,Shamsiddin Vokhidov,Maxime Lagarde,"Round 1: Vokhidov, Shamsiddin - Lagarde, Maxime",https://lichess.org/broadcast/iv-president-cup-uzbekistan-2025--masters/round-1/RgYfJTW8/OZiQY0pp,1.4,2641,2608,1.0,0.0,2025.12.04,40,39,4.2,3.6,0.01,0.02,0.56,-0.93,2,1,0,1,1,1,0,0,0,0,"[{'turn': 'Black', 'fen': '8/1kr3pr/ppq1pn1P/n2p2Q1/5P2/PPN5/1BP4R/1K1R4 b - - 0 29', 'move_number': 30, 'move': 'f6e4', 'prev_move': 'h5h6', 'time_diff': '0:06:07', 'exp_point_loss': 0.394}]",[]
178.3,150.6,-0.12,0.38,1.41,10.62,Nihal Sarin,Frederik Svane,"Round 1: Nihal Sarin - Svane, Frederik",https://lichess.org/broadcast/iv-president-cup-uzbekistan-2025--masters/round-1/RgYfJTW8/ttrg49DQ,1.5,2701,2653,1.0,0.0,2025.12.04,49,48,3.6,3.1,-0.0,0.01,1.12,-0.38,0,0,0,1,0,1,0,0,0,1,"[{'turn': 'Black', 'fen': 'r1r3k1/p2bnp1p/1q3np1/3p4/1p3NP1/3BP2P/PP1QNP2/1K1R3R b - - 3 18', 'move_number': 19, 'move': 'c8c5', 'prev_move': 'c2d2', 'time_diff': '0:02:48', 'exp_point_loss': 0.27749999999999997}]","[{'turn': 'Black', 'fen': 'r1r3k1/p2bnp1p/5np1/1pqp4/5NP1/2NBP2P/PPQ2P2/1K1R3R b - - 1 16', 'move_number': 17, 'move': 'b5b4', 'prev_move': 'e2f4', 'time_diff': '0:15:52', 'exp_point_loss': 0}]"
163.8,163.9,0.16,0.16,5.27,4.63,Abdimalik Abdisalimov,Frederik Svane,"Round 2: Abdisalimov, Abdimalik - Svane, Frederik",https://lichess.org/broadcast/iv-president-cup-uzbekistan-2025--masters/round-2/XhTkyfoQ/vKz5S2wm,2.1,2561,2653,0.5,0.5,2025.12.04,30,30,5.5,5.5,0.01,0.01,0.34,0.34,1,0,0,0,0,1,0,0,1,1,"[{'turn': 'Black', 'fen': '3rr1k1/1b3ppp/p5q1/2p5/2P1NB1b/5P1P/PPQ3P1/R4RK1 b - - 6 22', 'move_number': 23, 'move': 'h7h6', 'prev_move': 'd1c2', 'time_diff': '0:03:21', 'exp_point_loss': 0.244}]","[{'turn': 'White', 'fen': 'r3r1k1/1b2bppp/pnq5/1pp5/2P1N3/1B1P3P/PP3PP1/R1BQR1K1 w - - 1 17', 'move_number': 17, 'move': 'f2f3', 'prev_move': 'd5b6', 'time_diff': '0:16:41', 'exp_point_loss': 0.0020000000000000018}, {'turn': 'Black', 'fen': 'r3r1k1/1b2bppp/pnq5/1pp5/2P1N3/1B1P1P1P/PP4P1/R1BQR1K1 b - - 0 17', 'move_number': 18, 'move': 'b5c4', 'prev_move': 'f2f3', 'time_diff': '0:27:51', 'exp_point_loss': 0.0005000000000000004}]"
163.2,163.3,0.2,0.19,4.0,3.55,Maxime Lagarde,Nihal Sarin,"Round 2: Lagarde, Maxime - Nihal Sarin",https://lichess.org/broadcast/iv-president-cup-uzbekistan-2025--masters/round-2/XhTkyfoQ/dQSwZL2i,2.2,2608,2701,0.5,0.5,2025.12.05,32,31,5.1,5.3,0.01,0.01,0.3,0.31,2,0,0,1,0,0,0,0,1,2,[],"[{'turn': 'Black', 'fen': 'r2qrbk1/2pb1pp1/2np1n1p/1p2p3/p2PP3/2P2NNP/PPBB1PP1/R2QR1K1 b - - 1 15', 'move_number': 16, 'move': 'd8b8', 'prev_move': 'b3c2', 'time_diff': '0:16:36', 'exp_point_loss': 0.004500000000000004}, {'turn': 'Black', 'fen': 'rq2rbk1/2pb1pp1/2np1n1p/1p2p3/p2PP3/2P2NNP/PPBB1PP1/2RQR1K1 b - - 3 16', 'move_number': 17, 'move': 'b8b7', 'prev_move': 'a1c1', 'time_diff': '0:17:02', 'exp_point_loss': 0.0015000000000000013}, {'turn': 'White', 'fen': 'r3rbk1/1qpb1pp1/2np1n1p/1p2p3/p2PP3/2P2NNP/PPBB1PP1/2RQR1K1 w - - 4 17', 'move_number': 17, 'move': 'e1e3', 'prev_move': 'b8b7', 'time_diff': '0:25:57', 'exp_point_loss': 0.020499999999999963}]"
161.2,161.2,0.3,0.3,4.51,4.27,Yuriy Kuzubov,Shamsiddin Vokhidov,"Round 2: Kuzubov, Yuriy - Vokhidov, Shamsiddin",https://lichess.org/broadcast/iv-president-cup-uzbekistan-2025--masters/round-2/XhTkyfoQ/BmaaxKbS,2.3,2610,2641,0.5,0.5,2025.12.05,41,41,3.9,3.9,0.01,0.01,0.2,0.2,0,1,0,0,0,1,0,0,1,0,"[{'turn': 'Black', 'fen': '4r1k1/p1q2pbp/R5p1/1P5r/2Np1P2/3P1Q2/2P4P/5RK1 b - - 0 28', 'move_number': 29, 'move': 'c7d7', 'prev_move': 'b4b5', 'time_diff': '0:04:44', 'exp_point_loss': 0.2955}]","[{'turn': 'White', 'fen': 'r2qrbk1/pb3p1p/3p1np1/2p5/1p1nPP2/3PN3/PPP1N1BP/R2QBRK1 w - - 0 16', 'move_number': 16, 'move': 'e1h4', 'prev_move': 'g7g6', 'time_diff': '0:19:55', 'exp_point_loss': 0.0040000000000000036}]"
159.9,160.1,0.37,0.36,7.51,6.86,Alexander Grischuk,Bardiya Daneshvar,"Round 2: Grischuk, Alexander - Daneshvar, Bardiya",https://lichess.org/broadcast/iv-president-cup-uzbekistan-2025--masters/round-2/XhTkyfoQ/3IhSvceQ,2.4,2654,2600,0.5,0.5,2025.12.05,43,43,3.7,3.7,0.01,0.01,0.13,0.14,3,0,0,2,0,0,0,0,1,2,[],"[{'turn': 'White', 'fen': 'rnb1kb1r/pppq1ppp/8/3pP3/5n2/5N2/PPPNBPPP/R1BQ1RK1 w kq - 8 9', 'move_number': 9, 'move': 'f3d4', 'prev_move': 'e6f4', 'time_diff': '0:19:34', 'exp_point_loss': 0.020500000000000018}, {'turn': 'Black', 'fen': 'rnb1kb1r/pppq1ppp/8/3pP3/3N1n2/8/PPPNBPPP/R1BQ1RK1 b kq - 9 9', 'move_number': 10, 'move': 'f4e2', 'prev_move': 'f3d4', 'time_diff': '0:18:22', 'exp_point_loss': 0.0050000000000000044}, {'turn': 'Black', 'fen': '2k1qr2/p1p3pp/1p4n1/3bp1B1/2PN4/8/PP2QPPP/4R1K1 b - - 0 23', 'move_number': 24, 'move': 'd5b7', 'prev_move': 'c3c4', 'time_diff': '0:18:11', 'exp_point_loss': 0.000500000000000056}]"
164.3,164.4,0.14,0.13,6.29,5.93,Shant Sargsyan,Mukhiddin Madaminov,"Round 2: Sargsyan, Shant - Madaminov, Mukhiddin",https://lichess.org/broadcast/iv-president-cup-uzbekistan-2025--masters/round-2/XhTkyfoQ/3FEjxGdw,2.5,2665,2552,0.5,0.5,2025.12.05,31,30,5.3,5.5,0.0,0.0,0.36,0.37,1,0,0,1,0,0,1,0,1,0,[],"[{'turn': 'White', 'fen': 'r2qr1k1/5p2/bpp1nnpp/p2p4/3P4/2N1PPNP/PP1Q2P1/1BR1R1K1 w - - 2 19', 'move_number': 19, 'move': 'e3e4', 'prev_move': 'c8a6', 'time_diff': '0:20:16', 'exp_point_loss': 0.04049999999999998}, {'turn': 'White', 'fen': 'r5k1/5p2/bp3qpQ/p1p3N1/3n4/5P1P/PP4P1/1B2R1K1 w - - 1 25', 'move_number': 25, 'move': 'g1h1', 'prev_move': 'd8f6', 'time_diff': '0:31:05', 'exp_point_loss': 0.07350000000000001}]"
