Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Nihal Sarin,162.9,0.49,2.23,9,7.0,166.8,0.19,2701,2834,440,5,4,4.63,18.71,0.75,33.35,0.29,0.4,0.6,168.7,155.7,5.0,2.0,4.39,349.99,0.56,1112.52
Shamsiddin Vokhidov,162.2,0.31,9.63,9,5.0,166.5,0.36,2641,2661,349,5,4,7.07,9.13,0.24,8.87,0.25,0.41,0.18,159.3,165.8,2.5,2.5,2.76,83.34,0.06,78.63
Bardiya Daneshvar,158.1,0.41,13.05,9,3.5,165.8,0.06,2600,2549,507,5,4,6.65,11.23,0.51,18.63,0.03,0.47,0.34,158.2,158.1,2.5,1.0,3.73,126.06,0.26,347.1
Maxime Lagarde,155.2,0.63,10.75,9,4.0,166.1,0.4,2608,2588,434,4,5,4.22,17.55,0.74,11.99,-0.13,0.64,0.62,157.4,153.5,2.0,2.0,5.64,307.98,0.55,143.72
Shant Sargsyan,154.2,0.68,2.73,9,4.5,164.6,0.14,2665,2620,393,5,4,4.38,17.4,0.82,23.83,-0.18,0.17,1.32,165.6,140.0,3.0,1.5,6.13,302.74,0.67,567.94
Frederik Svane,154.0,0.69,-0.5,9,4.5,165.8,0.16,2653,2621,499,4,5,4.63,21.09,1.2,27.27,-0.19,1.04,0.42,152.3,155.4,3.0,1.5,6.25,444.91,1.44,743.52
Abdimalik Abdisalimov,153.5,0.61,14.64,9,3.5,146.1,0.62,2561,2553,531,4,5,10.2,13.55,0.55,12.71,-0.22,0.73,0.51,153.4,153.7,2.0,1.5,5.46,183.7,0.3,161.67
Yuriy Kuzubov,146.9,0.91,17.33,9,3.0,142.8,0.89,2610,2506,529,4,5,13.35,16.5,0.68,13.73,-0.57,0.78,1.01,152.2,142.6,2.0,1.0,8.17,272.22,0.46,188.61
Mukhiddin Madaminov,146.1,1.18,11.82,9,5.0,164.4,0.23,2552,2671,547,5,4,12.14,30.86,1.58,9.16,-0.62,1.25,1.08,147.4,144.4,3.5,1.5,10.58,952.44,2.49,83.99
Alexander Grischuk,143.1,1.22,13.79,9,4.0,145.7,1.14,2654,2582,529,4,5,12.4,23.15,1.08,7.62,-0.78,0.68,1.66,156.6,132.4,2.5,1.5,11.0,535.73,1.17,58.02
