white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
160.6,162.3,0.06,0.05,3.38,3.24,Gabriel Sargissian,Jiner Zhu,"Round 2: Sargissian, Gabriel - Zhu, Jiner",?,2.14,2641,2541,0.5,0.5,????.??.??,50,50,3.2,3.2,0.0,0.0,0.16,0.26,0,0,0,0,0,0,0,0,0,0,[],[]
128.1,162.3,0.94,0.44,16.5,8.23,Alan Pichot,Visakh_N R,"Round 1: Pichot, Alan - Visakh N R",?,1.22,2587,2507,0.0,1.0,????.??.??,62,62,2.1,2.6,0.02,0.01,-1.59,0.26,5,1,0,2,0,0,0,0,1,0,[],"[{'turn': 'White', 'fen': 'r2qr1k1/4npb1/p2pb1pp/1pp1p3/4P1PB/2PPN3/PPB2PP1/R2QR1K1 w - - 1 20', 'move_number': 20, 'move': 'c2b3', 'prev_move': 'c8e6', 'time_diff': '0:20:06', 'exp_point_loss': 0}]"
160.3,161.1,0.06,0.06,4.0,3.87,Jinshi Bai,Momchil Petkov,"Round 4: Bai, Jinshi - Petkov, Momchil",?,4.30,2572,2524,0.5,0.5,????.??.??,39,39,4.1,4.1,0.0,0.0,0.15,0.19,0,0,0,0,0,0,0,0,1,1,[],"[{'turn': 'Black', 'fen': '1r1qk2r/pbpnppbp/3p1np1/8/2NP4/1P3NP1/PB2PPBP/R2Q1RK1 b k - 0 10', 'move_number': 11, 'move': 'e8g8', 'prev_move': 'a3c4', 'time_diff': '0:22:49', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '1qr3k1/p1p1ppbp/5np1/1r1pn3/3P4/1P1Q2P1/PB2PPNP/2RR2K1 w - - 0 18', 'move_number': 18, 'move': 'd4e5', 'prev_move': 'd7e5', 'time_diff': '0:20:52', 'exp_point_loss': 0}]"
132.1,160.6,0.89,0.38,26.26,5.81,Jagadeesh Siddharth,Alan Pichot,"Round 9: Siddharth, Jagadeesh - Pichot, Alan",?,9.10,2472,2587,0.0,1.0,????.??.??,27,27,4.9,5.9,0.03,0.01,-1.37,0.16,1,1,1,2,0,1,0,0,2,1,"[{'turn': 'White', 'fen': '1k1r3r/1ppbb2p/p1pn1pq1/2B3p1/4P1P1/1NN1Q2P/PPP2P2/3R1RK1 w - - 6 18', 'move_number': 18, 'move': 'b3a5', 'prev_move': 'c8b8', 'time_diff': '0:04:30', 'exp_point_loss': 0.4165}, {'turn': 'Black', 'fen': '1kbr3r/1pp1b2p/p1pn1pq1/N1B3p1/N3P1P1/4Q2P/PPP2P2/3R1RK1 b - - 9 19', 'move_number': 20, 'move': 'g6f7', 'prev_move': 'c3a4', 'time_diff': '0:09:36', 'exp_point_loss': 0.45299999999999996}]","[{'turn': 'White', 'fen': 'r3k2r/1ppbbp1p/p1pq3n/6p1/3NP3/2N1B2P/PPP2PP1/R2Q1RK1 w kq - 0 12', 'move_number': 12, 'move': 'd1e2', 'prev_move': 'g7g5', 'time_diff': '0:18:49', 'exp_point_loss': 0.10649999999999998}, {'turn': 'White', 'fen': '2kr3r/1ppbb2p/p1pn1pq1/2B3p1/4P1P1/1NN4P/PPP1QP2/3R1RK1 w - - 4 17', 'move_number': 17, 'move': 'e2e3', 'prev_move': 'f7d6', 'time_diff': '0:19:07', 'exp_point_loss': 0.039000000000000035}, {'turn': 'Black', 'fen': '1k1r3r/1ppbb2p/p1pn1pq1/N1B3p1/4P1P1/2N1Q2P/PPP2P2/3R1RK1 b - - 7 18', 'move_number': 19, 'move': 'd7c8', 'prev_move': 'b3a5', 'time_diff': '0:15:13', 'exp_point_loss': 0}]"
130.6,160.5,0.99,0.48,24.59,9.05,Jan Klimkowski,Bardiya Daneshvar,"Round 4: Klimkowski, Jan - Daneshvar, Bardiya",?,4.11,2503,2621,0.0,1.0,????.??.??,41,41,3.2,3.9,0.02,0.01,-1.45,0.16,0,1,2,1,0,1,0,0,0,0,"[{'turn': 'White', 'fen': '5bk1/5pp1/p6p/1p2Bq2/3P4/1Q5P/P4PP1/5K2 w - - 3 33', 'move_number': 33, 'move': 'b3d5', 'prev_move': 'e6f5', 'time_diff': '0:08:42', 'exp_point_loss': 0.495}, {'turn': 'Black', 'fen': '5bk1/5pp1/7p/p3B3/1p1Pq1P1/1Q5P/P4P2/5K2 b - - 0 37', 'move_number': 38, 'move': 'f8e7', 'prev_move': 'g2g4', 'time_diff': '0:09:07', 'exp_point_loss': 0.33499999999999996}, {'turn': 'White', 'fen': '6k1/4bpp1/7p/p3B3/1p1Pq1P1/1Q5P/P4P2/5K2 w - - 1 38', 'move_number': 38, 'move': 'f2f3', 'prev_move': 'f8e7', 'time_diff': '0:01:47', 'exp_point_loss': 0.33499999999999996}]",[]
127.1,129.3,1.53,1.52,25.05,24.75,Nikolas Theodorou,Savva Vetokhin,"Round 8: Theodorou, Nikolas - Vetokhin, Savva",?,8.7,2611,2558,0.5,0.5,????.??.??,60,60,2.1,2.2,0.03,0.03,-1.64,-1.53,0,0,3,0,0,3,1,0,0,0,"[{'turn': 'White', 'fen': 'r1q1r1k1/ppp1bppp/4b3/8/1n1Q4/1PNP1N2/1PPB1PPP/R2K3R w - - 9 14', 'move_number': 14, 'move': 'a1a7', 'prev_move': 'd8c8', 'time_diff': '0:14:47', 'exp_point_loss': 0.48950000000000005}, {'turn': 'Black', 'fen': '6k1/1p4p1/5n1p/2p2p2/2NP3Q/1P6/5PPP/q1b1NK2 b - - 0 27', 'move_number': 28, 'move': 'c5d4', 'prev_move': 'f3e1', 'time_diff': '0:00:45', 'exp_point_loss': 0.495}, {'turn': 'White', 'fen': '6k1/6p1/7p/1p3p2/3p4/1P1Q4/1q2KPPn/4N3 w - - 2 34', 'move_number': 34, 'move': 'e1c2', 'prev_move': 'a1b2', 'time_diff': '0:02:37', 'exp_point_loss': 0.487}, {'turn': 'Black', 'fen': '6k1/6p1/7p/1p3p2/3p4/1P1Q4/1qN1KPPn/8 b - - 3 34', 'move_number': 35, 'move': 'g7g6', 'prev_move': 'e1c2', 'time_diff': '0:02:09', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '8/3n4/6p1/5p1k/1K3P1p/1P3N2/6P1/8 w - - 3 49', 'move_number': 49, 'move': 'f3e5', 'prev_move': 'h6h5', 'time_diff': '0:01:03', 'exp_point_loss': 0.499}, {'turn': 'Black', 'fen': '8/3n4/6p1/4Np1k/1K3P1p/1P6/6P1/8 b - - 4 49', 'move_number': 50, 'move': 'd7f8', 'prev_move': 'f3e5', 'time_diff': '0:00:45', 'exp_point_loss': 0.5}]","[{'turn': 'White', 'fen': 'q3r1k1/1p3ppp/4bb2/2p5/1n3Q2/1PNP1N2/1PPB1PPP/3K3R w - - 2 17', 'move_number': 17, 'move': 'c3e4', 'prev_move': 'e7f6', 'time_diff': '0:40:26', 'exp_point_loss': 0}]"
160.0,126.2,0.52,1.02,8.97,302.68,Momchil Petkov,Alparslan Isik,"Round 8: Petkov, Momchil - Isik, Alparslan",?,8.31,2524,2482,1.0,0.0,????.??.??,35,34,4.6,3.7,0.01,0.03,0.13,-1.69,0,0,1,0,0,2,0,0,1,1,"[{'turn': 'Black', 'fen': '3r1rk1/2q1n3/6p1/4bp1p/2p1P1bP/1nP1BNP1/2Q1NRBK/5R2 b - - 1 29', 'move_number': 30, 'move': 'd8d3', 'prev_move': 'g1f3', 'time_diff': '0:12:58', 'exp_point_loss': 0.45}, {'turn': 'White', 'fen': '5rk1/2q1n3/6p1/4bp1p/2p1P1bP/1nPrBNP1/2Q1NRBK/5R2 w - - 2 30', 'move_number': 30, 'move': 'e3h6', 'prev_move': 'd8d3', 'time_diff': '0:06:35', 'exp_point_loss': 0.45349999999999996}, {'turn': 'Black', 'fen': '6k1/4n3/6pB/4q2p/2p1p1bP/1nPr2P1/Q3NRBK/8 b - - 1 33', 'move_number': 34, 'move': 'g4e2', 'prev_move': 'c2a2', 'time_diff': '0:01:18', 'exp_point_loss': 0.51}]","[{'turn': 'Black', 'fen': 'r1bq1rk1/pp2npb1/2npp1p1/2p3Np/4PP1P/2NP2P1/PPP3B1/R1BQ1RK1 b - - 3 10', 'move_number': 11, 'move': 'f7f6', 'prev_move': 'f3g5', 'time_diff': '0:17:46', 'exp_point_loss': 0.004500000000000004}, {'turn': 'White', 'fen': '1rbq1rk1/pp2n1b1/3pppp1/2p4p/P2nPP1P/2NP2PN/1PP3B1/R1BQ1RK1 w - - 1 13', 'move_number': 13, 'move': 'f1f2', 'prev_move': 'a8b8', 'time_diff': '0:15:31', 'exp_point_loss': 0.006000000000000005}]"
160.0,120.4,0.69,1.18,14.33,29.16,Jan Klimkowski,Emre Can,"Round 2: Klimkowski, Jan - Can, Emre",?,2.27,2503,2568,1.0,0.0,????.??.??,39,38,4.1,3.2,0.02,0.03,0.13,-2.01,1,1,1,2,1,2,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1b2kr1/1pq2p1p/5p2/p1np4/8/P1PBP3/4NPPP/RQ3RK1 b - - 1 17', 'move_number': 18, 'move': 'b7b6', 'prev_move': 'b4b1', 'time_diff': '0:05:03', 'exp_point_loss': 0.26849999999999996}, {'turn': 'White', 'fen': 'r7/2q1kp2/1p2bp2/p1np2r1/8/P1P1P1N1/2B2PPP/RQ3RK1 w - - 5 21', 'move_number': 21, 'move': 'e3e4', 'prev_move': 'f8e7', 'time_diff': '0:03:40', 'exp_point_loss': 0.4145}, {'turn': 'Black', 'fen': 'r7/2q1kp2/1p2bp2/p1n3r1/4B3/P1P3N1/5PPP/RQ3RK1 b - - 0 22', 'move_number': 23, 'move': 'a8c8', 'prev_move': 'c2e4', 'time_diff': '0:08:43', 'exp_point_loss': 0.38}]",[]
161.1,162.6,0.01,0.01,4.3,3.22,Ngoc Truong Son Nguyen,Vahap Sanal,"Round 4: Nguyen, Ngoc Truong Son - Sanal, Vahap",?,4.19,2632,2555,0.5,0.5,????.??.??,10,9,16.1,18.1,0.0,0.0,0.19,0.27,0,0,0,0,0,0,0,0,0,0,[],[]
148.3,146.1,0.9,0.89,12.15,11.85,Elham Amar,Parham Maghsoodloo,"Round 5: Amar, Elham - Maghsoodloo, Parham",?,5.3,2569,2706,0.5,0.5,????.??.??,59,59,2.5,2.5,0.02,0.02,-0.5,-0.62,1,1,1,1,1,1,0,1,1,1,"[{'turn': 'White', 'fen': '6k1/5p1p/6p1/ppq1n3/4Q3/PPN1n2P/1KPN2P1/8 w - - 3 35', 'move_number': 35, 'move': 'd2f3', 'prev_move': 'f5e3', 'time_diff': '0:02:01', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '6k1/5p1p/6p1/ppq1n3/4Q3/PPN1nN1P/1KP3P1/8 b - - 4 35', 'move_number': 36, 'move': 'e5c6', 'prev_move': 'd2f3', 'time_diff': '0:01:04', 'exp_point_loss': 0.5}]","[{'turn': 'Black', 'fen': '2bq1rk1/r3nppp/p2p4/1p2n3/4PQ2/1NN5/PPP1B1PP/1K1R3R b - - 4 16', 'move_number': 17, 'move': 'c8e6', 'prev_move': 'd3e2', 'time_diff': '0:24:20', 'exp_point_loss': 0.009500000000000008}, {'turn': 'White', 'fen': '3q1rk1/r3nppp/p2pb3/1p2n3/4PQ2/1NN5/PPP1B1PP/1K1R3R w - - 5 17', 'move_number': 17, 'move': 'a2a3', 'prev_move': 'c8e6', 'time_diff': '0:16:46', 'exp_point_loss': 0.027000000000000024}, {'turn': 'Black', 'fen': '8/6nk/8/1P3p2/3N2p1/8/K2Q2P1/5q2 b - - 0 57', 'move_number': 58, 'move': 'f5f4', 'prev_move': 'b4b5', 'time_diff': '0:40:00', 'exp_point_loss': 0}]"
