Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Anish Giri,163.1,0.15,36.69,9,7.0,163.1,0.05,2738,2832,340,5,4,3.92,4.15,0.25,98.26,0.3,0.26,0.0,161.8,164.8,4.0,3.0,1.32,17.19,0.06,9654.5
Velimir Ivic,159.5,0.36,9.99,9,6.0,160.5,0.16,2630,2698,264,4,5,6.43,4.7,0.48,12.86,0.11,0.13,0.55,161.3,158.2,2.0,4.0,3.24,22.1,0.23,165.28
Aditya Mittal,158.0,0.35,43.76,9,5.5,161.8,0.19,2547,2735,391,5,4,7.94,10.9,0.52,102.61,0.02,0.18,0.57,163.6,151.0,4.0,1.5,3.18,118.79,0.27,10528.16
Shant Sargsyan,157.9,0.43,8.26,9,6.0,160.1,0.14,2666,2690,356,5,4,7.0,6.49,0.41,6.4,0.02,0.59,0.23,156.2,160.0,3.5,2.5,3.87,42.08,0.17,40.91
Sergei Lobanov,157.5,0.21,5.71,9,4.5,161.3,0.05,2527,2581,340,5,4,4.12,9.84,0.3,5.86,-0.0,0.15,0.28,161.5,152.5,3.5,1.0,1.89,96.88,0.09,34.4
David Paravyan,157.2,0.34,7.88,9,5.5,159.9,0.06,2596,2596,406,4,5,6.67,6.57,0.4,6.42,-0.02,0.5,0.21,153.0,160.6,2.0,3.5,3.05,43.15,0.16,41.16
Jinshi Bai,156.3,0.2,7.38,8,4.5,160.2,0.02,2572,2541,280,4,4,3.2,9.02,0.36,8.47,-0.07,0.26,0.14,156.6,156.0,2.5,2.0,1.62,81.33,0.13,71.67
Bardiya Daneshvar,155.7,0.47,9.56,9,5.5,159.5,0.41,2621,2619,301,5,4,9.05,10.05,0.27,5.82,-0.1,0.43,0.52,153.7,158.2,2.5,3.0,4.25,100.91,0.08,33.9
David Gavrilescu,155.7,0.4,30.46,9,5.5,159.2,0.21,2554,2603,436,4,5,7.74,8.19,0.44,66.77,-0.1,0.18,0.57,159.7,152.5,3.0,2.5,3.61,67.08,0.19,4458.26
Read Samadov,155.4,0.33,69.17,9,4.0,160.1,0.25,2521,2549,356,4,5,7.0,9.46,0.24,182.67,-0.12,0.22,0.42,160.3,151.6,2.5,1.5,3.01,89.43,0.06,33370.03
