white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
162.4,162.5,0.24,0.23,5.02,4.77,Samuel Sevian,Nodirbek Abdusattorov,Sinquefield Cup,"Saint Louis, United States",5.3,2683,2771,0.5,0.5,????.??.??,54,53,3.0,3.1,0.0,0.0,0.26,0.27,1,0,0,1,0,0,0,0,2,1,[],"[{'turn': 'White', 'fen': 'r1bq1rk1/bpp2ppp/p2p4/4n3/3NP3/1PP5/1P3PPP/R1BQRNK1 w - - 1 14', 'move_number': 14, 'move': 'c1e3', 'prev_move': 'g4e5', 'time_diff': '0:24:03', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '7k/2pqr1pb/pp1prp1p/8/1PP1PP2/1P4NP/4R1PK/Q3R3 b - - 7 31', 'move_number': 32, 'move': 'f6f5', 'prev_move': 'd4a1', 'time_diff': '0:16:02', 'exp_point_loss': 0.04899999999999999}, {'turn': 'White', 'fen': '4b3/2Q3pk/1p5p/5p1P/2P2P2/6N1/1q4PK/8 w - - 1 41', 'move_number': 41, 'move': 'c7c8', 'prev_move': 'g6e8', 'time_diff': '0:22:40', 'exp_point_loss': 0}]"
165.1,165.2,0.09,0.09,5.03,4.67,Praggnanandhaa R,Fabiano Caruana,Sinquefield Cup,"Saint Louis, United States",2.1,2779,2784,0.5,0.5,????.??.??,37,36,4.5,4.6,0.0,0.0,0.41,0.41,0,0,0,0,0,0,0,0,2,1,[],"[{'turn': 'White', 'fen': 'r1bq1rk1/p2pp1bp/2p1npp1/4P3/2P4Q/2N2N2/PP3PPP/R1B1R1K1 w - - 0 13', 'move_number': 13, 'move': 'e5f6', 'prev_move': 'f7f6', 'time_diff': '0:20:23', 'exp_point_loss': 0.02999999999999997}, {'turn': 'White', 'fen': 'r1bq1rk1/p2p2bp/2p1npp1/8/2P4Q/2N2N2/PP3PPP/R1B1R1K1 w - - 0 14', 'move_number': 14, 'move': 'f3d4', 'prev_move': 'e7f6', 'time_diff': '0:16:53', 'exp_point_loss': 0.015500000000000014}, {'turn': 'Black', 'fen': 'r1bnr1k1/p5bp/2pp2p1/5p2/2PN4/2N1B3/PP3PPP/2RR2K1 b - - 1 18', 'move_number': 19, 'move': 'a8b8', 'prev_move': 'a1c1', 'time_diff': '0:16:36', 'exp_point_loss': 0.0010000000000000009}]"
165.4,165.5,0.08,0.07,6.54,5.85,Maxime Vachier-Lagrave,Praggnanandhaa R,Sinquefield Cup,"Saint Louis, United States",5.5,2736,2779,0.5,0.5,????.??.??,26,26,6.4,6.4,0.0,0.0,0.42,0.43,0,0,0,0,0,0,1,0,0,0,[],"[{'turn': 'White', 'fen': 'r1b2rk1/pp2qpbp/2p2np1/2p1p3/1P2P3/P2P1N2/2P2PPP/RNBQR1K1 w - - 1 10', 'move_number': 10, 'move': 'b4c5', 'prev_move': 'e8g8', 'time_diff': '0:38:41', 'exp_point_loss': 0}]"
139.9,140.0,1.45,1.45,11.01,10.79,Gukesh D,Levon Aronian,Sinquefield Cup,https://lichess.org/broadcast/gct-sinquefield-cup-2025--sinquefield-cup/round-8/26LGhipH/tlNuBtVA,8.5,2776,2737,0.5,0.5,????.??.??,77,77,1.8,1.8,0.02,0.02,-0.95,-0.95,1,2,2,4,1,2,0,0,1,2,"[{'turn': 'Black', 'fen': '6k1/8/pB2p1Bp/Pb2P2P/5PP1/2K5/1r6/8 b - - 6 56', 'move_number': 57, 'move': 'b2e2', 'prev_move': 'd2c3', 'time_diff': '0:00:57', 'exp_point_loss': 0.2365}, {'turn': 'White', 'fen': '3B2k1/8/p3p1Bp/P3P2P/1K3PP1/3br3/8/8 w - - 11 59', 'move_number': 59, 'move': 'b4c5', 'prev_move': 'b5d3', 'time_diff': '0:01:55', 'exp_point_loss': 0.4555}, {'turn': 'White', 'fen': '5r2/P7/1K2p3/4Pk1p/7B/8/8/8 w - - 0 68', 'move_number': 68, 'move': 'h4f2', 'prev_move': 'h6h5', 'time_diff': '0:00:58', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '5r2/P7/1K2p3/4Pk1p/8/8/5B2/8 b - - 1 68', 'move_number': 69, 'move': 'f8a8', 'prev_move': 'h4f2', 'time_diff': '0:01:06', 'exp_point_loss': 0.5}]","[{'turn': 'Black', 'fen': '2r1k2r/p4ppp/b1n1pn2/2P5/P1p5/6P1/1B1NPPBP/2R1K2R b Kk - 2 17', 'move_number': 18, 'move': 'c6a5', 'prev_move': 'a1c1', 'time_diff': '0:15:43', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '2r1k2r/p4ppp/b1P1pn2/8/P7/1pB3P1/4PPBP/2R1K2R b Kk - 0 20', 'move_number': 21, 'move': 'f6d5', 'prev_move': 'c5c6', 'time_diff': '0:17:08', 'exp_point_loss': 0.003500000000000003}, {'turn': 'White', 'fen': '5r2/5k2/p3p2p/P3P3/3B2BP/1K1b2P1/5P2/8 w - - 4 41', 'move_number': 41, 'move': 'd4e3', 'prev_move': 'g7f7', 'time_diff': '0:20:34', 'exp_point_loss': 0.0010000000000000009}]"
160.3,132.6,0.85,1.35,13.54,24.98,Gukesh D,Nodirbek Abdusattorov,Sinquefield Cup,"Saint Louis, United States",2.5,2776,2771,1.0,0.0,????.??.??,50,49,3.2,2.7,0.02,0.03,0.15,-1.35,2,0,2,1,0,3,0,0,2,1,"[{'turn': 'Black', 'fen': '2kr3r/2p2ppp/3bb3/1pnqn1N1/8/2Pp4/BP1N1PPP/R1BQR1K1 b - - 1 17', 'move_number': 18, 'move': 'e5c4', 'prev_move': 'b1a2', 'time_diff': '0:00:45', 'exp_point_loss': 0.39549999999999996}, {'turn': 'White', 'fen': '2kr3r/2pn1ppp/2qbb3/R5N1/1Pp5/2Pp4/3N1PPP/2BQR1K1 w - - 2 21', 'move_number': 21, 'move': 'd2f3', 'prev_move': 'd5c6', 'time_diff': '0:03:18', 'exp_point_loss': 0.4805}, {'turn': 'Black', 'fen': '2kr3r/1qp2pp1/1n1b4/RN1b3p/1Pp5/2PpB3/3N1PPP/3QR1K1 b - - 1 26', 'move_number': 27, 'move': 'd5c6', 'prev_move': 'd4b5', 'time_diff': '0:19:57', 'exp_point_loss': 0.312}, {'turn': 'White', 'fen': '2kr3r/1qp2pp1/1nbb4/RN5p/1Pp5/2PpB3/3N1PPP/3QR1K1 w - - 2 27', 'move_number': 27, 'move': 'b5a7', 'prev_move': 'd5c6', 'time_diff': '0:03:09', 'exp_point_loss': 0.312}, {'turn': 'Black', 'fen': '1k6/2p2pp1/1n1b4/1P1q3p/2p1r3/2PpB3/3Q1PPP/R3R1K1 b - - 7 37', 'move_number': 38, 'move': 'h5h4', 'prev_move': 'a5a1', 'time_diff': '0:01:08', 'exp_point_loss': 0.5}]","[{'turn': 'White', 'fen': '2kr3r/2p2ppp/3bb3/1pnqn1N1/8/2Pp4/1P1N1PPP/RBBQR1K1 w - - 0 17', 'move_number': 17, 'move': 'b1a2', 'prev_move': 'a6b5', 'time_diff': '0:27:48', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '2kr3r/2p2ppp/3bb3/1pnq2N1/2n5/2Pp4/BP1N1PPP/R1BQR1K1 w - - 2 18', 'move_number': 18, 'move': 'b2b4', 'prev_move': 'e5c4', 'time_diff': '0:20:04', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '2kr3r/1qp2pp1/1n1b4/RN1b3p/1Pp5/2PpB3/3N1PPP/3QR1K1 b - - 1 26', 'move_number': 27, 'move': 'd5c6', 'prev_move': 'd4b5', 'time_diff': '0:19:57', 'exp_point_loss': 0.312}]"
164.1,164.2,0.15,0.14,2.96,2.68,Levon Aronian,Samuel Sevian,Sinquefield Cup,"Saint Louis, United States",2.2,2737,2683,0.5,0.5,????.??.??,54,53,3.0,3.1,0.0,0.0,0.35,0.36,0,0,0,1,0,0,0,0,1,1,[],"[{'turn': 'White', 'fen': '2q3k1/1p3rp1/4p2p/1P1pQ3/5r2/2P3RP/6PK/R7 w - - 1 36', 'move_number': 36, 'move': 'g3g7', 'prev_move': 'c6c8', 'time_diff': '0:16:49', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '4R3/1pr4k/4p2p/1P1p4/8/7P/6PK/8 b - - 1 41', 'move_number': 42, 'move': 'd5d4', 'prev_move': 'a8e8', 'time_diff': '0:26:12', 'exp_point_loss': 0}]"
177.1,149.4,-0.05,0.44,5.94,18.6,Praggnanandhaa R,Gukesh D,Sinquefield Cup,"Saint Louis, United States",1.4,2779,2776,1.0,0.0,????.??.??,36,35,4.9,4.3,-0.0,0.01,1.05,-0.44,0,0,0,1,1,0,0,0,2,3,[],"[{'turn': 'Black', 'fen': 'r1b2rk1/1p3ppp/p1n1pn2/2b5/1P6/P1N1PN2/4BPPP/R1BR2K1 b - - 0 13', 'move_number': 14, 'move': 'c5a7', 'prev_move': 'b2b4', 'time_diff': '0:16:22', 'exp_point_loss': 0.04199999999999998}, {'turn': 'Black', 'fen': 'r1b2rk1/bp3ppp/p1n1pn2/8/1P6/P1N1PN2/1B2BPPP/R2R2K1 b - - 2 14', 'move_number': 15, 'move': 'f8d8', 'prev_move': 'c1b2', 'time_diff': '0:16:43', 'exp_point_loss': 0.225}, {'turn': 'White', 'fen': 'r1br2k1/bp3ppp/p1n1pn2/8/1P6/P1N1PN2/1B2BPPP/R2R2K1 w - - 3 15', 'move_number': 15, 'move': 'f3e5', 'prev_move': 'f8d8', 'time_diff': '0:20:41', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': 'r2r2k1/bp1n1ppp/p1n1p3/8/1P2N3/P3P3/1B2BPPP/R2R2K1 b - - 1 17', 'move_number': 18, 'move': 'd7b6', 'prev_move': 'c3e4', 'time_diff': '0:20:52', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '1r1n2k1/bp3ppp/pn2p3/2N5/1P6/P3P3/1B2BPPP/R5K1 w - - 0 20', 'move_number': 20, 'move': 'b2e5', 'prev_move': 'c6d8', 'time_diff': '0:18:34', 'exp_point_loss': 0.008}]"
166.5,166.6,0.02,0.01,3.2,2.07,Jan-Krzysztof Duda,Maxime Vachier-Lagrave,Sinquefield Cup,https://lichess.org/broadcast/gct-sinquefield-cup-2025--sinquefield-cup/round-9/BJihBKx2/xMzC6bcK,9.1,2725,2736,0.5,0.5,????.??.??,15,15,11.1,11.1,0.0,0.0,0.48,0.49,0,0,0,0,0,0,1,0,0,0,[],"[{'turn': 'White', 'fen': 'rnbqk2r/pp2ppbp/6p1/2p5/3PP3/2P2N2/P4PPP/R1BQKB1R w KQkq - 0 8', 'move_number': 8, 'move': 'c1e3', 'prev_move': 'c7c5', 'time_diff': '0:39:37', 'exp_point_loss': 0.0010000000000000009}]"
165.1,165.2,0.09,0.09,3.0,2.59,Samuel Sevian,Gukesh D,Sinquefield Cup,"Saint Louis, United States",3.1,2683,2776,0.5,0.5,????.??.??,44,44,3.8,3.8,0.0,0.0,0.41,0.41,0,0,0,0,0,0,1,0,1,2,[],"[{'turn': 'White', 'fen': 'r1bqkbnr/pp1ppp1p/2n3p1/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4', 'move_number': 4, 'move': 'e1g1', 'prev_move': 'g7g6', 'time_diff': '0:39:52', 'exp_point_loss': 0.0010000000000000009}, {'turn': 'Black', 'fen': 'r2q1rk1/1b2ppbp/p4np1/1p1PB3/2p1P3/2N2N1P/PP3PP1/R2QR1K1 b - - 1 14', 'move_number': 15, 'move': 'e7e6', 'prev_move': 'f4e5', 'time_diff': '0:15:04', 'exp_point_loss': 0.0020000000000000018}, {'turn': 'White', 'fen': 'r2q1rk1/1b3pbp/p3pnp1/1p1PB3/2p1P3/2N2N1P/PP3PP1/R2QR1K1 w - - 0 15', 'move_number': 15, 'move': 'd5e6', 'prev_move': 'e7e6', 'time_diff': '0:16:41', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': 'r5k1/1b4bp/1q1Bpnp1/1p2P3/2p5/2N2N1P/1P3PP1/3QR1K1 b - - 0 20', 'move_number': 21, 'move': 'f6e8', 'prev_move': 'e4e5', 'time_diff': '0:19:26', 'exp_point_loss': 0.003500000000000003}]"
156.9,157.0,0.53,0.53,5.88,5.59,Gukesh D,Maxime Vachier-Lagrave,Sinquefield Cup,"Saint Louis, United States",4.3,2776,2736,0.5,0.5,????.??.??,56,56,2.8,2.8,0.01,0.01,-0.03,-0.03,0,0,1,0,0,1,0,0,1,0,"[{'turn': 'White', 'fen': '4r3/pp1b4/5k2/5nrp/2pNPK2/1P6/P5P1/R2BR3 w - - 2 30', 'move_number': 30, 'move': 'd4f5', 'prev_move': 'd6f5', 'time_diff': '0:02:07', 'exp_point_loss': 0.48950000000000005}, {'turn': 'Black', 'fen': '4r3/pp1b4/5k2/5r1p/2p1P3/1P4K1/P5P1/R2BR3 b - - 1 31', 'move_number': 32, 'move': 'c4b3', 'prev_move': 'f4g3', 'time_diff': '0:03:10', 'exp_point_loss': 0.497}]","[{'turn': 'White', 'fen': 'r1bqkb1r/pp3ppp/2n1pn2/2P5/2p5/2N1BN2/PP2PPPP/R2QKB1R w KQkq - 0 7', 'move_number': 7, 'move': 'd1d8', 'prev_move': 'd5c4', 'time_diff': '0:19:09', 'exp_point_loss': 0}]"
