Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Praggnanandhaa R,165.2,0.2,5.36,9,5.5,165.5,0.07,2779,2826,313,5,4,5.03,5.69,0.31,4.9,0.41,0.05,0.38,167.7,162.1,3.0,2.5,1.79,32.38,0.1,24.0
Fabiano Caruana,162.4,0.35,6.38,9,5.5,165.0,0.1,2784,2825,358,5,4,5.0,9.02,0.5,5.06,0.26,0.33,0.37,162.5,162.2,3.0,2.5,3.16,81.27,0.25,25.58
Wesley So,160.8,0.44,4.74,9,5.5,164.0,0.21,2745,2829,386,4,5,4.9,9.86,0.51,3.4,0.17,0.5,0.39,162.2,159.6,3.0,2.5,3.95,97.15,0.26,11.59
Jan-Krzysztof Duda,160.4,0.35,6.55,9,4.5,166.1,0.09,2725,2753,418,4,5,3.39,13.24,0.54,7.55,0.15,0.33,0.37,163.1,158.2,2.5,2.0,3.15,175.18,0.29,56.98
Levon Aronian,160.4,0.4,4.84,9,5.0,164.1,0.15,2737,2790,410,4,5,2.96,9.89,0.55,4.55,0.15,0.09,0.65,165.2,156.6,2.0,3.0,3.62,97.83,0.3,20.66
Samuel Sevian,159.9,0.37,5.65,9,4.5,164.2,0.14,2683,2758,389,5,4,5.02,9.34,0.5,3.78,0.13,0.55,0.16,156.6,163.9,2.5,2.0,3.37,87.27,0.25,14.26
Maxime Vachier-Lagrave,157.2,0.52,5.62,9,4.5,159.3,0.41,2736,2752,450,5,4,5.66,10.86,0.59,2.83,-0.02,0.47,0.58,158.2,156.0,2.5,2.0,4.68,117.99,0.34,8.0
Gukesh D,152.1,0.74,9.82,9,4.0,149.4,0.85,2776,2709,466,4,5,11.01,10.2,0.49,6.1,-0.29,0.99,0.54,150.7,153.2,2.5,1.5,6.64,104.09,0.24,37.17
Alireza Firouzja,148.0,0.9,31.12,9,3.5,150.3,0.89,2766,2670,455,4,5,8.15,15.18,0.58,58.27,-0.52,0.58,1.16,156.0,141.6,2.0,1.5,8.14,230.29,0.33,3395.02
Nodirbek Abdusattorov,145.4,0.93,20.38,9,2.5,146.7,0.95,2771,2582,471,5,4,21.16,11.61,0.49,15.12,-0.65,1.02,0.83,146.2,144.5,2.0,0.5,8.39,134.76,0.24,228.47
