white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
114.9,78.2,2.59,3.09,16.95,31.23,Nodirbek Yakubboev,Robert Hovhannisyan,"Round 5: Yakubboev, Nodirbek - Hovhannisyan, Robert",?,5.3,2659,2635,1.0,0.0,????.??.??,57,56,2.0,1.4,0.05,0.06,-2.3,-4.28,1,4,3,3,1,6,1,0,0,2,"[{'turn': 'White', 'fen': 'r3k1r1/bppbqp2/5n1p/p2P2p1/PnB1p3/5NB1/1P1N1PPP/1R1Q1RK1 w q - 1 17', 'move_number': 17, 'move': 'd1b3', 'prev_move': 'c6b4', 'time_diff': '0:51:03', 'exp_point_loss': 0.486}, {'turn': 'Black', 'fen': '2kr2r1/bppbqp2/3P3p/p3N1pn/PnB1p3/1Q4B1/1P1N1PPP/1R3RK1 b - - 0 19', 'move_number': 20, 'move': 'e7d6', 'prev_move': 'd5d6', 'time_diff': '0:00:30', 'exp_point_loss': 0.48250000000000004}, {'turn': 'White', 'fen': '8/kp6/1bp3BQ/p2nr1p1/P2r4/1bN4P/5PPK/5R2 w - - 5 37', 'move_number': 37, 'move': 'f1b1', 'prev_move': 'b4d5', 'time_diff': '0:02:02', 'exp_point_loss': 0.352}, {'turn': 'Black', 'fen': '8/kp6/1bp3BQ/p2nr1p1/P2r4/1bN4P/5PPK/1R6 b - - 6 37', 'move_number': 38, 'move': 'd4b4', 'prev_move': 'f1b1', 'time_diff': '0:01:37', 'exp_point_loss': 0.49150000000000005}, {'turn': 'White', 'fen': '8/kp2r1Q1/1bp3B1/p2n2p1/Pr6/1bN4P/5PPK/1R6 w - - 9 39', 'move_number': 39, 'move': 'g7f8', 'prev_move': 'e5e7', 'time_diff': '0:00:26', 'exp_point_loss': 0.46799999999999997}, {'turn': 'Black', 'fen': '5Q2/kp2r3/1bp3B1/p2n2p1/Pr6/1bN4P/5PPK/1R6 b - - 10 39', 'move_number': 40, 'move': 'b4f4', 'prev_move': 'g7f8', 'time_diff': '0:00:28', 'exp_point_loss': 0.46699999999999997}, {'turn': 'Black', 'fen': '2Q5/kp2r3/1bp3B1/p5p1/P4r2/1Rn4P/5PPK/8 b - - 0 41', 'move_number': 42, 'move': 'c3d5', 'prev_move': 'b1b3', 'time_diff': '0:01:46', 'exp_point_loss': 0.29000000000000004}, {'turn': 'Black', 'fen': '2Q5/kp2r3/1bp3B1/p2n2p1/P4r2/1R3P1P/6PK/8 b - - 0 42', 'move_number': 43, 'move': 'f4a4', 'prev_move': 'f2f3', 'time_diff': '0:01:37', 'exp_point_loss': 0.265}, {'turn': 'Black', 'fen': '8/kp2rB2/1np5/p4Qp1/8/5P1P/r5PK/8 b - - 3 45', 'move_number': 46, 'move': 'a2b2', 'prev_move': 'g6f7', 'time_diff': '0:11:21', 'exp_point_loss': 0.5}]","[{'turn': 'White', 'fen': 'r3k1r1/bppbqp2/5n1p/p2P2p1/PnB1p3/5NB1/1P1N1PPP/1R1Q1RK1 w q - 1 17', 'move_number': 17, 'move': 'd1b3', 'prev_move': 'c6b4', 'time_diff': '0:51:03', 'exp_point_loss': 0.486}, {'turn': 'Black', 'fen': 'r3k1r1/bppbqp2/5n1p/p2P2p1/PnB1p3/1Q3NB1/1P1N1PPP/1R3RK1 b q - 2 17', 'move_number': 18, 'move': 'e8c8', 'prev_move': 'd1b3', 'time_diff': '0:29:47', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '2kr2r1/bppb1p2/3q3p/p3N1pn/PnB1N3/1Q4B1/1P3PPP/1R3RK1 b - - 0 20', 'move_number': 21, 'move': 'd6e7', 'prev_move': 'd2e4', 'time_diff': '0:17:16', 'exp_point_loss': 0.0050000000000000044}]"
143.2,143.3,1.03,1.02,11.7,11.63,Xiangyu Xu,Dmitrij Kollars,"Round 2: Xu, Xiangyu - Kollars, Dmitrij",?,2.1,2623,2625,0.5,0.5,????.??.??,71,70,2.0,2.0,0.01,0.01,-0.77,-0.77,2,0,2,6,0,1,0,0,2,0,"[{'turn': 'Black', 'fen': 'r3rnk1/ppQb1pp1/4qn1p/P2p4/3Pp3/BP2P2P/3NBPP1/R4RK1 b - - 7 18', 'move_number': 19, 'move': 'd7c6', 'prev_move': 'c2c7', 'time_diff': '0:12:50', 'exp_point_loss': 0.2965}, {'turn': 'White', 'fen': 'r3rnk1/ppQ2pp1/2b1qn1p/P2p4/3Pp3/BP2P2P/3NBPP1/R4RK1 w - - 8 19', 'move_number': 19, 'move': 'f1c1', 'prev_move': 'd7c6', 'time_diff': '0:00:08', 'exp_point_loss': 0.301}, {'turn': 'White', 'fen': '8/2k2p2/2p5/2Kp2pp/1P1P4/4P1PP/8/8 w - - 0 56', 'move_number': 56, 'move': 'b4b5', 'prev_move': 'g7g5', 'time_diff': '0:00:04', 'exp_point_loss': 0.4895}]","[{'turn': 'White', 'fen': 'r1bqr1k1/pp1n1ppp/2pbpn2/3p4/P1PP4/2N1PN2/1P2BPPP/R1BQ1RK1 w - - 1 9', 'move_number': 9, 'move': 'h2h3', 'prev_move': 'f8e8', 'time_diff': '0:20:00', 'exp_point_loss': 0.0025000000000000022}, {'turn': 'White', 'fen': 'r1b1r1k1/pp1nqppp/2pbpn2/3p4/P1PP4/2N1PN1P/1P2BPP1/R1BQ1RK1 w - - 1 10', 'move_number': 10, 'move': 'a4a5', 'prev_move': 'd8e7', 'time_diff': '0:15:05', 'exp_point_loss': 0}]"
159.6,160.1,0.29,0.28,6.1,5.82,Benjamin Gledura,Aram Hakobyan,"Round 5: Gledura, Benjamin - Hakobyan, Aram",?,5.5,2668,2620,0.5,0.5,????.??.??,50,50,3.2,3.2,0.01,0.01,0.11,0.14,0,0,0,0,0,0,0,0,0,1,[],"[{'turn': 'Black', 'fen': 'r1bqk2r/1pp2ppp/2n1pn2/p7/1bPp4/3P1NP1/PPNBPPBP/R2QK2R b KQkq - 3 8', 'move_number': 9, 'move': 'b4d2', 'prev_move': 'a3c2', 'time_diff': '0:21:21', 'exp_point_loss': 0}]"
162.4,163.0,0.08,0.07,5.04,4.76,Samuel Sevian,Nodirbek Yakubboev,"Round 8: Sevian, Samuel - Yakubboev, Nodirbek",?,8.5,2687,2659,0.5,0.5,????.??.??,25,25,6.5,6.5,0.0,0.0,0.26,0.29,0,0,0,0,0,0,0,0,1,0,[],"[{'turn': 'White', 'fen': '1brrq3/1p1b1ppk/p1n2n1p/4pN2/1P5N/P4QP1/1B2PPBP/2RR2K1 w - - 6 23', 'move_number': 23, 'move': 'f3d3', 'prev_move': 'g8h7', 'time_diff': '0:15:40', 'exp_point_loss': 0}]"
162.3,160.7,0.2,0.19,9.42,8.53,Robert Hovhannisyan,Chithambaram VR. Aravindh,"Round 2: Hovhannisyan, Robert - Aravindh, Chithambaram VR.",?,2.5,2635,2749,0.5,0.5,????.??.??,33,32,4.9,5.0,0.01,0.01,0.25,0.17,0,0,0,0,0,0,0,0,0,1,[],"[{'turn': 'Black', 'fen': '2kr3r/3bbp2/p1nppp2/1p3P1p/4P3/3B1N2/PPPRN1PP/1K5R b - - 0 16', 'move_number': 17, 'move': 'h5h4', 'prev_move': 'd1d2', 'time_diff': '0:24:45', 'exp_point_loss': 0}]"
161.3,161.3,0.18,0.18,4.91,4.53,Benjamin Gledura,Nodirbek Yakubboev,"Round 2: Gledura, Benjamin - Yakubboev, Nodirbek",?,2.2,2663,2665,0.5,0.5,????.??.??,33,32,4.9,5.0,0.01,0.01,0.2,0.2,0,1,0,1,0,0,1,0,1,1,[],"[{'turn': 'Black', 'fen': 'r1bqr1k1/ppp2p2/2n5/3pN1pp/3Pn3/P3P1B1/1PQ2PPP/R3KB1R b KQ - 1 13', 'move_number': 14, 'move': 'e8e6', 'prev_move': 'f3e5', 'time_diff': '0:24:24', 'exp_point_loss': 0}, {'turn': 'White', 'fen': 'r1bq2k1/ppp2p2/4r3/1B1pn1pp/3Pn3/P3P1B1/1PQ2PPP/R3K2R w KQ - 0 15', 'move_number': 15, 'move': 'g3e5', 'prev_move': 'c6e5', 'time_diff': '0:15:19', 'exp_point_loss': 0}, {'turn': 'White', 'fen': 'r1bq2k1/1p3p2/p3r3/3pB1pp/B1pPn3/P3P3/1PQ2PPP/R4RK1 w - - 0 18', 'move_number': 18, 'move': 'c2e2', 'prev_move': 'a7a6', 'time_diff': '0:35:13', 'exp_point_loss': 0.006000000000000005}]"
163.0,163.5,0.03,0.05,2.82,4.5,Samuel Sevian,Benjamin Gledura,"Round 1: Sevian, Samuel - Gledura, Benjamin",?,1.4,2694,2663,0.5,0.5,????.??.??,17,16,9.6,10.2,0.0,0.0,0.29,0.32,0,0,0,0,0,0,0,0,2,2,[],"[{'turn': 'Black', 'fen': 'r1bq1rk1/1p3ppp/p1n2n2/3pN3/1bpP4/2N1P3/PPBB1PPP/R2Q1RK1 b - - 7 11', 'move_number': 12, 'move': 'c6e7', 'prev_move': 'c1d2', 'time_diff': '0:18:00', 'exp_point_loss': 0}, {'turn': 'White', 'fen': 'r1bq1rk1/1p2nppp/p4n2/3pN3/1bpP4/2N1P3/PPBB1PPP/R2Q1RK1 w - - 8 12', 'move_number': 12, 'move': 'b2b3', 'prev_move': 'c6e7', 'time_diff': '0:16:07', 'exp_point_loss': 0.0025000000000000022}, {'turn': 'Black', 'fen': 'r1bq1rk1/1p2nppp/p4n2/3pN3/1bpP4/1PN1P3/P1BB1PPP/R2Q1RK1 b - - 0 12', 'move_number': 13, 'move': 'c4b3', 'prev_move': 'b2b3', 'time_diff': '0:22:44', 'exp_point_loss': 0.0025000000000000022}, {'turn': 'White', 'fen': 'r4rk1/1p2nppp/p7/q2pNb2/3Pn3/1B2P3/PQ2NPPP/R4RK1 w - - 3 17', 'move_number': 17, 'move': 'f1c1', 'prev_move': 'd8a5', 'time_diff': '0:16:47', 'exp_point_loss': 0.04199999999999998}]"
159.1,159.5,0.34,0.33,7.34,7.05,Nodirbek Yakubboev,Xiangyu Xu,"Round 9: Yakubboev, Nodirbek - Xu, Xiangyu",?,9.1,2659,2611,0.5,0.5,????.??.??,58,58,2.7,2.7,0.01,0.01,0.08,0.1,2,0,0,1,0,0,0,1,0,1,[],"[{'turn': 'Black', 'fen': 'r1b1r1k1/1p1n1pbp/2p2np1/qP1pP3/p7/B2BPN2/P1PN1PPP/1RQ2RK1 b - - 0 13', 'move_number': 14, 'move': 'f6g4', 'prev_move': 'd4e5', 'time_diff': '0:22:47', 'exp_point_loss': 0.03049999999999997}, {'turn': 'Black', 'fen': 'r1b3k1/1p1n1pbp/2p1r1p1/qP1p4/p1P3n1/B2BPN2/P2N1PPP/1RQ2RK1 b - - 0 15', 'move_number': 16, 'move': 'g4e5', 'prev_move': 'c2c4', 'time_diff': '0:36:25', 'exp_point_loss': 0.010499999999999954}]"
166.6,145.3,0.08,0.58,0.26,22.96,Chithambaram VR. Aravindh,Xiangyu Xu,"Round 3: Aravindh, Chithambaram VR. - Xu, Xiangyu",?,3.1,2749,2623,1.0,0.0,????.??.??,27,27,6.2,5.4,0.0,0.02,0.49,-0.66,1,0,0,0,0,2,0,0,2,1,"[{'turn': 'Black', 'fen': 'rnb2rk1/ppq3pp/4p3/5p2/2P5/PQB2P1N/4P1PP/3R1K1R b - - 2 16', 'move_number': 17, 'move': 'f8e8', 'prev_move': 'a1d1', 'time_diff': '0:00:17', 'exp_point_loss': 0.278}, {'turn': 'Black', 'fen': 'rnb1r1k1/ppq3pp/4p3/5p2/2P5/PQB2P1N/4P1PP/3R1KR1 b - - 4 17', 'move_number': 18, 'move': 'b8c6', 'prev_move': 'h1g1', 'time_diff': '0:26:53', 'exp_point_loss': 0.253}]","[{'turn': 'White', 'fen': 'rnb2rk1/ppq3pp/4p3/5p2/2P5/PQB2P1N/4P1PP/R4K1R w - - 1 16', 'move_number': 16, 'move': 'a1d1', 'prev_move': 'e8g8', 'time_diff': '0:23:13', 'exp_point_loss': 0.01150000000000001}, {'turn': 'White', 'fen': 'rnb1r1k1/ppq3pp/4p3/5p2/2P5/PQB2P1N/4P1PP/3R1K1R w - - 3 17', 'move_number': 17, 'move': 'h1g1', 'prev_move': 'f8e8', 'time_diff': '0:16:06', 'exp_point_loss': 0.12100000000000002}, {'turn': 'Black', 'fen': 'rnb1r1k1/ppq3pp/4p3/5p2/2P5/PQB2P1N/4P1PP/3R1KR1 b - - 4 17', 'move_number': 18, 'move': 'b8c6', 'prev_move': 'h1g1', 'time_diff': '0:26:53', 'exp_point_loss': 0.253}]"
163.8,138.3,0.45,0.95,-105.62,24.2,Praggnanandhaa R,Nodirbek Yakubboev,"Round 4: Praggnanandhaa R - Yakubboev, Nodirbek",?,4.3,2767,2659,1.0,0.0,????.??.??,77,76,2.1,1.8,0.01,0.01,0.34,-1.04,2,1,0,1,0,1,0,0,1,1,"[{'turn': 'Black', 'fen': '5k2/8/p6P/1p1p2QK/4q3/P5P1/8/8 b - - 6 56', 'move_number': 57, 'move': 'e4h1', 'prev_move': 'g4h5', 'time_diff': '0:03:50', 'exp_point_loss': 0.4995}]","[{'turn': 'White', 'fen': 'r1bqk2r/ppb2ppp/2n1pn2/8/3pP3/P2B1N2/1PPBNPPP/R2Q1RK1 w kq - 2 12', 'move_number': 12, 'move': 'c2c3', 'prev_move': 'd6c7', 'time_diff': '0:15:37', 'exp_point_loss': 0.014499999999999957}, {'turn': 'Black', 'fen': '5k2/1p6/p5Q1/3p2pP/8/P5PK/5q2/8 b - - 1 51', 'move_number': 52, 'move': 'b7b5', 'prev_move': 'h2h3', 'time_diff': '0:22:47', 'exp_point_loss': 0}]"
