Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Praggnanandhaa R,161.7,0.25,-4.89,9,6.5,163.9,0.04,2764,2823,363,4,5,2.68,8.22,0.38,38.55,0.22,0.51,0.05,159.1,163.8,3.5,3.0,2.27,67.51,0.15,1485.77
Chithambaram VR. Aravindh,161.7,0.27,5.63,9,6.5,163.1,0.13,2749,2825,352,5,4,4.4,7.36,0.35,3.65,0.23,0.17,0.39,164.9,157.8,4.0,2.5,2.42,54.13,0.12,13.32
Dmitrij Kollars,159.6,0.3,5.79,9,5.0,162.3,0.11,2630,2712,343,4,5,3.94,7.04,0.45,3.7,0.11,0.35,0.27,161.2,158.3,2.5,2.5,2.74,49.52,0.21,13.71
Samuel Sevian,157.4,0.35,5.12,9,4.5,161.7,0.11,2689,2664,330,5,4,5.04,9.68,0.49,3.23,-0.01,0.25,0.48,159.6,154.7,2.5,2.0,3.16,93.67,0.24,10.43
Xiangyu Xu,156.0,0.43,9.85,9,4.0,156.9,0.53,2615,2635,390,4,5,7.5,7.76,0.34,7.01,-0.08,0.57,0.32,154.6,157.2,2.0,2.0,3.88,60.27,0.12,49.1
Jonas Buhl Bjerre,154.7,0.46,7.29,9,4.5,162.1,0.16,2648,2669,298,5,4,4.67,10.49,0.51,5.63,-0.15,0.46,0.46,155.6,153.6,3.0,1.5,4.15,110.14,0.26,31.73
Aram Hakobyan,153.3,0.59,22.41,9,4.0,154.9,0.6,2620,2635,495,4,5,7.44,6.97,0.37,42.5,-0.23,0.44,0.71,152.2,154.1,1.0,3.0,5.27,48.61,0.13,1806.52
Nodirbek Yakubboev,148.0,0.69,33.97,9,4.0,161.3,0.18,2661,2629,362,5,4,5.08,22.58,0.93,75.88,-0.51,1.0,0.3,140.9,157.0,2.5,1.5,6.2,509.87,0.87,5757.8
Benjamin Gledura,147.9,0.59,16.22,9,2.5,152.0,0.41,2666,2503,333,4,5,13.24,17.16,0.56,14.56,-0.52,0.22,0.89,157.6,140.1,1.5,1.0,5.32,294.59,0.31,212.04
Robert Hovhannisyan,147.6,0.62,11.6,9,3.5,161.6,0.2,2635,2593,410,5,4,5.73,28.85,1.0,11.03,-0.54,0.43,0.87,153.7,139.9,2.0,1.5,5.6,832.07,0.99,121.75
