white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
129.6,101.8,2.51,3.0,-44.58,-21.54,Mobina Alinasab,Narmin Mammadova,"Round 14: Alinasab, Mobina - Mammadova, Narmin",?,14.29,2310,2220,1.0,0.0,????.??.??,60,59,2.2,1.7,0.04,0.05,-1.51,-3.0,1,3,4,2,1,7,0,0,0,1,"[{'turn': 'Black', 'fen': '2r1qrk1/1bpnbppp/1p2p3/pNn1P3/2P2B1P/5NP1/PP2QPB1/R2R2K1 b - - 4 15', 'move_number': 16, 'move': 'e7d8', 'prev_move': 'c1f4', 'time_diff': '0:12:21', 'exp_point_loss': 0.31}, {'turn': 'Black', 'fen': '2rbqrk1/2p3pp/1p2pn2/pNn1N3/2P2B1P/6P1/PP1RQPK1/R7 b - - 0 19', 'move_number': 20, 'move': 'd8e7', 'prev_move': 'g1g2', 'time_diff': '0:05:07', 'exp_point_loss': 0.3225}, {'turn': 'White', 'fen': '2r1qrk1/2p1b1pp/1p1np3/pNn1N3/2PR1B1P/6P1/PP2QPK1/3R4 w - - 5 22', 'move_number': 22, 'move': 'f4g5', 'prev_move': 'e4d6', 'time_diff': '0:01:07', 'exp_point_loss': 0.4695}, {'turn': 'Black', 'fen': '2r1qrk1/2p1b1pp/1p1np3/pNn1N1B1/2PR3P/6P1/PP2QPK1/3R4 b - - 6 22', 'move_number': 23, 'move': 'd6f5', 'prev_move': 'f4g5', 'time_diff': '0:01:28', 'exp_point_loss': 0.3815}, {'turn': 'White', 'fen': '2r1qrk1/2p1b1pp/1p2p3/pNn1NnB1/2PR3P/6P1/PP2QPK1/3R4 w - - 7 23', 'move_number': 23, 'move': 'd4d2', 'prev_move': 'd6f5', 'time_diff': '0:00:36', 'exp_point_loss': 0.3655}, {'turn': 'Black', 'fen': '2r1qrk1/2p3pp/1p1bp3/pNn1NnB1/2P4P/6P1/PP1RQP2/3R2K1 b - - 10 24', 'move_number': 25, 'move': 'h7h6', 'prev_move': 'g2g1', 'time_diff': '0:00:55', 'exp_point_loss': 0.31}, {'turn': 'Black', 'fen': '2r2rk1/2p2qp1/1p2p2p/p1n1Bn2/2P4P/2N3P1/PP1RQP1K/3R4 b - - 4 28', 'move_number': 29, 'move': 'f7e7', 'prev_move': 'b5c3', 'time_diff': '0:01:36', 'exp_point_loss': 0.2435}, {'turn': 'White', 'fen': '3r1rk1/2p1q1p1/1p2p2p/p1n1Bn2/2P4P/2N3P1/PP1RQP2/3R2K1 w - - 7 30', 'move_number': 30, 'move': 'c3e4', 'prev_move': 'c8d8', 'time_diff': '0:02:37', 'exp_point_loss': 0.3105}, {'turn': 'Black', 'fen': '3r1rk1/2p1q1p1/1p2p2p/p1n1Bn2/2P1N2P/6P1/PP1RQP2/3R2K1 b - - 8 30', 'move_number': 31, 'move': 'c5e4', 'prev_move': 'c3e4', 'time_diff': '0:00:28', 'exp_point_loss': 0.33899999999999997}, {'turn': 'White', 'fen': '3r2k1/2p1q1p1/1p2p2p/p3Bn2/2P1Q2P/6P1/PP1R1P2/6K1 w - - 1 33', 'move_number': 33, 'move': 'e5f6', 'prev_move': 'f8d8', 'time_diff': '0:11:40', 'exp_point_loss': 0.4825}, {'turn': 'Black', 'fen': '7k/2p1q1p1/1p5p/p4Q2/2P4P/1P4P1/P4P2/6K1 b - - 0 37', 'move_number': 38, 'move': 'h8g8', 'prev_move': 'b2b3', 'time_diff': '0:00:34', 'exp_point_loss': 0.4995}]","[{'turn': 'Black', 'fen': 'rn1q1rk1/pbpnbppp/1p2p3/3pP3/2P5/3P1NP1/PP2QPBP/RNB2RK1 b - - 0 9', 'move_number': 10, 'move': 'd5c4', 'prev_move': 'c2c4', 'time_diff': '0:16:44', 'exp_point_loss': 0.0025000000000000022}]"
159.3,159.3,0.41,0.4,3.98,3.84,Bardiya Daneshvar,Mircea-Emilian Parligras,"Round 2: Daneshvar, Bardiya - Parligras, Mircea-Emilian",?,2.14,2625,2505,0.5,0.5,????.??.??,45,44,3.5,3.6,0.01,0.01,0.09,0.1,3,0,0,2,0,0,0,0,1,1,[],"[{'turn': 'Black', 'fen': '2rqr1k1/pb2bpp1/1pn1pn1p/2p5/P1N1PB1P/1P1P1NP1/1Q3PB1/R2R2K1 b - - 2 16', 'move_number': 17, 'move': 'c6b4', 'prev_move': 'e2b2', 'time_diff': '0:22:02', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '2r5/pq3p1k/1p2p2p/1P2Pp2/P6P/6P1/3R1P1K/3Q4 w - - 3 40', 'move_number': 40, 'move': 'd2d4', 'prev_move': 'g8c8', 'time_diff': '0:15:25', 'exp_point_loss': 0}]"
158.3,130.5,0.96,1.46,10.05,25.21,Denis Lazavik,Egehan Yildiz,"Round 6: Lazavik, Denis - Yildiz, Egehan",?,6.42,2584,2142,1.0,0.0,????.??.??,39,38,4.1,3.4,0.02,0.04,0.04,-1.46,1,1,1,4,2,1,0,0,0,1,"[{'turn': 'White', 'fen': '2q3k1/1b3pp1/pp2nn2/3pN2p/Q2P4/P3B1P1/1P3P1P/5BK1 w - - 0 26', 'move_number': 26, 'move': 'f1e2', 'prev_move': 'a7a6', 'time_diff': '0:06:47', 'exp_point_loss': 0.3295}, {'turn': 'Black', 'fen': '6k1/1bq2pn1/1p4p1/p2p3p/3P1Nn1/PQ1B2P1/1P1B1P1P/6K1 b - - 5 31', 'move_number': 32, 'move': 'c7d6', 'prev_move': 'e3d2', 'time_diff': '0:00:39', 'exp_point_loss': 0.4355}]","[{'turn': 'Black', 'fen': 'r2qr1k1/pb2bppp/1pp1nn2/3pN3/3PP3/2N1B1P1/PP3PBP/2RQ1RK1 b - - 2 14', 'move_number': 15, 'move': 'e7b4', 'prev_move': 'f4e3', 'time_diff': '0:16:39', 'exp_point_loss': 0.004500000000000004}]"
165.7,165.8,0.06,0.05,3.46,3.02,Yanki Taspinar,Alihan Huseyinoglu,"Round 1: Taspinar, Yanki - Huseyinoglu, Alihan",?,1.22,2360,2390,0.5,0.5,????.??.??,41,41,4.0,4.0,0.0,0.0,0.44,0.45,0,0,0,0,0,0,1,0,1,1,[],"[{'turn': 'White', 'fen': '2rq1rk1/1p3pbp/p1npbnp1/4p3/2P1P3/2N1B3/PPN1BPPP/R2Q1RK1 w - - 8 13', 'move_number': 13, 'move': 'f2f3', 'prev_move': 'a8c8', 'time_diff': '0:30:11', 'exp_point_loss': 0.0010000000000000009}, {'turn': 'White', 'fen': '2rq1rk1/1p3pbp/p1npb1p1/4p2n/2P1P3/2N1BP2/PPN1B1PP/R2Q1RK1 w - - 1 14', 'move_number': 14, 'move': 'c3d5', 'prev_move': 'f6h5', 'time_diff': '0:17:38', 'exp_point_loss': 0.006000000000000005}, {'turn': 'Black', 'fen': '2rq1rk1/1p3pbp/p1npb1p1/3Np3/2P1Pn2/3BBP2/PPN3PP/R2Q1RK1 b - - 4 15', 'move_number': 16, 'move': 'c6e7', 'prev_move': 'e2d3', 'time_diff': '0:27:33', 'exp_point_loss': 0.0030000000000000027}]"
138.9,138.9,1.51,1.5,21.75,21.55,Adar Tarhan,Eray Kilic,"Round 4: Tarhan, Adar - Kilic, Eray",?,4.30,2474,2456,0.5,0.5,????.??.??,51,51,2.7,2.7,0.03,0.03,-1.01,-1.0,0,1,3,1,0,3,0,0,0,1,"[{'turn': 'White', 'fen': 'r1b2rk1/pp2ppbp/2n3p1/1NBn4/8/5NP1/P3PPBP/1R3RK1 w - - 2 16', 'move_number': 16, 'move': 'f3e1', 'prev_move': 'b2g7', 'time_diff': '0:05:42', 'exp_point_loss': 0.43199999999999994}, {'turn': 'White', 'fen': 'r5k1/1pr1ppbp/p1n1b1p1/2B5/4P3/3N2P1/P4PBP/1RR3K1 w - - 0 21', 'move_number': 21, 'move': 'a2a4', 'prev_move': 'c8c7', 'time_diff': '0:00:33', 'exp_point_loss': 0.36949999999999994}, {'turn': 'Black', 'fen': '1R6/1pN1bpkp/p3p3/6p1/P3P1K1/3rP1P1/7P/8 b - - 3 38', 'move_number': 39, 'move': 'd3e3', 'prev_move': 'c8b8', 'time_diff': '0:03:57', 'exp_point_loss': 0.478}, {'turn': 'Black', 'fen': '8/1RN1b1kp/p3pp2/6pK/P3P3/4r1P1/7P/8 b - - 0 40', 'move_number': 41, 'move': 'e3e4', 'prev_move': 'b8b7', 'time_diff': '0:11:59', 'exp_point_loss': 0.4135}, {'turn': 'White', 'fen': '5k2/1R2b2p/N3pp2/6pK/P3r3/6P1/7P/8 w - - 1 42', 'move_number': 42, 'move': 'a6c7', 'prev_move': 'g7f8', 'time_diff': '0:00:35', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '5k2/1RN1b2p/4pp2/6pK/P6P/6P1/4r3/8 b - - 0 43', 'move_number': 44, 'move': 'g5h4', 'prev_move': 'h2h4', 'time_diff': '0:05:52', 'exp_point_loss': 0.5}]","[{'turn': 'Black', 'fen': 'r1b2rk1/pp2ppbp/2n3p1/1NBn4/8/5NP1/PP2PPBP/R4RK1 b - - 2 14', 'move_number': 15, 'move': 'g7b2', 'prev_move': 'e3c5', 'time_diff': '0:16:20', 'exp_point_loss': 0.0010000000000000009}]"
166.3,166.3,0.03,0.03,2.52,2.43,Rauf Mamedov,Momchil Petkov,"Round 11: Mamedov, Rauf - Petkov, Momchil",?,11.31,2659,2522,0.5,0.5,????.??.??,23,23,7.2,7.2,0.0,0.0,0.47,0.47,0,0,0,0,0,0,0,0,0,0,[],[]
146.7,174.6,0.59,0.08,25.25,5.31,Kerem Tinmaz,Isik Can,"Round 9: Tinmaz, Kerem - Can, Isik",?,9.10,2054,2504,0.0,1.0,????.??.??,32,32,4.6,5.5,0.02,0.0,-0.59,0.92,0,3,0,1,0,0,0,0,1,0,[],"[{'turn': 'White', 'fen': 'r1b1k2r/1pp1b1pp/p1pq3n/5p2/3NP3/4BP2/PPP3PP/RN1Q1RK1 w kq - 0 11', 'move_number': 11, 'move': 'b1d2', 'prev_move': 'f7f5', 'time_diff': '0:24:04', 'exp_point_loss': 0}]"
127.1,127.2,2.14,2.14,9.93,9.91,Klaudia Kulon,Hatice Asli Mustu,"Round 4: Kulon, Klaudia - Mustu, Hatice Asli",?,4.11,2389,2039,0.5,0.5,????.??.??,121,120,1.1,1.1,0.02,0.02,-1.64,-1.64,1,1,3,3,0,4,0,0,1,1,"[{'turn': 'Black', 'fen': 'r2qk2r/pp2bpp1/2p1p2p/2PpPbn1/1P6/1N2P3/PB2BPPP/R2Q1RK1 b kq - 2 14', 'move_number': 15, 'move': 'g5h7', 'prev_move': 'd2b3', 'time_diff': '0:05:29', 'exp_point_loss': 0.3635}, {'turn': 'Black', 'fen': 'r2qk2r/pp2bppn/2p1p2p/2PpPb1B/1P6/1N2P3/PB3PPP/R2Q1RK1 b kq - 4 15', 'move_number': 16, 'move': 'g7g6', 'prev_move': 'e2h5', 'time_diff': '0:05:06', 'exp_point_loss': 0.287}, {'turn': 'White', 'fen': 'r1q2rk1/1p2b2n/p1p1ppp1/2P1Pb2/PP1Np1Bp/8/1B3PPP/2RQR1K1 w - - 0 23', 'move_number': 23, 'move': 'g4f5', 'prev_move': 'd5e4', 'time_diff': '0:00:19', 'exp_point_loss': 0.34700000000000003}, {'turn': 'Black', 'fen': 'r1q2rk1/1p2b2n/p1p2pp1/2P1Pp2/PP1Np2p/1Q6/1B3PPP/2R1R1K1 b - - 1 24', 'move_number': 25, 'move': 'g8h8', 'prev_move': 'd1b3', 'time_diff': '0:00:06', 'exp_point_loss': 0.43}, {'turn': 'White', 'fen': 'r1q4k/1p2r3/p1pRNnp1/2P2p2/PP2p2p/1Q6/5PPP/4R1K1 w - - 2 30', 'move_number': 30, 'move': 'e1d1', 'prev_move': 'e8e7', 'time_diff': '0:09:44', 'exp_point_loss': 0.502}, {'turn': 'White', 'fen': '3Rr1qk/1p6/p1p1Nnp1/2P2p2/PP2p2p/1Q6/5PPP/6K1 w - - 1 33', 'move_number': 33, 'move': 'd8d6', 'prev_move': 'e7e8', 'time_diff': '0:00:29', 'exp_point_loss': 0.44300000000000006}, {'turn': 'Black', 'fen': '4r1k1/1p6/1R3np1/1pP2p2/4p2p/1N6/5PPP/6K1 b - - 0 38', 'move_number': 39, 'move': 'g8f7', 'prev_move': 'd4b3', 'time_diff': '0:04:41', 'exp_point_loss': 0.494}]","[{'turn': 'Black', 'fen': 'r2qk2r/pp1n1pp1/2p1pb1p/2PpNb2/1P1Pn3/4P3/PB2BPPP/RN1Q1RK1 b kq - 2 11', 'move_number': 12, 'move': 'e4g5', 'prev_move': 'f3e5', 'time_diff': '0:19:21', 'exp_point_loss': 0.025499999999999967}, {'turn': 'White', 'fen': 'r5qk/1p2r3/p1pRNnp1/2P2p2/PP2p2p/1Q6/5PPP/3R2K1 w - - 4 31', 'move_number': 31, 'move': 'd6d8', 'prev_move': 'c8g8', 'time_diff': '0:19:39', 'exp_point_loss': 0.0025000000000000577}]"
157.8,157.9,0.49,0.48,7.92,7.45,Volodar Murzin,Evgeny Romanov,"Round 8: Murzin, Volodar - Romanov, Evgeny",?,8.7,2678,2572,0.5,0.5,????.??.??,38,38,4.2,4.2,0.01,0.01,0.01,0.02,1,1,0,0,0,1,1,0,0,1,"[{'turn': 'Black', 'fen': '6k1/5p2/p5p1/1p1q3p/5QP1/P1P4P/1P2r3/K4R2 b - - 0 36', 'move_number': 37, 'move': 'd5b3', 'prev_move': 'g2g4', 'time_diff': '0:03:17', 'exp_point_loss': 0.3464999999999999}]","[{'turn': 'White', 'fen': 'r2qk2r/1p2bpp1/p1bppn1p/8/3QP2B/2N2P2/PPP3PP/1K1R1B1R w kq - 2 13', 'move_number': 13, 'move': 'b1a1', 'prev_move': 'f8e7', 'time_diff': '0:37:41', 'exp_point_loss': 0.009499999999999953}, {'turn': 'Black', 'fen': 'r3k2r/2q1bpp1/p1bp1n1p/1p2p3/4P2B/2N2P2/PPPQ2PP/K2R1B1R b kq - 1 17', 'move_number': 18, 'move': 'f6e4', 'prev_move': 'g3h4', 'time_diff': '0:26:28', 'exp_point_loss': 0}]"
151.5,151.5,0.83,0.82,12.37,11.97,Rudik Makarian,Ediz Gurel,"Round 8: Makarian, Rudik - Gurel, Ediz",?,8.31,2549,2652,0.5,0.5,????.??.??,30,30,5.0,5.1,0.03,0.03,-0.33,-0.32,2,1,1,1,0,2,0,0,1,0,"[{'turn': 'Black', 'fen': 'r5k1/pp1r1p1p/1q2bp1Q/8/2p1P3/5P2/P1B3PP/R4R1K b - - 3 23', 'move_number': 24, 'move': 'a8d8', 'prev_move': 'g1h1', 'time_diff': '0:07:02', 'exp_point_loss': 0.2535}, {'turn': 'White', 'fen': '3r2k1/pp1r1p1p/4b2Q/4Pp2/2p3P1/5P2/P1Bq3P/1R3R1K w - - 1 27', 'move_number': 27, 'move': 'h6h4', 'prev_move': 'a5d2', 'time_diff': '0:08:52', 'exp_point_loss': 0.4125}, {'turn': 'Black', 'fen': '3r2k1/pp1r1p1p/4b3/4Pp2/2p3PQ/5P2/P1Bq3P/1R3R1K b - - 2 27', 'move_number': 28, 'move': 'd2c2', 'prev_move': 'h6h4', 'time_diff': '0:00:42', 'exp_point_loss': 0.4125}]","[{'turn': 'White', 'fen': 'rn1q1rk1/ppp2ppp/4bn2/4p3/4P3/2PB2N1/P2P1PPP/R1BQK2R w KQ - 1 10', 'move_number': 10, 'move': 'd3c2', 'prev_move': 'd5e6', 'time_diff': '0:17:53', 'exp_point_loss': 0.009000000000000008}]"
