Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Mert Tirak,173.5,0.14,5.84,1.0,1.0,173.5,0.14,1968,1838,25,0,1,5.84,0.0,0.0,0.0,0.86,,0.14,,173.5,0.0,1.0,0.14,0.0,0.0,0.0
Isik Can,169.3,0.31,7.41,9.0,8.5,174.2,0.1,2504,2625,305,4,5,7.32,9.02,0.41,6.31,0.63,0.09,0.49,174.5,165.1,4.0,4.5,2.82,81.36,0.17,39.82
Ekin Baris Ozenir,167.3,0.33,7.53,7.0,6.0,168.7,0.32,2416,2554,304,5,2,5.39,5.71,0.29,5.08,0.53,0.42,0.12,166.5,169.2,4.5,1.5,2.32,32.58,0.09,25.77
Borki Predojevic,166.6,0.02,2.61,1.0,0.5,166.6,0.02,2565,2543,18,1,0,2.61,0.0,0.0,0.0,0.48,0.02,,166.6,,0.5,0.0,0.02,0.0,0.0,0.0
Gorkem Unsal,166.2,0.53,22.32,1.0,1.0,166.2,0.53,2146,2431,38,1,0,22.32,0.0,0.0,0.0,0.47,0.53,,166.2,,1.0,0.0,0.53,0.0,0.0,0.0
Andrey Esipenko,165.7,0.25,6.04,8.0,5.5,165.4,0.12,2682,2727,400,4,4,6.06,6.13,0.32,3.37,0.44,0.34,0.16,165.2,166.2,3.0,2.5,1.99,37.57,0.1,11.35
Nodirbek Yakubboev,165.2,0.31,4.4,7.0,5.0,166.7,0.1,2663,2686,317,5,2,3.22,13.82,0.61,5.78,0.41,0.42,0.02,164.6,166.4,4.0,1.0,2.14,190.88,0.37,33.38
Omer Faruk Ozer,165.0,0.6,10.02,1.0,1.0,165.0,0.6,2340,2414,48,0,1,10.02,0.0,0.0,0.0,0.4,,0.6,,165.0,0.0,1.0,0.6,0.0,0.0,0.0
Volodar Murzin,164.5,0.17,4.71,12.0,6.5,165.9,0.1,2678,2624,379,6,6,4.15,3.48,0.18,2.91,0.38,0.24,0.09,163.9,165.1,3.5,3.0,2.0,12.09,0.03,8.45
Tobias Kuegel,164.2,0.14,2.19,2.0,1.0,164.2,0.14,2394,2593,165,1,1,2.19,1.06,0.06,1.03,0.36,0.18,0.1,163.5,165.0,0.5,0.5,0.28,1.12,0.0,1.05
