white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
166.0,138.0,0.47,0.96,7.36,24.34,Nodirbek Abdusattorov,Chithambaram VR. Aravindh,"Round 5: Abdusattorov, Nodirbek - Aravindh, Chithambaram VR.",?,5.3,2767,2749,1.0,0.0,????.??.??,33,32,5.0,4.3,0.01,0.03,0.46,-1.05,0,0,1,0,0,2,0,0,2,1,"[{'turn': 'Black', 'fen': 'r1bq1rk1/p3nnbp/6p1/2PNpp2/8/4B1PP/PP1QNP2/2KR1B1R b - - 0 15', 'move_number': 16, 'move': 'c8e6', 'prev_move': 'c3d5', 'time_diff': '0:18:43', 'exp_point_loss': 0.38649999999999995}, {'turn': 'White', 'fen': 'r2q1rk1/p4nbp/4b1p1/2PN1p2/4p3/4B1PP/PP1Q1P2/2KR1B1R w - - 0 18', 'move_number': 18, 'move': 'd2c2', 'prev_move': 'e5e4', 'time_diff': '0:25:58', 'exp_point_loss': 0.4365}, {'turn': 'Black', 'fen': '1r3rk1/p4nbp/4b1p1/q1PN1p2/2B1p3/1P2B1PP/P1Q2P2/2KR3R b - - 2 20', 'move_number': 21, 'move': 'f8e8', 'prev_move': 'f1c4', 'time_diff': '0:08:53', 'exp_point_loss': 0.40449999999999997}]","[{'turn': 'White', 'fen': 'r1bq1rk1/pp2nnbp/3p2p1/2pPpp2/2P1P3/2N1B1PP/PP1QNP2/2KR1B1R w - c6 0 12', 'move_number': 12, 'move': 'd5c6', 'prev_move': 'c7c5', 'time_diff': '0:18:27', 'exp_point_loss': 0.0010000000000000009}, {'turn': 'Black', 'fen': 'r1bq1rk1/p3nnbp/6p1/2PNpp2/8/4B1PP/PP1QNP2/2KR1B1R b - - 0 15', 'move_number': 16, 'move': 'c8e6', 'prev_move': 'c3d5', 'time_diff': '0:18:43', 'exp_point_loss': 0.38649999999999995}, {'turn': 'White', 'fen': 'r2q1rk1/p4nbp/4b1p1/2PN1p2/4p3/4B1PP/PP1Q1P2/2KR1B1R w - - 0 18', 'move_number': 18, 'move': 'd2c2', 'prev_move': 'e5e4', 'time_diff': '0:25:58', 'exp_point_loss': 0.4365}]"
168.0,146.9,0.03,0.53,2.7,17.44,Praggnanandhaa R,Shamsiddin Vokhidov,"Round 2: Praggnanandhaa R - Vokhidov, Shamsiddin",?,2.1,2767,2644,1.0,0.0,????.??.??,33,32,5.1,4.6,0.0,0.02,0.56,-0.58,0,0,0,0,0,1,0,0,0,1,"[{'turn': 'Black', 'fen': '1r1q1rk1/5p1n/b1pp2pB/p1b1pP1N/2PnP1P1/1PN4P/P5BK/1R1Q1R2 b - - 0 19', 'move_number': 20, 'move': 'g6h5', 'prev_move': 'c1h6', 'time_diff': '0:00:11', 'exp_point_loss': 0.4725}]","[{'turn': 'Black', 'fen': '1r1q1rk1/5pp1/b1pp1n1p/p1b1pP2/2PnP1P1/1PN3NP/P5BK/1RBQ1R2 b - - 1 17', 'move_number': 18, 'move': 'f6h7', 'prev_move': 'e2g3', 'time_diff': '0:18:51', 'exp_point_loss': 0.0050000000000000044}]"
150.4,115.5,1.31,1.81,36.27,48.91,Javokhir Sindarov,Richard Rapport,"Round 5: Sindarov, Javokhir - Rapport, Richard",?,5.5,2710,2714,1.0,0.0,????.??.??,56,55,2.7,2.1,0.02,0.03,-0.39,-2.27,1,1,2,2,0,4,0,0,1,2,"[{'turn': 'Black', 'fen': '1rbqnrk1/1p1n1pbp/p2p2p1/2pP4/P3PB2/2N2N1P/1P1QBPP1/R3K2R b KQ - 2 13', 'move_number': 14, 'move': 'd8e7', 'prev_move': 'f1e2', 'time_diff': '0:02:00', 'exp_point_loss': 0.27749999999999997}, {'turn': 'Black', 'fen': '1rb2rk1/R2nqpbp/3p2p1/2pP2B1/1p2P3/5N1P/1P1QBPP1/4R1K1 b - - 1 19', 'move_number': 20, 'move': 'g7f6', 'prev_move': 'f4g5', 'time_diff': '0:07:28', 'exp_point_loss': 0.2675}, {'turn': 'White', 'fen': '1r3r2/1bR2pkp/3P2p1/4p3/1pQ1Nq2/7P/1P3PP1/4R1K1 w - - 1 31', 'move_number': 31, 'move': 'c4d3', 'prev_move': 'c8b7', 'time_diff': '0:10:11', 'exp_point_loss': 0.4715}, {'turn': 'Black', 'fen': '4r3/3R1pkp/1r1P1qp1/2Q1p3/1p2R3/7P/1P3PP1/6K1 b - - 6 35', 'move_number': 36, 'move': 'f6f5', 'prev_move': 'd5c5', 'time_diff': '0:01:37', 'exp_point_loss': 0.4875}, {'turn': 'White', 'fen': '4r3/3R1pkp/1r1P2p1/2Q1pq2/1p2R3/7P/1P3PP1/6K1 w - - 7 36', 'move_number': 36, 'move': 'c5b6', 'prev_move': 'f6f5', 'time_diff': '0:00:35', 'exp_point_loss': 0.4925}, {'turn': 'Black', 'fen': '4r3/3R1pkp/1Q1P2p1/4pq2/1p2R3/7P/1P3PP1/6K1 b - - 0 36', 'move_number': 37, 'move': 'f5d7', 'prev_move': 'c5b6', 'time_diff': '0:00:51', 'exp_point_loss': 0.4995}]","[{'turn': 'Black', 'fen': 'r1bqnrk1/pp1n1pbp/3p2p1/2pP4/4PB2/2N2N1P/PP1Q1PP1/R3KB1R b KQ - 0 11', 'move_number': 12, 'move': 'a7a6', 'prev_move': 'e3e4', 'time_diff': '0:18:23', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '1rb2r2/R2n1pkp/3P2p1/2pQp3/1pB1Nq2/7P/1P3PP1/4R1K1 w - - 6 28', 'move_number': 28, 'move': 'a7c7', 'prev_move': 'b6b8', 'time_diff': '0:24:52', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '8/3q1p1k/3Pr1p1/2QRp2p/7P/1p6/1P3PP1/6K1 b - - 2 41', 'move_number': 42, 'move': 'e5e4', 'prev_move': 'd1d5', 'time_diff': '0:20:16', 'exp_point_loss': 0}]"
165.0,164.9,0.06,0.05,3.5,2.86,Ian Nepomniachtchi,Nodirbek Abdusattorov,"Round 8: Nepomniachtchi, Ian - Abdusattorov, Nodirbek",?,8.5,2757,2767,0.5,0.5,????.??.??,28,28,5.9,5.9,0.0,0.0,0.4,0.39,0,0,0,0,0,0,0,0,1,0,[],"[{'turn': 'White', 'fen': '2r2rk1/1bpq1ppp/p2p1n2/1p1P4/4P3/4RN1P/PPQN1PP1/R5K1 w - - 1 17', 'move_number': 17, 'move': 'f3d4', 'prev_move': 'a8c8', 'time_diff': '0:15:00', 'exp_point_loss': 0.004500000000000004}]"
106.9,147.6,1.97,1.47,40.89,22.28,Chithambaram VR. Aravindh,Nodirbek Yakubboev,"Round 2: Aravindh, Chithambaram VR. - Yakubboev, Nodirbek",?,2.5,2749,2659,0.0,1.0,????.??.??,47,47,2.3,3.1,0.04,0.03,-2.73,-0.54,2,4,2,5,0,3,0,0,1,1,"[{'turn': 'Black', 'fen': 'rn1qkb1r/pp3ppp/4p3/2pb4/3PP2N/6P1/PP3PBP/R1BQK2R b KQkq - 0 10', 'move_number': 11, 'move': 'd5c6', 'prev_move': 'e2e4', 'time_diff': '0:02:09', 'exp_point_loss': 0.2625}, {'turn': 'Black', 'fen': '1r3b1r/p2k1ppp/8/1bpB4/7N/3nB1P1/PP1K1P1P/R6R b - - 4 19', 'move_number': 20, 'move': 'd3b2', 'prev_move': 'b7d5', 'time_diff': '0:01:12', 'exp_point_loss': 0.48950000000000005}, {'turn': 'White', 'fen': '1r3b1r/p2k1ppp/8/1bpB4/7N/4B1P1/Pn1K1P1P/R6R w - - 0 20', 'move_number': 20, 'move': 'h1c1', 'prev_move': 'd3b2', 'time_diff': '0:01:53', 'exp_point_loss': 0.4625}, {'turn': 'Black', 'fen': '1r6/p5pp/2B1k3/2p2p2/K7/3b2P1/P4P1P/1RR5 b - - 0 30', 'move_number': 31, 'move': 'b8b1', 'prev_move': 'b3a4', 'time_diff': '0:00:53', 'exp_point_loss': 0.24299999999999988}, {'turn': 'White', 'fen': '8/6pp/4R3/5pk1/PK2b3/1B4P1/1r6/8 w - - 5 42', 'move_number': 42, 'move': 'e6e5', 'prev_move': 'f6g5', 'time_diff': '0:00:21', 'exp_point_loss': 0.45699999999999996}]","[{'turn': 'Black', 'fen': 'rn1qkb1r/pp1bpppp/5n2/2pp4/2PP3N/6P1/PP2PPBP/RNBQK2R b KQkq - 0 6', 'move_number': 7, 'move': 'e7e6', 'prev_move': 'c2c4', 'time_diff': '0:19:08', 'exp_point_loss': 0.01050000000000001}, {'turn': 'White', 'fen': 'rn1qkb1r/pp3ppp/4p3/1bpP4/4P2N/6P1/PP3PBP/R1BQK2R w KQkq - 1 12', 'move_number': 12, 'move': 'e4e5', 'prev_move': 'c6b5', 'time_diff': '0:23:24', 'exp_point_loss': 0.26849999999999996}]"
147.4,146.0,1.0,1.0,10.4,10.0,Javokhir Sindarov,Nodirbek Abdusattorov,"Round 2: Sindarov, Javokhir - Abdusattorov, Nodirbek",?,2.2,2710,2767,0.5,0.5,????.??.??,42,42,3.5,3.5,0.02,0.02,-0.55,-0.62,3,1,1,1,0,3,1,0,2,0,"[{'turn': 'Black', 'fen': 'r5k1/1bp1qpp1/2n4p/p1PpP3/8/2Q1BN2/PP3PPP/R5K1 b - - 1 21', 'move_number': 22, 'move': 'b7c8', 'prev_move': 'c1c3', 'time_diff': '0:05:28', 'exp_point_loss': 0.359}, {'turn': 'Black', 'fen': 'r5k1/2pbqpp1/2n4p/2PpP3/p2N4/2Q5/PP1B1PPP/4R1K1 b - - 1 24', 'move_number': 25, 'move': 'e7h4', 'prev_move': 'f3d4', 'time_diff': '0:01:33', 'exp_point_loss': 0.2625}, {'turn': 'Black', 'fen': 'r5k1/2p3p1/2n4p/2Pp4/p5q1/2Q5/PP1B1PPP/4R1K1 b - - 2 28', 'move_number': 29, 'move': 'g4g6', 'prev_move': 'e6e1', 'time_diff': '0:02:48', 'exp_point_loss': 0.267}, {'turn': 'White', 'fen': 'r5k1/2p3p1/2n3qp/2P5/p2p4/2Q4P/PP1B1PP1/4R1K1 w - - 0 30', 'move_number': 30, 'move': 'c3f3', 'prev_move': 'd5d4', 'time_diff': '0:03:37', 'exp_point_loss': 0.4355}]","[{'turn': 'White', 'fen': 'r4rk1/pbpqbpp1/1nn1p2p/4P3/2pPN3/4BN2/PP2BPPP/RQ3RK1 w - - 0 14', 'move_number': 14, 'move': 'f1d1', 'prev_move': 'h7h6', 'time_diff': '0:16:12', 'exp_point_loss': 0.017000000000000015}, {'turn': 'White', 'fen': 'r5k1/1bp1qpp1/2n4p/p1PpP3/8/4BN2/PP3PPP/R1Q3K1 w - - 0 21', 'move_number': 21, 'move': 'c1c3', 'prev_move': 'e6d5', 'time_diff': '0:39:41', 'exp_point_loss': 0.006500000000000006}, {'turn': 'White', 'fen': '3n1r2/2p2kp1/7p/2P5/p2p4/7P/PP1B1PP1/4R1K1 w - - 0 34', 'move_number': 34, 'move': 'b2b4', 'prev_move': 'g8f7', 'time_diff': '0:18:06', 'exp_point_loss': 0}]"
122.1,157.1,1.53,1.02,26.33,14.76,Ian Nepomniachtchi,Javokhir Sindarov,"Round 1: Nepomniachtchi, Ian - Sindarov, Javokhir",?,1.4,2757,2710,0.0,1.0,????.??.??,42,42,2.9,3.7,0.04,0.02,-1.91,-0.02,0,0,3,0,0,2,0,1,1,0,"[{'turn': 'White', 'fen': 'r2q1rk1/1p3pp1/1bp3np/p3P3/P1B1Qn2/1PP2N1P/3N1PP1/R1B3K1 w - - 0 21', 'move_number': 21, 'move': 'h3h4', 'prev_move': 'c7c6', 'time_diff': '0:06:45', 'exp_point_loss': 0.4965}, {'turn': 'Black', 'fen': 'r4rk1/1p1q1pp1/1bp3np/p3P3/P1B1Qn1P/1PP2NP1/3N1P2/R1B3K1 b - - 0 22', 'move_number': 23, 'move': 'f4d5', 'prev_move': 'g2g3', 'time_diff': '0:04:07', 'exp_point_loss': 0.49550000000000005}, {'turn': 'White', 'fen': 'r4rk1/1p1q1pp1/1bp3np/p2nP3/P1B1Q2P/1PP2NP1/3N1P2/R1B3K1 w - - 1 23', 'move_number': 23, 'move': 'c1a3', 'prev_move': 'f4d5', 'time_diff': '0:06:07', 'exp_point_loss': 0.49250000000000005}, {'turn': 'Black', 'fen': 'r3r1k1/1Q3pp1/1b1B3p/p3P3/P3NnqP/1P3NP1/5P2/R5K1 b - - 0 31', 'move_number': 32, 'move': 'f4h3', 'prev_move': 'd5b7', 'time_diff': '0:00:20', 'exp_point_loss': 0.5005}, {'turn': 'White', 'fen': 'r3r1k1/1Q3pp1/1b1B3p/p3P3/P3N1qP/1P3NPn/5P2/R5K1 w - - 1 32', 'move_number': 32, 'move': 'g1g2', 'prev_move': 'f4h3', 'time_diff': '0:00:30', 'exp_point_loss': 0.501}]","[{'turn': 'White', 'fen': 'r2q1rk1/1pp2pp1/1b2b1np/pB1np3/P7/1PPP1N1P/2QN1PP1/R1B1R1K1 w - - 2 15', 'move_number': 15, 'move': 'd3d4', 'prev_move': 'e7g6', 'time_diff': '0:16:37', 'exp_point_loss': 0.0005000000000000004}, {'turn': 'Black', 'fen': 'r2q1rk1/1pp2pp1/1b2b1np/pB1np3/P2P4/1PP2N1P/2QN1PP1/R1B1R1K1 b - - 0 15', 'move_number': 16, 'move': 'd5f4', 'prev_move': 'd3d4', 'time_diff': '0:32:10', 'exp_point_loss': 0}]"
146.0,173.3,0.57,0.06,207.41,3.2,Nodirbek Abdusattorov,Praggnanandhaa R,"Round 9: Abdusattorov, Nodirbek - Praggnanandhaa R",?,9.1,2767,2767,0.0,1.0,????.??.??,49,49,3.0,3.5,0.01,0.0,-0.62,0.85,0,0,1,0,0,0,0,0,2,1,"[{'turn': 'White', 'fen': '5rk1/3bbpp1/Q1pp1q1p/p7/Br2Pp2/2N3P1/PPP4P/2KR1R2 w - - 0 18', 'move_number': 18, 'move': 'g3f4', 'prev_move': 'e5f4', 'time_diff': '0:20:50', 'exp_point_loss': 0.484}]","[{'turn': 'White', 'fen': '5rk1/3bbpp1/2pp1q1p/p3p3/Br2PP2/2NQ2P1/PPP4P/2KR1R2 w - - 1 17', 'move_number': 17, 'move': 'd3a6', 'prev_move': 'b8b4', 'time_diff': '0:15:04', 'exp_point_loss': 0.02100000000000002}, {'turn': 'White', 'fen': '5rk1/3bbpp1/Q1pp1q1p/p7/Br2Pp2/2N3P1/PPP4P/2KR1R2 w - - 0 18', 'move_number': 18, 'move': 'g3f4', 'prev_move': 'e5f4', 'time_diff': '0:20:50', 'exp_point_loss': 0.484}, {'turn': 'Black', 'fen': '1r3k2/5pp1/2p4p/4RP2/p1BP4/2K1R3/P6P/3q4 b - - 13 41', 'move_number': 42, 'move': 'd1a1', 'prev_move': 'd3c3', 'time_diff': '0:23:40', 'exp_point_loss': 0}]"
165.8,163.2,0.01,0.01,2.22,2.08,Nodirbek Yakubboev,Praggnanandhaa R,"Round 3: Yakubboev, Nodirbek - Praggnanandhaa R",?,3.1,2659,2767,0.5,0.5,????.??.??,50,50,3.3,3.3,0.0,0.0,0.44,0.3,0,0,0,0,0,0,1,0,0,2,[],"[{'turn': 'White', 'fen': 'r1bqkb1r/pp1n1pp1/2p4p/2PpP3/4n3/P1N2NP1/1P2PP1P/R1BQKB1R w KQkq - 1 9', 'move_number': 9, 'move': 'd1c2', 'prev_move': 'f6e4', 'time_diff': '0:43:40', 'exp_point_loss': 0.006000000000000005}, {'turn': 'Black', 'fen': 'r1bqkb1r/pp3pp1/2p4p/2npP3/3Nn3/P1N3P1/1PQ1PP1P/R1B1KB1R b KQkq - 1 10', 'move_number': 11, 'move': 'd8e7', 'prev_move': 'f3d4', 'time_diff': '0:19:50', 'exp_point_loss': 0.01649999999999996}, {'turn': 'Black', 'fen': '3R4/1p4pk/p1b1r3/2B4p/7P/P3P1P1/1P1K4/8 b - - 5 41', 'move_number': 42, 'move': 'h7g6', 'prev_move': 'd4d8', 'time_diff': '0:15:40', 'exp_point_loss': 0}]"
161.9,162.2,0.24,0.23,4.28,3.98,Erigaisi Arjun,Nodirbek Abdusattorov,"Round 4: Erigaisi Arjun - Abdusattorov, Nodirbek",?,4.3,2782,2767,0.5,0.5,????.??.??,60,60,2.7,2.7,0.0,0.0,0.24,0.25,1,0,0,1,0,0,0,0,1,1,[],"[{'turn': 'White', 'fen': '2r3k1/5pp1/3p2np/1R1P4/4P3/P1p1QNPP/2q2PK1/8 w - - 2 41', 'move_number': 41, 'move': 'e3e1', 'prev_move': 'e8c8', 'time_diff': '0:16:44', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '2r3k1/5pp1/3p2np/1R1P4/4P3/P1p2NPP/2q2PK1/4Q3 b - - 3 41', 'move_number': 42, 'move': 'c2d3', 'prev_move': 'e3e1', 'time_diff': '0:18:17', 'exp_point_loss': 0}]"
