Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Erigaisi Arjun,159.8,0.34,7.82,9,5.0,161.9,0.24,2782,2756,374,4,5,7.05,6.36,0.3,6.41,0.12,0.38,0.31,158.9,160.6,2.0,3.0,3.07,40.42,0.09,41.05
Parham Maghsoodloo,156.4,0.43,39.2,9,4.5,163.0,0.24,2691,2728,371,5,4,5.57,13.47,0.46,87.19,-0.06,0.56,0.28,154.0,159.4,2.5,2.0,3.88,181.48,0.21,7601.54
Richard Rapport,156.1,0.45,31.52,9,4.5,162.6,0.17,2714,2725,383,4,5,7.84,16.15,0.57,60.54,-0.08,0.09,0.74,163.2,150.5,2.0,2.5,4.06,260.84,0.32,3664.96
Praggnanandhaa R,156.0,0.51,9.02,9,5.5,162.8,0.18,2767,2798,397,4,5,4.66,19.13,0.65,9.01,-0.09,0.63,0.42,156.0,156.0,3.0,2.5,4.6,365.99,0.43,81.09
Ian Nepomniachtchi,155.1,0.37,8.38,9,3.5,163.4,0.1,2757,2642,405,5,4,3.54,17.31,0.56,9.44,-0.13,0.39,0.34,155.5,154.7,2.0,1.5,3.29,299.48,0.32,89.09
Javokhir Sindarov,152.5,0.81,12.02,9,5.5,157.1,1.0,2710,2804,384,4,5,8.48,13.42,0.6,10.91,-0.28,0.84,0.78,154.6,150.7,3.0,2.5,7.28,179.98,0.37,118.96
Nodirbek Abdusattorov,150.1,0.74,37.05,9,5.5,163.4,0.45,2767,2798,476,5,4,7.36,33.33,1.12,69.23,-0.4,0.36,1.23,162.7,134.4,4.0,1.5,6.69,1110.67,1.25,4792.85
Shamsiddin Vokhidov,149.9,0.75,12.75,9,4.0,147.4,0.65,2644,2694,402,4,5,10.38,13.52,0.49,7.52,-0.41,0.88,0.64,147.8,151.6,2.0,2.0,6.73,182.72,0.24,56.54
Nodirbek Yakubboev,148.2,0.87,37.33,9,4.5,147.6,0.53,2659,2731,483,5,4,9.64,17.28,1.01,79.82,-0.5,0.95,0.77,145.3,151.9,2.0,2.5,7.86,298.45,1.02,6371.23
Chithambaram VR. Aravindh,142.5,0.88,41.62,9,2.5,144.8,0.96,2749,2555,428,5,4,8.2,19.8,0.62,79.95,-0.81,0.9,0.86,141.5,143.8,1.5,1.0,7.95,392.12,0.38,6391.67
