Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,gi_raw_median,gi_raw_var,gi_raw_std,missed_points_var,acpl_var
Benjamin Bok,156.45,0.33,20.35,13,8.0,159.9,0.15,2583.0,2625.0,576,6,7,4.6,12.39,0.46,50.93,-0.06,0.37,0.3,155.28,157.44,3.5,4.5,4.32,153.57,0.12,0.45,0.67,0.21,2593.69
Aydin Suleymanli,155.68,0.58,14.4,13,9.5,159.0,0.54,2623.0,2714.0,646,7,6,6.87,7.89,0.52,22.23,-0.1,0.9,0.2,151.77,160.25,5.5,4.0,7.5,62.26,0.07,0.18,0.43,0.27,494.25
Thai Dai Van Nguyen,154.6,0.56,78.64,13,9.5,159.5,0.28,2668.0,2711.0,700,7,6,6.58,16.35,0.66,145.51,-0.16,0.43,0.7,160.53,147.68,6.0,3.5,7.22,267.17,0.11,0.78,0.88,0.44,21173.94
Nodirbek Yakubboev,154.52,0.39,30.14,13,8.0,159.8,0.3,2659.0,2619.0,511,6,7,7.47,12.81,0.35,76.03,-0.16,0.24,0.51,157.0,152.39,3.5,4.5,5.04,164.15,0.12,0.48,0.69,0.13,5780.45
Frederik Svane,153.62,0.45,32.74,13,7.5,159.9,0.25,2664.0,2591.0,706,6,7,4.47,16.59,0.64,86.78,-0.21,0.58,0.34,154.67,152.71,4.5,3.0,5.87,275.36,0.13,0.8,0.89,0.41,7531.26
Erwin L'Ami,153.02,0.56,20.88,13,8.5,159.0,0.5,2615.0,2652.0,617,7,6,9.0,20.75,0.63,38.65,-0.24,0.41,0.74,158.43,146.72,5.0,3.5,7.28,430.44,0.08,1.25,1.12,0.4,1494.17
Arthur Pijpers,149.79,0.49,52.07,13,5.5,159.3,0.27,2473.0,2498.0,455,6,7,5.9,17.39,0.63,110.75,-0.42,0.51,0.48,150.43,149.24,3.5,2.0,6.41,302.28,0.09,0.88,0.94,0.4,12265.11
Miaoyi Lu,147.05,0.6,76.55,13,5.5,158.6,0.56,2429.0,2502.0,509,7,6,8.25,17.87,0.59,116.8,-0.57,0.76,0.4,145.07,149.37,3.5,2.0,7.75,319.38,0.06,0.93,0.96,0.35,13642.21
Kazybek Nogerbek,146.08,0.79,10.55,13,7.5,158.8,0.46,2514.0,2603.0,667,6,7,8.29,20.35,0.7,7.88,-0.62,0.72,0.85,149.6,143.07,4.5,3.0,10.25,414.04,0.07,1.21,1.1,0.49,62.12
Ediz Gurel,143.88,0.86,28.65,13,7.5,158.0,0.49,2624.0,2594.0,739,7,6,12.58,20.98,0.84,33.35,-0.74,0.79,0.94,150.04,136.7,5.5,2.0,11.16,440.23,0.02,1.28,1.13,0.71,1112.55
Rameshbabu Vaishali,138.58,0.98,50.81,13,6.0,137.0,0.95,2476.0,2526.0,620,6,7,17.5,23.05,0.86,78.31,-1.02,0.65,1.26,149.35,129.34,3.0,3.0,12.71,531.33,-1.11,1.54,1.24,0.73,6131.91
Divya Deshmukh,136.06,0.88,72.4,13,3.5,141.1,0.67,2490.0,2377.0,688,7,6,17.79,24.08,0.61,100.92,-1.16,0.93,0.81,134.17,138.27,1.5,2.0,11.39,579.93,-0.89,1.68,1.3,0.37,10185.23
Irina Bulmaga,135.05,0.83,107.47,13,1.0,137.2,0.76,2386.0,2127.0,568,6,7,26.91,17.54,0.65,177.07,-1.21,0.43,1.17,146.57,125.17,1.0,0.0,10.74,307.75,-1.1,0.89,0.94,0.42,31355.44
Faustino Oro,125.34,1.32,35.42,13,3.5,131.0,1.08,2447.0,2381.0,720,7,6,16.57,31.63,0.86,70.14,-1.74,1.18,1.49,130.23,119.63,2.5,1.0,17.17,1000.4,-1.43,2.91,1.71,0.74,4919.88
