Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,gi_raw_median,gi_raw_var,gi_raw_std,missed_points_var,acpl_var
Yi Wei,163.28,0.13,3.73,13,7.0,164.1,0.03,2752.0,2751.0,524,7,6,2.26,3.88,0.22,3.36,0.31,0.12,0.14,163.23,163.35,3.5,3.5,1.68,15.04,0.35,0.04,0.21,0.05,11.28
Anish Giri,158.37,0.39,7.32,13,7.0,163.4,0.07,2731.0,2753.0,540,6,7,4.33,15.05,0.67,9.85,0.04,0.23,0.53,163.25,154.19,4.0,3.0,5.1,226.43,0.31,0.66,0.81,0.45,97.09
Alexey Sarana,156.47,0.38,48.67,13,5.5,163.1,0.16,2676.0,2676.0,595,6,7,3.98,15.59,0.58,110.41,-0.06,0.26,0.49,160.12,153.34,3.0,2.5,4.98,243.07,0.3,0.7,0.84,0.34,12191.09
Gukesh D,155.95,0.62,35.58,13,8.5,162.9,0.48,2777.0,2833.0,582,7,6,7.91,12.75,0.61,93.51,-0.09,0.56,0.69,158.63,152.83,5.0,3.5,8.05,162.48,0.29,0.47,0.69,0.37,8744.81
Vladimir Fedoseev,155.79,0.53,40.03,13,7.5,162.7,0.47,2718.0,2780.0,612,6,7,8.07,15.72,0.55,76.9,-0.1,0.36,0.68,161.62,150.8,4.0,3.5,6.93,247.03,0.28,0.72,0.85,0.3,5913.94
Fabiano Caruana,155.49,0.45,9.54,13,6.0,161.5,0.27,2803.0,2692.0,588,6,7,8.33,12.1,0.38,7.82,-0.11,0.44,0.46,153.87,156.89,2.5,3.5,5.87,146.48,0.21,0.43,0.65,0.15,61.14
Nodirbek Abdusattorov,155.46,0.6,21.73,13,8.0,161.6,0.33,2768.0,2804.0,649,6,7,8.06,11.27,0.57,48.88,-0.11,0.66,0.56,155.33,155.57,4.0,4.0,7.86,126.92,0.22,0.37,0.61,0.32,2389.58
Pentala Harikrishna,154.62,0.56,10.77,13,6.5,161.5,0.5,2695.0,2728.0,566,7,6,8.05,12.97,0.41,6.92,-0.16,0.58,0.52,155.86,153.17,4.0,2.5,7.24,168.21,0.21,0.49,0.7,0.17,47.94
Praggnanandhaa R,154.5,0.69,31.95,13,8.5,162.1,0.62,2741.0,2834.0,624,7,6,8.73,15.82,0.61,61.08,-0.17,0.68,0.71,157.7,150.77,5.5,3.0,9.02,250.35,0.24,0.73,0.85,0.37,3731.14
Erigaisi Arjun,153.38,0.49,24.1,13,5.5,163.3,0.05,2801.0,2666.0,509,6,7,6.96,17.2,0.56,46.6,-0.23,0.45,0.53,155.95,151.17,3.0,2.5,6.42,295.83,0.31,0.86,0.93,0.31,2171.11
Jorden Van Foreest,152.85,0.61,9.11,13,5.5,155.7,0.59,2681.0,2675.0,539,7,6,6.17,11.24,0.54,7.17,-0.25,0.69,0.51,150.83,155.22,3.0,2.5,7.88,126.29,-0.1,0.37,0.61,0.29,51.41
Leon Luke Mendonca,152.68,0.55,36.26,13,5.0,158.0,0.47,2639.0,2650.0,499,7,6,6.72,12.97,0.43,90.1,-0.26,0.5,0.6,154.39,150.7,3.0,2.0,7.11,168.34,0.02,0.49,0.7,0.18,8117.35
Vincent Keymer,149.58,0.76,37.34,13,6.0,155.3,0.68,2733.0,2698.0,689,6,7,8.83,18.73,0.73,104.31,-0.43,1.07,0.49,143.7,154.63,3.0,3.0,9.83,350.72,-0.12,1.02,1.01,0.53,10879.89
Max Warmerdam,148.74,0.69,37.95,13,4.5,147.5,0.59,2645.0,2622.0,566,7,6,14.92,17.68,0.71,82.23,-0.47,0.5,0.93,152.27,144.62,2.0,2.5,9.03,312.46,-0.54,0.91,0.95,0.5,6762.14
