white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
108.1,158.0,1.41,0.91,215.37,39.95,Nino Batsiashvili,Elnaz Kaliakhmet,Women's World Cup 2025,"Batumi, Georgia",10.7,2450,2306,0.0,1.0,????.??.??,57,57,1.9,2.8,0.02,0.02,-2.67,0.02,0,0,3,1,0,2,0,0,1,1,"[{'turn': 'Black', 'fen': '5rk1/1p2Q1pp/1nq2p2/4p3/b3P3/3P1NP1/5PBP/R5K1 b - - 2 21', 'move_number': 22, 'move': 'b6c8', 'prev_move': 'c7e7', 'time_diff': '0:08:27', 'exp_point_loss': 0.3035}, {'turn': 'White', 'fen': '2n2rk1/6pp/2q2p2/1p2p3/b3P3/Q2P1NP1/5PBP/R5K1 w - - 0 23', 'move_number': 23, 'move': 'd3d4', 'prev_move': 'b7b5', 'time_diff': '0:06:06', 'exp_point_loss': 0.4035}, {'turn': 'Black', 'fen': '2n2rk1/6pp/2q2p2/1p6/b2NP3/Q5P1/5PBP/R5K1 b - - 0 24', 'move_number': 25, 'move': 'c6c4', 'prev_move': 'f3d4', 'time_diff': '0:06:35', 'exp_point_loss': 0.472}, {'turn': 'White', 'fen': '2n2rk1/6pp/5p2/1p6/b1qNP3/Q5P1/5PBP/R5K1 w - - 1 25', 'move_number': 25, 'move': 'd4f5', 'prev_move': 'c6c4', 'time_diff': '0:07:33', 'exp_point_loss': 0.4915}, {'turn': 'White', 'fen': '8/7p/4n3/5pPb/2k1P3/1p1N4/3K4/1B6 w - - 0 47', 'move_number': 47, 'move': 'e4f5', 'prev_move': 'g6f5', 'time_diff': '0:00:38', 'exp_point_loss': 0.48349999999999993}]","[{'turn': 'White', 'fen': 'r1bq1rk1/1pp2ppp/1n2p3/p2n4/P7/RQ3NP1/3PPPBP/2B2RK1 w - - 1 12', 'move_number': 12, 'move': 'd2d3', 'prev_move': 'e8g8', 'time_diff': '0:15:37', 'exp_point_loss': 0.02100000000000002}, {'turn': 'Black', 'fen': 'r3qrk1/1ppb1ppp/1n6/4p3/PQ2P3/R2P1NP1/5PBP/R5K1 b - - 0 17', 'move_number': 18, 'move': 'a8a4', 'prev_move': 'b3b4', 'time_diff': '0:26:01', 'exp_point_loss': 0}]"
159.6,129.7,0.34,0.83,6.08,18.15,Anna Ushenina,Vantika Agrawal,Women's World Cup 2025,"Batumi, Georgia",10.12,2413,2377,1.0,0.0,????.??.??,49,48,3.3,2.7,0.01,0.02,0.11,-1.5,0,2,0,0,0,3,3,0,0,2,"[{'turn': 'Black', 'fen': 'r3kb1r/ppp1qp1p/2n2p2/8/2pP2b1/5N1P/PP2BPP1/RN1Q1RK1 b kq - 0 10', 'move_number': 11, 'move': 'g4e6', 'prev_move': 'h2h3', 'time_diff': '0:13:56', 'exp_point_loss': 0.2985}, {'turn': 'Black', 'fen': '2kr4/ppp1RB1p/1b3p2/8/3r4/P6P/1PR2PP1/6K1 b - - 3 24', 'move_number': 25, 'move': 'h7h6', 'prev_move': 'e1e7', 'time_diff': '0:00:46', 'exp_point_loss': 0.266}, {'turn': 'Black', 'fen': '1k6/pp6/2p1Bp1R/8/5P2/P5PP/1b1r4/7K b - - 0 33', 'move_number': 34, 'move': 'b2d4', 'prev_move': 'h7h6', 'time_diff': '0:01:03', 'exp_point_loss': 0.5}]","[{'turn': 'White', 'fen': 'rnb1kb1r/ppp1qp1p/5p2/8/2pP4/8/PP2BPPP/RN1QK1NR w KQkq - 0 8', 'move_number': 8, 'move': 'g1f3', 'prev_move': 'd5c4', 'time_diff': '0:35:40', 'exp_point_loss': 0.18000000000000005}, {'turn': 'Black', 'fen': '2kr1b1r/ppp1qp1p/2n1bp2/3P4/2p5/2N2N1P/PP2BPP1/R2Q1RK1 b - - 2 12', 'move_number': 13, 'move': 'e7c5', 'prev_move': 'b1c3', 'time_diff': '0:18:24', 'exp_point_loss': 0.0050000000000000044}, {'turn': 'White', 'fen': '1k1r4/ppp2R2/4Bp1p/8/3b4/P6P/1PR2PPK/3r4 w - - 6 28', 'move_number': 28, 'move': 'g2g3', 'prev_move': 'b6d4', 'time_diff': '0:39:49', 'exp_point_loss': 0.0050000000000000044}, {'turn': 'White', 'fen': '1k6/pp5R/2p1Bp1p/4b3/5P2/P5PP/1PRr3K/3r4 w - - 1 31', 'move_number': 31, 'move': 'c2d2', 'prev_move': 'd8d2', 'time_diff': '0:39:24', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '7R/pp5P/2pk1p2/5B2/5PK1/P5P1/7r/6b1 b - - 2 42', 'move_number': 43, 'move': 'g1c5', 'prev_move': 'h3g4', 'time_diff': '0:23:12', 'exp_point_loss': 0}]"
138.8,160.5,0.56,0.05,25.28,7.06,Aleksandra Maltsevskaya,Lilit Mkrtchian,Women's World Cup 2025,"Batumi, Georgia",9.17,2383,2396,0.0,1.0,????.??.??,50,50,2.8,3.2,0.01,0.0,-1.01,0.16,0,0,1,0,0,0,0,0,2,0,"[{'turn': 'White', 'fen': '8/1p1b1kpp/1B2p3/pP1pP3/P1rN2P1/2b1P2P/5K2/R7 w - - 1 30', 'move_number': 30, 'move': 'a1c1', 'prev_move': 'b4c3', 'time_diff': '0:01:49', 'exp_point_loss': 0.501}]","[{'turn': 'White', 'fen': '2r1kb1r/pp1b1ppp/1qn1p3/3pPn2/1P1P4/P4N2/4BPPP/RNBQ1RK1 w k - 5 11', 'move_number': 11, 'move': 'c1b2', 'prev_move': 'e7f5', 'time_diff': '0:22:16', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '2r2rk1/np1bb1pp/4p3/pP1pP3/6P1/P3PN2/1B2B2P/R4RK1 w - - 1 21', 'move_number': 21, 'move': 'a3a4', 'prev_move': 'c6a7', 'time_diff': '0:23:06', 'exp_point_loss': 0.0050000000000000044}]"
137.8,159.5,0.65,0.14,20.46,6.49,Afruza Khamdamova,Humpy Koneru,Women's World Cup 2025,"Batumi, Georgia",9.1,2326,2536,0.0,1.0,????.??.??,39,39,3.5,4.1,0.02,0.0,-1.07,0.1,0,0,1,0,1,0,1,0,1,1,"[{'turn': 'White', 'fen': '8/6pp/pk2rp2/2b5/2R2B2/P5P1/5P1P/6K1 w - - 0 33', 'move_number': 33, 'move': 'f4b8', 'prev_move': 'd4c5', 'time_diff': '0:00:55', 'exp_point_loss': 0.5}]","[{'turn': 'White', 'fen': 'r2qkb1r/2p2ppp/p1n1b3/1pn1P3/3p4/1BP2N2/PP1N1PPP/R1BQ1RK1 w kq - 0 11', 'move_number': 11, 'move': 'b3e6', 'prev_move': 'd5d4', 'time_diff': '0:16:45', 'exp_point_loss': 0.0040000000000000036}, {'turn': 'Black', 'fen': '2k4r/2pr1ppp/p7/1p2P1B1/Nbqn4/8/PP3PPP/2RQR1K1 b - - 7 19', 'move_number': 20, 'move': 'd4e2', 'prev_move': 'c3a4', 'time_diff': '0:15:06', 'exp_point_loss': 0.21799999999999997}, {'turn': 'White', 'fen': '1B6/6pp/1k2rp2/p7/2R5/b5P1/5PKP/8 w - - 0 35', 'move_number': 35, 'move': 'b8c7', 'prev_move': 'a6a5', 'time_diff': '0:39:41', 'exp_point_loss': 0}]"
101.8,151.6,1.68,1.18,25.97,13.83,Mo Zhai,Stavroula Tsolakidou,Women's World Cup 2025,"Batumi, Georgia",10.13,2379,2428,0.0,1.0,????.??.??,65,65,1.6,2.3,0.03,0.02,-3.01,-0.32,3,2,2,6,0,1,0,0,2,0,"[{'turn': 'Black', 'fen': '3r1r1k/2p2pbp/1p2n1p1/q2NP3/4Q2P/4B3/P2R1PP1/3R2K1 b - - 0 26', 'move_number': 27, 'move': 'd8a8', 'prev_move': 'h2h4', 'time_diff': '0:02:05', 'exp_point_loss': 0.256}, {'turn': 'White', 'fen': 'r4r1k/2p2pbp/1p2n1p1/q2NP3/4Q2P/4B3/P2R1PP1/3R2K1 w - - 1 27', 'move_number': 27, 'move': 'd1c1', 'prev_move': 'd8a8', 'time_diff': '0:01:11', 'exp_point_loss': 0.364}, {'turn': 'White', 'fen': '3r1r1k/2p2pb1/1p2n1p1/3NP2p/7P/q3BPQ1/P2R1KP1/3R4 w - - 0 33', 'move_number': 33, 'move': 'd5f6', 'prev_move': 'h7h5', 'time_diff': '0:01:29', 'exp_point_loss': 0.49750000000000005}]","[{'turn': 'White', 'fen': 'r4rk1/pbp2pbp/np3np1/8/2PqP3/2NN1B2/PP3PPP/R1BQ1RK1 w - - 5 12', 'move_number': 12, 'move': 'e4e5', 'prev_move': 'd8d4', 'time_diff': '0:15:10', 'exp_point_loss': 0.08250000000000002}, {'turn': 'White', 'fen': 'r4rk1/p1p2pbp/1p2n1p1/3NP3/5B2/1P3Q2/P1q2PPP/R2R2K1 w - - 1 19', 'move_number': 19, 'move': 'd1d2', 'prev_move': 'c4c2', 'time_diff': '0:16:57', 'exp_point_loss': 0.05249999999999999}]"
158.4,158.3,0.27,0.26,5.95,5.66,Irina Bulmaga,Deimante Daulyte-Cornette,Women's World Cup 2025,"Batumi, Georgia",9.14,2393,2405,0.5,0.5,????.??.??,42,41,3.8,3.9,0.01,0.01,0.04,0.04,0,1,0,1,0,0,0,1,2,2,[],"[{'turn': 'White', 'fen': '2r1r1k1/pp1nppbp/3pb1p1/6B1/PqP1P3/1PN1Q3/4BPPP/1RR3K1 w - - 1 16', 'move_number': 16, 'move': 'c3a2', 'prev_move': 'a5b4', 'time_diff': '0:27:14', 'exp_point_loss': 0.011999999999999955}, {'turn': 'Black', 'fen': '2r1r1k1/pp1nppbp/3pb1p1/6B1/P1P1P3/qP2Q3/N1R1BPPP/1R4K1 b - - 4 17', 'move_number': 18, 'move': 'a7a6', 'prev_move': 'c1c2', 'time_diff': '0:15:52', 'exp_point_loss': 0.0024999999999999467}, {'turn': 'Black', 'fen': '2r1r1k1/4p2p/3p2p1/1Rn2b2/q1P2P2/2R1B3/4B1PP/2Q3K1 b - - 3 27', 'move_number': 28, 'move': 'c5e4', 'prev_move': 'd2e3', 'time_diff': '0:22:53', 'exp_point_loss': 0.0050000000000000044}, {'turn': 'Black', 'fen': '8/3bpk1p/1R4p1/2p5/2P2PP1/r6P/4B1K1/8 b - - 6 41', 'move_number': 42, 'move': 'a3a2', 'prev_move': 'f3g2', 'time_diff': '0:30:42', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '8/3bpk1p/1R4p1/2p5/2P2PP1/7P/r3B1K1/8 w - - 7 42', 'move_number': 42, 'move': 'g2f3', 'prev_move': 'a3a2', 'time_diff': '0:16:19', 'exp_point_loss': 0}]"
159.1,121.5,0.59,1.08,10.71,185.75,Anna Shukhman,Alice Lee,Women's World Cup 2025,"Batumi, Georgia",9.15,2416,2412,1.0,0.0,????.??.??,58,57,2.7,2.1,0.01,0.02,0.08,-1.95,1,0,1,1,0,2,1,0,1,0,"[{'turn': 'White', 'fen': 'r3k2r/p1p2ppp/2n2q2/2p5/2p1P3/2PP4/PP4PP/R1BQK2R w KQkq - 1 14', 'move_number': 14, 'move': 'c1e3', 'prev_move': 'd4c6', 'time_diff': '0:05:34', 'exp_point_loss': 0.3939999999999999}, {'turn': 'Black', 'fen': 'r3k2r/p4ppp/2p2q2/2p5/Q1p1P3/2PnB3/PP4PP/1K1R3R b kq - 1 17', 'move_number': 18, 'move': 'f6e6', 'prev_move': 'c1b1', 'time_diff': '0:00:58', 'exp_point_loss': 0.492}, {'turn': 'Black', 'fen': '8/2k5/1nP1Rp2/1K6/6p1/2P4r/5B2/8 b - - 2 44', 'move_number': 45, 'move': 'h3h5', 'prev_move': 'c4b5', 'time_diff': '0:00:43', 'exp_point_loss': 0.498}]","[{'turn': 'White', 'fen': 'r3k2r/p1p2ppp/5q2/2p5/2pnP3/3P4/PPP3PP/R1BQK2R w KQkq - 0 13', 'move_number': 13, 'move': 'c2c3', 'prev_move': 'd8f6', 'time_diff': '0:23:15', 'exp_point_loss': 0.04749999999999999}, {'turn': 'White', 'fen': '8/2kn4/4Rp2/2P4r/2KB2p1/2P5/8/8 w - - 4 42', 'move_number': 42, 'move': 'd4f2', 'prev_move': 'c6c7', 'time_diff': '0:30:49', 'exp_point_loss': 0}]"
154.2,101.7,1.11,1.6,12.9,25.09,Meruert Kamalidenova,Aleksandra Goryachkina,Women's World Cup 2025,"Batumi, Georgia",9.2,2323,2533,1.0,0.0,????.??.??,59,58,2.6,1.8,0.02,0.03,-0.18,-3.01,0,2,1,0,2,3,0,0,1,1,"[{'turn': 'Black', 'fen': 'r3r1k1/1pp2ppp/p1qb2n1/3p3Q/P2P3P/2PB4/1P1B1PP1/R3R1K1 b - - 2 20', 'move_number': 21, 'move': 'c6d7', 'prev_move': 'f4d2', 'time_diff': '0:03:19', 'exp_point_loss': 0.3575}, {'turn': 'Black', 'fen': 'r3r3/1p1q2k1/p1pb1npR/3p1pB1/P2P4/2P2QP1/1PB2PK1/R7 b - - 3 32', 'move_number': 33, 'move': 'e8h8', 'prev_move': 'h1h6', 'time_diff': '0:03:35', 'exp_point_loss': 0.256}, {'turn': 'White', 'fen': '4r3/1p6/pr4k1/2ppB3/P2P2P1/2P2P2/1P4K1/4R3 w - - 1 43', 'move_number': 43, 'move': 'd4c5', 'prev_move': 'f5g6', 'time_diff': '0:06:58', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '4r3/1p6/p5k1/2PpB3/P5P1/2P2PK1/1r6/4R3 b - - 1 44', 'move_number': 45, 'move': 'b2b3', 'prev_move': 'g2g3', 'time_diff': '0:19:29', 'exp_point_loss': 0.481}]","[{'turn': 'Black', 'fen': '4r3/1p6/p5k1/2PpB3/P5P1/2P2PK1/1r6/4R3 b - - 1 44', 'move_number': 45, 'move': 'b2b3', 'prev_move': 'g2g3', 'time_diff': '0:19:29', 'exp_point_loss': 0.481}, {'turn': 'White', 'fen': '4r3/1p6/p5k1/2PpB3/P5P1/1rP2PK1/8/4R3 w - - 2 45', 'move_number': 45, 'move': 'g3h4', 'prev_move': 'b2b3', 'time_diff': '0:16:32', 'exp_point_loss': 0}]"
126.8,126.0,1.43,1.43,8.29,8.13,Marsel Efroimski,Meri Arabidze,Women's World Cup 2025,"Batumi, Georgia",9.9,2380,2440,0.5,0.5,????.??.??,63,62,2.0,2.0,0.02,0.02,-1.66,-1.7,6,0,2,3,0,2,0,0,1,0,"[{'turn': 'White', 'fen': '1r1qk2r/1b1nbpp1/p2p4/1p2p2p/4P3/P3BN1P/1PPQ1PP1/R3KB1R w KQk - 2 14', 'move_number': 14, 'move': 'f1d3', 'prev_move': 'c8b7', 'time_diff': '0:00:09', 'exp_point_loss': 0.44299999999999995}, {'turn': 'Black', 'fen': '1r1qk2r/1b1nbpp1/p2p4/1p2p2p/4P3/P2BBN1P/1PPQ1PP1/R3K2R b KQk - 3 14', 'move_number': 15, 'move': 'd7c5', 'prev_move': 'f1d3', 'time_diff': '0:06:32', 'exp_point_loss': 0.48949999999999994}, {'turn': 'White', 'fen': '1r2k2r/1bq1bpp1/p7/1pp1p2p/4P3/P1PB1N1P/1P1Q1PP1/R3K2R w KQk - 1 17', 'move_number': 17, 'move': 'e1g1', 'prev_move': 'd8c7', 'time_diff': '0:00:48', 'exp_point_loss': 0.39449999999999996}, {'turn': 'Black', 'fen': '1r2k2r/1bq1bpp1/p7/1pp1p2p/4P3/P1PB1N1P/1P1Q1PP1/R4RK1 b k - 2 17', 'move_number': 18, 'move': 'e8g8', 'prev_move': 'e1g1', 'time_diff': '0:04:36', 'exp_point_loss': 0.38949999999999996}]","[{'turn': 'White', 'fen': 'r1bqkb1r/p2n1pp1/2pp1n2/1p2p2p/3PP3/P1N4P/1PP2PP1/R1BQKBNR w KQkq - 2 8', 'move_number': 8, 'move': 'd4d5', 'prev_move': 'b8d7', 'time_diff': '0:15:49', 'exp_point_loss': 0.023999999999999966}]"
159.7,130.0,0.33,0.83,169.7,350.88,Bella Khotenashvili,Nurgyul Salimova,Women's World Cup 2025,"Batumi, Georgia",10.11,2418,2385,1.0,0.0,????.??.??,57,56,2.8,2.3,0.01,0.01,0.11,-1.49,1,1,0,1,0,2,1,0,1,2,"[{'turn': 'Black', 'fen': '2kr2r1/1p3p1p/1n1bb2B/1PP2p2/8/2NBPP1P/5K2/1R5R b - - 0 25', 'move_number': 26, 'move': 'd6c5', 'prev_move': 'd4c5', 'time_diff': '0:00:33', 'exp_point_loss': 0.244}, {'turn': 'Black', 'fen': '8/1p3p1p/2k1b3/5pK1/2nP3P/5P2/8/1BB5 b - - 2 42', 'move_number': 43, 'move': 'c4d6', 'prev_move': 'f4g5', 'time_diff': '0:02:02', 'exp_point_loss': 0.3165}]","[{'turn': 'Black', 'fen': 'rnb1k2r/ppp2ppp/5n2/5p2/1b1P4/P1N2N2/1P2PPPP/R1B1KB1R b KQkq - 0 8', 'move_number': 9, 'move': 'b4e7', 'prev_move': 'a2a3', 'time_diff': '0:21:18', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '8/1pk2p1p/4b2B/1P1n1p2/3b4/3BPP1P/5K2/8 w - - 0 35', 'move_number': 35, 'move': 'e3d4', 'prev_move': 'c5d4', 'time_diff': '0:40:00', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '8/1p3p1p/4b3/1k3p2/2nP1K2/5P1P/8/1BB5 w - - 0 41', 'move_number': 41, 'move': 'h3h4', 'prev_move': 'b6b5', 'time_diff': '0:17:35', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '8/1p3p1p/4b3/1k3p2/2nP1K1P/5P2/8/1BB5 b - - 0 41', 'move_number': 42, 'move': 'b5c6', 'prev_move': 'h3h4', 'time_diff': '0:18:49', 'exp_point_loss': 0.01849999999999996}]"
