Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Tingjie Lei,150.8,0.65,37.46,12,9,156.8,0.57,2557,2598,578,6,6,10.5,11.7,0.52,57.37,-0.36,0.63,0.67,148.9,152.8,4.5,4.5,7.78,136.89,0.27,3290.86
Humpy Koneru,148.6,0.61,8.32,12,7.5,157.2,0.42,2536,2528,629,6,6,8.48,19.9,0.71,3.98,-0.48,0.78,0.44,143,154.3,3.5,4,7.35,396.14,0.5,15.85
Divya Deshmukh,146.4,0.78,19.96,12,7.5,158.2,0.66,2463,2550,553,6,6,9.22,26.44,1.05,38.09,-0.6,1.2,0.36,139.4,153.3,4.5,3,9.32,699.07,1.09,1450.87
Zhongyi Tan,144.9,0.91,62.4,12,8.5,157.8,0.58,2527,2599,646,6,6,11.43,40.72,1.14,105.86,-0.68,0.74,1.09,155.8,134,5,3.5,10.96,1658.03,1.3,11207.19
Yuxin Song,151.5,0.47,26.43,10,5.5,158.2,0.52,2410,2416,443,5,5,8.72,13.84,0.38,53.02,-0.33,0.38,0.56,158.6,144.3,4,1.5,4.72,191.56,0.15,2811.45
Meruert Kamalidenova,153.7,0.6,31.37,8,5.5,155.6,0.5,2323,2568,420,4,4,12.05,6.73,0.45,50.7,-0.21,0.55,0.66,156.9,150.4,3,2.5,4.82,45.35,0.21,2570.47
Harika Dronavalli,152.9,0.55,-11.34,8,4.5,157.4,0.44,2488,2478,450,4,4,3.58,12.91,0.54,101.98,-0.25,0.8,0.3,148.7,157.2,2.5,2,4.42,166.67,0.29,10399.48
Umida Omonova,147.8,0.72,32.02,8,4,154.6,0.66,2211,2420,332,4,4,13.69,14.02,0.53,54.55,-0.53,0.72,0.72,152.1,143.4,2.5,1.5,5.76,196.43,0.28,2975.95
Rameshbabu Vaishali,141.3,0.96,30.35,8,4.5,153,0.88,2478,2457,440,4,4,11.82,21.04,0.8,43.54,-0.88,1.24,0.68,136.9,145.7,2.5,2,7.68,442.84,0.63,1895.43
Nana Dzagnidze,136.9,0.97,67.87,8,4.5,143.6,0.68,2502,2479,408,4,4,23.38,25.59,0.86,71.16,-1.12,0.46,1.48,151.6,122.2,3,1.5,7.72,654.63,0.75,5063.98
