,Mean,Median,Std Dev,Min,Max
Total Moves,20940.0,20940.0,0.0,20940.0,20940.0
Total Games,214.0,214.0,0.0,214.0,214.0
avg_gi,130.98,134.8,20.37,44.2,159.7
avg_missed_points,1.06,0.94,0.6,0.02,3.72
avg_missed_points_white,1.02,0.9,0.76,-0.04,5.44
avg_missed_points_black,1.11,0.91,0.76,0.02,3.47
avg_gi_white,133.43,137.6,24.83,-16.4,160.8
avg_gi_black,128.52,133.9,27.6,34.8,159.7
avg_acpl,54.0,31.37,49.75,-11.34,209.48
Elo,2303.98,2343.0,159.74,1914.0,2557.0
TPR,2293.83,2314.0,160.08,1999.0,2599.0
gi_median,134.46,139.0,22.22,44.2,159.7
missed_points_median,0.99,0.82,0.62,0.02,3.72
