Player,avg_missed_points,avg_gi,avg_missed_points,TPR,total_game_count,Points,gi_median,missed_points_median,Elo,,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Alireza Firouzja,0.54,158.1,0.54,3002,8,7,166.2,0.24,2798,,334,3,5,10.62,16.99,0.81,73.06,0.02,0.95,0.3,149.8,163,2.5,4.5,4.33,288.61,0.66,5337.5
Matthias Bluebaum,0.4,157.4,0.4,2734,16,13.5,159.8,0.33,2618,,656,10,6,7.44,9.11,0.46,31.2,-0.01,0.35,0.49,157.4,157.6,8.5,5,6.46,83.08,0.21,973.2
Quang Liem Le,0.47,156.7,0.47,2662,17,13.5,158.3,0.4,2662,,687,8,9,9.66,9.07,0.45,7.84,-0.05,0.57,0.39,154.7,158.4,6.5,7,8.03,82.32,0.2,61.4
Ian Nepomniachtchi,0.68,155,0.68,2727,18,13.5,157.8,0.7,2809,,820,10,8,15.88,8.48,0.47,50.87,-0.14,0.72,0.63,155.8,154,8,5.5,12.31,71.97,0.22,2587.69
Jan-Krzysztof Duda,0.63,154,0.63,2767,16,15,158,0.46,2762,,651,9,7,13.14,17.02,0.66,78.73,-0.19,0.5,0.8,158.9,147.8,8.5,6.5,10.13,289.59,0.43,6198.24
Wesley So,0.73,153.1,0.73,2763,10,9.5,158,0.55,2783,,398,5,5,16.36,11.21,0.63,12.17,-0.24,0.83,0.62,154.8,151.4,5,4.5,7.27,125.69,0.39,148.23
Vincent Keymer,0.72,151,0.72,2696,15,9.5,154.5,0.62,2585,,732,8,7,14.14,14.04,0.65,61.24,-0.35,0.98,0.42,145.9,156.9,5.5,4,10.8,197.01,0.42,3750.26
Ergali Suleimen,0.57,151,0.57,2274,11,8,157.6,0.52,2287,,405,3,8,16.81,12.5,0.49,161.55,-0.35,0.35,0.66,157.2,148.7,2,6,6.31,156.27,0.24,26098.2
Alexandra Kosteniuk,0.73,150.8,0.73,2463,10,9,157.6,0.64,2417,,510,5,5,16.37,11.67,0.57,10.5,-0.37,1.05,0.41,144,157.6,4.5,4.5,7.3,136.24,0.33,110.25
Dmitrij Kollars,0.58,150.7,0.58,2399,10,6.5,157.8,0.42,2575,,450,5,5,10.74,14.44,0.66,8.52,-0.37,0.48,0.68,152.3,149.2,2,4.5,5.8,208.56,0.44,72.53
Anish Giri,0.67,150.5,0.67,2688,18,14.5,158,0.28,2663,,907,10,8,12.54,20.05,0.89,10.73,-0.38,0.69,0.65,151,149.9,9.5,5,12.07,402.02,0.79,115.07
Santosh Gujrathi Vidit,0.92,149.9,0.92,2588,16,12,151.7,0.93,2673,,710,8,8,14.62,9.77,0.57,9.48,-0.41,1.02,0.82,147.6,152.2,5.5,6.5,14.68,95.5,0.33,89.81
Haik M. Martirosyan,0.72,149.5,0.72,2559,16,12.5,157.9,0.57,2687,,668,8,8,17.5,16.46,0.56,74.2,-0.44,0.58,0.86,152.7,146.2,6,6.5,11.51,270.81,0.32,5506
Khagan Ahmad,0.69,149.2,0.69,2550,12,9,158,0.46,2290,,544,6,6,19.72,12.67,0.77,77.35,-0.45,0.72,0.66,146.6,151.8,4,5,8.27,160.63,0.59,5982.62
Volodar Murzin,0.94,148.5,0.94,2652,15,11.5,156.5,0.91,2657,,792,7,8,11.75,14.22,0.63,8.71,-0.49,0.81,1.05,150.8,146.5,5.5,6,14.1,202.18,0.4,75.84
Yagiz Kaan Erdogmus,0.77,148.3,0.77,2601,14,12,157.9,0.54,2389,,659,6,8,14.52,21.02,0.77,59.81,-0.5,1.15,0.48,139.2,155.1,5.5,6.5,10.73,441.88,0.6,3577.45
David Navara,0.83,148.2,0.83,2650,15,12,157.9,0.74,2636,,633,7,8,12.75,16.84,0.73,108.65,-0.5,1.21,0.5,140.2,155.3,5.5,6.5,12.5,283.65,0.53,11804.05
