Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Gawain C B Maroroa Jones,161.3,0.06,3.32,2.0,0.5,161.3,0.06,2659,2618,86,1,1,3.32,7.35,0.04,2.55,0.2,0.03,0.08,166.5,156.1,0.5,0.0,0.11,54.08,0.0,6.52
Yagiz Kaan Erdogmus,159.4,0.62,118.62,2.0,2.0,159.4,0.62,2389,2804,75,1,1,118.62,0.92,0.18,150.63,0.11,0.5,0.75,160.1,158.8,1.0,1.0,1.25,0.84,0.03,22690.89
Alireza Firouzja,158.1,0.54,38.8,8.0,7.0,166.2,0.24,2798,3002,334,3,5,10.62,16.99,0.81,73.06,0.02,0.95,0.3,149.8,163.0,2.5,4.5,4.33,288.61,0.66,5337.5
Zarina Nurgaliyeva,158.0,0.64,21.82,1.0,1.0,158.0,0.64,2230,2380,40,0,1,21.82,0.0,0.0,0.0,0.02,,0.64,,158.0,0.0,1.0,0.64,0.0,0.0,0.0
Matthias Bluebaum,158.0,0.53,27.85,7.0,6.0,160.4,0.34,2618,2905,309,4,3,9.91,11.45,0.55,45.67,0.03,0.68,0.33,154.9,162.2,3.5,2.5,3.72,131.16,0.3,2085.82
Parham Maghsoodloo,157.6,0.0,0.0,1.0,0.0,157.6,0.0,2680,2043,0,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,,157.6,0.0,0.0,0.0,0.0,0.0,0.0
Elliot Papadiamandis,157.6,0.24,20.32,1.0,1.0,157.6,0.24,2271,1914,25,0,1,20.32,0.0,0.0,0.0,0.0,,0.24,,157.6,0.0,1.0,0.24,0.0,0.0,0.0
Srinath Narayanan,157.6,0.96,14.05,1.0,1.0,157.6,0.96,2442,1872,39,0,1,14.05,0.0,0.0,0.0,0.0,,0.96,,157.6,0.0,1.0,0.96,0.0,0.0,0.0
Quang Liem Le,156.7,0.47,11.45,17.0,13.5,158.3,0.4,2662,2662,687,8,9,9.66,9.07,0.45,7.84,-0.05,0.57,0.39,154.7,158.4,6.5,7.0,8.03,82.32,0.2,61.4
Ian Nepomniachtchi,155.0,0.68,32.29,18.0,13.5,157.8,0.7,2809,2727,820,10,8,15.88,8.48,0.47,50.87,-0.14,0.72,0.63,155.8,154.0,8.0,5.5,12.31,71.97,0.22,2587.69
Daniyal Sapenov,154.8,0.83,10.76,3.0,2.5,158.2,0.94,2416,2911,127,2,1,10.55,9.81,0.27,2.12,-0.15,0.98,0.52,151.0,162.4,1.5,1.0,2.48,96.26,0.07,4.49
Jan-Krzysztof Duda,154.0,0.63,32.89,16.0,15.0,158.0,0.46,2762,2767,651,9,7,13.14,17.02,0.66,78.73,-0.19,0.5,0.8,158.9,147.8,8.5,6.5,10.13,289.59,0.43,6198.24
Nuriddin Iunusov,153.8,0.68,58.13,7.0,6.0,157.7,0.86,1919,2361,284,3,4,14.44,10.47,0.35,188.85,-0.2,0.72,0.65,148.7,157.7,2.0,4.0,4.77,109.56,0.12,35662.95
Dmitrij Kollars,153.7,0.38,10.89,2.0,0.5,153.7,0.38,2575,2432,131,2,0,10.89,6.65,0.06,11.16,-0.21,0.38,,153.7,,0.5,0.0,0.76,44.18,0.0,124.5
Wesley So,153.1,0.73,17.48,10.0,9.5,158.0,0.55,2783,2763,398,5,5,16.36,11.21,0.63,12.17,-0.24,0.83,0.62,154.8,151.4,5.0,4.5,7.27,125.69,0.39,148.23
Viswanathan Anand,151.7,0.56,43.39,8.0,5.0,159.2,0.33,2739,2623,315,4,4,10.73,17.2,0.56,96.8,-0.32,0.59,0.52,150.0,153.3,2.5,2.5,4.47,295.94,0.32,9369.64
Csaba Balogh,151.1,0.64,17.3,5.0,3.5,157.8,0.43,2646,2455,194,2,3,19.9,15.5,0.54,8.71,-0.35,1.19,0.28,140.5,158.2,1.0,2.5,3.22,240.33,0.29,75.93
Alexandra Kosteniuk,150.8,0.73,17.58,10.0,9.0,157.6,0.64,2417,2463,510,5,5,16.37,11.67,0.57,10.5,-0.37,1.05,0.41,144.0,157.6,4.5,4.5,7.3,136.24,0.33,110.25
Anish Giri,150.5,0.67,13.44,18.0,14.5,158.0,0.28,2663,2688,907,10,8,12.54,20.05,0.89,10.73,-0.38,0.69,0.65,151.0,149.9,9.5,5.0,12.07,402.02,0.79,115.07
Santosh Gujrathi Vidit,149.9,0.92,14.75,16.0,12.0,151.7,0.93,2673,2588,710,8,8,14.62,9.77,0.57,9.48,-0.41,1.02,0.82,147.6,152.2,5.5,6.5,14.68,95.5,0.33,89.81
Ediz Gurel,149.8,0.92,20.84,2.0,1.5,149.8,0.92,2494,2832,94,1,1,20.84,17.32,0.48,4.93,-0.42,1.26,0.58,137.5,162.0,0.5,1.0,1.84,300.12,0.23,24.29
