,Mean,Median,Std Dev,Min,Max
Total Moves,154261.0,154261.0,0.0,154261.0,154261.0
Total Games,1726.0,1726.0,0.0,1726.0,1726.0
avg_gi,122.8,123.6,17.72,49.3,161.3
avg_missed_points,1.39,1.37,0.46,0.0,3.95
avg_missed_points_white,1.38,1.28,0.58,0.0,3.64
avg_missed_points_black,1.38,1.38,0.54,0.0,3.95
avg_gi_white,123.66,127.6,21.59,23.6,166.5
avg_gi_black,122.05,122.15,20.3,49.3,163.0
avg_acpl,95.59,80.62,62.45,-17.68,312.73
Elo,2196.65,2221.5,366.69,0.0,2837.0
TPR,2180.02,2228.5,358.08,0.0,3002.0
gi_median,130.84,130.95,19.24,49.3,166.2
missed_points_median,1.19,1.15,0.49,0.0,3.95
