white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
139.5,167.4,0.55,0.05,14.29,6.56,Gawain C B Maroroa Jones,Gleb Dudin,2025 FIDE World Rapid Team Championship,"London, United Kingdom",2.14,2635,2454,0.0,1.0,????.??.??,45,45,3.1,3.7,0.01,0.0,-0.97,0.53,0,0,1,0,0,0,0,0,0,0,"[{'turn': 'White', 'fen': 'r1bq1rk1/1pp1bppp/p3pn2/8/PnpP4/5NP1/1PQNPPBP/R1B2RK1 w - - 3 10', 'move_number': 10, 'move': 'c2c3', 'prev_move': 'c6b4', 'time_diff': '0:00:40', 'exp_point_loss': 0.501}]",[]
145.6,173.5,0.65,0.14,22.62,12.43,David Muradyan,Ali Aras Yildiz,"Round 6: Muradyan, David - Yildiz, Ali Aras",?,6.42,,1835,0.0,1.0,????.??.??,56,56,2.6,3.1,0.01,0.0,-0.65,0.86,0,0,1,0,0,0,0,0,0,0,"[{'turn': 'White', 'fen': '8/1b1r3p/2p2kp1/2R5/5P2/r1pB4/P1R3PP/6K1 w - - 0 33', 'move_number': 33, 'move': 'c5c3', 'prev_move': 'd4c3', 'time_diff': '0:00:22', 'exp_point_loss': 0.5}]",[]
157.6,157.9,0.26,0.25,7.46,7.28,Alua Nurman,Atilla Kuru,"Round 9: Nurman, Alua - Kuru, Atilla",?,9.53,2250,1972,0.5,0.5,????.??.??,61,60,2.6,2.6,0.0,0.0,0.0,0.02,1,0,0,1,0,0,0,0,0,0,[],[]
158.2,126.2,0.52,1.01,9.97,27.03,Shamsiddin Vokhidov,Lara Schulze,2025 FIDE World Rapid Team Championship,"London, United Kingdom",1.22,2519,2211,1.0,0.0,????.??.??,33,32,4.8,3.9,0.02,0.03,0.03,-1.69,2,1,0,0,1,2,0,0,0,0,"[{'turn': 'Black', 'fen': '1rb1rbk1/2q2p1p/p1pp2p1/N1p3Qn/N1P1P3/PPB2P2/6PP/3RR1K1 b - - 2 23', 'move_number': 24, 'move': 'f8g7', 'prev_move': 'f1e1', 'time_diff': '0:01:00', 'exp_point_loss': 0.281}, {'turn': 'Black', 'fen': '1rb1r1k1/2q2pbp/p1pp2p1/N1p4n/N1P1P3/PPB2P2/3Q2PP/3RR1K1 b - - 4 24', 'move_number': 25, 'move': 'g7d4', 'prev_move': 'g5d2', 'time_diff': '0:01:32', 'exp_point_loss': 0.2485}]",[]
157.9,159.1,0.15,0.15,4.72,4.37,Dinara Saduakassova,Frederick Waldhausen Gordon,"Round 12: Saduakassova, Dinara - Waldhausen Gordon, Frederick",?,12.58,2449,2153,0.5,0.5,????.??.??,36,35,4.4,4.5,0.0,0.0,0.02,0.08,0,0,0,0,0,0,0,0,0,0,[],[]
157.6,128.9,0.28,0.78,11.31,38.92,Bohdan Lobkin,Stepan Zaiarski,"Round 4: Lobkin, Bohdan - Zaiarski, Stepan",?,4.30,1902,1764,1.0,0.0,????.??.??,26,26,6.1,5.0,0.01,0.03,0.0,-1.54,1,1,0,0,2,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1b2r1k/ppp1n1pp/3pq3/8/2PnBP2/3QN3/PP1N2PP/R4RK1 b - - 2 18', 'move_number': 19, 'move': 'd4f5', 'prev_move': 'b3d3', 'time_diff': '0:00:25', 'exp_point_loss': 0.3125}]",[]
134.3,164.4,1.0,0.49,31.57,14.95,Luke J McShane,Richard Rapport,"Round 11: McShane, Luke J - Rapport, Richard",?,11.31,2702,2709,0.0,1.0,????.??.??,37,37,3.6,4.4,0.03,0.01,-1.25,0.37,0,0,2,0,0,1,0,0,0,0,"[{'turn': 'White', 'fen': '1r4k1/5pp1/2p4p/2N1p1q1/1PPr4/2Q3Pn/5P1P/2R1R2K w - - 3 30', 'move_number': 30, 'move': 'c1c2', 'prev_move': 'f4h3', 'time_diff': '0:00:57', 'exp_point_loss': 0.43900000000000006}, {'turn': 'Black', 'fen': '3r2k1/5pp1/2p4p/2N1pq2/1PPr4/2Q3Pn/4RPKP/4R3 b - - 8 32', 'move_number': 33, 'move': 'f7f6', 'prev_move': 'c2e2', 'time_diff': '0:00:56', 'exp_point_loss': 0.4525}, {'turn': 'White', 'fen': '3r2k1/6p1/2p2p1p/2N1pq2/1PPr4/2Q3Pn/4RPKP/4R3 w - - 0 33', 'move_number': 33, 'move': 'c3c2', 'prev_move': 'f7f6', 'time_diff': '0:01:30', 'exp_point_loss': 0.4525}]",[]
134.4,159.9,0.76,0.26,284.0,13.35,Aldiyar Ansat,V Pranav,"Round 9: Ansat, Aldiyar - Pranav, V",?,9.10,2383,2537,0.0,1.0,????.??.??,37,37,3.6,4.3,0.02,0.01,-1.25,0.12,0,2,0,0,0,0,0,0,0,0,[],[]
126.3,159.2,1.15,0.64,27.39,13.59,Marcus R Harvey,Boris Gelfand,"Round 4: Harvey, Marcus R - Gelfand, Boris",?,4.49,2460,2622,0.0,1.0,????.??.??,70,70,1.8,2.3,0.02,0.01,-1.69,0.09,0,0,2,0,0,1,0,0,0,0,"[{'turn': 'White', 'fen': '8/8/1p3R2/p5k1/Pr6/8/4K3/8 w - - 1 46', 'move_number': 46, 'move': 'f6c6', 'prev_move': 'h5g5', 'time_diff': '0:00:40', 'exp_point_loss': 0.499}, {'turn': 'Black', 'fen': '8/8/1pR5/p5k1/Pr6/8/4K3/8 b - - 2 46', 'move_number': 47, 'move': 'g5f5', 'prev_move': 'f6c6', 'time_diff': '0:00:28', 'exp_point_loss': 0.498}, {'turn': 'White', 'fen': '8/8/1pR5/p4k2/Pr6/8/4K3/8 w - - 3 47', 'move_number': 47, 'move': 'e2d3', 'prev_move': 'g5f5', 'time_diff': '0:00:22', 'exp_point_loss': 0.498}]",[]
124.3,124.7,1.48,1.48,22.58,22.65,Afruza Khamdamova,Stavroula Tsolakidou,"Round 4: Khamdamova, Afruza - Tsolakidou, Stavroula",?,4.11,2406,2394,0.5,0.5,????.??.??,66,65,1.9,1.9,0.02,0.02,-1.79,-1.77,3,0,3,1,0,3,0,0,0,0,"[{'turn': 'White', 'fen': '2r1r1k1/5pb1/1p1p2p1/p1nPp2p/P1P2PqQ/1PB1R3/3N2PP/5RK1 w - - 0 25', 'move_number': 25, 'move': 'h4g4', 'prev_move': 'd7g4', 'time_diff': '0:03:26', 'exp_point_loss': 0.30800000000000005}, {'turn': 'Black', 'fen': '2r1r1k1/5pb1/1p4p1/p1nPp3/P1P3p1/1PB1R3/3N2PP/4R1K1 b - - 1 27', 'move_number': 28, 'move': 'f7f6', 'prev_move': 'f1e1', 'time_diff': '0:00:22', 'exp_point_loss': 0.27100000000000013}, {'turn': 'White', 'fen': '2r1r1k1/6b1/1p4p1/p2Ppp2/P1P1R1p1/1PB5/6PP/4R1K1 w - - 0 30', 'move_number': 30, 'move': 'e4e2', 'prev_move': 'f6f5', 'time_diff': '0:00:47', 'exp_point_loss': 0.3115}, {'turn': 'Black', 'fen': '4r3/8/1p4k1/p1bP1pp1/P1P3r1/1P2pKP1/4R3/2B4R b - - 6 43', 'move_number': 44, 'move': 'g4e4', 'prev_move': 'g2f3', 'time_diff': '0:00:42', 'exp_point_loss': 0.479}, {'turn': 'White', 'fen': '4r3/8/1p4k1/p1bP1pp1/P1P1r3/1P2pKP1/4R3/2B4R w - - 7 44', 'move_number': 44, 'move': 'h1e1', 'prev_move': 'g4e4', 'time_diff': '0:00:32', 'exp_point_loss': 0.47950000000000004}, {'turn': 'Black', 'fen': '8/8/1p6/p1b2k2/P1P3p1/1P4K1/8/4B3 b - - 1 53', 'move_number': 54, 'move': 'f5e4', 'prev_move': 'd2e1', 'time_diff': '0:00:47', 'exp_point_loss': 0.5}]",[]
168.4,149.2,-0.13,0.36,5.23,31.0,Richard Rapport,Rauf Mamedov,"Round 8: Rapport, Richard - Mamedov, Rauf",?,8.7,2709,2617,1.0,0.0,????.??.??,31,30,5.4,5.0,-0.0,0.01,0.59,-0.45,1,0,0,3,0,0,0,0,0,0,[],[]
139.9,165.4,0.71,0.21,13.0,6.63,Boris Gelfand,Nihal Sarin,"Round 8: Gelfand, Boris - Nihal Sarin",?,8.31,2622,2676,0.0,1.0,????.??.??,50,49,2.8,3.4,0.01,0.0,-0.95,0.42,0,0,1,0,0,0,0,0,0,0,"[{'turn': 'White', 'fen': '8/8/1p2k3/p2p1p2/P1P1pPrp/1P2K3/5RPP/8 w - - 0 46', 'move_number': 46, 'move': 'f2d2', 'prev_move': 'd6d5', 'time_diff': '0:00:37', 'exp_point_loss': 0.496}]",[]
