Player,avg_gi,avg_missed_points,TPR,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Jan-Krzysztof Duda,154.5,0.33,2462,53.1,7,3.5,158.2,0.28,2718,234,3,4,10.39,9.19,0.28,110.47,-0.16,0.3,0.36,159.1,151.1,2,1.5,2.33,84.4,0.08,12204.32
Andrey Esipenko,149.5,0.44,2489,33.82,12,5.5,160,0.26,2651,490,6,6,5.61,22.51,0.62,90.52,-0.43,0.77,0.12,138.1,161,2.5,3,5.34,506.87,0.39,8193.17
Alexander Grischuk,152,0.51,2547,23.41,11,5.5,158.1,0.42,2696,473,6,5,7.26,11.09,0.52,38.98,-0.3,0.49,0.52,154.4,149.1,3.5,2,5.59,123,0.27,1519.59
Richard G Pert,153.1,0.59,2542,59.08,7,6,158.2,0.45,2447,252,3,4,14.44,9.8,0.68,115.81,-0.24,1.02,0.27,145.5,158.8,3,3,4.14,95.97,0.46,13411.48
Rhys Cumming,145.2,0.6,2093,21.4,11,5,141.6,0.52,2223,449,5,6,16.42,16.99,0.48,84.45,-0.67,0.57,0.63,141.9,148,2,3,6.6,288.73,0.23,7131.47
Or Bronstein,150.8,0.62,2557,49.62,9,7.5,158.1,0.48,2345,333,5,4,12.71,12.57,0.58,114.19,-0.37,0.69,0.54,151.4,149.9,5,2.5,5.57,158.02,0.33,13039.89
Rauf Mamedov,146.8,0.62,2518,52.38,6,2.5,153.7,0.46,2617,256,3,3,20.09,19.09,0.61,87.79,-0.58,0.91,0.34,136.4,157.1,0.5,2,3.74,364.48,0.37,7707.63
Alexey Sarana,153,0.63,2637,9.42,7,4.5,160.1,0.48,2603,312,4,3,8.63,17.15,0.64,5.33,-0.25,0.88,0.29,147.5,160.3,2.5,2,4.38,294.22,0.4,28.4
Rasmus Svane,150.4,0.64,2627,63.92,9,5.5,146.2,0.47,2616,372,4,5,13.24,11.26,0.63,108.95,-0.39,0.61,0.67,153.8,147.7,2.5,3,5.8,126.71,0.39,11870.91
Richard Rapport,150.2,0.68,2744,21.66,12,8,155.9,0.44,2709,538,5,7,11.2,19.27,0.65,33.43,-0.4,0.55,0.77,154.2,147.3,4,4,8.13,371.26,0.43,1117.83
Matthias Bluebaum,145.6,0.68,2438,14,7,3.5,157.7,0.45,2596,348,4,3,7.64,20.11,0.73,11.54,-0.65,0.34,1.15,154.8,133.4,2,1.5,4.78,404.43,0.53,133.25
Quang Liem Le,150.3,0.69,2703,11.11,9,6.5,158.3,0.4,2645,470,3,6,9.2,15.26,0.68,7.18,-0.39,0.95,0.55,146.5,152.2,2,4.5,6.18,232.78,0.46,51.5
Andrei Volokitin,140.8,0.7,2345,15.45,6,2,142.5,0.52,2568,265,2,4,12.76,21.12,0.66,11.37,-0.91,0.83,0.63,140.5,140.9,0.5,1.5,4.17,445.87,0.43,129.25
Anish Giri,151.8,0.71,2650,12.06,11,8,154.7,0.72,2688,485,6,5,11.11,13.2,0.52,5.74,-0.31,0.67,0.77,150.6,153.2,4,4,7.85,174.24,0.27,32.95
Yifan Hou,147.4,0.72,2460,19.9,7,5.5,157.6,0.57,2539,258,3,4,10.76,20.85,0.73,27.9,-0.55,0.85,0.62,150.2,145.2,2.5,3,5.06,434.87,0.54,778.61
Read Samadov,146.6,0.72,2473,30.3,10,4.5,155.5,0.66,2464,458,5,5,12.84,15.9,0.68,56.38,-0.59,0.84,0.6,144.4,148.8,2,2.5,7.22,252.82,0.46,3178.58
Maxime Vachier-Lagrave,147.6,0.73,2653,4.13,10,6,160,0.45,2735,462,4,6,9.64,25.1,0.69,22.69,-0.54,0.97,0.56,143.3,150.5,3,3,7.27,630.11,0.47,514.77
Alua Nurman,143.9,0.73,2234,40.84,8,5,150.2,0.68,2250,482,4,4,11.92,16.35,0.54,120.95,-0.74,0.78,0.68,147,140.8,3,2,5.85,267.39,0.29,14627.96
Javokhir Sindarov,152.2,0.74,2798,11.8,12,9.5,158.7,0.68,2668,515,7,5,11.66,15.37,0.74,7.42,-0.29,0.89,0.52,149.9,155.6,6.5,3,8.85,236.15,0.55,55.01
Jose Eduardo Martinez Alcantara,145.4,0.75,2541,-0.23,12,5.5,157,0.66,2665,538,6,6,6.57,23.71,0.76,47.31,-0.66,0.5,1,154.2,136.6,3.5,2,8.99,562.02,0.57,2238.17
Irina Bulmaga,146.1,0.77,2496,124.15,9,6.5,158.2,0.49,2372,374,5,4,19.9,17.52,0.77,175.9,-0.62,0.56,1.04,154.8,135.2,4.5,2,6.97,306.98,0.59,30940.53
Jingyao Tin,143.2,0.77,2555,30.94,11,7,158.6,0.51,2485,556,5,6,11.64,35.25,1.01,52.85,-0.77,0.39,1.09,159.8,129.4,4,3,8.49,1242.73,1.03,2792.85
Aldiyar Ansat,136.2,0.77,2342,59.53,8,3,128.4,0.9,2383,404,4,4,19.6,20.15,0.65,95.37,-1.15,0.91,0.63,133,139.4,1,2,6.14,406.14,0.42,9095.48
Daniel Dardha,146.6,0.78,2547,15.32,12,7.5,156.2,0.78,2582,519,6,6,10.66,18.85,0.66,13.23,-0.59,0.57,0.99,150.8,142.4,3.5,4,9.33,355.23,0.43,175.08
Hikaru Nakamura,150.5,0.79,2747,14.7,11,8.5,159.1,0.63,2734,570,7,4,8.67,16.13,0.79,39.27,-0.38,0.81,0.75,149.9,151.5,5.5,3,8.67,260.24,0.62,1542.31
Boris Gelfand,147.2,0.79,2594,21.81,9,5,146.9,0.71,2622,414,5,4,14.23,11.67,0.44,18.11,-0.56,0.92,0.62,146.3,148.4,3,2,7.07,136.2,0.19,327.95
Frederick Waldhausen Gordon,146.7,0.79,2160,28.2,10,7,153.8,0.76,2153,504,5,5,15.74,15.5,0.68,43.58,-0.58,1.09,0.49,143.8,149.7,4.5,2.5,7.89,240.31,0.46,1899.19
Faustino Oro,143.6,0.8,2534,22.08,12,6,143.2,0.56,2457,650,7,5,14.57,18.87,0.66,29.15,-0.75,0.9,0.66,141.1,147.1,2.5,3.5,9.59,356.08,0.43,849.57
