Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Maria Manakova,158.0,0.66,21.04,2.0,2.0,158.0,0.66,2170,2451,80,1,1,21.04,0.57,0.3,19.58,0.02,0.45,0.87,158.4,157.6,1.0,1.0,1.32,0.32,0.09,383.37
Anuar Ismagambetov,157.7,0.66,13.63,1.0,1.0,157.7,0.66,2466,2192,59,0,1,13.63,0.0,0.0,0.0,0.01,,0.66,,157.7,0.0,1.0,0.66,0.0,0.0,0.0
Amoako_Philip_Selikem Yao,157.6,0.0,0.0,2.0,0.0,157.6,0.0,1948,1528,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.6,157.6,0.0,0.0,0.0,0.0,0.0,0.0
Edvin Morell,157.6,0.57,12.74,2.0,2.0,157.6,0.57,1882,2127,95,0,2,12.74,0.07,0.57,5.76,0.0,,0.57,,157.6,0.0,2.0,1.14,0.0,0.32,33.13
Jan-Krzysztof Duda,154.5,0.33,53.1,7.0,3.5,158.2,0.28,2718,2462,234,3,4,10.39,9.19,0.28,110.47,-0.16,0.3,0.36,159.1,151.1,2.0,1.5,2.33,84.4,0.08,12204.32
Leia Andries,154.5,0.98,20.78,2.0,2.0,154.5,0.98,1708,2082,97,1,1,20.78,4.38,0.28,2.69,-0.16,0.78,1.17,157.6,151.4,1.0,1.0,1.95,19.22,0.08,7.22
Richard G Pert,153.1,0.59,59.08,7.0,6.0,158.2,0.45,2447,2542,252,3,4,14.44,9.8,0.68,115.81,-0.24,1.02,0.27,145.5,158.8,3.0,3.0,4.14,95.97,0.46,13411.48
Alexey Sarana,153.0,0.63,9.42,7.0,4.5,160.1,0.48,2603,2637,312,4,3,8.63,17.15,0.64,5.33,-0.25,0.88,0.29,147.5,160.3,2.5,2.0,4.38,294.22,0.4,28.4
Javokhir Sindarov,152.2,0.74,11.8,12.0,9.5,158.7,0.68,2668,2798,515,7,5,11.66,15.37,0.74,7.42,-0.29,0.89,0.52,149.9,155.6,6.5,3.0,8.85,236.15,0.55,55.01
Alexander Grischuk,152.0,0.51,23.41,11.0,5.5,158.1,0.42,2696,2547,473,6,5,7.26,11.09,0.52,38.98,-0.3,0.49,0.52,154.4,149.1,3.5,2.0,5.59,123.0,0.27,1519.59
