,Mean,Median,Std Dev,Min,Max
Total Moves,138675.0,138675.0,0.0,138675.0,138675.0
Total Games,1439.0,1439.0,0.0,1439.0,1439.0
avg_gi,128.5,131.3,16.73,7.9,158.0
avg_missed_points,1.22,1.17,0.43,0.0,4.08
avg_missed_points_white,1.22,1.17,0.54,0.0,4.08
avg_missed_points_black,1.21,1.15,0.52,0.0,3.2
avg_gi_white,129.09,133.0,20.55,7.9,163.0
avg_gi_black,128.71,131.5,18.41,60.3,161.2
avg_acpl,66.34,51.26,62.13,-6.95,479.14
Elo,2170.86,2223.0,429.67,0.0,2753.0
TPR,2146.07,2208.0,382.09,0.0,2922.0
gi_median,133.4,134.6,18.69,7.9,161.4
missed_points_median,1.09,1.05,0.47,0.0,4.08
