white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
155.5,155.7,0.56,0.56,11.96,11.4,Angel Gabriel Cordoba Roa,Khazar Babazada,"Round 2: Cordoba Roa, Angel Gabriel - Babazada, Khazar",https://lichess.org/study/4JbYQtXz/3EpvaYek,2.14,2358,2471,0.5,0.5,2025-02-26,26,25,6.0,6.2,0.02,0.02,-0.11,-0.1,2,1,0,3,0,0,1,0,2,1,[],"[{'turn': 'Black', 'fen': '2rq1rk1/1p3pbp/p1npbnp1/4p3/2P1P3/1PN1B3/P1N1BPPP/R2Q1RK1 b - - 0 13', 'move_number': 14, 'move': 'd8c7', 'prev_move': 'b2b3', 'time_diff': '0:27:31', 'exp_point_loss': 0.14850000000000002}, {'turn': 'White', 'fen': '2r2rk1/1pq2pbp/p1npbnp1/4p3/2P1P3/1PN1B3/P1N1BPPP/R2Q1RK1 w - - 1 14', 'move_number': 14, 'move': 'd1d2', 'prev_move': 'd8c7', 'time_diff': '0:22:17', 'exp_point_loss': 0.1275}, {'turn': 'White', 'fen': '2r2rk1/2q2pbp/p1npbnp1/1p2p3/2P1P3/1PN1B3/P1NQBPPP/R4RK1 w - - 0 15', 'move_number': 15, 'move': 'c3d5', 'prev_move': 'b7b5', 'time_diff': '0:20:39', 'exp_point_loss': 0.15149999999999997}, {'turn': 'White', 'fen': '2r2k2/5pbp/p1np2p1/4p3/2p5/1P2P3/P1N1B1PP/3R2K1 w - - 0 21', 'move_number': 21, 'move': 'e2c4', 'prev_move': 'b5c4', 'time_diff': '0:39:38', 'exp_point_loss': 0.006000000000000005}]"
116.4,158.0,1.23,0.72,27.8,12.86,Igor Schlegel,Amilal Munkhdalai,"Round 6: Schlegel, Igor - Amilal Munkhdalai",https://lichess.org/study/Klnfbjyi/Rpf2kygf,6.42,2271,2409,0.0,1.0,2025-03-02,35,35,3.3,4.5,0.04,0.02,-2.22,0.03,1,0,2,0,1,1,0,1,2,0,"[{'turn': 'Black', 'fen': '2r1k2r/1p2Bppp/1qn1p3/3pP3/1pnP3P/PR1Q1N2/4BPP1/4R1K1 b k - 0 19', 'move_number': 20, 'move': 'e8e7', 'prev_move': 'g5e7', 'time_diff': '0:08:22', 'exp_point_loss': 0.248}, {'turn': 'White', 'fen': '2r4r/1p1nkpp1/1q2p2p/1P1pP3/2nP3P/1R1Q1N2/4BPP1/R5K1 w - - 3 23', 'move_number': 23, 'move': 'h4h5', 'prev_move': 'b8d7', 'time_diff': '0:07:49', 'exp_point_loss': 0.4565}, {'turn': 'White', 'fen': '8/1p1nkppQ/1q2p2p/1P2P2P/3P4/2p2N2/r4PP1/1R4K1 w - - 0 28', 'move_number': 28, 'move': 'b1c1', 'prev_move': 'c4c3', 'time_diff': '0:04:53', 'exp_point_loss': 0.5}]","[{'turn': 'White', 'fen': '2rqkbnr/1p1b1ppp/p1n1p3/2ppP3/3P4/2P2N2/PP2BPPP/RNBQ1RK1 w k - 0 8', 'move_number': 8, 'move': 'f1e1', 'prev_move': 'a7a6', 'time_diff': '0:21:24', 'exp_point_loss': 0.017500000000000016}, {'turn': 'White', 'fen': '2r1kb1r/1p1bnppp/pq2p3/3pP3/1PnP4/P4N2/3NBPPP/R1BQR1K1 w k - 3 13', 'move_number': 13, 'move': 'd2b3', 'prev_move': 'g8e7', 'time_diff': '0:17:03', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '1nr4r/1p2kpp1/1q2p2p/1P1pP3/2nP3P/1R1Q1N2/4BPP1/R5K1 b - - 2 22', 'move_number': 23, 'move': 'b8d7', 'prev_move': 'e1a1', 'time_diff': '0:39:08', 'exp_point_loss': 0}]"
158.1,136.9,0.09,0.58,2.39,13.07,Michal Jares,Oriyat Obidjonov,"Round 9: Jares, Michal - Obidjonov, Oriyat",https://lichess.org/study/CRir51kN/gtXjUjIB,9.53,2268,2067,1.0,0.0,2025-03-05,46,45,3.4,3.0,0.0,0.01,0.03,-1.12,0,0,0,0,0,1,0,1,0,1,"[{'turn': 'Black', 'fen': '3r1k2/1pr1bpp1/p3p2p/PPPp4/8/3NP1P1/5PKP/R1R5 b - - 0 25', 'move_number': 26, 'move': 'd8c8', 'prev_move': 'b4b5', 'time_diff': '0:02:01', 'exp_point_loss': 0.487}]","[{'turn': 'Black', 'fen': '2rr1k2/1p2bpp1/p3p2p/P1Pp4/1P6/3NP1P1/5PKP/R1R5 b - - 2 24', 'move_number': 25, 'move': 'c8c7', 'prev_move': 'd1c1', 'time_diff': '0:16:20', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '4k3/1p3pp1/pPr2b1p/P1PpP3/8/4P1P1/R5KP/2R5 b - - 0 31', 'move_number': 32, 'move': 'f6g5', 'prev_move': 'f4e5', 'time_diff': '0:40:00', 'exp_point_loss': 0}]"
112.4,107.4,1.9,1.9,25.43,25.05,Yifan b Hou,S Aswath,"Round 1: Hou, Yifan b - Aswath, S",https://lichess.org/study/xZgJicw9/oVu6a57C,1.22,2199,2470,0.5,0.5,2025-02-25,44,44,2.6,2.4,0.04,0.04,-2.44,-2.71,4,2,2,3,0,3,0,0,0,2,"[{'turn': 'Black', 'fen': '2r3k1/p2n1r1p/bppbp3/3p2q1/2PPP1p1/1P1N2N1/P4PBP/1RQR2K1 b - - 4 23', 'move_number': 24, 'move': 'f7g7', 'prev_move': 'c2c1', 'time_diff': '0:10:57', 'exp_point_loss': 0.4685000000000001}, {'turn': 'Black', 'fen': '2R2nk1/p6p/1p2p3/3pP1r1/3P1bp1/1P4N1/P4PBP/6K1 b - - 0 32', 'move_number': 33, 'move': 'f4g3', 'prev_move': 'c2c8', 'time_diff': '0:00:43', 'exp_point_loss': 0.464}, {'turn': 'White', 'fen': '2R2nk1/p6p/1p2p3/3pPr2/3P2p1/1P4P1/P4PB1/6K1 w - - 1 34', 'move_number': 34, 'move': 'g1f1', 'prev_move': 'g5f5', 'time_diff': '0:01:27', 'exp_point_loss': 0.353}, {'turn': 'Black', 'fen': '2R2n2/p4r2/1p2p2k/3pP2p/PP1P2p1/3B2P1/4KP2/8 b - - 0 40', 'move_number': 41, 'move': 'h6g7', 'prev_move': 'a2a4', 'time_diff': '0:00:42', 'exp_point_loss': 0.479}, {'turn': 'White', 'fen': '2R2n2/p4rk1/1p2p3/3pP2p/PP1P2p1/3B2P1/4KP2/8 w - - 1 41', 'move_number': 41, 'move': 'c8c6', 'prev_move': 'h6g7', 'time_diff': '0:00:58', 'exp_point_loss': 0.485}]","[{'turn': 'Black', 'fen': '2rq2k1/p2n3p/bppbp3/3p4/2PPPrp1/1P4N1/P1Q2PBP/1R1RN1K1 b - - 0 21', 'move_number': 22, 'move': 'd8g5', 'prev_move': 'e2e4', 'time_diff': '0:22:52', 'exp_point_loss': 0.17999999999999994}, {'turn': 'Black', 'fen': '5n2/p4rk1/1pR1p3/3pP2p/PP1P2p1/3B2P1/4KP2/8 b - - 2 41', 'move_number': 42, 'move': 'g7h6', 'prev_move': 'c8c6', 'time_diff': '0:18:53', 'exp_point_loss': 0.012500000000000011}]"
127.8,75.1,1.88,2.37,22.03,42.46,Raem Sherman,Axel Falkevall,"Round 11: Sherman, Raem - Falkevall, Axel",https://lichess.org/study/8oPIdCa7/Z9mkEnX4,11.31,2333,2396,1.0,0.0,2025-03-07,36,35,3.6,2.1,0.05,0.07,-1.6,-4.45,2,0,4,2,1,4,0,0,0,0,"[{'turn': 'White', 'fen': 'r1bqk2r/bpp2p1n/2np3p/p3p1p1/2B1P3/2PP1NB1/PP1N1PPP/R2Q1RK1 w kq - 4 11', 'move_number': 11, 'move': 'f1e1', 'prev_move': 'f6h7', 'time_diff': '0:08:05', 'exp_point_loss': 0.5615000000000001}, {'turn': 'Black', 'fen': 'r2qk2r/bpp2p1n/2np4/p3p3/2BPP1bp/2P2N2/PP1N1PPB/R2QR1K1 b kq - 0 15', 'move_number': 16, 'move': 'e5d4', 'prev_move': 'd3d4', 'time_diff': '0:07:43', 'exp_point_loss': 0.6675}, {'turn': 'White', 'fen': 'r3k2r/bppq1p1n/2np4/p7/2BpP1bp/1QP2N2/PP1N1PPB/R3R1K1 w kq - 2 17', 'move_number': 17, 'move': 'c4d5', 'prev_move': 'd8d7', 'time_diff': '0:14:46', 'exp_point_loss': 0.4185}, {'turn': 'Black', 'fen': 'r4rk1/bppq1p1n/2np4/p2B4/3pP1bN/1QP5/PP1N1PPB/R3R1K1 b - - 0 18', 'move_number': 19, 'move': 'd4c3', 'prev_move': 'f3h4', 'time_diff': '0:03:30', 'exp_point_loss': 0.3605}, {'turn': 'White', 'fen': 'r4rk1/bBp2p2/3p4/p5nq/3NP1b1/2Q3B1/PP3PP1/R3R1K1 w - - 1 24', 'move_number': 24, 'move': 'd4f5', 'prev_move': 'h7g5', 'time_diff': '0:06:01', 'exp_point_loss': 0.35}, {'turn': 'Black', 'fen': 'r4rk1/bBp2p2/3p4/p4Pnq/8/2Q3B1/PP3PP1/R3R1K1 b - - 0 25', 'move_number': 26, 'move': 'a8d8', 'prev_move': 'e4f5', 'time_diff': '0:00:08', 'exp_point_loss': 0.2745}, {'turn': 'White', 'fen': '1r3rk1/2p2p2/3p4/p1bB1Pn1/6q1/1PQ3B1/P4PP1/3RR1K1 w - - 1 29', 'move_number': 29, 'move': 'f5f6', 'prev_move': 'a7c5', 'time_diff': '0:03:34', 'exp_point_loss': 0.4}, {'turn': 'Black', 'fen': '1r3rk1/2p2p2/3p1P2/p1bB2n1/6q1/1PQ3B1/P4PP1/3RR1K1 b - - 0 29', 'move_number': 30, 'move': 'g5e6', 'prev_move': 'f5f6', 'time_diff': '0:03:12', 'exp_point_loss': 0.5}]",[]
132.6,131.8,1.27,1.26,14.08,13.63,Benik Agasarov,Timothe Razafindratsima,"Round 9: Agasarov, Benik - Razafindratsima, Timothe",https://lichess.org/study/CRir51kN/xswhlKiR,9.10,2402,2465,0.5,0.5,2025-03-05,38,38,3.5,3.5,0.03,0.03,-1.34,-1.39,3,2,1,6,0,1,0,0,1,0,"[{'turn': 'Black', 'fen': 'q4rk1/1b1nbppp/4pn2/2p5/3P4/1P2PN2/1B1NBPPP/Q4RK1 b - - 3 16', 'move_number': 17, 'move': 'a8b8', 'prev_move': 'd1a1', 'time_diff': '0:00:37', 'exp_point_loss': 0.2565}, {'turn': 'White', 'fen': '7k/1q3p1p/4pp2/2bn4/2NN4/1P2PQ1P/5PP1/6K1 w - - 9 33', 'move_number': 33, 'move': 'f3g4', 'prev_move': 'f8c5', 'time_diff': '0:05:55', 'exp_point_loss': 0.358}]","[{'turn': 'White', 'fen': '3r2k1/3nbppp/4pn2/2pq4/3P4/1P2PN1P/1B1N1PP1/Q1R3K1 w - - 0 21', 'move_number': 21, 'move': 'a1b1', 'prev_move': 'b7d5', 'time_diff': '0:19:31', 'exp_point_loss': 0.20700000000000002}]"
156.9,102.4,1.02,1.52,146.26,286.89,Vepaly Halynyazov,Sohan Belkaid,"Round 4: Halynyazov, Vepaly - Belkaid, Sohan",https://lichess.org/study/zX7F20DL/LRwOH9zt,4.49,2115,2370,1.0,0.0,2025-02-28,73,72,2.1,1.4,0.01,0.02,-0.04,-2.97,2,3,0,3,0,1,0,1,1,2,"[{'turn': 'Black', 'fen': '2Br4/Nk6/1b1q4/Q2pr1p1/2p3P1/5P1p/2K4P/1R6 b - - 1 51', 'move_number': 52, 'move': 'b7c7', 'prev_move': 'f5c8', 'time_diff': '0:00:42', 'exp_point_loss': 1.0}]","[{'turn': 'White', 'fen': 'r3kb1r/pp1n1p2/2p1b3/q2p1Np1/3P3p/2NBP3/PPQ2PPP/2KR3R w kq - 2 15', 'move_number': 15, 'move': 'a2a3', 'prev_move': 'd8a5', 'time_diff': '0:18:05', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '2kr1b1r/pp3p2/1np1b3/q2p1Np1/3P2Pp/P1NBP3/1PQK1P1P/3R3R b - - 2 17', 'move_number': 18, 'move': 'e6f5', 'prev_move': 'c1d2', 'time_diff': '0:23:18', 'exp_point_loss': 0.00599999999999995}, {'turn': 'Black', 'fen': '1k1r1b1r/pp3p2/qn6/3p1Bp1/1PpP2P1/P1N1P2p/2Q1KP1P/1R5R b - - 1 23', 'move_number': 24, 'move': 'b6a8', 'prev_move': 'd1b1', 'time_diff': '0:20:04', 'exp_point_loss': 0.026500000000000024}, {'turn': 'Black', 'fen': '3rr2q/p1k2p2/2nb4/Pp1p1Bp1/1PpP2P1/2N1PP1p/1RK4P/4RQ2 b - - 20 41', 'move_number': 42, 'move': 'c6b4', 'prev_move': 'a2c3', 'time_diff': '0:30:51', 'exp_point_loss': 0}]"
156.8,105.2,1.02,1.52,15.67,253.69,Hamed Wafa,Mohamed_Yousuf Al-Ali,"Round 1: Wafa, Hamed - Mohamed Yousuf Al-Ali",https://lichess.org/study/xZgJicw9/L1ZiJt45,1.65,2350,1681,1.0,0.0,2025-02-25,43,42,3.6,2.5,0.02,0.04,-0.04,-2.82,3,0,2,2,1,3,0,0,0,3,"[{'turn': 'Black', 'fen': 'r3k2r/pQ1n1pp1/4p3/3pPn1p/3P3P/qP3N2/P2N1PP1/R4RK1 b kq - 0 15', 'move_number': 16, 'move': 'a8b8', 'prev_move': 'b5b7', 'time_diff': '0:00:12', 'exp_point_loss': 0.33}, {'turn': 'White', 'fen': '1r5r/p2nkpp1/2Q1p3/3pPn1p/3P3P/qP3N2/P2N1PP1/R4RK1 w - - 3 17', 'move_number': 17, 'move': 'c6c1', 'prev_move': 'e8e7', 'time_diff': '0:07:18', 'exp_point_loss': 0.4425}, {'turn': 'Black', 'fen': '1r5r/p2nkpp1/4p3/3pPn1p/3P3P/qP3N2/P2N1PP1/R1Q2RK1 b - - 4 17', 'move_number': 18, 'move': 'a3b4', 'prev_move': 'c6c1', 'time_diff': '0:03:10', 'exp_point_loss': 0.26549999999999996}, {'turn': 'White', 'fen': '1rr5/3nkpp1/4p3/p2pPn1p/1q1P3P/1P3N2/PQ1N1PP1/R1R3K1 w - - 0 20', 'move_number': 20, 'move': 'a2a3', 'prev_move': 'a7a5', 'time_diff': '0:08:17', 'exp_point_loss': 0.4105}, {'turn': 'Black', 'fen': '2r5/3nkpp1/4p3/1q1pPn1p/1P1P3P/5NP1/1Q3PK1/1R3N2 b - - 4 27', 'move_number': 28, 'move': 'd7b6', 'prev_move': 'd2f1', 'time_diff': '0:01:52', 'exp_point_loss': 0.421}]","[{'turn': 'Black', 'fen': '1rr5/3nkpp1/1q2p3/p2pPn1p/3P3P/PP3NP1/1Q1N1P2/R1R3K1 b - - 0 21', 'move_number': 22, 'move': 'b6a7', 'prev_move': 'g2g3', 'time_diff': '0:16:16', 'exp_point_loss': 0.10399999999999998}, {'turn': 'Black', 'fen': '1rr5/q2nkpp1/4p3/p2pPn1p/3P3P/PP3NP1/1Q1N1PK1/R1R5 b - - 2 22', 'move_number': 23, 'move': 'a7a6', 'prev_move': 'g1g2', 'time_diff': '0:22:50', 'exp_point_loss': 0.028500000000000025}, {'turn': 'Black', 'fen': '2r5/4kpp1/1n2p3/1q1pPn1p/1P1P3P/5NP1/3Q1PK1/1R3N2 b - - 6 28', 'move_number': 29, 'move': 'f7f6', 'prev_move': 'b2d2', 'time_diff': '0:18:50', 'exp_point_loss': 0.0205}]"
157.6,120.2,0.55,1.05,10.85,27.5,Dion Krivenko,Alexandre De Maupeou D`ableiges,"Round 2: Krivenko, Dion - De Maupeou D`ableiges, Alexandre",https://lichess.org/study/4JbYQtXz/NnbGke6c,2.62,2248,1852,1.0,0.0,2025-02-26,47,46,3.4,2.6,0.01,0.02,0.0,-2.01,2,1,0,1,0,2,0,0,1,0,"[{'turn': 'Black', 'fen': '1b1r1rk1/p4bp1/P1p2p1p/1p2pN2/1P2P1P1/2P1R2P/2B2P2/R5K1 b - - 3 27', 'move_number': 28, 'move': 'f8e8', 'prev_move': 'h4f5', 'time_diff': '0:06:09', 'exp_point_loss': 0.3155000000000001}, {'turn': 'Black', 'fen': '8/pRkr2p1/P4p1p/4p3/1P2P1P1/7P/5P2/5K2 b - - 6 45', 'move_number': 46, 'move': 'c7c6', 'prev_move': 'b8b7', 'time_diff': '0:00:07', 'exp_point_loss': 0.495}]","[{'turn': 'White', 'fen': 'r4rk1/pp2qppp/2pb2b1/2n1p3/4P1P1/2P2N1P/PPB1QP2/R1B2RK1 w - - 3 15', 'move_number': 15, 'move': 'b2b4', 'prev_move': 'd8e7', 'time_diff': '0:18:11', 'exp_point_loss': 0.01750000000000007}]"
128.8,131.0,1.31,1.29,12.0,10.98,Dau_Khuong Duy,Alexandr Baranciuc,"Round 4: Dau Khuong Duy - Baranciuc, Alexandr",https://lichess.org/study/zX7F20DL/ec0z23zg,4.11,2411,2246,0.5,0.5,2025-02-28,43,43,3.0,3.0,0.03,0.03,-1.55,-1.43,2,2,3,5,0,2,0,0,1,2,"[{'turn': 'White', 'fen': 'r1b1k2r/1pp1n1b1/p1pq3p/5p2/3P4/1QN1BN1P/PP3PP1/R3K2R w KQkq - 0 13', 'move_number': 13, 'move': 'f3e5', 'prev_move': 'g6f5', 'time_diff': '0:07:24', 'exp_point_loss': 0.4055000000000001}, {'turn': 'White', 'fen': 'r4rk1/1pp3b1/p1p1b2p/4N3/3qN3/7P/PPQ2PP1/R4RK1 w - - 0 20', 'move_number': 20, 'move': 'e5f3', 'prev_move': 'd5d4', 'time_diff': '0:01:25', 'exp_point_loss': 0.396}, {'turn': 'Black', 'fen': '4rrk1/2p3b1/ppp4p/3b4/4N3/5N1P/PP2RPP1/4R1K1 b - - 3 25', 'move_number': 26, 'move': 'd5e4', 'prev_move': 'c1e1', 'time_diff': '0:00:47', 'exp_point_loss': 0.2599999999999999}, {'turn': 'Black', 'fen': '5r2/2p2k2/pp3b2/2p5/6R1/5N1P/P4PP1/6K1 b - - 4 31', 'move_number': 32, 'move': 'b6b5', 'prev_move': 'g6g4', 'time_diff': '0:01:05', 'exp_point_loss': 0.4285}, {'turn': 'White', 'fen': '5r2/2p1k3/p4b2/1pp3N1/6R1/7P/P4PP1/6K1 w - - 2 33', 'move_number': 33, 'move': 'g5h7', 'prev_move': 'f7e7', 'time_diff': '0:00:14', 'exp_point_loss': 0.40049999999999997}]","[{'turn': 'Black', 'fen': 'r3k2r/1pp1n1b1/p1p1b2p/3qN3/3PNB2/7P/PPQ2PP1/R3K2R b KQkq - 0 16', 'move_number': 17, 'move': 'e8g8', 'prev_move': 'e3f4', 'time_diff': '0:16:14', 'exp_point_loss': 0.09499999999999997}, {'turn': 'Black', 'fen': '8/2p5/p5r1/5kP1/1pp4P/6R1/P3KP2/8 b - - 1 42', 'move_number': 43, 'move': 'a6a5', 'prev_move': 'f1e2', 'time_diff': '0:19:42', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '8/2p5/6r1/p4kP1/1pp4P/6R1/P3KP2/8 w - - 0 43', 'move_number': 43, 'move': 'e2d2', 'prev_move': 'a6a5', 'time_diff': '0:24:04', 'exp_point_loss': 0.008499999999999952}]"
