Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Zhenyong Jayden Wong,154.6,0.44,30.51,11.0,7.0,158.0,0.25,2391,2461,410,6,5,8.23,11.58,0.4,74.06,-0.16,0.41,0.49,153.2,156.4,3.5,3.5,4.89,134.17,0.16,5484.25
Sion Radamantys Galaviz Medina,153.9,0.48,23.31,11.0,8.0,158.9,0.27,2501,2581,514,6,5,13.35,10.67,0.44,39.31,-0.2,0.58,0.36,154.7,152.9,5.0,3.0,5.26,113.74,0.19,1545.08
Matic Lavrencic,153.2,0.43,30.55,11.0,8.5,158.8,0.28,2446,2564,399,6,5,6.86,14.28,0.49,72.51,-0.23,0.5,0.35,148.5,158.9,4.5,4.0,4.75,204.0,0.24,5258.13
Mukhammadzokhid Suyarov,151.3,0.61,10.65,11.0,6.5,158.1,0.7,2471,2433,517,5,6,8.05,12.88,0.4,7.3,-0.34,0.43,0.76,157.8,145.9,3.5,3.0,6.7,165.98,0.16,53.28
Shreyas Royal,151.0,0.56,17.62,11.0,6.5,158.1,0.54,2490,2432,530,5,6,9.92,12.93,0.33,23.47,-0.35,0.79,0.36,147.3,154.2,3.0,3.5,6.11,167.17,0.11,550.61
Robert Piliposyan,150.7,0.54,29.66,11.0,7.5,157.9,0.24,2409,2259,392,6,5,5.61,26.5,0.9,96.5,-0.37,0.73,0.32,145.3,157.2,4.5,3.0,5.95,702.12,0.81,9312.17
Ganzorig Amartuvshin,150.5,0.61,46.06,11.0,7.0,157.6,0.54,2399,2540,581,6,5,12.65,14.02,0.47,116.5,-0.38,0.63,0.58,150.5,150.5,3.5,3.5,6.72,196.53,0.22,13572.22
Dau_Khuong Duy,149.8,0.64,33.23,11.0,7.5,158.3,0.48,2411,2478,440,5,6,12.0,13.2,0.59,56.47,-0.42,0.35,0.89,153.2,147.0,3.0,4.5,7.08,174.35,0.35,3189.03
Jagadeesh Siddharth,149.6,0.6,16.97,11.0,6.0,155.6,0.55,2493,2372,440,6,5,15.41,11.15,0.28,10.31,-0.43,0.63,0.56,151.6,147.2,4.0,2.0,6.59,124.34,0.08,106.3
Casper Liu,149.4,0.64,56.44,10.0,6.0,157.6,0.52,2303,2478,355,5,5,9.88,18.06,0.58,104.16,-0.44,0.35,0.92,158.2,140.6,4.0,2.0,6.35,325.99,0.34,10848.28
V Pranav,149.3,0.73,46.49,11.0,9.0,159.5,0.52,2615,2720,466,6,5,10.04,24.97,0.86,87.31,-0.45,0.38,1.13,160.0,136.4,5.5,3.5,7.98,623.39,0.74,7622.29
Qingfeng Cao,149.2,0.56,41.64,10.0,5.5,158.2,0.5,2381,2507,373,6,4,12.27,15.5,0.52,93.33,-0.45,0.6,0.51,149.4,148.8,3.5,2.0,5.62,240.15,0.27,8710.53
Aleksey Grebnev,148.8,0.66,17.96,11.0,8.0,158.9,0.34,2555,2560,517,6,5,5.47,20.68,0.66,67.09,-0.47,0.75,0.56,148.0,149.7,4.5,3.5,7.26,427.87,0.44,4500.87
Michael Jr. Concio,148.6,0.69,10.44,10.0,6.0,154.8,0.57,2376,2377,493,5,5,9.85,12.57,0.49,6.86,-0.48,0.77,0.61,149.9,147.4,3.5,2.5,6.93,158.09,0.24,47.01
Tong(QD) Xiao,148.6,0.62,22.49,11.0,8.0,158.6,0.51,2491,2531,477,6,5,8.38,20.19,0.61,48.02,-0.48,0.55,0.71,155.6,140.1,5.0,3.0,6.86,407.72,0.37,2306.34
Stefan Tadic,148.5,0.59,21.57,11.0,6.5,151.6,0.65,2421,2345,521,6,5,14.49,10.78,0.35,18.84,-0.49,0.65,0.52,144.8,152.9,3.0,3.5,6.48,116.28,0.12,355.1
Khumoyun Begmuratov,148.2,0.49,12.37,11.0,7.0,158.1,0.15,2422,2418,450,6,5,6.28,32.28,0.98,15.1,-0.51,0.22,0.83,157.8,136.7,4.5,2.5,5.44,1042.23,0.97,227.88
Maksim Tsaruk,148.1,0.62,9.69,11.0,7.0,158.1,0.62,2436,2393,552,6,5,8.23,15.02,0.58,6.04,-0.51,0.58,0.68,149.9,145.9,4.0,3.0,6.87,225.5,0.34,36.53
Xiangrui Kong,147.9,0.6,43.81,11.0,7.5,157.9,0.61,2452,2441,557,6,5,10.36,15.66,0.48,80.68,-0.52,0.5,0.73,153.3,141.5,4.5,3.0,6.64,245.36,0.23,6508.75
Daniyal Sapenov,147.5,0.66,22.75,10.0,5.0,156.6,0.62,2391,2471,438,5,5,10.56,18.16,0.53,31.6,-0.54,0.65,0.67,148.4,146.6,2.5,2.5,6.63,329.72,0.28,998.65
Emin Ohanyan,146.9,0.65,88.54,11.0,7.5,159.0,0.51,2497,2553,407,6,5,22.75,19.4,0.73,130.36,-0.58,0.87,0.37,144.8,149.3,5.0,2.5,7.1,376.26,0.53,16994.79
Sumiya Chinguun,146.8,0.86,39.95,11.0,7.5,154.2,0.95,2388,2509,518,6,5,12.91,15.84,0.53,92.1,-0.58,0.74,1.01,151.8,140.8,5.0,2.5,9.46,250.79,0.28,8482.72
Igor Schlegel,146.8,0.7,35.14,11.0,6.0,157.2,0.75,2270,2332,405,5,6,17.17,14.94,0.41,60.44,-0.58,0.66,0.74,146.3,147.2,3.0,3.0,7.72,223.22,0.17,3652.71
Oriyat Obidjonov,146.6,0.66,30.02,11.0,4.5,144.4,0.58,2071,1940,477,5,6,17.38,7.98,0.39,43.88,-0.59,0.83,0.53,150.9,143.1,3.5,1.0,7.31,63.66,0.15,1925.04
Nagarkatte Vedant,146.5,0.65,9.9,11.0,5.5,143.4,0.63,2277,2359,570,5,6,8.44,12.67,0.5,5.28,-0.6,0.7,0.6,147.0,146.0,2.5,3.0,7.14,160.6,0.25,27.91
Srihari_L R,145.9,0.63,35.04,11.0,6.0,151.1,0.69,2498,2362,445,5,6,11.3,15.82,0.4,76.75,-0.63,0.43,0.79,157.2,136.4,4.5,1.5,6.91,250.2,0.16,5890.79
Adar Tarhan,145.7,0.78,11.81,11.0,8.0,158.5,0.48,2460,2561,502,6,5,10.31,17.26,0.73,9.76,-0.64,1.09,0.4,137.4,155.6,4.5,3.5,8.54,297.75,0.53,95.18
Lovro Novosel,145.7,0.68,46.51,11.0,6.5,148.9,0.72,2353,2265,483,5,6,12.41,14.77,0.35,101.84,-0.64,0.6,0.76,148.1,143.6,3.0,3.5,7.51,218.29,0.12,10371.31
Rohith_Krishna S,145.5,0.77,39.99,10.0,6.0,151.3,0.7,2489,2411,465,5,5,9.91,17.1,0.54,91.69,-0.65,0.98,0.55,139.1,151.9,2.5,3.5,7.68,292.26,0.29,8406.3
Casimir Roose,145.3,0.42,18.2,7.0,1.0,140.8,0.47,2011,1952,169,3,4,19.26,12.57,0.3,14.47,-0.66,0.28,0.52,151.6,140.6,0.5,0.5,2.92,158.03,0.09,209.29
