,Mean,Median,Std Dev,Min,Max
Total Moves,66525.0,66525.0,0.0,66525.0,66525.0
Total Games,732.0,732.0,0.0,732.0,732.0
avg_gi,135.01,136.5,11.24,99.5,154.6
avg_missed_points,0.97,0.96,0.28,0.42,1.68
avg_missed_points_white,0.95,0.86,0.46,0.22,2.65
avg_missed_points_black,1.0,0.95,0.38,0.32,2.15
avg_gi_white,136.63,141.9,17.37,62.6,160.0
avg_gi_black,132.98,134.0,14.09,88.2,158.9
avg_acpl,62.67,45.38,63.72,1.87,611.41
Elo,2256.32,2340.0,284.65,0.0,2660.0
TPR,2267.03,2307.0,206.02,1670.0,2720.0
gi_median,142.27,140.8,13.03,105.2,159.5
missed_points_median,0.84,0.85,0.29,0.15,1.6
