white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
164.4,166.7,0.13,0.01,8.15,4.74,Quang Liem Le,Sergei Lobanov,WRBC 2025 Rapid Open,https://lichess.org/broadcast/fide-world-rapid--blitz-championships-2025--rapid-open-31/round-1/yl8fZ1Bu/VwUf0rHA,1.31,2646,2452,0.5,0.5,2025.12.18,27,27,6.1,6.2,0.0,0.0,0.37,0.49,0,0,0,0,0,0,0,0,0,0,[],[]
145.8,173.7,0.63,0.13,36.43,2.77,Pa Iniyan,Baadur Jobava,WRBC 2025 Rapid Open,https://lichess.org/broadcast/fide-world-rapid--blitz-championships-2025--rapid-open-31/round-1/yl8fZ1Bu/xyuACP7d,1.32,2450,2645,0.0,1.0,2025.12.26,30,30,4.9,5.8,0.02,0.0,-0.63,0.87,0,0,1,1,0,0,0,0,0,0,"[{'turn': 'White', 'fen': '1k5r/1pq4p/p1p1Bn2/P1b1nP2/3r1Q2/2N2P2/1P2K1PP/R1B4R w - - 7 19', 'move_number': 19, 'move': 'f4h6', 'prev_move': 'd8d4', 'time_diff': '0:00:38', 'exp_point_loss': 0.493}]",[]
164.9,137.1,0.61,1.1,10.52,17.64,Volodar Murzin,Yagiz Kaan Erdogmus,WRBC 2025 Rapid Open,https://lichess.org/broadcast/fide-world-rapid--blitz-championships-2025--rapid-open-31/round-1/yl8fZ1Bu/GX6AcnBu,1.33,2642,2446,1.0,0.0,2025.12.26,62,61,2.7,2.2,0.01,0.02,0.39,-1.1,0,0,1,2,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': '5rk1/pp3pb1/5rpp/3b4/8/P1P1BN1P/1P2RPP1/R5K1 b - - 3 27', 'move_number': 28, 'move': 'd5f3', 'prev_move': 'f4e3', 'time_diff': '0:00:27', 'exp_point_loss': 0.23050000000000004}, {'turn': 'White', 'fen': '8/5k2/1R6/2B1bppp/PP6/2r4P/5PK1/8 w - - 0 49', 'move_number': 49, 'move': 'f2f3', 'prev_move': 'h6h5', 'time_diff': '0:00:46', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '8/5k2/1R6/2B1bppp/PP6/5P1P/2r5/5K2 b - - 2 50', 'move_number': 51, 'move': 'c2c3', 'prev_move': 'g2f1', 'time_diff': '0:00:33', 'exp_point_loss': 0.4855}]",[]
132.0,159.9,1.38,0.88,21.63,9.76,Ihor Samunenkov,Olexandr Bortnyk,WRBC 2025 Rapid Open,https://lichess.org/broadcast/fide-world-rapid--blitz-championships-2025--rapid-open-31/round-1/yl8fZ1Bu/5xvdh281,1.34,2443,2641,0.0,1.0,2025.12.26,62,62,2.1,2.6,0.02,0.01,-1.38,0.12,1,3,1,3,1,0,0,0,0,0,"[{'turn': 'White', 'fen': 'r1q5/1pp2k1p/4rpp1/p2N3n/2P5/1P4P1/PB1QRPKP/8 w - - 2 24', 'move_number': 24, 'move': 'g3g4', 'prev_move': 'g8f7', 'time_diff': '0:01:26', 'exp_point_loss': 0.5}]",[]
155.0,127.1,1.14,1.64,10.63,22.67,Jose Eduardo Martinez Alcantara,Pablo Salinas Herrera,WRBC 2025 Rapid Open,https://lichess.org/broadcast/fide-world-rapid--blitz-championships-2025--rapid-open-31/round-1/yl8fZ1Bu/4c8d6g2J,1.35,2641,2442,1.0,0.0,2025.12.26,49,48,3.2,2.6,0.02,0.03,-0.14,-1.64,3,1,1,4,1,3,0,0,0,0,"[{'turn': 'Black', 'fen': '1r2rbk1/1p1n1ppb/q1p2n1p/p3p3/P1PpP3/1P1P1NPB/1B1NQP1P/R3R1K1 b - - 3 21', 'move_number': 22, 'move': 'b7b5', 'prev_move': 'd1a1', 'time_diff': '0:00:54', 'exp_point_loss': 0.29649999999999993}, {'turn': 'White', 'fen': '4r1k1/5ppb/q4n1p/prn1p3/3pP3/RP1P1NPB/3NQP1P/4R1K1 w - - 1 26', 'move_number': 26, 'move': 'e1a1', 'prev_move': 'd7c5', 'time_diff': '0:00:31', 'exp_point_loss': 0.472}, {'turn': 'Black', 'fen': '4r1k1/5ppb/q4n1p/prn1p3/3pP3/RP1P1NPB/3NQP1P/R5K1 b - - 2 26', 'move_number': 27, 'move': 'a5a4', 'prev_move': 'e1a1', 'time_diff': '0:03:28', 'exp_point_loss': 0.478}, {'turn': 'Black', 'fen': '4r2k/6p1/q4n1p/Prn1pb2/2Np4/R2P2P1/5P1P/2RQNBK1 b - - 5 34', 'move_number': 35, 'move': 'a6e6', 'prev_move': 'd2c4', 'time_diff': '0:00:35', 'exp_point_loss': 0.3835}]",[]
145.0,172.9,0.68,0.17,29.51,6.96,Aditya Mittal,Alexey Sarana,WRBC 2025 Rapid Open,https://lichess.org/broadcast/fide-world-rapid--blitz-championships-2025--rapid-open-31/round-1/yl8fZ1Bu/Id7necFP,1.36,2440,2641,0.0,1.0,2025.12.26,45,45,3.2,3.8,0.02,0.0,-0.68,0.83,0,3,0,1,1,0,0,0,0,0,[],[]
88.4,60.6,4.73,5.23,30.65,37.78,Vincent Keymer,Zhandos Agmanov,WRBC 2025 Rapid Open,https://lichess.org/broadcast/fide-world-rapid--blitz-championships-2025--rapid-open-31/round-1/yl8fZ1Bu/Ds5DEk6n,1.37,2640,2436,1.0,0.0,2025.12.26,95,94,0.9,0.6,0.05,0.06,-3.73,-5.23,3,3,8,2,0,11,0,0,0,0,"[{'turn': 'White', 'fen': '3r2k1/pn2q2p/1p2p1p1/3bP3/3B2P1/P3QP2/2B3K1/3R4 w - - 2 30', 'move_number': 30, 'move': 'd1h1', 'prev_move': 'c4d5', 'time_diff': '0:00:49', 'exp_point_loss': 0.4129999999999999}, {'turn': 'Black', 'fen': '3r2k1/pn2q2p/1p2p1p1/3bP3/3B2P1/P3QP2/2B3K1/7R b - - 3 30', 'move_number': 31, 'move': 'd8f8', 'prev_move': 'd1h1', 'time_diff': '0:00:32', 'exp_point_loss': 0.4049999999999999}, {'turn': 'White', 'fen': '5rk1/pn2q2p/1p2p1p1/3bP3/3B2P1/P3QP2/2B3K1/7R w - - 4 31', 'move_number': 31, 'move': 'h1h3', 'prev_move': 'd8f8', 'time_diff': '0:00:55', 'exp_point_loss': 0.3999999999999999}, {'turn': 'Black', 'fen': '5rk1/p3q2p/1p2p1p1/2nbP3/3B2P1/P3QP1R/6K1/3B4 b - - 7 32', 'move_number': 33, 'move': 'e7f7', 'prev_move': 'c2d1', 'time_diff': '0:00:24', 'exp_point_loss': 0.32600000000000007}, {'turn': 'White', 'fen': '5rk1/p4q1p/1p2p1p1/n2bP3/P5P1/4QPK1/1B5R/3B4 w - - 3 37', 'move_number': 37, 'move': 'b2c3', 'prev_move': 'c6a5', 'time_diff': '0:00:57', 'exp_point_loss': 0.37750000000000006}, {'turn': 'Black', 'fen': '5rk1/p4q1p/1p2p1p1/3bP1Q1/P1n3P1/2B2PK1/7R/3B4 b - - 6 38', 'move_number': 39, 'move': 'f7b7', 'prev_move': 'e3g5', 'time_diff': '0:01:01', 'exp_point_loss': 0.44900000000000007}, {'turn': 'White', 'fen': '4r1k1/5q1p/1p2pQp1/p2bP3/PBn3P1/5PK1/2B4R/8 w - - 0 42', 'move_number': 42, 'move': 'b4c3', 'prev_move': 'a7a5', 'time_diff': '0:00:34', 'exp_point_loss': 0.4724999999999999}, {'turn': 'Black', 'fen': '6k1/5r1p/1p2p1p1/p2bP3/P4PP1/2BBn1K1/7R/8 b - - 2 45', 'move_number': 46, 'move': 'd5c6', 'prev_move': 'c2d3', 'time_diff': '0:00:26', 'exp_point_loss': 0.49249999999999994}, {'turn': 'White', 'fen': '6k1/5r1p/1pb1p1p1/p3P3/P4PP1/2BBn1K1/7R/8 w - - 3 46', 'move_number': 46, 'move': 'c3d4', 'prev_move': 'd5c6', 'time_diff': '0:00:38', 'exp_point_loss': 0.4744999999999999}, {'turn': 'Black', 'fen': '6k1/5r1p/1pb1p1p1/p3P3/P2B1PP1/3Bn1K1/7R/8 b - - 4 46', 'move_number': 47, 'move': 'e3d5', 'prev_move': 'c3d4', 'time_diff': '0:00:23', 'exp_point_loss': 0.4744999999999999}, {'turn': 'White', 'fen': '6k1/6rp/1pb1p3/p2nPP2/P2B4/3B2K1/7R/8 w - - 1 49', 'move_number': 49, 'move': 'g3h4', 'prev_move': 'f7g7', 'time_diff': '0:00:52', 'exp_point_loss': 0.49450000000000005}, {'turn': 'Black', 'fen': '6k1/6rp/1pb1pP2/p3P3/P2B1n1K/3B4/7R/8 b - - 0 50', 'move_number': 51, 'move': 'g7d7', 'prev_move': 'f5f6', 'time_diff': '0:00:28', 'exp_point_loss': 0.3544999999999999}, {'turn': 'White', 'fen': '6k1/3r3p/1pb1pP2/p3P3/P2B1n1K/3B4/7R/8 w - - 1 51', 'move_number': 51, 'move': 'd4e3', 'prev_move': 'g7d7', 'time_diff': '0:00:38', 'exp_point_loss': 0.364}, {'turn': 'Black', 'fen': '6k1/3r3p/1p2pP2/pB2P3/P6K/4B3/6b1/8 b - - 1 53', 'move_number': 54, 'move': 'd7b7', 'prev_move': 'd3b5', 'time_diff': '0:00:45', 'exp_point_loss': 0.498}, {'turn': 'White', 'fen': '6k1/1r5p/1p2pP2/pB2P3/P6K/4B3/6b1/8 w - - 2 54', 'move_number': 54, 'move': 'h4g5', 'prev_move': 'd7b7', 'time_diff': '0:00:39', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '8/5k1p/4pP2/BB2Pb1K/P7/6r1/8/8 b - - 0 62', 'move_number': 63, 'move': 'h7h6', 'prev_move': 'b6a5', 'time_diff': '0:00:20', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '8/5k2/1B2pP2/P3P3/r7/4KB2/8/5b2 b - - 22 78', 'move_number': 79, 'move': 'a4a3', 'prev_move': 'b7f3', 'time_diff': '0:00:22', 'exp_point_loss': 0.445}, {'turn': 'Black', 'fen': '8/5k2/1B2pP2/P3P3/2b5/5B2/r7/4K3 b - - 30 82', 'move_number': 83, 'move': 'c4d3', 'prev_move': 'b7f3', 'time_diff': '0:00:31', 'exp_point_loss': 0.362}, {'turn': 'Black', 'fen': '8/5k2/4pPb1/P1B1P3/8/8/1r2B3/4K3 b - - 36 85', 'move_number': 86, 'move': 'b2c2', 'prev_move': 'b6c5', 'time_diff': '0:00:28', 'exp_point_loss': 0.29}]",[]
106.2,134.1,2.77,2.26,48.04,26.8,Khumoyun Begmuratov,Nils Grandelius,WRBC 2025 Rapid Open,https://lichess.org/broadcast/fide-world-rapid--blitz-championships-2025--rapid-open-31/round-1/yl8fZ1Bu/P3gLXMCA,1.38,2435,2639,0.0,1.0,2025.12.26,50,49,2.1,2.7,0.06,0.05,-2.77,-1.26,5,3,3,5,0,3,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1bqrnk1/pp3ppp/2pb1p2/8/3P1P2/2PB2N1/PP4PP/R1BQ1RK1 b - - 0 11', 'move_number': 12, 'move': 'c8d7', 'prev_move': 'f2f4', 'time_diff': '0:02:05', 'exp_point_loss': 0.249}, {'turn': 'Black', 'fen': '3rrnk1/pp3ppp/2bq1p2/5P2/3P1R2/3B2Q1/PP1B2PP/5RK1 b - - 6 18', 'move_number': 19, 'move': 'd8d7', 'prev_move': 'a1f1', 'time_diff': '0:01:43', 'exp_point_loss': 0.4525}, {'turn': 'White', 'fen': '4r2k/pp1nrppp/2bq1p2/5P2/3P2RQ/3B4/PP1B2PP/5R1K w - - 13 22', 'move_number': 22, 'move': 'd2f4', 'prev_move': 'f8d7', 'time_diff': '0:03:09', 'exp_point_loss': 0.493}, {'turn': 'Black', 'fen': '8/1p3k1p/p4np1/P2q1p2/1Q1P4/B4R1P/2r1r1P1/5R1K b - - 5 38', 'move_number': 39, 'move': 'd5d7', 'prev_move': 'c3b4', 'time_diff': '0:00:29', 'exp_point_loss': 1.0}, {'turn': 'White', 'fen': '5Q2/1p1q3p/p3knp1/P4p2/3P4/B4R1P/2r1r1P1/5R1K w - - 8 40', 'move_number': 40, 'move': 'f1b1', 'prev_move': 'f7e6', 'time_diff': '0:00:39', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '5Q2/1p1q3p/p3k1p1/P1Bn1p2/3P4/5R1P/2r3r1/1R5K w - - 0 42', 'move_number': 42, 'move': 'f8g8', 'prev_move': 'e2g2', 'time_diff': '0:00:29', 'exp_point_loss': 0.5}]",[]
163.5,163.5,0.18,0.18,6.55,6.46,Ruslan Ponomariov,Sugar Gan-Erdene,WRBC 2025 Rapid Open,https://lichess.org/broadcast/fide-world-rapid--blitz-championships-2025--rapid-open-31/round-1/yl8fZ1Bu/vOoh3pu0,1.39,2639,2434,0.5,0.5,2025.12.26,38,37,4.3,4.4,0.0,0.0,0.32,0.32,0,0,0,0,0,0,0,0,0,0,[],[]
154.8,154.9,0.65,0.64,8.15,8.04,Alisher Suleymenov,Haik M. Martirosyan,WRBC 2025 Rapid Open,https://lichess.org/broadcast/fide-world-rapid--blitz-championships-2025--rapid-open-31/round-1/yl8fZ1Bu/EE6fY3Zj,1.40,2432,2635,0.5,0.5,2025.12.26,78,77,2.0,2.0,0.01,0.01,-0.15,-0.14,1,0,1,0,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '2b1rrk1/p2n1ppp/Pp4q1/2p5/B1PPP3/5N2/1Q4PP/3RR1K1 b - - 0 24', 'move_number': 25, 'move': 'c5d4', 'prev_move': 'c3d4', 'time_diff': '0:02:32', 'exp_point_loss': 0.4955}, {'turn': 'White', 'fen': '8/1R4pk/4b2p/8/7N/np1K2P1/7P/8 w - - 12 49', 'move_number': 49, 'move': 'h4g2', 'prev_move': 'b1a3', 'time_diff': '0:00:34', 'exp_point_loss': 0.502}]",[]
