Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Vladislav Artemiev,166.2,0.26,10.35,13,9.5,166.5,0.03,2727,2826,419,7,6,5.2,5.61,0.4,13.07,0.47,0.34,0.18,165.9,166.6,5.5,4.0,3.41,31.48,0.16,170.89
Magnus Carlsen,163.5,0.49,3.7,13,10.5,166.3,0.35,2824,2873,614,7,6,8.64,10.59,0.44,30.34,0.32,0.47,0.51,164.8,162.0,6.0,4.5,6.31,112.08,0.2,920.4
Javokhir Sindarov,162.0,0.46,13.03,13,9.0,164.7,0.26,2704,2735,550,7,6,3.89,8.67,0.43,22.06,0.24,0.51,0.4,164.1,159.5,6.0,3.0,5.93,75.22,0.19,486.73
Ediz Gurel,161.7,0.43,12.42,13,8.5,161.5,0.4,2502,2676,585,7,6,8.89,9.44,0.34,9.58,0.22,0.44,0.43,161.4,162.0,4.5,4.0,5.61,89.21,0.11,91.84
Anish Giri,161.4,0.48,26.04,13,9.0,164.7,0.21,2685,2701,687,6,7,6.44,10.15,0.57,54.72,0.21,0.34,0.61,165.2,158.2,4.5,4.5,6.3,103.05,0.32,2994.04
Cristobal Henriquez Villagra,161.0,0.43,12.24,13,8.0,165.6,0.3,2586,2670,589,7,6,11.67,13.12,0.45,5.68,0.19,0.18,0.72,168.8,152.0,5.5,2.5,5.59,172.25,0.2,32.31
Leinier Dominguez Perez,160.3,0.58,-1.95,13,9.5,165.4,0.58,2703,2726,603,7,6,9.16,11.75,0.64,39.44,0.15,0.77,0.35,157.8,163.4,5.5,4.0,7.54,137.95,0.41,1555.81
Rudik Makarian,159.5,0.51,2.47,13,8.0,161.9,0.58,2524,2691,585,6,7,8.14,10.84,0.46,26.75,0.1,0.44,0.57,161.8,157.6,4.0,4.0,6.65,117.43,0.21,715.63
Sergei Lobanov,159.1,0.42,12.72,13,6.5,165.2,0.11,2452,2490,485,6,7,6.88,14.9,0.53,10.09,0.08,0.38,0.45,159.8,158.6,3.0,3.5,5.42,221.98,0.28,101.85
Ruslan Ponomariov,159.0,0.46,6.21,13,7.0,163.4,0.47,2639,2516,622,7,6,6.55,10.04,0.34,18.15,0.08,0.45,0.48,162.5,154.9,5.0,2.0,6.01,100.84,0.12,329.53
Wesley So,159.0,0.61,6.72,13,9.0,165.9,0.16,2702,2705,515,7,6,4.97,19.83,0.94,13.62,0.08,0.66,0.56,158.5,159.6,5.0,4.0,7.99,393.28,0.88,185.56
Maxime Vachier-Lagrave,158.6,0.63,9.13,13,9.0,165.8,0.1,2730,2784,527,7,6,5.0,26.38,1.5,11.36,0.06,0.28,1.05,164.3,152.0,4.5,4.5,8.25,696.02,2.26,128.98
Teimour Radjabov,158.5,0.53,12.17,12,7.0,164.7,0.28,2661,2561,439,6,6,10.21,14.98,0.62,7.64,0.05,0.44,0.63,160.3,156.8,3.5,3.5,6.39,224.27,0.39,58.35
Fabiano Caruana,158.3,0.62,7.68,13,8.5,162.1,0.26,2751,2683,629,7,6,9.22,17.89,0.81,12.27,0.04,0.56,0.68,157.8,158.8,4.0,4.5,8.01,320.03,0.65,150.53
Alireza Firouzja,158.0,0.63,13.89,13,8.5,164.3,0.63,2754,2622,613,6,7,13.0,12.49,0.56,9.97,0.02,0.57,0.68,162.5,154.2,5.0,3.5,8.2,155.97,0.32,99.34
Praggnanandhaa R,157.7,0.65,5.21,13,8.5,157.7,0.63,2663,2659,629,7,6,8.65,9.06,0.44,29.46,0.01,0.91,0.34,152.6,163.7,4.5,4.0,8.39,82.11,0.2,867.9
Narayanan_S L,157.6,0.53,33.75,13,7.0,164.8,0.14,2582,2537,588,7,6,12.06,16.25,0.58,40.64,0.0,0.55,0.52,160.7,154.0,5.0,2.0,6.95,263.96,0.34,1651.53
Mukhiddin Madaminov,157.4,0.59,12.49,13,7.5,163.9,0.53,2465,2663,736,7,6,10.25,12.95,0.54,9.84,-0.01,0.67,0.49,155.8,159.3,4.0,3.5,7.62,167.74,0.29,96.9
Ian Nepomniachtchi,157.3,0.63,13.52,13,8.0,160.0,0.67,2762,2649,671,6,7,8.18,10.82,0.44,14.37,-0.01,0.56,0.68,158.0,156.8,3.5,4.5,8.16,117.16,0.2,206.48
Savva Vetokhin,157.2,0.6,17.11,13,7.5,164.0,0.46,2486,2659,672,6,7,7.55,15.05,0.71,28.31,-0.02,0.38,0.78,159.7,155.0,3.0,4.5,7.76,226.49,0.51,801.47
Lev Zverev,157.2,0.6,16.51,13,7.5,157.6,0.51,2394,2597,580,7,6,22.88,16.6,0.63,44.57,-0.02,0.52,0.68,159.8,154.2,4.5,3.0,7.74,275.62,0.39,1986.74
Alexey Sarana,157.2,0.63,-5.42,13,8.0,155.4,0.61,2641,2682,567,6,7,8.78,11.73,0.45,74.49,-0.02,0.85,0.45,155.7,158.4,4.5,3.5,8.24,137.54,0.21,5548.14
Chithambaram VR. Aravindh,156.8,0.69,16.02,13,8.5,161.0,0.55,2590,2660,643,6,7,10.83,12.78,0.58,13.64,-0.04,0.59,0.78,157.4,156.4,3.5,5.0,9.01,163.24,0.33,186.09
Andrey Esipenko,156.7,0.74,17.75,13,9.0,161.5,0.42,2649,2691,584,6,7,8.19,18.03,0.92,32.34,-0.04,0.89,0.6,153.4,159.6,4.0,5.0,9.58,325.11,0.85,1045.61
Ray Robson,156.7,0.63,11.65,13,7.5,160.5,0.56,2652,2603,507,7,6,12.36,13.04,0.6,60.9,-0.05,0.89,0.32,150.3,164.1,3.5,4.0,8.13,169.99,0.36,3708.68
Daniil Dubov,156.6,0.74,12.82,13,9.0,162.6,0.69,2686,2686,590,7,6,11.46,16.35,0.68,8.95,-0.05,0.48,1.05,161.9,150.5,5.0,4.0,9.66,267.48,0.47,80.14
M. Amin Tabatabaei,156.4,0.68,12.33,13,8.0,166.1,0.46,2579,2599,628,6,7,11.0,17.71,0.7,8.55,-0.06,0.62,0.73,160.0,153.3,4.5,3.5,8.82,313.81,0.49,73.06
Jakub Kosakowski,156.3,0.64,38.71,13,7.5,161.6,0.63,2506,2631,544,7,6,14.65,17.22,0.65,65.26,-0.07,0.55,0.76,161.9,149.7,5.5,2.0,8.38,296.55,0.43,4259.46
Pranesh M,156.2,0.61,12.97,13,7.0,165.5,0.24,2520,2510,566,6,7,9.68,20.38,0.65,15.01,-0.07,0.39,0.8,164.3,149.4,4.5,2.5,7.93,415.23,0.43,225.3
Denis Kadric,155.9,0.67,22.47,13,7.5,159.8,0.49,2552,2576,464,6,7,16.06,17.68,0.72,18.85,-0.09,0.45,0.85,163.2,149.7,4.5,3.0,8.65,312.55,0.52,355.22
Rauf Mamedov,155.8,0.71,14.35,13,8.0,154.1,0.69,2610,2626,642,7,6,13.38,11.73,0.58,10.77,-0.09,0.8,0.61,157.3,154.0,5.5,2.5,9.23,137.51,0.34,116.0
Erigaisi Arjun,155.7,0.83,21.44,13,9.5,164.9,0.36,2714,2769,653,7,6,6.89,21.91,1.14,28.78,-0.1,0.51,1.2,163.9,146.1,6.0,3.5,10.82,479.9,1.29,828.04
Raja Harshit,155.6,0.68,16.46,13,7.5,152.6,0.6,2396,2623,577,7,6,15.58,17.72,0.62,8.47,-0.11,0.73,0.63,154.7,156.6,4.0,3.5,8.87,313.96,0.39,71.77
Shakhriyar Mamedyarov,155.6,0.8,30.85,13,9.0,156.3,0.57,2707,2686,555,7,6,13.54,17.77,0.73,49.79,-0.1,0.68,0.94,158.2,152.6,5.0,4.0,10.36,315.71,0.54,2479.35
Denis Lazavik,155.6,0.76,9.6,13,8.5,162.9,0.36,2576,2721,680,7,6,8.88,19.56,1.11,6.56,-0.11,1.02,0.45,151.8,160.0,5.0,3.5,9.88,382.66,1.23,43.03
Jonas Buhl Bjerre,154.9,0.8,17.55,13,8.5,156.6,0.79,2570,2616,682,7,6,11.88,17.91,0.67,21.48,-0.15,0.66,0.97,157.3,152.0,4.5,4.0,10.42,320.75,0.45,461.53
Alexander Grischuk,154.9,0.8,11.96,13,8.5,160.1,0.58,2677,2645,593,6,7,9.16,13.14,0.69,8.41,-0.14,0.96,0.66,152.2,157.3,4.0,4.5,10.36,172.61,0.47,70.74
David Paravyan,154.7,0.65,13.19,13,6.5,159.5,0.49,2570,2470,728,6,7,8.2,12.89,0.65,12.7,-0.15,1.0,0.36,149.8,158.9,3.5,3.0,8.5,166.2,0.42,161.4
Leon Luke Mendonca,154.7,0.77,20.58,13,8.0,159.6,0.54,2498,2651,654,6,7,18.69,17.74,0.77,58.62,-0.15,0.71,0.82,156.7,153.1,4.0,4.0,9.98,314.86,0.59,3435.93
Xiangzhi Bu,154.6,0.66,11.96,13,6.5,156.9,0.5,2587,2502,663,7,6,12.41,13.26,0.59,8.41,-0.16,0.68,0.64,155.6,153.4,4.0,2.5,8.6,175.71,0.35,70.76
Jingyao Tin,154.6,0.74,14.31,13,7.5,156.3,0.55,2510,2642,603,7,6,11.66,17.67,0.78,10.32,-0.16,0.47,1.05,158.2,150.5,3.5,4.0,9.56,312.37,0.6,106.6
Dmitry Andreikin,154.6,0.87,17.65,12,8.5,159.1,0.59,2671,2681,528,6,6,8.93,28.24,1.28,22.38,-0.16,0.71,1.03,158.3,150.9,4.5,4.0,10.44,797.67,1.65,501.07
Gukesh D,154.6,0.81,13.61,13,8.5,157.3,0.68,2692,2701,652,7,6,9.12,15.95,0.81,9.96,-0.16,0.93,0.67,153.5,155.9,5.0,3.5,10.58,254.33,0.66,99.19
Aleksey Grebnev,154.5,0.78,40.04,13,8.0,155.6,0.6,2529,2565,569,6,7,10.27,15.37,0.77,55.23,-0.16,1.04,0.55,149.1,159.2,3.5,4.5,10.09,236.3,0.59,3050.27
Aleksandar Indjic,154.5,0.71,17.91,13,7.0,150.5,0.68,2587,2480,562,6,7,10.26,15.26,0.54,15.51,-0.17,0.62,0.78,160.0,149.7,4.5,2.5,9.17,232.8,0.29,240.58
Nodirbek Abdusattorov,154.4,0.83,37.52,13,8.5,151.4,0.62,2717,2681,557,6,7,18.93,13.92,0.63,57.14,-0.17,0.81,0.84,156.4,152.6,4.5,4.0,10.74,193.9,0.39,3264.42
