white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
166.4,166.4,0.03,0.02,1.43,1.19,Gukesh D, Ding,Unknown,Unknown,?,,,0.5,0.5,2024.12.05,54,54,3.1,3.1,0.0,0.0,0.47,0.48,0,0,0,0,0,0,0,0,0,0,[],[]
166.5,166.5,0.02,0.02,2.35,2.35, Ding,Gukesh D,Unknown,Unknown,?,,,0.5,0.5,2024.11.26,23,23,7.2,7.2,0.0,0.0,0.48,0.48,0,0,0,0,0,0,0,0,0,0,[],[]
174.9,147.1,0.07,0.56,11.56,34.03, Ding,Gukesh D,Unknown,Unknown,?,,,1.0,0.0,2024.12.09,39,38,4.5,3.9,0.0,0.01,0.93,-0.56,1,0,0,3,0,0,0,0,0,0,[],[]
166.6,166.7,0.01,0.01,1.25,0.89, Ding,Gukesh D,Unknown,Unknown,?,,,0.5,0.5,2024.12.07,36,36,4.6,4.6,0.0,0.0,0.49,0.49,0,0,0,0,0,0,0,0,0,0,[],[]
156.2,174.8,0.07,0.07,2.24,2.03, Ding,Gukesh D,Unknown,Unknown,?,,,0.0,1.0,2024.12.12,58,58,2.7,3.0,0.0,0.0,-0.07,0.93,0,0,0,0,0,0,0,0,0,0,[],[]
166.5,166.7,0.02,0.01,1.21,0.52, Ding,Gukesh D,Unknown,Unknown,?,,,0.5,0.5,2024.11.29,42,42,4.0,4.0,0.0,0.0,0.48,0.49,0,0,0,0,0,0,0,0,0,0,[],[]
144.6,144.7,1.2,1.19,8.01,7.96,Gukesh D, Ding,Unknown,Unknown,?,,,0.5,0.5,2024.12.11,69,68,2.1,2.1,0.02,0.02,-0.7,-0.69,1,0,3,2,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1bqk2r/pp2bppp/1nn1p3/3pP3/3P1N2/P3B3/1P3PPP/R2QKBNR b KQkq - 0 10', 'move_number': 11, 'move': 'b6c4', 'prev_move': 'c3d4', 'time_diff': None, 'exp_point_loss': 0.2575}, {'turn': 'White', 'fen': 'r1bqk2r/pp2bppp/2n1p3/4P3/2pP1N2/P3B3/1P3PPP/R2QK1NR w KQkq - 0 12', 'move_number': 12, 'move': 'g1e2', 'prev_move': 'd5c4', 'time_diff': None, 'exp_point_loss': 0.345}, {'turn': 'White', 'fen': '2b1r1k1/pr2n1pp/3Bp1q1/1p6/2pP4/P1N2P2/1P2Q1PP/3R1RK1 w - - 9 25', 'move_number': 25, 'move': 'd6e7', 'prev_move': 'f8e8', 'time_diff': None, 'exp_point_loss': 0.33599999999999997}, {'turn': 'Black', 'fen': '2b1r1k1/1r4pp/p3q3/1pQ5/2p5/P1N2P2/1P4PP/4RRK1 b - - 4 30', 'move_number': 31, 'move': 'e6f7', 'prev_move': 'd1e1', 'time_diff': None, 'exp_point_loss': 0.4985}, {'turn': 'White', 'fen': '2b1r1k1/1r3qpp/p7/1pQ5/2p5/P1N2P2/1P4PP/4RRK1 w - - 5 31', 'move_number': 31, 'move': 'c3e4', 'prev_move': 'e6f7', 'time_diff': None, 'exp_point_loss': 0.498}]",[]
175.7,147.8,0.03,0.53,1.54,16.05,Gukesh D, Ding,Unknown,Unknown,?,,,1.0,0.0,2024.11.27,37,37,4.7,4.0,0.0,0.01,0.97,-0.53,0,0,0,0,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'r3kb2/pp1n1pn1/2p3p1/3p2Pr/3PP3/1PN2PB1/1PbN4/R3KBR1 b Qq - 0 19', 'move_number': 20, 'move': 'd5e4', 'prev_move': 'e2e4', 'time_diff': None, 'exp_point_loss': 0.38749999999999996}]",[]
137.7,137.8,1.57,1.57,14.88,14.71, Ding,Gukesh D,Unknown,Unknown,?,,,0.5,0.5,2024.12.04,51,51,2.7,2.7,0.03,0.03,-1.07,-1.07,1,0,3,0,0,3,0,0,0,0,"[{'turn': 'White', 'fen': '4r1k1/3n1bpp/nq3p2/pp6/8/B2P1NP1/P3P1BP/1R1Q1K2 w - - 0 25', 'move_number': 25, 'move': 'a3b2', 'prev_move': 'c6b5', 'time_diff': None, 'exp_point_loss': 0.4385}, {'turn': 'Black', 'fen': '4r1k1/3n2pp/nq3p2/pp6/3B4/3P1NP1/b3P1BP/1R1Q1K2 b - - 1 26', 'move_number': 27, 'move': 'a6c5', 'prev_move': 'b2d4', 'time_diff': None, 'exp_point_loss': 0.486}, {'turn': 'Black', 'fen': '4r1k1/3n2pp/1q3p2/ppn5/3B4/1b1P1NP1/4P1BP/2R1QK2 b - - 5 28', 'move_number': 29, 'move': 'b3e6', 'prev_move': 'd1e1', 'time_diff': None, 'exp_point_loss': 0.499}, {'turn': 'White', 'fen': '6k1/5bp1/5p1p/p1Bqn3/1p6/3P2P1/3KPQ1P/2R5 w - - 6 39', 'move_number': 39, 'move': 'f2d4', 'prev_move': 'g2d5', 'time_diff': None, 'exp_point_loss': 0.46649999999999997}, {'turn': 'Black', 'fen': '6k1/5bp1/5p1p/p1Bqn3/1p1Q4/3P2P1/3KP2P/2R5 b - - 7 39', 'move_number': 40, 'move': 'd5g2', 'prev_move': 'f2d4', 'time_diff': None, 'exp_point_loss': 0.46599999999999997}, {'turn': 'White', 'fen': '6k1/5bp1/5p1p/p1Bqn3/1p6/3P2P1/3KPQ1P/2R5 w - - 10 41', 'move_number': 41, 'move': 'f2d4', 'prev_move': 'g2d5', 'time_diff': None, 'exp_point_loss': 0.497}]",[]
162.7,134.9,0.73,1.22,14.69,34.18,Gukesh D, Ding,Unknown,Unknown,?,,,1.0,0.0,2024.12.08,29,28,5.6,4.8,0.03,0.04,0.27,-1.22,1,0,1,2,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': '1r4k1/1pqrpp2/2n3pb/pR5p/P1PpQ3/1N1P2PP/5PB1/3R2K1 b - - 7 26', 'move_number': 27, 'move': 'e7e6', 'prev_move': 'a1b3', 'time_diff': None, 'exp_point_loss': 0.4915}, {'turn': 'White', 'fen': '1r4k1/1pq1rp2/2n1p1pb/pRN4p/P1PpQ3/3P2PP/5PB1/3R2K1 w - - 2 28', 'move_number': 28, 'move': 'd1b1', 'prev_move': 'd7e7', 'time_diff': None, 'exp_point_loss': 0.437}, {'turn': 'Black', 'fen': '1r4k1/1pq1rp2/2n1p1pb/pRN4p/P1PpQ3/3P2PP/5PB1/1R4K1 b - - 3 28', 'move_number': 29, 'move': 'c7c8', 'prev_move': 'd1b1', 'time_diff': None, 'exp_point_loss': 0.442}]",[]
140.6,168.5,0.91,0.41,159.17,2.76,Gukesh D, Ding,Unknown,Unknown,?,,,0.0,1.0,2024.11.25,42,42,3.3,4.0,0.02,0.01,-0.91,0.59,0,0,2,0,0,1,0,0,0,0,"[{'turn': 'White', 'fen': '2r1k2r/1p1bbppp/4p3/3pPP2/1P1N2P1/p1PqQ3/Pn3BBP/2R2RK1 w k - 1 22', 'move_number': 22, 'move': 'e3e1', 'prev_move': 'c4d3', 'time_diff': None, 'exp_point_loss': 0.48450000000000004}, {'turn': 'Black', 'fen': '4k2r/1p1b1ppp/4P3/3pP3/1P1N1bPP/p1q5/Pn3BB1/1Q3RK1 b k - 0 27', 'move_number': 28, 'move': 'f7e6', 'prev_move': 'f5e6', 'time_diff': None, 'exp_point_loss': 0.35850000000000004}, {'turn': 'White', 'fen': '4k2r/1p1b2pp/4p3/3p4/1P3qPP/p7/Pn3BB1/1Q3RK1 w k - 0 30', 'move_number': 30, 'move': 'b1c2', 'prev_move': 'e5f4', 'time_diff': None, 'exp_point_loss': 0.497}]",[]
152.4,152.4,0.78,0.78,9.19,9.03,Gukesh D, Ding,Unknown,Unknown,?,,,0.5,0.5,2024.12.03,72,72,2.1,2.1,0.01,0.01,-0.28,-0.28,1,0,1,1,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': '3r1nk1/p4pbp/5np1/1p1P4/1PpB4/R4BPP/2NQ1PK1/1q6 b - - 5 25', 'move_number': 26, 'move': 'd8d7', 'prev_move': 'g1g2', 'time_diff': None, 'exp_point_loss': 0.3935}, {'turn': 'Black', 'fen': '8/p2rnp2/5k1p/1P1P1p2/3R4/5BPP/5P2/5K2 b - - 1 40', 'move_number': 41, 'move': 'f6e5', 'prev_move': 'g2f1', 'time_diff': None, 'exp_point_loss': 0.497}, {'turn': 'White', 'fen': '8/p7/2R2p2/1P2kp2/4n2P/3r1BP1/5P2/4K3 w - - 1 46', 'move_number': 46, 'move': 'f3d1', 'prev_move': 'd7d3', 'time_diff': None, 'exp_point_loss': 0.499}]",[]
164.8,164.9,0.11,0.11,4.02,3.74, Ding,Gukesh D,Unknown,Unknown,?,,,0.5,0.5,2024.12.01,46,46,3.6,3.6,0.0,0.0,0.39,0.39,0,0,0,0,0,0,0,0,0,0,[],[]
161.4,161.4,0.3,0.3,3.27,3.27,Gukesh D, Ding,Unknown,Unknown,?,,,0.5,0.5,2024.11.30,40,40,4.0,4.0,0.01,0.01,0.2,0.2,1,1,0,1,0,0,0,0,0,0,[],[]
