,Mean,Median,Std Dev,Min,Max
Total Moves,1273.0,1273.0,0.0,1273.0,1273.0
Total Games,14.0,14.0,0.0,14.0,14.0
avg_gi,158.49,158.49,0.95,157.81,159.16
avg_missed_points,0.45,0.45,0.0,0.45,0.45
avg_missed_points_white,0.42,0.42,0.21,0.27,0.57
avg_missed_points_black,0.49,0.49,0.21,0.34,0.64
avg_gi_white,159.79,159.79,2.97,157.69,161.89
avg_gi_black,157.18,157.18,4.89,153.73,160.64
avg_acpl,13.13,13.13,7.25,8.0,18.26
Elo,0.0,0.0,0.0,0.0,0.0
TPR,0.0,0.0,35.36,-25.0,25.0
gi_median,163.45,163.45,0.49,163.1,163.8
missed_points_median,0.2,0.2,0.0,0.2,0.2
