white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
155.2,117.4,1.06,1.56,13.94,172.54,Volodar Murzin,Thomas Villiers,2025 FIDE World Blitz Team Championship Pool B,"London, United Kingdom",2.14,2657,2126,1.0,0.0,????.??.??,64,63,2.4,1.9,0.02,0.02,-0.13,-2.17,1,1,1,1,0,3,0,0,0,0,"[{'turn': 'Black', 'fen': '2r3k1/pbr2ppp/1pnqpn2/3pN3/3P1P2/P2BQ1P1/1P1N1P1P/R2R2K1 b - - 4 16', 'move_number': 17, 'move': 'f6d7', 'prev_move': 'f3e5', 'time_diff': '0:00:45', 'exp_point_loss': 0.5065}, {'turn': 'White', 'fen': '2r3k1/pbrn1ppp/1pnqp3/3pN3/3P1P2/P2BQ1P1/1P1N1P1P/R2R2K1 w - - 5 17', 'move_number': 17, 'move': 'd2f3', 'prev_move': 'f6d7', 'time_diff': '0:00:46', 'exp_point_loss': 0.49}, {'turn': 'Black', 'fen': '2r3k1/pbrq2pp/1pn1pp2/3p4/3P1P2/P2BQNP1/1P3P1P/R3R1K1 b - - 1 19', 'move_number': 20, 'move': 'c8e8', 'prev_move': 'd1e1', 'time_diff': '0:00:34', 'exp_point_loss': 0.27549999999999997}, {'turn': 'Black', 'fen': '4r1k1/pbr3pp/1p1npp2/3p4/q2P1P1P/P2B2P1/1P2QP2/1N1RR1K1 b - - 4 24', 'move_number': 25, 'move': 'b7c8', 'prev_move': 'd2b1', 'time_diff': '0:00:35', 'exp_point_loss': 0.457}]",[]
157.6,106.5,0.9,1.39,23.8,317.94,Kai Hanache,Saahil Bansal,2025 FIDE World Blitz Team Championship Pool B,"London, United Kingdom",1.22,2031,1842,1.0,0.0,????.??.??,35,34,4.5,3.1,0.03,0.04,0.0,-2.75,1,0,2,1,0,3,0,0,0,0,"[{'turn': 'Black', 'fen': 'r3k2r/ppqbbpp1/2n1p1p1/3pP3/3N4/2P2NQ1/PP3PPP/R1B2RK1 b kq - 5 14', 'move_number': 15, 'move': 'c6a5', 'prev_move': 'b3d4', 'time_diff': '0:00:48', 'exp_point_loss': 0.395}, {'turn': 'White', 'fen': '2r1k2r/pp2qpp1/1nb1p1p1/3pP3/P4Q2/1PP2NN1/5PPP/2RR2K1 w - - 7 25', 'move_number': 25, 'move': 'f3d4', 'prev_move': 'h5h8', 'time_diff': '0:00:30', 'exp_point_loss': 0.327}, {'turn': 'Black', 'fen': '2r1k2r/pp2qpp1/1nb1p1p1/3pP3/P2N1Q2/1PP3N1/5PPP/2RR2K1 b - - 8 25', 'move_number': 26, 'move': 'b6d7', 'prev_move': 'f3d4', 'time_diff': '0:00:33', 'exp_point_loss': 0.301}, {'turn': 'White', 'fen': '2r1k2r/pp1nqpp1/2b1p1p1/3pP3/P2N1Q2/1PP3N1/5PPP/2RR2K1 w - - 9 26', 'move_number': 26, 'move': 'c3c4', 'prev_move': 'b6d7', 'time_diff': '0:00:37', 'exp_point_loss': 0.38349999999999995}, {'turn': 'Black', 'fen': '2r1k2r/pp1nqpp1/2b1p1p1/3pP3/P1PN1Q2/1P4N1/5PPP/2RR2K1 b - - 0 26', 'move_number': 27, 'move': 'g6g5', 'prev_move': 'c3c4', 'time_diff': '0:00:39', 'exp_point_loss': 0.4115}]",[]
63.0,118.7,2.55,2.05,58.47,35.87,Yihua Ding,Zoe Veselow,2025 FIDE World Blitz Team Championship Pool B,"London, United Kingdom",4.30,1536,1637,0.0,1.0,????.??.??,53,53,1.2,2.2,0.05,0.04,-5.1,-2.1,1,2,3,1,1,4,0,0,0,0,"[{'turn': 'Black', 'fen': 'rnbqk2r/1p2bppp/p3pn2/2pp4/2PP1B2/P1N1PN2/1P3PPP/R2QKB1R b KQkq - 1 7', 'move_number': 8, 'move': 'e7d6', 'prev_move': 'g1f3', 'time_diff': '0:00:29', 'exp_point_loss': 0.242}, {'turn': 'White', 'fen': '2r2rk1/1b1n1ppp/pp1qpn2/8/2pN4/P1N1P2P/1PQ1BPP1/2RR2K1 w - - 0 16', 'move_number': 16, 'move': 'e2f3', 'prev_move': 'd5c4', 'time_diff': '0:00:47', 'exp_point_loss': 0.5005}, {'turn': 'Black', 'fen': '6k1/2q2p1p/p3p1p1/1p1n4/2pQ4/P3PN1P/1P3PP1/6K1 b - - 3 28', 'move_number': 29, 'move': 'f7f6', 'prev_move': 'c3d4', 'time_diff': '0:00:32', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '6k1/2q4p/p3ppp1/1p1n4/2pQP3/P4N1P/1P3PP1/6K1 b - - 0 29', 'move_number': 30, 'move': 'd5b6', 'prev_move': 'e3e4', 'time_diff': '0:00:59', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '6k1/7p/pn1qpQp1/1p6/2p1P3/P4N1P/1P3PP1/6K1 w - - 1 31', 'move_number': 31, 'move': 'f6d4', 'prev_move': 'c7d6', 'time_diff': '0:00:35', 'exp_point_loss': 0.717}, {'turn': 'Black', 'fen': '8/5k1p/pn2p1p1/1p6/2pNP3/P6P/1P3PP1/5K2 b - - 2 33', 'move_number': 34, 'move': 'b6a4', 'prev_move': 'g1f1', 'time_diff': '0:00:29', 'exp_point_loss': 0.4764999999999999}, {'turn': 'White', 'fen': '8/5k1p/p5p1/1p2p3/n1pNP3/PP5P/5PP1/5K2 w - - 0 35', 'move_number': 35, 'move': 'd4b5', 'prev_move': 'e6e5', 'time_diff': '0:00:42', 'exp_point_loss': 0.498}]",[]
158.0,126.8,0.44,0.94,8.67,22.25,Marcus R Harvey,Jan Murawski,2025 FIDE World Blitz Team Championship Pool B,"London, United Kingdom",11.31,2449,2132,1.0,0.0,????.??.??,33,32,4.8,4.0,0.01,0.03,0.02,-1.66,0,0,1,0,0,2,1,0,0,0,"[{'turn': 'Black', 'fen': 'r1r3k1/3nq1pp/2pbp3/p1pp1p2/N1P2P2/BP1PPQ2/P5PP/2R2RK1 b - - 2 17', 'move_number': 18, 'move': 'e7f6', 'prev_move': 'd1f3', 'time_diff': '0:00:46', 'exp_point_loss': 0.353}, {'turn': 'White', 'fen': 'r1r3k1/3n2pp/2pbpq2/p1pp1p2/N1P2P2/BP1PPQ2/P5PP/2R2RK1 w - - 3 18', 'move_number': 18, 'move': 'a3b2', 'prev_move': 'e7f6', 'time_diff': '0:00:33', 'exp_point_loss': 0.318}, {'turn': 'Black', 'fen': 'r1r3k1/3n2pp/2pbp1q1/p1pp1p2/N1P2P2/1P1PPQ2/PB4PP/4RRK1 b - - 6 19', 'move_number': 20, 'move': 'd7f6', 'prev_move': 'c1e1', 'time_diff': '0:00:31', 'exp_point_loss': 0.445}]","[{'turn': 'White', 'fen': '6k1/6pp/3R4/R1p2p2/5P2/3P4/5KPP/2r5 w - - 3 33', 'move_number': 33, 'move': 'a5a7', 'prev_move': 'e1c1', 'time_diff': '0:38:50', 'exp_point_loss': 0}]"
128.8,136.9,1.07,1.56,16.14,158.64,Remy Rushbrooke,Leinier Dominguez Perez,2025 FIDE World Blitz Team Championship Pool B,"London, United Kingdom",9.10,1984,2630,0.0,1.0,????.??.??,70,70,1.8,2.0,0.02,0.02,-1.55,-1.12,0,0,2,0,0,2,0,0,0,0,"[{'turn': 'White', 'fen': '7R/8/8/2p5/2k5/8/2K2r2/8 w - - 18 59', 'move_number': 59, 'move': 'c2d1', 'prev_move': 'f3f2', 'time_diff': '0:00:30', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '7R/8/8/2p5/2k5/8/5r2/3K4 b - - 19 59', 'move_number': 60, 'move': 'c4b3', 'prev_move': 'c2d1', 'time_diff': '0:00:30', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '7R/8/8/2p5/8/1k6/5r2/3K4 w - - 20 60', 'move_number': 60, 'move': 'h8h3', 'prev_move': 'c4b3', 'time_diff': '0:00:30', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '8/8/8/2p5/7R/8/1k3r2/3K4 b - - 23 61', 'move_number': 62, 'move': 'f2f5', 'prev_move': 'h3h4', 'time_diff': '0:00:30', 'exp_point_loss': 1.0}]",[]
119.5,157.9,1.06,0.56,28.75,7.54,Kamila Hryshchenko,Irina Bulmaga,2025 FIDE World Blitz Team Championship Pool B,"London, United Kingdom",4.11,2109,2221,0.0,1.0,????.??.??,51,50,2.3,3.2,0.02,0.01,-2.05,0.02,0,0,2,0,0,1,0,0,0,0,"[{'turn': 'White', 'fen': '3r1nk1/1p3pp1/2p5/p6p/P1PP4/1P2r2P/2R2NP1/3R2K1 w - - 2 31', 'move_number': 31, 'move': 'd4d5', 'prev_move': 'e8e3', 'time_diff': '0:00:42', 'exp_point_loss': 0.392}, {'turn': 'Black', 'fen': '3r1nk1/1p3pp1/2p5/p2P3p/P1P1N3/1r5P/2R3P1/3R2K1 b - - 1 32', 'move_number': 33, 'move': 'c6d5', 'prev_move': 'f2e4', 'time_diff': '0:00:34', 'exp_point_loss': 0.473}, {'turn': 'White', 'fen': '3r1nk1/1p3pp1/8/p2p3p/P1P1N3/1r5P/2R3P1/3R2K1 w - - 0 33', 'move_number': 33, 'move': 'c4d5', 'prev_move': 'c6d5', 'time_diff': '0:00:29', 'exp_point_loss': 0.399}]",[]
149.9,150.6,0.72,0.71,7.62,7.36,Marcus R Harvey,Marco Gallana,2025 FIDE World Blitz Team Championship Pool B,"London, United Kingdom",8.7,2449,2280,0.5,0.5,????.??.??,45,45,3.3,3.3,0.02,0.02,-0.41,-0.38,3,2,0,3,1,0,0,0,0,0,[],[]
115.5,126.5,1.66,1.39,18.31,14.28,Tom O`Gorman,Augustin Madan,2025 FIDE World Blitz Team Championship Pool B,"London, United Kingdom",8.31,2333,2176,0.5,0.5,????.??.??,29,29,4.0,4.4,0.06,0.05,-2.27,-1.67,1,3,2,1,1,3,0,0,0,0,"[{'turn': 'Black', 'fen': 'r3kb1r/5ppp/1n2p3/2NpP3/pP1P3P/5N2/1P3PP1/R1B2K2 b kq - 2 21', 'move_number': 22, 'move': 'h7h6', 'prev_move': 'g1f1', 'time_diff': '0:00:29', 'exp_point_loss': 0.27549999999999997}, {'turn': 'Black', 'fen': '1r4k1/r3bpp1/1n2p2p/2NpP2P/pP1P4/2K1BN2/1P3PP1/R7 b - - 0 26', 'move_number': 27, 'move': 'b8a8', 'prev_move': 'h4h5', 'time_diff': '0:00:32', 'exp_point_loss': 0.30700000000000005}, {'turn': 'White', 'fen': 'r5k1/r3bpp1/1n2p2p/2NpP2P/pP1P4/2K1BN2/1P3PP1/R7 w - - 1 27', 'move_number': 27, 'move': 'f3d2', 'prev_move': 'b8a8', 'time_diff': '0:00:34', 'exp_point_loss': 0.45799999999999996}, {'turn': 'Black', 'fen': 'r5k1/r3bpp1/1n2p2p/2NpP2P/pP1P4/2K1B3/1P1N1PP1/R7 b - - 2 27', 'move_number': 28, 'move': 'g8f8', 'prev_move': 'f3d2', 'time_diff': '0:00:32', 'exp_point_loss': 0.487}, {'turn': 'White', 'fen': 'r4k2/r3bpp1/1n2p2p/2NpP2P/pP1P4/2K1B3/1P1N1PP1/R7 w - - 3 28', 'move_number': 28, 'move': 'a1a3', 'prev_move': 'g8f8', 'time_diff': '0:00:37', 'exp_point_loss': 0.44200000000000006}]",[]
158.3,160.8,0.23,0.22,5.13,4.99,Quang Liem Le,Jonah B Willow,2025 FIDE World Blitz Team Championship Pool B,"London, United Kingdom",13.2,2662,2356,0.5,0.5,????.??.??,69,69,2.3,2.3,0.0,0.0,0.04,0.17,1,0,0,1,0,0,0,0,0,0,[],[]
158.1,127.4,0.39,0.89,9.55,28.6,Maciej Czopor,Ranesh Ratnesan,2025 FIDE World Blitz Team Championship Pool B,"London, United Kingdom",2.27,2382,2137,1.0,0.0,????.??.??,31,30,5.1,4.2,0.01,0.03,0.03,-1.63,4,0,0,3,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '2r1r1k1/1p1bppbp/p1np1np1/q7/2P1P3/1NN1B2P/PP3PP1/2RQRBK1 b - - 5 14', 'move_number': 15, 'move': 'a5d8', 'prev_move': 'd4b3', 'time_diff': '0:00:35', 'exp_point_loss': 0.34850000000000003}]",[]
