,Player,avg_gi,avg_missed_points,TPR,Points,total_game_count,gi_median,missed_points_median,Elo,total_moves,White_games,Black_games,gi_std,missed_points_std,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,gi_var,missed_points_var
1,Ian Nepomniachtchi,158.6,0.57,2867,18.5,28,161.1,0.39,2770,1107,16,12,10.7,0.55,0.61,0.52,158.52,158.72,11,7.5,114.49,0.3
2,Magnus Carlsen,156.13,0.62,2863,18.5,27,163.1,0.36,2890,1159,14,13,15.13,0.7,0.73,0.5,154.65,157.72,10.5,8,228.84,0.49
3,Alireza Firouzja,153.66,0.75,2814,10.5,17,157.1,0.55,2871,695,9,8,13.86,0.75,1.07,0.39,148.28,159.71,5.5,5,192.02,0.56
4,Wesley So,153.12,0.78,2852,14.5,22,159.4,0.47,2803,991,11,11,17.11,0.83,0.77,0.79,154.32,151.92,8,6.5,292.72,0.69
5,Fabiano Caruana,152.81,0.77,2808,10,16,159.9,0.64,2796,602,7,9,18.69,0.73,0.53,0.96,159.31,147.76,5,5,349.29,0.53
6,Volodar Murzin,151.37,0.71,2738,10,16,160.6,0.34,2629,628,8,8,21.52,0.88,0.69,0.72,151.78,150.96,6,4,462.99,0.77
7,Levon Aronian,150.55,0.91,2805,8.5,13,157.9,0.73,2737,492,6,7,16.62,0.87,0.98,0.85,148.35,152.43,4.5,4,276.31,0.76
8,Leinier Dominguez Perez,149.96,0.76,2701,8.5,13,151.5,0.82,2656,650,7,6,14.41,0.64,0.71,0.81,152.46,147.05,5.5,3,207.59,0.41
9,Semyon Lomasov,147.98,0.79,2673,8,13,158.2,0.56,2445,629,6,7,21.1,0.74,0.64,0.92,150.53,145.79,3.5,4.5,445.01,0.55
10,Benjamin Bok,147.11,0.84,2698,8.5,13,153.6,0.74,2627,601,6,7,19.37,0.68,0.66,1,152.83,142.2,4.5,4,375.1,0.47
11,Shanglei Lu,146.93,0.88,2663,8.5,13,152.4,0.66,2648,644,6,7,15.88,0.83,1.02,0.76,146.95,146.91,4,4.5,252.08,0.69
