Player,avg_gi,avg_missed_points,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,gi_std,missed_points_std,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,gi_var,missed_points_var
Magnus Carlsen,157.65,0.53,13,9.5,162.8,0.2,2890,2874,507,7,6,12.18,0.65,0.67,0.37,154.6,161.2,5.5,4,148.44,0.43
Fabiano Caruana,157.3,0.62,13,9.5,162.5,0.54,2796,2879,455,6,7,16.34,0.68,0.48,0.75,160.62,154.46,4.5,5,267.12,0.47
Alireza Firouzja,155.68,0.72,13,9.5,160.1,0.42,2871,2881,467,7,6,11.33,0.73,0.98,0.42,151.4,160.67,5,4.5,128.29,0.53
Ian Nepomniachtchi,154.15,0.78,13,9.5,152.3,1.12,2770,2858,440,7,6,10.02,0.66,0.95,0.59,152.34,156.25,5.5,4,100.46,0.44
Volodar Murzin,153.59,0.65,13,9.5,160.8,0.31,2629,2795,484,7,6,22.29,0.94,0.58,0.73,155.11,151.82,6,3.5,496.67,0.88
Wesley So,149.94,0.91,13,9.5,159.2,0.75,2803,2858,539,7,6,18.27,0.84,1.17,0.61,146.04,154.48,5.5,4,333.9,0.71
Daniil Dubov,143.98,1.05,12,9.5,160.85,0.7,2784,2847,505,6,6,29.63,1.13,0.4,1.71,158.2,129.75,4,5.5,878.02,1.28
Daniel Naroditsky,129.13,1.55,13,9.5,137.1,1.7,2711,2748,617,6,7,39.75,1.25,1.78,1.36,123.02,134.37,4.5,5,1579.74,1.56
Mykola Bortnyk,140.18,1.16,13,9,143.9,1.42,2616,2717,652,7,6,20.15,0.82,0.96,1.39,148.79,130.15,6,3,406.06,0.67
Olexandr Bortnyk,139.42,1.23,13,9,143.3,0.94,2762,2726,638,7,6,23.48,0.81,1.21,1.26,138.43,140.57,4.5,4.5,551.27,0.66
Haik M. Martirosyan,132.82,1.3,13,9,134.8,0.83,2692,2655,670,7,6,31.51,0.98,1.04,1.6,144.86,118.77,6.5,2.5,992.75,0.97
Levon Aronian,150.55,0.91,13,8.5,157.9,0.73,2737,2805,492,6,7,16.62,0.87,0.98,0.85,148.35,152.43,4.5,4,276.31,0.76
Leinier Dominguez Perez,149.96,0.76,13,8.5,151.5,0.82,2656,2701,650,7,6,14.41,0.64,0.71,0.81,152.46,147.05,5.5,3,207.59,0.41
Benjamin Bok,147.11,0.84,13,8.5,153.6,0.74,2627,2698,601,6,7,19.37,0.68,0.66,1,152.83,142.2,4.5,4,375.1,0.47
Shanglei Lu,146.93,0.88,13,8.5,152.4,0.66,2648,2663,644,6,7,15.88,0.83,1.02,0.76,146.95,146.91,4,4.5,252.08,0.69
Tuan Minh Le,146.8,0.88,13,8.5,158,0.83,2532,2678,653,6,7,21.14,0.76,1.39,0.44,131.42,159.99,2,6.5,446.91,0.58
Praggnanandhaa R,146.68,0.86,13,8.5,157.6,0.74,2716,2713,699,7,6,19.44,0.9,0.94,0.78,144.87,148.78,4,4.5,377.9,0.81
