Player,avg_gi,avg_missed_points,TPR,Points,gi_median,missed_points_median,Elo,total_moves,White_games,Black_games,gi_std,missed_points_std,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum
Leinier Dominguez Perez,159.45,0.39,2747,9,161.6,0.29,2699,477,7,6,7.25,0.45,0.33,0.47,161.23,157.37,5,4
Denis Lazavik,156.05,0.44,2694,8,161.4,0.23,2553,542,7,6,15.72,0.51,0.27,0.65,163.11,147.82,6,2
Daniil Dubov,155.97,0.51,2728,9,160.7,0.48,2677,428,7,6,11.77,0.53,0.62,0.37,153.9,158.38,5,4
Ian Nepomniachtchi,155.41,0.53,2751,9.5,160.5,0.29,2758,648,7,6,13.46,0.54,0.69,0.33,153.49,157.65,6,3.5
Ray Robson,155.33,0.47,2680,8.5,160.7,0.23,2645,578,7,6,11.39,0.5,0.73,0.16,150.26,161.25,4,4.5
Levon Aronian,155.21,0.47,2682,8,160,0.29,2757,608,7,6,11.82,0.49,0.24,0.74,159.97,149.65,4.5,3.5
Javokhir Sindarov,155.1,0.53,2719,9,159,0.28,2655,498,7,6,12.62,0.67,0.49,0.58,153.86,156.55,4,5
Samuel Sevian,154.78,0.64,2761,8.5,158.1,0.55,2614,639,6,7,13.33,0.58,0.55,0.71,159.1,151.09,4.5,4
Mahammad Muradli,154.33,0.59,2762,8.5,160.7,0.5,2464,580,7,6,16.04,0.47,0.33,0.9,162.21,145.13,5.5,3
Maxime Vachier-Lagrave,153.98,0.47,2650,8,160.6,0.49,2763,563,6,7,12.32,0.47,0.59,0.37,149.78,157.57,3,5
Matthias Bluebaum,153.96,0.51,2522,7.5,157.6,0.56,2608,644,6,7,9.44,0.44,0.63,0.41,148.73,158.44,3.5,4
Yangyi Yu,153.55,0.63,2704,8.5,158.8,0.57,2698,614,6,7,12.46,0.66,0.52,0.73,158.42,149.37,4,4.5
Anish Giri,153.54,0.64,2734,8.5,158.7,0.77,2678,504,7,6,14.21,0.57,0.66,0.62,155.94,150.73,5.5,3
Raunak Sadhwani,153.48,0.54,2658,7,159.3,0.61,2591,398,7,6,11.22,0.45,0.46,0.63,154.59,152.18,4,3
